time_ns,protein_bb_rmsd_A,ligand_rmsd_A
0.0,0.0,
0.25,1.181,
0.5,1.155,
0.75,1.227,
1.0,1.379,
1.25,1.667,
1.5,1.719,
1.75,1.714,
2.0,1.942,
2.25,1.773,
2.5,1.501,
2.75,1.628,
3.0,1.742,
3.25,1.79,
3.5,1.715,
3.75,1.887,
4.0,1.911,
4.25,1.861,
4.5,1.884,
4.75,1.872,
5.0,1.939,
5.25,1.79,
5.5,1.915,
5.75,1.814,
6.0,1.949,
6.25,1.909,
6.5,1.926,
6.75,1.779,
7.0,1.939,
7.25,1.874,
7.5,1.947,
7.75,2.042,
8.0,2.118,
8.25,2.161,
8.5,1.964,
8.75,2.016,
9.0,2.119,
9.25,1.963,
9.5,2.101,
9.75,2.326,
10.0,2.308,
10.25,2.116,
10.5,1.81,
10.75,1.987,
11.0,1.956,
11.25,1.972,
11.5,1.92,
11.75,1.946,
12.0,1.918,
12.25,2.008,
12.5,2.029,
12.75,2.051,
13.0,1.998,
13.25,1.928,
13.5,2.001,
13.75,2.041,
14.0,2.327,
14.25,2.337,
14.5,2.336,
14.75,2.215,
15.0,2.134,
15.25,1.998,
15.5,2.035,
15.75,1.964,
16.0,1.987,
16.25,2.068,
16.5,1.911,
16.75,2.221,
17.0,2.258,
17.25,2.216,
17.5,2.099,
17.75,1.963,
18.0,2.03,
18.25,2.333,
18.5,2.127,
18.75,2.133,
19.0,2.119,
19.25,2.323,
19.5,2.167,
19.75,2.305,
20.0,2.275,
20.25,2.33,
20.5,2.285,
20.75,2.146,
21.0,2.145,
21.25,2.1,
21.5,2.024,
21.75,2.038,
22.0,1.993,
22.25,2.136,
22.5,2.152,
22.75,2.067,
23.0,2.013,
23.25,2.109,
23.5,1.893,
23.75,2.24,
24.0,2.049,
24.25,2.039,
24.5,2.009,
24.75,2.027,
25.0,2.106,
25.25,2.223,
25.5,2.212,
25.75,2.225,
26.0,2.055,
26.25,2.298,
26.5,2.113,
26.75,2.254,
27.0,2.147,
27.25,2.301,
27.5,2.265,
27.75,2.069,
28.0,2.397,
28.25,2.132,
28.5,2.196,
28.75,2.341,
29.0,2.29,
29.25,2.251,
29.5,2.198,
29.75,2.309,
30.0,2.195,
30.25,2.264,
30.5,2.155,
30.75,2.324,
31.0,2.381,
31.25,2.318,
31.5,2.385,
31.75,2.155,
32.0,2.52,
32.25,2.264,
32.5,2.273,
32.75,2.132,
33.0,2.283,
33.25,2.277,
33.5,2.127,
33.75,2.216,
34.0,2.39,
34.25,2.246,
34.5,2.397,
34.75,2.39,
35.0,2.128,
35.25,2.316,
35.5,2.391,
35.75,2.247,
36.0,2.317,
36.25,2.252,
36.5,2.586,
36.75,2.108,
37.0,2.253,
37.25,2.445,
37.5,2.39,
37.75,2.517,
38.0,2.144,
38.25,2.419,
38.5,2.401,
38.75,2.355,
39.0,2.672,
39.25,2.387,
39.5,2.471,
39.75,2.412,
40.0,2.358,
40.25,2.467,
40.5,2.402,
40.75,2.456,
41.0,2.744,
41.25,2.64,
41.5,2.434,
41.75,2.532,
42.0,2.624,
42.25,2.713,
42.5,2.544,
42.75,2.684,
43.0,2.803,
43.25,2.732,
43.5,2.796,
43.75,2.627,
44.0,2.818,
44.25,2.687,
44.5,2.727,
44.75,2.57,
45.0,2.636,
45.25,2.906,
45.5,2.809,
45.75,2.951,
46.0,2.902,
46.25,2.856,
46.5,2.718,
46.75,2.736,
47.0,2.682,
47.25,2.605,
47.5,2.809,
47.75,3.019,
48.0,2.897,
48.25,2.994,
48.5,3.058,
48.75,2.956,
49.0,2.813,
49.25,3.067,
49.5,2.923,
49.75,2.871,
