#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,120.00000000005473,-518709.9072639975,299.8862235405408,1.0272814249024493,0
10000,140.00000000003652,-520554.36605367344,300.64773288001464,1.0300054684781415,104
15000,159.9999999999899,-519184.8734125423,302.47724761623726,1.0240813275763614,104
20000,179.9999999999433,-518069.89185781777,300.05728083610256,1.026091039648245,104
25000,199.9999999998967,-518840.7368510463,301.8572861711287,1.0202573682909575,104
30000,219.99999999985008,-518079.6714333594,300.28862920158093,1.0247437766737009,104
35000,239.99999999980346,-516486.9055267165,299.1153782655971,1.0233706616219649,104
40000,259.99999999978525,-519380.77437538654,298.71854742563556,1.021402359602202,104
45000,279.99999999988074,-518213.3415972418,303.5940105253534,1.0234316476332936,104
50000,299.99999999997624,-517941.08238073275,301.09079229048126,1.026605119900832,104
55000,320.00000000007174,-519109.95866239304,300.44062379252483,1.025286545728583,104
60000,340.00000000016723,-518351.05535009457,300.1539526870675,1.0266931563051125,104
65000,360.00000000026273,-518320.88339385437,301.84601956985927,1.0213407201756342,104
70000,380.0000000003582,-517902.42181626987,303.29479836475673,1.0261392311502977,104
75000,400.0000000004537,-519213.0059662014,298.8077051327622,1.0288248526234522,104
80000,420.0000000005492,-518580.6136618068,300.8266402755696,1.0262097363817202,104
85000,440.0000000006447,-518548.41097866837,300.6610660710166,1.0270357741048581,104
90000,460.0000000007402,-518199.31544340285,302.2646592839843,1.0234498132480765,104
95000,480.0000000008357,-519467.77036108915,301.5077401990838,1.0289127341341362,104
100000,500.0000000009312,-517894.1130871817,299.8596238194145,1.0246915887217196,104
105000,520.0000000010267,-519034.2982230787,302.62190195544724,1.0244762222711736,104
110000,540.0000000011222,-517527.08692490286,302.84682919749497,1.0224017729333965,104
115000,560.0000000012177,-516749.6146518658,297.6569832002033,1.0225524184932924,104
120000,580.0000000013132,-519052.07688278635,300.5080633204606,1.0238212952899253,104
125000,600.0000000014087,-519100.5619942737,302.63272432629543,1.0272505828234726,104
130000,620.0000000015042,-518621.0596139245,302.631382618117,1.0260310880522612,104
135000,640.0000000015997,-518849.68458643067,301.50635230138874,1.0297556598216353,104
140000,660.0000000016952,-517743.0529585192,302.8721509153977,1.0237916342121285,104
145000,680.0000000017907,-518522.87891889666,300.80184931745913,1.0241639674056602,104
150000,700.0000000018862,-519285.02141832444,300.9481725610846,1.028026114963813,104
155000,720.0000000019817,-516950.7388631527,300.68779799908845,1.025732934969788,104
160000,740.0000000020772,-519447.90792282624,301.22523767501383,1.0272855679484343,104
165000,760.0000000021727,-517823.66644144873,301.6277816961182,1.0272665586964531,104
170000,780.0000000022682,-518280.05305210594,299.0075227875956,1.0247208566520123,104
175000,800.0000000023637,-517021.37008509436,301.42173598659014,1.022495322307439,104
180000,820.0000000024592,-518993.8117988969,302.69468663055034,1.026045692373567,104
185000,840.0000000025547,-518953.31300930516,300.750032236764,1.025378622002283,104
190000,860.0000000026502,-518915.0036964491,303.0297871958502,1.0279115472331841,104
195000,880.0000000027457,-518513.0199392142,300.8390065303967,1.027246664881732,104
200000,900.0000000028411,-518936.24215181544,300.7941637872085,1.0259029653946643,104
205000,920.0000000029366,-518012.9793357062,301.3009060387652,1.0235356424844737,104
210000,940.0000000030321,-518933.5957691085,303.17216357648914,1.025827463717798,104
215000,960.0000000031276,-516739.93418366066,299.7388873148091,1.023446614816722,104
220000,980.0000000032231,-517621.1507348176,300.7323039953811,1.0230492969133909,104
225000,1000.0000000033186,-518911.3182100982,300.5786246992411,1.0252966105152235,104
230000,1020.0000000034141,-518667.0998422208,302.1693056768734,1.0242604906002,104
235000,1040.0000000030548,-518145.8271013631,299.8703425933015,1.0216577064992376,104
240000,1060.0000000025818,-518352.4909917845,298.6360836487079,1.0270217856465103,104
245000,1080.000000002109,-517851.18095020624,298.662327900832,1.0251895577563717,104
250000,1100.000000001636,-517839.2121997499,302.09944971172814,1.026098211654331,104
255000,1120.000000001163,-517381.64847442973,300.5473306323893,1.0228874063559668,104
260000,1140.00000000069,-518112.7428117378,299.62392545308904,1.026183276236998,104
265000,1160.0000000002171,-517622.58094903314,300.6143011085101,1.0255306479256672,104
270000,1179.9999999997442,-519034.6341491111,298.70599507581363,1.027146636171683,104
275000,1199.9999999992713,-519611.23647970473,298.99213770235264,1.025908904473836,104
280000,1219.9999999987983,-517600.24764201464,301.6062074508305,1.026229456135846,104
285000,1239.9999999983254,-518532.18088395544,298.82637238987786,1.0240405185677026,104
290000,1259.9999999978525,-518122.6823697409,298.8462178898394,1.0252022505420915,104
295000,1279.9999999973795,-518098.4437687339,300.14025165768885,1.0244805431378448,104
300000,1299.9999999969066,-517846.07102843234,302.117980777086,1.0219764411194432,104
305000,1319.9999999964336,-518962.7950720764,301.4435745265973,1.027028227302388,104
310000,1339.9999999959607,-517689.0447527799,301.58988148154117,1.023817832711449,104
315000,1359.9999999954878,-516990.759860612,300.8166260123681,1.0243881918095263,104
320000,1379.9999999950148,-518359.06588911684,299.3368991904035,1.027236737201543,104
325000,1399.999999994542,-518012.27236625366,298.96147517290234,1.0264181347434649,104
330000,1419.999999994069,-516565.28773669293,299.89135692218025,1.0288763817703668,104
335000,1439.999999993596,-517745.44894477585,302.2841229155506,1.0250737879719183,104
340000,1459.999999993123,-517970.16373316245,303.1489634005437,1.0266506959574575,104
345000,1479.9999999926501,-517893.8777238629,302.15134758465547,1.0221888684736216,104
350000,1499.9999999921772,-517459.2905946714,299.9630025680205,1.0233787966927645,104
355000,1519.9999999917043,-519824.0687163423,300.65959629492113,1.0294521953451645,104
360000,1539.9999999912313,-518704.82628618623,301.5861409067909,1.0301342702865475,104
