time_ns,protein_bb_rmsd_A,ligand_rmsd_A
0.0,0.007,
0.25,1.202,
0.5,1.079,
0.75,1.269,
1.0,1.295,
1.25,1.153,
1.5,1.496,
1.75,1.487,
2.0,1.511,
2.25,1.51,
2.5,1.521,
2.75,1.596,
3.0,1.562,
3.25,1.613,
3.5,1.714,
3.75,1.597,
4.0,1.567,
4.25,1.747,
4.5,1.65,
4.75,1.808,
5.0,1.546,
5.25,1.727,
5.5,1.812,
5.75,1.855,
6.0,2.024,
6.25,2.083,
6.5,1.974,
6.75,2.291,
7.0,2.264,
7.25,2.164,
7.5,2.224,
7.75,2.359,
8.0,2.332,
8.25,2.144,
8.5,2.161,
8.75,2.148,
9.0,2.171,
9.25,2.206,
9.5,2.284,
9.75,2.21,
10.0,2.339,
10.25,2.534,
10.5,2.324,
10.75,2.339,
11.0,2.39,
11.25,2.5,
11.5,2.558,
11.75,2.7,
12.0,2.304,
12.25,2.326,
12.5,2.437,
12.75,2.492,
13.0,2.747,
13.25,2.592,
13.5,2.515,
13.75,2.629,
14.0,2.388,
14.25,2.415,
14.5,2.546,
14.75,2.462,
15.0,2.283,
15.25,2.138,
15.5,2.461,
15.75,2.563,
16.0,2.376,
16.25,2.378,
16.5,2.264,
16.75,2.289,
17.0,2.501,
17.25,2.514,
17.5,2.597,
17.75,2.049,
18.0,2.039,
18.25,2.459,
18.5,2.163,
18.75,2.112,
19.0,2.025,
19.25,2.022,
19.5,1.925,
19.75,1.836,
20.0,1.86,
20.25,2.093,
20.5,1.928,
20.75,2.088,
21.0,1.981,
21.25,1.993,
21.5,1.96,
21.75,2.034,
22.0,1.932,
22.25,2.179,
22.5,2.056,
22.75,2.138,
23.0,2.087,
23.25,2.013,
23.5,1.992,
23.75,2.032,
24.0,2.097,
24.25,2.1,
24.5,2.142,
24.75,2.059,
25.0,1.98,
25.25,2.046,
25.5,2.196,
25.75,2.442,
26.0,2.508,
26.25,2.381,
26.5,2.649,
26.75,2.637,
27.0,2.665,
27.25,2.702,
27.5,2.806,
27.75,2.462,
28.0,2.737,
28.25,2.861,
28.5,2.377,
28.75,2.507,
29.0,2.713,
29.25,2.614,
29.5,2.395,
29.75,2.095,
30.0,2.09,
30.25,2.108,
30.5,2.076,
30.75,2.066,
31.0,2.098,
31.25,2.091,
31.5,2.173,
31.75,2.06,
32.0,2.098,
32.25,2.142,
32.5,1.992,
32.75,1.837,
33.0,1.793,
33.25,1.823,
33.5,1.915,
33.75,1.911,
34.0,2.067,
34.25,2.151,
34.5,2.215,
34.75,2.108,
35.0,2.002,
35.25,1.997,
35.5,2.079,
35.75,1.963,
36.0,2.012,
36.25,2.047,
36.5,1.873,
36.75,1.981,
37.0,1.885,
37.25,1.916,
37.5,1.973,
37.75,1.883,
38.0,1.892,
38.25,1.854,
38.5,1.944,
38.75,2.054,
39.0,1.861,
39.25,1.838,
39.5,1.926,
39.75,1.827,
40.0,1.769,
40.25,1.868,
40.5,1.892,
40.75,1.917,
41.0,1.961,
41.25,1.775,
41.5,2.007,
41.75,1.855,
42.0,1.907,
42.25,1.869,
42.5,2.009,
42.75,1.83,
43.0,1.915,
43.25,1.758,
43.5,1.789,
43.75,1.985,
44.0,2.129,
44.25,2.052,
44.5,2.05,
44.75,2.09,
45.0,2.046,
45.25,1.944,
45.5,1.94,
45.75,2.085,
46.0,1.995,
46.25,2.044,
46.5,1.969,
46.75,2.181,
47.0,1.978,
47.25,2.11,
47.5,2.158,
47.75,2.076,
48.0,2.068,
48.25,2.022,
48.5,2.009,
48.75,1.9,
49.0,2.045,
49.25,1.968,
49.5,1.867,
49.75,1.842,
