#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,120.00000000005473,-515967.12894160463,300.1749639485154,1.0233665272688237,--
10000,140.00000000003652,-515326.62973802816,300.57359202834675,1.025151964889327,106
15000,159.9999999999899,-516651.47570263175,304.0669025716086,1.0241502028287657,106
20000,179.9999999999433,-516090.16649074876,300.8950060622027,1.025839004582088,106
25000,199.9999999998967,-516089.62750754924,302.3651547256158,1.0244202528345305,106
30000,219.99999999985008,-517432.5750441712,298.32423927270884,1.0245031394714734,105
35000,239.99999999980346,-516429.27386170556,300.96937019786606,1.0248144572312226,105
40000,259.99999999978525,-515634.17747327033,302.4418666160627,1.021431990705191,105
45000,279.99999999988074,-517199.5167706886,299.6497632917763,1.0227725838708954,105
50000,299.99999999997624,-515432.3029578887,299.8173522352486,1.0243586435399905,105
55000,320.00000000007174,-516650.69903332903,301.56840372291765,1.024724682453361,105
60000,340.00000000016723,-515855.4881564011,302.1631472431206,1.026413904951828,105
65000,360.00000000026273,-514677.6676680974,300.2160604004889,1.0206647531491218,105
70000,380.0000000003582,-515794.9641191852,304.20930429018955,1.0274762267498658,105
75000,400.0000000004537,-516389.06568174995,299.4957121670492,1.0316799210762253,105
80000,420.0000000005492,-517348.68212792184,301.37133976383535,1.0313647028543678,105
85000,440.0000000006447,-516174.8864280137,300.30903371302,1.0251465084955824,105
90000,460.0000000007402,-515353.64845983125,302.1129748892069,1.0212798551218687,105
95000,480.0000000008357,-516087.1403575833,299.21900311642065,1.0240425355708294,105
100000,500.0000000009312,-516419.7842890073,300.34056405430476,1.024399113809254,105
105000,520.0000000010267,-516459.0340135959,301.32670967956983,1.0236893570220493,105
110000,540.0000000011222,-516483.93233974674,300.0360328979411,1.0235566569042027,105
115000,560.0000000012177,-516181.5825643528,300.2308228886407,1.022364515491047,105
120000,580.0000000013132,-516863.5525357886,301.51369908550987,1.0268977951834553,105
125000,600.0000000014087,-515875.4962013527,300.68021451779924,1.0214691069391304,105
130000,620.0000000015042,-515698.8470022881,302.51213036036484,1.0242879243124838,105
135000,640.0000000015997,-515867.74170989473,300.1618760263156,1.0242953764794005,105
140000,660.0000000016952,-517257.21958998987,300.8735979578474,1.0281877035323665,105
145000,680.0000000017907,-515265.8018044722,301.07546845517675,1.0235579157249461,105
150000,700.0000000018862,-516933.78594416426,302.01258768164155,1.0239234581018641,105
155000,720.0000000019817,-515074.9218516408,301.22890962522297,1.0235239641386262,105
160000,740.0000000020772,-517667.6661324785,300.19756687538813,1.0258667768141148,105
165000,760.0000000021727,-516224.63658703,301.80015179087303,1.0229490576944724,105
