time_ns,protein_bb_rmsd_A,ligand_rmsd_A
0.0,0.0,0.0
0.25,1.093,1.834
0.5,1.014,1.589
0.75,1.235,2.206
1.0,1.365,2.125
1.25,1.342,2.4
1.5,1.529,2.486
1.75,1.43,1.79
2.0,1.551,1.892
2.25,1.678,2.767
2.5,1.427,2.66
2.75,1.657,2.156
3.0,1.635,2.258
3.25,1.594,1.857
3.5,1.608,1.963
3.75,1.485,1.791
4.0,1.679,1.828
4.25,1.705,1.98
4.5,1.676,2.041
4.75,1.627,2.034
5.0,1.482,1.822
5.25,1.37,1.832
5.5,1.41,2.367
5.75,1.464,2.412
6.0,1.579,2.255
6.25,1.727,2.097
6.5,1.654,1.593
6.75,1.527,2.002
7.0,1.575,2.165
7.25,1.432,1.815
7.5,1.561,2.197
7.75,1.494,1.974
8.0,1.582,1.973
8.25,1.52,1.967
8.5,1.499,1.936
8.75,1.508,2.026
9.0,1.612,1.99
9.25,1.416,2.085
9.5,1.515,2.233
9.75,1.415,1.98
10.0,1.62,2.149
10.25,1.567,2.24
10.5,1.554,2.029
10.75,1.587,2.036
11.0,1.506,1.976
11.25,1.458,1.872
11.5,1.551,2.092
11.75,1.511,2.199
12.0,1.583,2.532
12.25,1.566,1.913
12.5,1.817,2.094
12.75,1.589,2.108
13.0,1.588,2.189
13.25,1.534,2.049
13.5,1.391,1.921
13.75,1.552,2.029
14.0,1.641,2.176
14.25,1.575,2.174
14.5,1.616,2.548
14.75,1.604,2.163
15.0,1.725,2.379
15.25,1.495,2.102
15.5,1.564,2.282
15.75,1.458,2.053
16.0,1.499,2.142
16.25,1.607,2.034
16.5,1.63,2.046
16.75,1.498,1.982
17.0,1.729,2.188
17.25,1.759,2.175
17.5,1.684,2.208
17.75,1.663,2.447
18.0,1.751,3.027
18.25,1.579,2.553
18.5,2.096,2.857
18.75,1.842,3.079
19.0,1.723,2.165
19.25,1.68,2.864
19.5,1.88,2.629
19.75,1.622,3.602
20.0,1.564,3.044
20.25,1.402,2.434
20.5,1.777,2.722
20.75,1.811,2.318
21.0,1.795,2.353
21.25,1.77,2.218
21.5,1.749,1.992
21.75,1.802,2.021
22.0,1.861,2.834
22.25,1.887,3.54
22.5,1.946,2.219
22.75,1.792,2.063
23.0,1.79,2.58
23.25,1.837,2.496
23.5,1.782,1.698
23.75,1.81,2.25
24.0,2.276,2.422
24.25,2.049,2.86
24.5,2.03,2.215
24.75,1.809,2.127
25.0,1.872,2.059
25.25,1.768,1.755
25.5,1.914,2.299
25.75,1.984,2.162
26.0,2.024,2.299
26.25,2.091,2.598
26.5,1.971,2.326
26.75,2.172,2.349
27.0,2.194,2.432
27.25,1.974,1.823
27.5,2.189,3.04
27.75,2.077,3.19
28.0,2.001,1.953
28.25,1.962,2.609
28.5,2.058,2.283
28.75,1.829,2.178
29.0,1.941,2.816
29.25,1.939,2.885
29.5,2.187,2.168
29.75,1.911,2.121
30.0,1.951,2.629
30.25,1.999,2.223
30.5,1.962,1.999
30.75,1.785,2.222
31.0,1.839,1.835
31.25,2.101,2.283
31.5,1.854,2.212
31.75,1.983,1.744
32.0,1.957,2.56
32.25,1.944,1.999
32.5,1.839,2.189
32.75,2.061,2.893
33.0,2.028,2.067
33.25,1.969,2.135
33.5,2.01,2.114
33.75,2.038,2.105
34.0,2.115,2.057
34.25,2.364,2.294
34.5,2.4,2.075
34.75,2.456,2.913
35.0,2.088,2.404
35.25,2.12,2.15
35.5,2.334,2.272
35.75,2.462,2.305
36.0,2.385,3.489
36.25,2.704,2.746
36.5,2.356,3.777
36.75,2.626,4.162
37.0,2.152,2.353
37.25,2.177,2.356
37.5,2.231,2.241
37.75,2.14,2.475
38.0,2.016,2.408
38.25,1.966,1.95
38.5,2.055,2.47
38.75,1.917,2.666
39.0,2.047,2.451
39.25,2.057,2.184
39.5,2.073,2.24
39.75,1.904,1.905
40.0,1.939,2.35
40.25,2.047,2.291
40.5,1.953,2.05
40.75,2.297,2.585
41.0,1.82,2.459
41.25,2.238,2.346
41.5,1.991,2.696
41.75,2.386,3.291
42.0,2.034,2.152
42.25,2.187,2.53
42.5,1.994,1.924
42.75,2.192,2.362
43.0,2.324,2.341
43.25,2.332,2.843
43.5,1.954,3.604
43.75,2.076,2.435
44.0,2.339,2.473
44.25,2.168,3.121
44.5,2.153,3.387
44.75,1.681,3.601
45.0,1.965,3.772
45.25,2.062,4.105
45.5,1.877,3.192
45.75,1.991,3.222
46.0,2.033,2.936
46.25,2.01,2.826
46.5,2.144,2.913
46.75,1.839,2.808
47.0,1.809,2.673
47.25,1.709,2.83
47.5,1.763,3.624
47.75,2.024,3.442
48.0,2.04,3.847
48.25,1.859,4.03
48.5,2.119,4.033
48.75,1.997,4.034
49.0,1.879,4.106
49.25,1.877,3.721
49.5,1.71,2.794
49.75,1.793,2.674
