#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,120.00000000005473,-515140.66061650286,299.43616055422956,1.0264755069901834,--
10000,140.00000000003652,-515733.8348527481,298.8860971242801,1.0242092498594235,105
15000,159.9999999999899,-515479.8482656253,299.0314226455219,1.0272066504138067,105
20000,179.9999999999433,-514834.5807012252,302.3244195688993,1.0260086286132253,104
25000,199.9999999998967,-514894.71314208023,301.7798054913671,1.0232436701104355,104
30000,219.99999999985008,-515667.01113449014,302.335480358341,1.0254905935113654,104
35000,239.99999999980346,-515381.08363622916,298.5001228667566,1.0276473004416944,104
40000,259.99999999978525,-515543.304616194,298.79185317868075,1.0241189621664035,104
45000,279.99999999988074,-515475.93570603826,300.17954309162036,1.0234379042773314,104
50000,299.99999999997624,-515433.4228051917,300.8921893000399,1.0248084351176763,104
55000,320.00000000007174,-515782.2325739495,299.76630633080555,1.023634774841885,104
60000,340.00000000016723,-515781.42181511596,303.19108165135697,1.0270075293609222,104
65000,360.00000000026273,-515141.67093294626,299.8742616738325,1.023048725062191,104
70000,380.0000000003582,-516526.0256381382,300.4143056030173,1.026927761403999,104
75000,400.0000000004537,-515257.606894654,301.7959148623409,1.0242234535140091,104
80000,420.0000000005492,-515946.5782380006,301.7445241234747,1.0247518734778374,104
85000,440.0000000006447,-516024.21504083625,302.7061904001884,1.0248608411354168,104
90000,460.0000000007402,-514567.00368838524,301.4064893588159,1.0244769192138383,103
95000,480.0000000008357,-515420.38374708407,304.15768634551927,1.0285599344217016,103
100000,500.0000000009312,-516012.21417865134,299.6995876397755,1.028931593977156,103
105000,520.0000000010267,-514452.27156033367,302.37056832214967,1.0226042907119175,103
110000,540.0000000011222,-516076.5011283597,303.1234626188653,1.0286405427392804,103
115000,560.0000000012177,-516059.4390746129,300.53867069758286,1.0239217716116233,103
120000,580.0000000013132,-515607.9392721059,301.3000929751156,1.022999734527236,103
125000,600.0000000014087,-516481.3140552393,299.9117963236302,1.0294497904973803,103
130000,620.0000000015042,-516044.0672538455,299.1633923780766,1.0235401284312027,103
135000,640.0000000015997,-516004.6743663002,301.34520396619524,1.0257938303945826,103
140000,660.0000000016952,-515761.15699383616,301.1520721548055,1.0285400658312447,103
145000,680.0000000017907,-514463.961556121,298.742458058082,1.024959423248361,103
150000,700.0000000018862,-515522.9867529217,302.1522389456588,1.0266759125780769,103
155000,720.0000000019817,-515584.8681620087,299.08448409041125,1.0248393454270663,103
160000,740.0000000020772,-516158.5118499801,300.27191465827156,1.025036926097871,103
165000,760.0000000021727,-515354.31462870585,303.43283697604153,1.023125686748504,103
170000,780.0000000022682,-515194.90403274633,300.1096925253433,1.0290730159608272,103
175000,800.0000000023637,-516127.8839823024,301.79305236621764,1.0212712149551495,103
180000,820.0000000024592,-515761.115365247,300.5320411568495,1.0241154173682512,103
