time_ns,protein_bb_rmsd_A,ligand_rmsd_A
0.0,0.0,0.0
0.25,0.914,1.957
0.5,1.161,1.72
0.75,1.058,2.238
1.0,1.183,1.802
1.25,1.539,2.627
1.5,1.56,1.982
1.75,1.895,2.445
2.0,1.733,2.632
2.25,1.773,1.905
2.5,1.667,2.479
2.75,1.702,2.167
3.0,1.772,1.947
3.25,1.795,2.132
3.5,1.624,1.707
3.75,1.756,2.46
4.0,1.724,2.153
4.25,1.711,3.254
4.5,1.934,2.329
4.75,1.893,2.79
5.0,1.731,2.773
5.25,1.639,2.616
5.5,1.711,2.317
5.75,1.596,2.813
6.0,1.626,2.771
6.25,1.676,2.76
6.5,1.597,2.768
6.75,1.708,3.216
7.0,1.59,2.799
7.25,1.512,3.155
7.5,1.636,2.877
7.75,1.762,2.815
8.0,1.66,2.945
8.25,1.769,3.377
8.5,1.717,2.979
8.75,1.606,2.707
9.0,1.656,3.359
9.25,1.648,3.182
9.5,1.435,2.755
9.75,1.542,2.452
10.0,1.515,2.706
10.25,1.388,2.444
10.5,1.553,2.591
10.75,1.802,2.892
11.0,1.775,2.72
11.25,1.852,2.84
11.5,1.883,3.007
11.75,1.678,2.848
12.0,1.746,3.027
12.25,1.488,2.927
12.5,1.652,2.807
12.75,1.74,2.995
13.0,1.575,2.787
13.25,1.621,2.897
13.5,1.605,2.581
13.75,1.521,2.933
14.0,1.41,2.005
14.25,1.443,1.92
14.5,1.622,3.006
14.75,1.954,3.252
15.0,1.651,3.19
15.25,1.577,3.208
15.5,1.7,3.703
15.75,1.702,3.308
16.0,1.413,3.21
16.25,1.745,2.436
16.5,1.539,2.866
16.75,1.663,2.452
17.0,1.769,2.453
17.25,1.793,1.966
17.5,1.56,1.952
17.75,1.663,2.151
18.0,1.697,2.648
18.25,1.538,2.304
18.5,1.527,2.766
18.75,1.562,3.096
19.0,1.504,3.518
19.25,1.649,3.737
19.5,1.732,3.272
19.75,1.761,3.16
20.0,1.585,3.274
20.25,1.855,2.661
20.5,1.749,3.075
20.75,1.819,2.915
21.0,1.802,2.905
21.25,1.702,3.084
21.5,1.72,3.138
21.75,1.697,2.506
22.0,1.679,2.251
22.25,1.694,2.491
22.5,2.031,2.794
22.75,1.776,2.602
23.0,1.687,2.459
23.25,1.71,3.167
23.5,1.838,2.525
23.75,1.756,2.66
24.0,1.767,2.57
24.25,1.58,3.002
24.5,1.552,2.138
24.75,1.732,3.143
25.0,1.686,3.469
25.25,1.71,3.317
25.5,2.078,3.003
25.75,1.967,3.256
26.0,1.954,3.107
26.25,2.11,3.251
26.5,1.856,3.524
26.75,2.02,3.117
27.0,2.033,3.562
27.25,2.017,2.786
27.5,2.14,2.837
27.75,2.113,2.787
28.0,2.063,2.641
28.25,1.994,3.344
28.5,1.997,3.643
28.75,1.753,3.0
29.0,2.017,3.074
29.25,1.85,3.392
29.5,1.949,3.907
29.75,1.803,3.432
30.0,1.864,3.209
30.25,1.997,3.098
30.5,2.096,3.165
30.75,1.956,3.186
31.0,1.612,2.787
31.25,1.558,2.779
31.5,1.577,3.237
31.75,1.561,3.356
32.0,1.545,2.905
32.25,1.487,3.018
32.5,1.502,3.541
32.75,1.55,3.46
33.0,1.572,3.561
33.25,1.613,3.125
33.5,1.664,2.662
33.75,1.551,3.235
34.0,1.536,2.947
34.25,1.744,3.326
34.5,1.632,3.162
34.75,1.647,3.432
35.0,1.538,3.51
35.25,1.532,3.044
35.5,1.503,2.805
35.75,1.555,3.419
36.0,1.7,2.857
36.25,1.589,2.963
36.5,1.663,3.341
36.75,1.65,3.645
37.0,1.565,2.611
37.25,1.674,2.998
37.5,1.513,3.203
37.75,1.594,3.027
38.0,1.537,3.098
38.25,1.471,3.142
38.5,1.625,3.107
38.75,1.586,3.143
39.0,1.646,3.37
39.25,1.564,2.799
39.5,1.56,2.931
39.75,1.619,2.796
40.0,1.597,3.147
40.25,1.688,2.672
40.5,1.579,2.849
40.75,1.602,3.717
41.0,1.714,2.851
41.25,1.655,3.044
41.5,1.62,4.477
41.75,1.649,3.936
42.0,1.669,4.003
42.25,1.802,3.197
42.5,1.606,3.859
42.75,1.695,4.239
43.0,1.685,3.514
43.25,1.806,4.617
43.5,1.697,4.24
43.75,1.667,4.02
44.0,1.584,4.979
44.25,1.638,3.201
44.5,1.556,3.59
44.75,1.631,3.688
45.0,1.652,4.603
45.25,1.703,3.573
45.5,1.805,3.807
45.75,1.801,3.539
46.0,1.684,3.429
46.25,1.721,3.943
46.5,1.8,3.198
46.75,1.877,3.245
47.0,1.854,3.641
47.25,1.801,4.545
47.5,1.627,4.779
47.75,1.718,4.628
48.0,1.674,3.741
48.25,1.785,4.442
48.5,1.687,4.173
48.75,1.676,4.705
49.0,1.769,4.19
49.25,1.751,4.61
49.5,1.725,4.514
49.75,1.748,4.209
