#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,120.00000000005473,-516029.75817998964,303.19273749554856,1.0297384651134365,0
10000,140.00000000003652,-516639.399931598,301.4725355632901,1.02644403165041,104
15000,159.9999999999899,-517968.08850811934,301.80407754828065,1.0251802723633967,104
20000,179.9999999999433,-516769.7158250115,300.66426693761014,1.0254241112501041,104
25000,199.9999999998967,-517111.42955855094,301.2123429620785,1.0235510282063998,104
30000,219.99999999985008,-517602.4065591898,299.9714519200569,1.0232558319307605,104
35000,239.99999999980346,-517070.59504000377,301.3530075198371,1.0271858908715932,104
40000,259.99999999978525,-516598.1776115005,301.24605805298245,1.0209555999482995,104
45000,279.99999999988074,-517377.7256469729,300.37131736942587,1.0201370913931134,104
50000,299.99999999997624,-517249.30785988877,300.5751419606933,1.0237066091381388,104
55000,320.00000000007174,-517958.1527515566,301.2589271235148,1.0271014954449733,104
60000,340.00000000016723,-516684.8447335479,301.10984917171857,1.0243070509295822,104
65000,360.00000000026273,-517426.6598786749,302.07204043380665,1.0265261023792092,104
70000,380.0000000003582,-517838.37193096825,300.99284493394873,1.0301829883349374,104
75000,400.0000000004537,-517530.0228003061,300.03642543880636,1.0251420857910891,104
80000,420.0000000005492,-518277.820005127,302.25130841230094,1.0280792908570857,104
85000,440.0000000006447,-517142.25269724755,300.0677282051271,1.0262084725220546,104
90000,460.0000000007402,-516804.6526527691,301.6772006803868,1.0256427495760583,104
95000,480.0000000008357,-517279.66590871173,301.66101808659636,1.0298530109275472,104
100000,500.0000000009312,-515343.07753369305,301.4412584782848,1.0279383466014278,104
105000,520.0000000010267,-518036.93486428726,297.9918132403468,1.024358236184588,104
110000,540.0000000011222,-517635.2934601754,299.7053645488648,1.0252544160375348,104
115000,560.0000000012177,-516416.0019871511,301.10543739578634,1.0257466587715771,104
120000,580.0000000013132,-517745.66901661316,298.40241891018525,1.026326603118965,104
125000,600.0000000014087,-518811.3588804479,300.6878549034045,1.022733560237532,103
130000,620.0000000015042,-517173.81726401625,301.18963596521087,1.025747284130637,103
135000,640.0000000015997,-516705.10350620514,301.75812711652,1.0261347787547621,103
140000,660.0000000016952,-518769.3186639312,300.730924578919,1.026882595487801,103
145000,680.0000000017907,-517987.3091034726,299.17957749867736,1.0270069538808035,103
150000,700.0000000018862,-517260.1391820079,302.36667420284516,1.0259434041838247,103
155000,720.0000000019817,-518018.7125087946,301.46614141928563,1.0250369697326196,103
160000,740.0000000020772,-517697.92175599374,301.3057996667228,1.027133499389497,103
165000,760.0000000021727,-517276.8448199725,298.61703849718106,1.0246318156210688,103
170000,780.0000000022682,-517782.2886513006,303.90191195690846,1.025141239334948,103
175000,800.0000000023637,-517911.6793048729,302.54188858158903,1.0303589315424118,103
180000,820.0000000024592,-516387.5324012153,302.27178313892347,1.026774103662673,103
185000,840.0000000025547,-517416.84962943825,301.4674574072182,1.0285116990956693,103
190000,860.0000000026502,-517501.11976324115,300.6550535752972,1.0261525165058096,103
195000,880.0000000027457,-517135.67029268877,302.2537227286236,1.0257024236208696,103
200000,900.0000000028411,-516422.9982137289,299.3230667927035,1.0279677766743593,103
205000,920.0000000029366,-516499.0596675286,299.420825018174,1.0238571435461754,103
210000,940.0000000030321,-517213.27301075915,301.03817384917676,1.0261044418140213,103
215000,960.0000000031276,-517835.79502219707,302.13679226025283,1.0270907892539465,103
220000,980.0000000032231,-517703.91535559506,298.67702525692346,1.0241457227174504,103
225000,1000.0000000033186,-517353.19545344356,300.86634573424703,1.0214171420597506,103
230000,1020.0000000034141,-517748.9426770997,299.9872486309929,1.0261181554495329,103
235000,1040.0000000030548,-518407.17689086404,301.7053578558692,1.0235694009081377,103
240000,1060.0000000025818,-517386.05044998345,300.7979016384766,1.0247627723193475,103
245000,1080.000000002109,-517581.1584472195,302.55805462622453,1.025661203439812,103
250000,1100.000000001636,-518562.35346527025,300.83722538950127,1.027828116070604,103
255000,1120.000000001163,-518678.03768802504,298.4193129711553,1.0241425894943441,103
260000,1140.00000000069,-518092.21901545324,299.71681364872705,1.0235563027314225,103
265000,1160.0000000002171,-515861.79896045546,301.95671643589026,1.0248584310372713,103
270000,1179.9999999997442,-518222.2636673681,297.80343366479684,1.027237487142416,103
275000,1199.9999999992713,-518031.9478875543,303.03034619448295,1.0233188615047368,103
280000,1219.9999999987983,-518226.4274837433,302.1465717528366,1.0235911042539783,103
285000,1239.9999999983254,-518646.444260719,301.61820091658143,1.0235987025632758,103
290000,1259.9999999978525,-517214.11313956627,301.891230877051,1.0304435300218626,103
295000,1279.9999999973795,-518408.60042673256,299.79376499518156,1.0332442826222794,103
300000,1299.9999999969066,-516347.0680266563,302.83284276810616,1.0205163779513167,103
305000,1319.9999999964336,-518492.98194502806,298.09333347129945,1.0296897282847293,103
310000,1339.9999999959607,-517682.98586543184,299.7518997874822,1.0234718623412113,103
315000,1359.9999999954878,-517394.0072266334,301.839208399982,1.0248853710516133,103
320000,1379.9999999950148,-518206.1764298759,298.4307503602099,1.022795070728597,103
325000,1399.999999994542,-517415.98184261774,298.1734751432358,1.025106909350424,103
330000,1419.999999994069,-517961.3965685172,302.16214861401636,1.0253213323760928,103
335000,1439.999999993596,-516983.8041147678,300.0860308908143,1.0263304946693839,103
340000,1459.999999993123,-517442.7073894029,300.3519119684908,1.0292052179601945,103
345000,1479.9999999926501,-517117.5211320068,302.3338227372552,1.0273901616697003,103
350000,1499.9999999921772,-517730.35704629775,302.0816207241022,1.0211783983541223,103
355000,1519.9999999917043,-518904.4866065115,301.368071823169,1.0269805879487164,103
360000,1539.9999999912313,-517189.3525811732,300.5699686435141,1.025569392353209,103
365000,1559.9999999907584,-517783.02815467725,299.9809958174865,1.0227874192938071,103
370000,1579.9999999902855,-518466.0497963871,299.66168350704004,1.0271456734801423,103
375000,1599.9999999898125,-517650.1892825605,302.0852635523158,1.0240743905705527,103
380000,1619.9999999893396,-516440.03337590746,301.16213074014723,1.0279647632721012,103
385000,1639.9999999888666,-518827.95078961644,302.027534470603,1.0279750246347117,103
390000,1659.9999999883937,-517966.52267774916,299.3459362422295,1.0270653746865346,103
395000,1679.9999999879208,-518819.37969407183,301.4244883613467,1.0271810513516475,103
400000,1699.9999999874478,-518423.3425682222,301.49344075967923,1.025075307804359,103
405000,1719.999999986975,-518162.8465323611,299.50864487407,1.0255371025664977,103
410000,1739.999999986502,-517568.4232934031,302.38968450626106,1.0248657989238874,103
415000,1759.999999986029,-517635.0819041487,299.47310830170153,1.0282205194957268,103
420000,1779.999999985556,-517100.61030373443,303.926201614514,1.0231672920000543,103
425000,1799.9999999850832,-516342.91678031767,299.85944929961266,1.0255987958300967,103
430000,1819.9999999846102,-516791.6074827416,300.3871497886208,1.0273062569950528,103
435000,1839.9999999841373,-516501.266125774,300.02777885712635,1.0239356873477434,103
440000,1859.9999999836643,-517207.1572726907,300.1179132998785,1.0233037610213647,103
445000,1879.9999999831914,-516805.0842546348,299.85454409217647,1.02438725310257,103
450000,1899.9999999827185,-517383.70717912284,300.842133126609,1.026242122958116,103
455000,1919.9999999822455,-517285.14807645045,302.7481756332384,1.0258334500955446,103
460000,1939.9999999817726,-517608.45226331824,302.72159900797595,1.0253435099255201,103
465000,1959.9999999812997,-518596.28020121506,298.56881661807927,1.0273605930564205,103
470000,1979.9999999808267,-518138.05216302443,301.4162359415234,1.027273598509089,103
475000,1999.9999999803538,-519003.2976008544,298.4605051574171,1.0261900514683937,103
480000,2019.9999999798808,-518093.01810239325,301.2747151469148,1.030974181749734,103
485000,2039.999999979408,-517477.2234012224,302.1497739238097,1.0296042159493206,104
490000,2059.999999978935,-517792.0880579469,300.84129455802497,1.0269873264809652,104
495000,2079.9999999784623,-518110.86902119056,301.7074346805236,1.0275562125337385,104
500000,2099.9999999779893,-519198.95618620934,301.1626467480142,1.0284436047415544,104
505000,2119.9999999775164,-517613.2888576982,297.739726202194,1.0222085120842215,104
510000,2139.9999999770434,-516241.5202641736,300.3804570628696,1.0261750807387031,104
515000,2159.9999999765705,-518220.88511262694,299.2328735495313,1.026972378644425,104
520000,2179.9999999760976,-516867.2797328497,299.799213435732,1.023165324194971,104
525000,2199.9999999756246,-517870.1582772413,302.09156587870814,1.0256694810778815,104
530000,2219.9999999751517,-518546.8715847144,301.3912567892672,1.0265761689229258,104
535000,2239.9999999746788,-517534.0519297987,300.8312272694455,1.0249184995523466,104
540000,2259.999999974206,-518976.4173556734,298.06431211558765,1.028448114246387,104
545000,2279.999999973733,-518279.2103227265,301.02758595426917,1.0257401471388645,104
550000,2299.99999997326,-517461.95328919264,300.8234431511912,1.030122166035359,104
555000,2319.999999972787,-519176.69007433625,299.768658202572,1.0298862041395538,104
560000,2339.999999972314,-518151.27814380545,301.2780398593624,1.0265688080515947,104
565000,2359.999999971841,-518112.67229154543,299.920208794233,1.030941431827291,104
570000,2379.999999971368,-518149.34434995847,301.6560691508916,1.0264881417761953,104
575000,2399.9999999708953,-517555.32565419096,298.7593553922981,1.0269056980181615,104
580000,2419.9999999704223,-517486.47109307814,301.94768774183007,1.0230397278315746,104
585000,2439.9999999699494,-517314.90471950127,303.2852077320065,1.0295954610251423,104
590000,2459.9999999694764,-517652.8912409586,300.13716943846845,1.0286087032443962,104
595000,2479.9999999690035,-517144.7724405052,301.2393498469986,1.0296440926952812,104
600000,2499.9999999685306,-516585.0458413814,302.20164392280793,1.0239081659197855,104
605000,2519.9999999680576,-519050.4534397365,298.9990685044221,1.0232104701864522,104
610000,2539.9999999675847,-517474.08284862316,300.3410915743854,1.0239685535456178,104
615000,2559.9999999671118,-516978.52889179555,301.29835733399375,1.027775353119799,104
620000,2579.999999966639,-517219.24013830116,299.9020668494892,1.029281522126963,104
625000,2599.999999966166,-517994.3252363708,299.4497792713028,1.0229405629413346,104
630000,2619.999999965693,-518338.6438274144,301.2224714278457,1.0311713143339558,104
