time_ns,protein_bb_rmsd_A,ligand_rmsd_A
0.0,0.0,0.0
0.25,0.784,2.225
0.5,1.093,2.629
0.75,1.168,2.456
1.0,1.155,2.721
1.25,1.196,2.237
1.5,1.274,3.182
1.75,1.48,3.05
2.0,1.37,3.135
2.25,1.297,3.0
2.5,1.546,3.105
2.75,1.495,3.888
3.0,1.513,2.843
3.25,1.631,3.504
3.5,1.557,2.916
3.75,1.716,2.771
4.0,1.485,2.745
4.25,1.587,2.88
4.5,1.516,2.887
4.75,1.569,2.987
5.0,1.598,3.073
5.25,1.521,2.624
5.5,1.589,3.411
5.75,1.55,2.66
6.0,1.66,2.429
6.25,1.668,3.228
6.5,1.87,2.199
6.75,1.888,2.21
7.0,1.886,3.043
7.25,1.812,3.123
7.5,1.995,2.948
7.75,1.999,3.111
8.0,1.903,2.805
8.25,1.92,3.068
8.5,2.046,3.336
8.75,1.865,3.325
9.0,1.986,2.873
9.25,1.974,3.144
9.5,1.859,2.909
9.75,1.91,2.921
10.0,1.941,2.97
10.25,1.951,2.768
10.5,1.842,3.156
10.75,1.827,3.09
11.0,1.891,2.573
11.25,1.771,2.807
11.5,1.884,3.206
11.75,1.843,2.767
12.0,1.828,3.229
12.25,1.933,4.12
12.5,1.835,4.253
12.75,1.63,2.931
13.0,1.747,3.476
13.25,1.659,2.613
13.5,1.761,3.322
13.75,1.754,2.918
14.0,1.655,3.276
14.25,1.69,2.622
14.5,1.649,2.332
14.75,1.683,2.658
15.0,1.785,3.457
15.25,1.694,3.323
15.5,1.807,3.729
15.75,1.579,2.148
16.0,1.813,3.47
16.25,1.883,2.776
16.5,1.769,3.379
16.75,1.719,2.766
17.0,1.693,3.703
17.25,1.721,3.54
17.5,1.835,2.376
17.75,1.833,3.277
18.0,1.75,3.918
18.25,2.039,3.61
18.5,1.771,3.89
18.75,1.835,3.692
19.0,1.951,2.25
19.25,1.814,2.575
19.5,1.805,4.158
19.75,1.898,3.966
20.0,1.811,3.564
20.25,1.936,4.162
20.5,1.659,4.233
20.75,1.705,3.763
21.0,1.841,2.41
21.25,1.749,4.13
21.5,1.856,3.602
21.75,2.0,3.486
22.0,1.975,3.799
22.25,1.966,2.824
22.5,1.623,2.418
22.75,1.692,3.322
23.0,1.64,2.901
23.25,1.77,2.714
23.5,1.795,2.972
23.75,1.838,3.056
24.0,1.703,3.684
24.25,1.685,4.214
24.5,1.854,3.892
24.75,2.121,3.893
25.0,1.861,2.895
25.25,1.883,3.797
25.5,1.743,3.108
25.75,1.771,3.222
26.0,1.68,2.818
26.25,1.804,2.766
26.5,1.604,2.792
26.75,1.685,4.016
27.0,1.685,3.827
27.25,1.693,3.032
27.5,1.679,3.362
27.75,1.649,3.849
28.0,1.595,3.329
28.25,1.685,2.544
28.5,1.622,3.736
28.75,1.784,3.242
29.0,1.831,2.994
29.25,1.851,2.586
29.5,1.806,2.866
29.75,1.821,3.174
30.0,1.85,2.743
30.25,1.745,2.579
30.5,1.736,2.801
30.75,1.864,3.097
31.0,1.685,2.693
31.25,1.835,2.817
31.5,1.849,2.984
31.75,1.796,3.005
32.0,1.69,3.085
32.25,1.754,3.01
32.5,1.657,3.109
32.75,1.767,3.242
33.0,1.672,3.307
33.25,1.757,2.929
33.5,1.767,3.32
33.75,1.826,3.086
34.0,1.732,2.921
34.25,1.854,2.941
34.5,1.846,3.023
34.75,1.817,3.224
35.0,1.845,3.108
35.25,1.742,2.663
35.5,1.955,2.917
35.75,1.774,3.017
36.0,1.787,2.96
36.25,1.847,3.02
36.5,1.874,2.92
36.75,1.819,3.07
37.0,1.924,3.355
37.25,1.853,3.009
37.5,1.832,2.832
37.75,1.86,3.159
38.0,1.868,3.051
38.25,1.919,3.197
38.5,1.839,3.038
38.75,1.763,3.294
39.0,1.875,2.785
39.25,1.652,2.771
39.5,1.809,2.946
39.75,1.713,2.94
40.0,1.782,2.78
40.25,1.755,2.757
40.5,1.856,3.154
40.75,1.897,2.78
41.0,1.794,2.997
41.25,1.887,2.754
41.5,1.898,3.108
41.75,1.862,3.293
42.0,1.816,3.093
42.25,1.739,3.781
42.5,1.877,3.587
42.75,1.792,4.184
43.0,2.017,4.049
43.25,2.002,2.962
43.5,1.877,3.04
43.75,1.952,3.098
44.0,2.12,4.142
44.25,1.971,3.663
44.5,1.922,2.509
44.75,2.032,3.442
45.0,2.037,2.865
45.25,1.921,2.305
45.5,1.967,2.553
45.75,1.986,2.967
46.0,1.927,2.862
46.25,2.052,3.167
46.5,1.837,3.282
46.75,1.881,3.223
47.0,1.846,2.908
47.25,1.82,2.869
47.5,1.752,2.742
47.75,1.955,2.893
48.0,2.019,2.884
48.25,2.047,3.122
48.5,1.858,2.941
48.75,1.915,3.145
49.0,1.96,2.846
49.25,1.824,2.865
49.5,1.785,2.799
49.75,1.794,2.669
