#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,120.00000000005473,-516263.27530168765,303.570931778224,1.0244678923375925,--
10000,140.00000000003652,-516663.94749001926,299.3734589232506,1.0257692097622952,107
15000,159.9999999999899,-516855.77958140546,303.47919893778703,1.0282460345756512,107
20000,179.9999999999433,-515798.229084176,301.0575771856242,1.0233827374477198,107
25000,199.9999999998967,-515468.26464927895,301.3945571647696,1.0256485148554104,106
30000,219.99999999985008,-516076.94391638134,300.2934918841101,1.027136659617448,106
35000,239.99999999980346,-515976.9597744043,302.4747485865949,1.022468231918307,106
40000,259.99999999978525,-516434.92779096356,296.46263962005605,1.0269584616745964,106
45000,279.99999999988074,-517499.8440457578,299.939367188656,1.0288867846024405,106
50000,299.99999999997624,-516654.3616110112,301.4935311078268,1.0304743626224733,106
55000,320.00000000007174,-516415.4966769139,299.6222901120078,1.0240223898296636,106
60000,340.00000000016723,-515026.7601560778,300.63175248684536,1.0257152977129091,106
65000,360.00000000026273,-516538.4500133607,303.3420627520727,1.0285327286456014,106
70000,380.0000000003582,-517216.5268226934,298.02816030044903,1.0271919750714056,106
75000,400.0000000004537,-515362.42227139836,301.91218074052864,1.0261559447203554,106
80000,420.0000000005492,-515703.4965935154,304.53018364796395,1.0277316744119123,106
85000,440.0000000006447,-515344.07853868185,300.03754098395996,1.0242270548616232,106
90000,460.0000000007402,-516745.44704037975,303.46832822164373,1.0257642265903957,106
95000,480.0000000008357,-514698.5010430396,302.16980488388003,1.0255600184273204,106
100000,500.0000000009312,-515156.2204467801,299.19896702563886,1.0245517216060687,106
105000,520.0000000010267,-515122.64819904487,302.63694864365044,1.0211509579267029,106
110000,540.0000000011222,-515401.02800745517,301.3595979992399,1.0222164946479906,106
115000,560.0000000012177,-517471.0470377165,298.8524959374444,1.0262010309062282,106
120000,580.0000000013132,-515514.9814582947,302.2958897831178,1.0206083828952923,106
125000,600.0000000014087,-516560.18609774206,302.8329912084785,1.030350046208542,106
130000,620.0000000015042,-515681.4962661499,301.3041087823763,1.0278803451498069,106
135000,640.0000000015997,-516728.7898357294,304.6049130164713,1.0311277482373795,106
140000,660.0000000016952,-517278.5857158152,300.59842847578045,1.0276222761896538,106
145000,680.0000000017907,-516471.90029064287,299.7714215920959,1.0228071498201776,106
150000,700.0000000018862,-515223.8606358599,303.24701779418115,1.0246605258142272,106
155000,720.0000000019817,-517494.41192618804,300.40143020299024,1.0295031214649164,106
160000,740.0000000020772,-516159.69263936556,300.3557296371081,1.0274077342367485,106
165000,760.0000000021727,-515358.7754817826,300.41841001295313,1.028624315429196,106
170000,780.0000000022682,-514852.5133214551,299.632430319517,1.0251771301209647,106
175000,800.0000000023637,-515771.3326990064,299.7407578295831,1.023984576045263,106
180000,820.0000000024592,-516826.913579104,299.9995651977498,1.0289737009902615,106
185000,840.0000000025547,-515897.57033131085,299.55059715536294,1.0271832421450775,106
190000,860.0000000026502,-517451.87867888226,301.8227022681466,1.0274395001402632,106
195000,880.0000000027457,-515539.88845959795,300.62106402822366,1.0249305261211548,106
200000,900.0000000028411,-516309.93293396244,302.37202236295053,1.032427753114789,106
205000,920.0000000029366,-516825.64840370766,299.04846569292795,1.0269577724075474,106
210000,940.0000000030321,-516907.9855676065,302.16703345414487,1.0260604691615205,106
215000,960.0000000031276,-516719.2448978522,302.29788229190643,1.0278657242485532,106
220000,980.0000000032231,-514753.7012198614,301.36866480202696,1.0216396557790068,106
225000,1000.0000000033186,-515936.84832316707,299.4681019250675,1.0244086717078287,106
230000,1020.0000000034141,-516869.94016509154,300.3538721141707,1.027036263433513,106
235000,1040.0000000030548,-517278.75656170375,299.6200911960123,1.0265276930591185,106
240000,1060.0000000025818,-516443.8264342663,298.7122393414285,1.0256280556923187,106
245000,1080.000000002109,-516348.0063064536,299.1246158056554,1.0284397174199702,106
250000,1100.000000001636,-517055.9079952282,298.383671108671,1.0247223001605283,106
255000,1120.000000001163,-516203.3465389288,302.67144936038596,1.02612167592237,106
260000,1140.00000000069,-516627.9775232731,298.84077059727923,1.0296739537616513,106
265000,1160.0000000002171,-516272.3742856567,301.687244070778,1.0258094917174871,106
270000,1179.9999999997442,-516499.9462924092,302.07439178449437,1.0274871858895136,106
275000,1199.9999999992713,-516334.52314198646,301.66609072668393,1.0279737461720075,106
280000,1219.9999999987983,-516117.1639689817,299.88771427923206,1.024037384848694,106
285000,1239.9999999983254,-515157.9154721126,303.2869560026811,1.027589371108255,106
290000,1259.9999999978525,-515451.26910388493,302.9486705352748,1.026197829721521,106
295000,1279.9999999973795,-516920.0642989683,302.42242862037614,1.0269463409663453,106
300000,1299.9999999969066,-517079.3400539493,300.62517568727463,1.0315301375539445,106
305000,1319.9999999964336,-516919.90344123985,302.2937028363319,1.0270163657861864,106
310000,1339.9999999959607,-516445.0499335786,301.3987784026677,1.0257377086110746,106
315000,1359.9999999954878,-516492.0264830163,298.79481098320247,1.0241679533537043,106
320000,1379.9999999950148,-516848.86067922204,298.8895566197662,1.0234585633256472,106
325000,1399.999999994542,-515431.89758062945,300.44588480003756,1.0246706468827524,106
330000,1419.999999994069,-516303.6852297741,298.9298434221838,1.0233827168263574,106
335000,1439.999999993596,-515225.79288586346,301.9005244699189,1.0231264860651055,106
340000,1459.999999993123,-516228.8130018506,298.399595649098,1.0256041879887783,106
345000,1479.9999999926501,-516896.0496114725,301.5443777230125,1.0316706658593353,106
350000,1499.9999999921772,-516061.3719899787,301.0430899653128,1.024561682162672,106
355000,1519.9999999917043,-517057.7194086204,299.49753988049525,1.0227412030864667,106
360000,1539.9999999912313,-517237.001239693,300.96552023236075,1.0279785183519603,106
365000,1559.9999999907584,-516388.96670169383,299.73361730711673,1.0289934046000724,106
370000,1579.9999999902855,-516974.2871351212,299.9341233973418,1.0256227995918932,106
375000,1599.9999999898125,-516138.80999756604,302.7838772382321,1.0276796720811876,106
380000,1619.9999999893396,-515725.5811885046,300.91007133796643,1.0215553672226192,106
385000,1639.9999999888666,-517406.28253975674,299.7338559004479,1.0295628019215017,106
390000,1659.9999999883937,-516504.8250725807,300.07713171725123,1.0258645251348528,106
395000,1679.9999999879208,-516617.0412959019,301.87020594755916,1.02941940401182,106
