time_ns,protein_bb_rmsd_A,ligand_rmsd_A
0.0,0.007,0.0
0.25,0.9,1.686
0.5,0.981,2.392
0.75,1.133,3.395
1.0,1.267,3.391
1.25,1.347,3.285
1.5,1.559,3.444
1.75,1.583,3.757
2.0,1.625,2.885
2.25,1.784,2.922
2.5,1.79,3.095
2.75,1.754,2.878
3.0,1.948,2.631
3.25,1.905,2.924
3.5,1.952,2.785
3.75,1.856,2.712
4.0,1.918,2.852
4.25,1.806,3.052
4.5,1.919,3.013
4.75,2.034,2.847
5.0,1.989,2.686
5.25,2.162,2.991
5.5,2.309,3.045
5.75,2.203,3.123
6.0,1.947,3.159
6.25,2.048,3.293
6.5,2.129,3.306
6.75,2.096,3.282
7.0,2.083,3.068
7.25,2.307,3.221
7.5,2.049,2.967
7.75,2.134,2.698
8.0,2.147,2.902
8.25,2.296,3.108
8.5,2.112,2.893
8.75,2.22,2.968
9.0,2.212,3.023
9.25,2.09,3.161
9.5,2.072,2.724
9.75,2.093,2.772
10.0,2.208,3.066
10.25,2.16,2.852
10.5,2.214,2.94
10.75,2.073,2.848
11.0,2.165,2.878
11.25,2.095,2.888
11.5,2.123,2.816
11.75,2.234,2.95
12.0,2.135,2.993
12.25,2.198,2.971
12.5,2.245,3.005
12.75,2.293,2.853
13.0,2.1,2.943
13.25,2.203,3.001
13.5,2.18,2.924
13.75,2.132,2.947
14.0,2.219,3.132
14.25,2.272,3.312
14.5,2.032,2.837
14.75,2.276,2.985
15.0,2.122,3.195
15.25,2.066,3.5
15.5,2.303,3.061
15.75,2.414,2.985
16.0,2.255,3.077
16.25,2.17,3.218
16.5,2.232,3.301
16.75,2.275,2.976
17.0,2.248,3.301
17.25,2.031,2.998
17.5,2.205,3.051
17.75,2.263,2.803
18.0,2.227,3.084
18.25,2.355,2.889
18.5,2.212,3.262
18.75,2.204,3.224
19.0,2.247,2.971
19.25,2.195,2.827
19.5,2.111,3.133
19.75,2.367,2.95
20.0,1.946,2.724
20.25,2.056,2.981
20.5,2.13,2.849
20.75,2.272,2.791
21.0,2.218,2.678
21.25,2.066,2.978
21.5,2.257,2.867
21.75,2.119,3.028
22.0,2.044,2.976
22.25,2.005,3.367
22.5,2.056,3.796
22.75,2.126,3.32
23.0,2.201,3.784
23.25,1.991,3.546
23.5,2.321,2.944
23.75,2.562,2.648
24.0,2.405,2.92
24.25,2.657,2.778
24.5,2.386,2.732
24.75,2.238,2.773
25.0,2.307,2.939
25.25,2.308,3.033
25.5,2.096,3.058
25.75,2.055,3.242
26.0,2.075,3.494
26.25,2.178,3.1
26.5,2.292,3.027
26.75,2.231,2.81
27.0,2.291,2.873
27.25,2.163,2.98
27.5,2.117,2.943
27.75,2.25,2.983
28.0,2.139,3.108
28.25,2.246,2.975
28.5,2.186,3.045
28.75,2.255,3.173
29.0,2.304,2.97
29.25,2.233,3.224
29.5,2.313,2.815
29.75,2.117,3.093
30.0,2.243,3.221
30.25,2.278,3.18
30.5,2.2,3.094
30.75,2.04,2.825
31.0,2.292,2.761
31.25,2.205,2.962
31.5,2.075,2.81
31.75,2.125,2.824
32.0,2.239,2.807
32.25,2.116,2.772
32.5,2.088,3.103
32.75,2.221,3.009
33.0,2.173,3.066
33.25,2.109,3.139
33.5,2.273,2.963
33.75,2.064,3.189
34.0,2.227,2.847
34.25,2.287,2.807
34.5,2.089,3.15
34.75,2.094,2.953
35.0,2.252,3.176
35.25,2.311,3.012
35.5,2.054,3.018
35.75,1.999,2.945
36.0,2.105,3.019
36.25,2.101,3.073
36.5,2.094,3.056
36.75,2.125,2.905
37.0,2.231,3.009
37.25,2.233,2.974
37.5,2.221,3.162
37.75,1.947,2.866
38.0,2.367,2.907
38.25,2.187,2.566
38.5,2.308,2.954
38.75,2.239,2.817
39.0,2.008,2.939
39.25,2.229,2.856
39.5,2.137,2.923
39.75,2.128,2.742
40.0,2.307,2.969
40.25,2.219,3.058
40.5,2.079,3.186
40.75,2.158,2.894
41.0,2.112,2.693
41.25,2.281,2.957
41.5,2.273,2.816
41.75,2.216,2.935
42.0,2.153,2.715
42.25,2.326,2.778
42.5,2.124,2.839
42.75,2.201,3.046
43.0,2.132,2.928
43.25,2.109,2.841
43.5,2.149,3.033
43.75,2.084,2.769
44.0,2.087,2.706
44.25,2.139,3.068
44.5,2.23,3.009
44.75,2.102,3.024
45.0,2.259,3.24
45.25,2.255,2.85
45.5,2.237,2.945
45.75,2.209,2.901
46.0,2.32,3.169
46.25,2.26,3.284
46.5,2.101,3.11
46.75,2.318,2.906
47.0,2.322,2.756
47.25,2.211,2.805
47.5,2.173,2.899
47.75,2.176,2.976
48.0,2.146,2.857
48.25,2.156,3.077
48.5,2.126,3.058
48.75,2.302,2.702
49.0,2.081,2.777
49.25,2.178,3.189
49.5,2.213,3.041
49.75,2.235,2.98
