#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,120.00000000005473,-514725.9686961251,301.70850570041415,1.0261534528594662,--
10000,140.00000000003652,-514156.24805998313,301.21780918932734,1.0236895765930842,106
15000,159.9999999999899,-515679.8425602589,299.7207776384604,1.0243981586188504,106
20000,179.9999999999433,-514003.8060459995,303.44561778938584,1.0256371009322895,106
25000,199.9999999998967,-516094.43932646816,300.445175772291,1.0304960605457936,106
30000,219.99999999985008,-513429.26060791896,299.4756319024856,1.0222066067591593,106
35000,239.99999999980346,-515987.15486599924,300.2322306756765,1.027417100954421,106
40000,259.99999999978525,-514722.07153921435,301.4825680177815,1.0282798754547269,105
45000,279.99999999988074,-513258.98256976064,298.62727960292676,1.0218683498672676,105
50000,299.99999999997624,-514204.39043916995,300.291428040096,1.0281342499481898,105
55000,320.00000000007174,-513482.98464329145,300.3622609186382,1.0209980159975938,105
60000,340.00000000016723,-513955.0013384707,298.92026635937174,1.0254651129976302,105
65000,360.00000000026273,-513136.95132820634,299.56707143064654,1.025015746788041,105
70000,380.0000000003582,-514938.99981147377,301.4870478376524,1.0263747281263966,105
75000,400.0000000004537,-512874.11656828946,304.1420030095559,1.0269456294040433,105
80000,420.0000000005492,-513657.136946602,299.1418063366271,1.0251944322468887,105
85000,440.0000000006447,-514743.35630132025,301.93796073099173,1.0259386431290767,105
90000,460.0000000007402,-514360.2688150222,301.4763658293474,1.0251296554097442,105
95000,480.0000000008357,-513710.7940599052,300.83443480173247,1.0228451981153313,105
100000,500.0000000009312,-515439.8864814979,299.3819946105264,1.025736118863153,106
105000,520.0000000010267,-515099.042160267,300.2767762467277,1.0266667486482541,105
110000,540.0000000011222,-514203.0970525616,300.73829008540633,1.0229177640884002,105
115000,560.0000000012177,-514329.84582872596,301.2492025051026,1.029785832277217,105
120000,580.0000000013132,-514750.7116719913,300.5800707793944,1.0262254894238827,105
125000,600.0000000014087,-513680.41272260714,301.82614554728633,1.0209362337827834,106
130000,620.0000000015042,-514885.56999095646,300.8498982949083,1.0303508225365723,106
135000,640.0000000015997,-514166.4800955702,301.0660806955022,1.0275997267184152,106
140000,660.0000000016952,-515070.20366349537,300.3698797318305,1.0284275718794993,106
145000,680.0000000017907,-514491.4325465248,303.04916577289043,1.025724400740794,106
150000,700.0000000018862,-514360.2939869538,301.9963996732356,1.0248906582967126,106
155000,720.0000000019817,-513339.08371308236,299.17849822698525,1.0252436534276512,106
160000,740.0000000020772,-514709.2480815975,298.9151630968515,1.0235998904193546,106
165000,760.0000000021727,-514321.0230512747,303.6035453402012,1.0258590605793556,106
170000,780.0000000022682,-514110.4955420913,301.11799617240865,1.02425450004706,106
175000,800.0000000023637,-514080.4712817746,299.41610168727783,1.02744033835532,106
180000,820.0000000024592,-515377.9788294453,300.6645599660519,1.0327222979416986,106
185000,840.0000000025547,-512414.5670028387,300.5995507190527,1.0230041378056387,106
190000,860.0000000026502,-514570.5626266359,302.73730672927854,1.0251383423166387,106
195000,880.0000000027457,-513723.6605647246,299.92160163094167,1.0271060348326713,106
200000,900.0000000028411,-515091.40637132106,299.2130266963193,1.029865570918158,106
205000,920.0000000029366,-514218.3667164475,298.9168324523243,1.0265934020555514,106
210000,940.0000000030321,-513104.31302659237,299.8741215270498,1.022433517492633,106
215000,960.0000000031276,-514695.7956392844,301.855998387843,1.0263621656242474,106
220000,980.0000000032231,-513524.8696952276,302.25078482436896,1.0276685128187586,106
225000,1000.0000000033186,-514830.57042025286,300.02767061989476,1.0239051478485206,106
230000,1020.0000000034141,-513998.8105250099,300.5313049622057,1.027682075544612,106
235000,1040.0000000030548,-513966.7071500141,300.8384371733287,1.0266183655427006,106
240000,1060.0000000025818,-514370.80044734804,301.17996227420747,1.02456054474166,106
245000,1080.000000002109,-514748.94316187804,298.55551715756604,1.0230465850456187,106
250000,1100.000000001636,-514529.34407879645,301.572736539876,1.0232647402293162,106
255000,1120.000000001163,-514024.9158185751,301.21150137763794,1.0248800374437288,106
260000,1140.00000000069,-514758.5464410761,299.5778497954168,1.025132860360696,106
265000,1160.0000000002171,-514797.2633439619,296.75744238408754,1.023875352145719,106
270000,1179.9999999997442,-514811.23749458254,298.57450627803104,1.0234637860468547,106
275000,1199.9999999992713,-515817.3934787442,302.3511806730173,1.0257798268289933,106
280000,1219.9999999987983,-514599.8617167496,299.2304955516879,1.0279944780716384,106
285000,1239.9999999983254,-514032.9301519843,301.5625735332875,1.026103603133986,106
290000,1259.9999999978525,-514256.7095758936,300.9266997679815,1.0250134788417027,106
295000,1279.9999999973795,-515565.2312176337,300.3893301435665,1.030158975812258,106
300000,1299.9999999969066,-515613.0412974914,300.97316923627795,1.027404675732459,106
305000,1319.9999999964336,-514402.1133156752,299.15005576978797,1.0239671694881318,106
310000,1339.9999999959607,-515224.4615191531,301.3358034256705,1.0273466825482662,106
315000,1359.9999999954878,-513468.7842039715,302.02647683509656,1.0243774395026242,106
320000,1379.9999999950148,-514283.83146207896,301.8841045211122,1.0239655705620907,106
325000,1399.999999994542,-514981.8136268037,302.36547749210433,1.0261072143286303,106
330000,1419.999999994069,-514636.4415919159,300.6492495222221,1.024526961709613,106
335000,1439.999999993596,-514285.38848146866,301.27678759990664,1.0247360332248856,106
340000,1459.999999993123,-515297.39329415397,299.8067730092701,1.0254976133620617,106
345000,1479.9999999926501,-515247.32895284425,298.90148776367954,1.0250311932094502,106
350000,1499.9999999921772,-514314.5727326337,301.81081181067896,1.0219877091319818,106
355000,1519.9999999917043,-515156.8737178021,298.8775150990706,1.026717553634073,106
360000,1539.9999999912313,-515102.1514118593,299.31098587399237,1.0247127421196704,106
365000,1559.9999999907584,-513999.01349674887,300.02466888127014,1.0246905356586458,106
370000,1579.9999999902855,-514397.8590978079,301.9408680471966,1.0183414823242154,106
375000,1599.9999999898125,-514828.7648706313,302.3401510098392,1.0274597028392942,106
380000,1619.9999999893396,-515556.0758428462,301.7212515994772,1.0233523339115884,106
385000,1639.9999999888666,-514361.35612657806,299.04369519692426,1.0308614091821489,106
390000,1659.9999999883937,-514469.03153135674,303.1513746098133,1.0245830671749039,106
395000,1679.9999999879208,-514310.0991389344,301.33248468795404,1.0243934660287424,106
400000,1699.9999999874478,-515437.02067814907,300.5334951256169,1.0237171423567244,106
405000,1719.999999986975,-513421.79989741696,299.8317051787622,1.0236571282786093,106
410000,1739.999999986502,-513798.05126631074,305.2242085603897,1.024521342646725,106
415000,1759.999999986029,-515436.55993986037,301.9684733766243,1.0254942051127953,106
420000,1779.999999985556,-513903.1492767667,301.9082240879457,1.0258136792212926,106
425000,1799.9999999850832,-514724.07902472257,301.33222366937906,1.027928000318036,106
430000,1819.9999999846102,-514470.9769675601,304.46205308882224,1.025330297496053,106
435000,1839.9999999841373,-514735.9977815426,300.72040288128164,1.0307555065794531,106
440000,1859.9999999836643,-513764.9310400102,298.85125919753267,1.023647836720691,106
445000,1879.9999999831914,-513951.89846836217,304.47039402173453,1.0228025657750395,106
450000,1899.9999999827185,-515218.4798213749,301.68122839819006,1.0279814802417546,106
455000,1919.9999999822455,-514105.7042267807,300.231920485183,1.028212050956431,106
460000,1939.9999999817726,-515000.8546143854,299.6847211033624,1.0292489757248382,106
465000,1959.9999999812997,-515242.3379468252,299.5502418070663,1.0288923376107861,106
470000,1979.9999999808267,-513532.8157455693,300.6580440641397,1.0242972124234935,106
475000,1999.9999999803538,-515019.9470035753,300.7731410484495,1.0278477185153974,106
480000,2019.9999999798808,-514935.3281647761,302.0620538242999,1.0268665655715679,106
485000,2039.999999979408,-516473.65203173016,299.6311382929145,1.0254700489733328,106
490000,2059.999999978935,-514983.32529994287,301.759635667534,1.0259748995028015,106
495000,2079.9999999784623,-514170.03306859965,302.5707527988355,1.02877978099877,106
500000,2099.9999999779893,-513842.206202945,297.9706443217734,1.0225585419046488,106
505000,2119.9999999775164,-514506.6632320485,300.25649452476654,1.0288041663811551,106
510000,2139.9999999770434,-513791.9431276943,300.6620885261493,1.0267539070563123,106
515000,2159.9999999765705,-513425.5108553411,301.84367283322587,1.027765015034467,106
520000,2179.9999999760976,-515045.2472035822,301.5377243180284,1.0230663393187471,106
525000,2199.9999999756246,-515081.3459681282,301.6796923278004,1.0279270483602971,106
530000,2219.9999999751517,-514669.0961520262,301.0636933946639,1.0262150017627756,106
535000,2239.9999999746788,-514088.44813738484,298.9128804471844,1.0231004464178843,106
