time_ns,protein_bb_rmsd_A,ligand_rmsd_A
0.0,0.007,0.0
0.25,1.088,2.401
0.5,1.078,2.999
0.75,1.208,2.777
1.0,1.166,2.645
1.25,1.334,2.832
1.5,1.282,2.752
1.75,1.228,2.908
2.0,1.362,2.909
2.25,1.419,2.912
2.5,1.227,2.678
2.75,1.389,2.565
3.0,1.384,2.657
3.25,1.791,2.126
3.5,1.422,2.669
3.75,1.417,2.229
4.0,1.722,2.405
4.25,1.736,2.682
4.5,1.62,2.453
4.75,1.643,2.426
5.0,1.54,2.382
5.25,1.73,2.856
5.5,1.796,2.278
5.75,1.892,4.212
6.0,1.947,7.279
6.25,1.653,4.364
6.5,1.819,4.265
6.75,1.817,3.939
7.0,2.312,4.87
7.25,1.788,5.893
7.5,1.899,5.402
7.75,1.928,5.311
8.0,1.965,4.202
8.25,1.896,3.933
8.5,1.774,3.443
8.75,2.084,4.046
9.0,1.93,4.087
9.25,1.9,4.235
9.5,2.173,7.322
9.75,1.894,6.157
10.0,1.949,6.352
10.25,2.189,6.305
10.5,1.893,6.922
10.75,2.014,6.448
11.0,1.949,6.817
11.25,2.135,7.046
11.5,1.865,6.804
11.75,1.817,5.952
12.0,1.948,6.983
12.25,2.228,6.576
12.5,2.146,5.573
12.75,1.997,5.402
13.0,1.95,6.441
13.25,1.899,6.35
13.5,2.229,5.904
13.75,2.585,5.569
14.0,1.906,5.249
14.25,2.235,6.114
14.5,1.815,6.584
14.75,2.061,6.935
15.0,1.873,5.835
15.25,1.943,6.765
15.5,1.749,5.347
15.75,1.844,6.271
16.0,1.838,6.397
16.25,1.839,6.354
16.5,1.803,6.262
16.75,2.017,5.108
17.0,1.836,5.105
17.25,1.939,5.499
17.5,1.932,4.752
17.75,1.889,4.933
18.0,1.919,5.453
18.25,2.007,5.136
18.5,1.991,6.246
18.75,2.198,5.408
19.0,1.962,5.663
19.25,2.236,5.878
19.5,2.056,5.894
19.75,1.937,6.43
20.0,1.719,6.189
20.25,1.812,5.888
20.5,1.852,6.1
20.75,1.92,6.887
21.0,1.864,6.607
21.25,2.081,5.753
21.5,2.102,4.851
21.75,2.37,4.986
22.0,1.927,5.464
22.25,2.05,6.225
22.5,2.157,5.845
22.75,2.146,6.537
23.0,1.952,7.493
23.25,2.197,6.498
23.5,2.05,6.794
23.75,2.028,5.798
24.0,2.087,6.44
24.25,2.027,7.009
24.5,1.93,6.312
24.75,1.771,7.682
25.0,2.076,6.156
25.25,2.041,6.268
25.5,1.745,6.538
25.75,1.858,7.268
26.0,2.103,8.037
26.25,1.855,9.504
26.5,2.173,7.647
26.75,2.254,7.867
27.0,1.928,7.775
27.25,1.984,7.675
27.5,2.003,6.909
27.75,1.971,7.935
28.0,1.665,7.514
28.25,1.61,7.573
28.5,1.668,7.559
28.75,1.681,7.483
29.0,1.566,7.322
29.25,1.863,7.153
29.5,1.673,7.755
29.75,1.64,8.13
30.0,1.564,7.163
30.25,1.574,7.272
30.5,1.738,8.189
30.75,2.034,8.089
31.0,1.88,7.372
31.25,1.792,7.146
31.5,1.808,7.958
31.75,2.099,7.746
32.0,1.946,7.987
32.25,1.792,7.696
32.5,1.908,8.105
32.75,2.252,7.132
33.0,1.985,6.059
33.25,1.889,6.668
33.5,1.923,6.412
33.75,2.026,6.076
34.0,1.922,6.644
34.25,1.974,6.785
34.5,1.94,7.059
34.75,2.067,6.841
35.0,1.914,7.055
35.25,1.694,7.017
35.5,1.817,6.729
35.75,1.782,6.754
36.0,1.866,6.981
36.25,1.979,6.627
36.5,1.595,6.911
36.75,1.82,7.032
37.0,1.617,6.922
37.25,1.748,7.242
37.5,1.887,7.02
37.75,1.955,7.403
38.0,1.789,7.316
38.25,1.901,7.369
38.5,2.234,7.494
38.75,1.77,7.542
39.0,1.712,7.313
39.25,1.798,6.771
39.5,1.709,7.258
39.75,1.823,7.105
40.0,1.951,7.117
40.25,1.836,6.429
40.5,1.753,7.205
40.75,1.742,7.259
41.0,2.115,6.896
41.25,1.978,7.81
41.5,1.752,8.022
41.75,1.625,7.518
42.0,1.736,6.893
42.25,1.825,6.807
42.5,1.717,6.454
42.75,1.819,6.798
43.0,1.737,6.961
43.25,1.867,7.236
43.5,1.956,7.02
43.75,1.837,6.886
44.0,1.793,7.496
44.25,1.869,6.994
44.5,1.856,6.81
44.75,1.83,7.031
45.0,1.8,6.411
45.25,1.769,6.788
45.5,2.018,6.739
45.75,1.754,7.003
46.0,1.858,6.042
46.25,1.671,7.071
46.5,1.779,6.915
46.75,1.935,7.864
47.0,1.813,6.92
47.25,1.806,6.639
47.5,1.823,6.514
47.75,1.987,6.57
48.0,2.105,6.645
48.25,1.762,6.814
48.5,2.008,6.427
48.75,1.91,6.828
49.0,2.025,6.254
49.25,1.742,6.996
49.5,1.912,6.416
49.75,1.811,6.999
