#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,120.00000000005473,-516093.2124344441,302.6338394000083,1.0282279923211564,--
10000,140.00000000003652,-514924.280392271,301.01769708183934,1.024864015874969,106
15000,159.9999999999899,-516647.4413367817,299.30879345283466,1.0236630956493853,106
20000,179.9999999999433,-515277.66552711837,301.0504388908268,1.0254081391437655,106
25000,199.9999999998967,-515075.30200845003,300.60392525767185,1.024905732202896,106
30000,219.99999999985008,-515394.1453374871,300.9466793796605,1.026605510136644,106
35000,239.99999999980346,-517157.93878381257,299.1054509315497,1.0244208886662194,106
40000,259.99999999978525,-515216.45745669026,301.36054609355557,1.0270438380388764,106
45000,279.99999999988074,-516260.5144708222,301.5334344408094,1.0235569522276888,106
50000,299.99999999997624,-515811.9075365432,300.3262438809862,1.028554564626946,106
55000,320.00000000007174,-515089.85671280674,302.0717638267569,1.0220217720737048,106
60000,340.00000000016723,-516132.1351739147,303.88852746266065,1.0248091141476265,106
65000,360.00000000026273,-515519.45717002545,301.49004412516126,1.0256627707806627,106
70000,380.0000000003582,-515965.123844987,302.43558434465166,1.028050352487707,106
75000,400.0000000004537,-516197.0822237083,300.0668126772499,1.0245225898616466,106
80000,420.0000000005492,-515836.972665563,302.1313641982694,1.026342490278677,106
85000,440.0000000006447,-515636.47211777046,301.70629347185303,1.0256347958577456,106
90000,460.0000000007402,-516459.64485668926,300.89963872838837,1.024361389545584,106
95000,480.0000000008357,-516694.5307392762,300.1153372446861,1.0236249013234053,106
100000,500.0000000009312,-515903.2648827564,299.05646601424843,1.0236641345673057,106
105000,520.0000000010267,-515858.96158777806,303.30899147279877,1.021673292687464,106
110000,540.0000000011222,-516872.4131722823,302.6984305710815,1.0268493424092497,106
115000,560.0000000012177,-516313.5338223316,301.0688402954143,1.0253175143675555,106
120000,580.0000000013132,-516196.7242456749,300.0093488851427,1.0241931889335045,106
125000,600.0000000014087,-516724.60657488625,298.47521884525923,1.0251573588326877,106
130000,620.0000000015042,-516932.67540450883,300.35771650401364,1.024640143869692,105
135000,640.0000000015997,-517127.2932917129,302.6101520702207,1.021631991556285,105
140000,660.0000000016952,-515966.8471221386,301.248692384816,1.0257877305236545,105
145000,680.0000000017907,-516603.7660995163,300.6365131512168,1.0243085318423508,105
150000,700.0000000018862,-515704.23943028855,298.7118072451347,1.0238294098909917,105
155000,720.0000000019817,-515135.78342406335,301.6712279728863,1.0247280451305525,105
160000,740.0000000020772,-516051.60946052265,302.54164912076925,1.0251433963924301,105
165000,760.0000000021727,-517009.68807289144,302.97222578921685,1.025976289854675,105
170000,780.0000000022682,-516955.14036467555,300.2470778510521,1.024496199045849,105
175000,800.0000000023637,-516678.08896502363,301.6874864309239,1.0270332557497663,105
180000,820.0000000024592,-517258.84629199794,302.01104604526313,1.0273617839563587,105
185000,840.0000000025547,-515662.20610049996,301.4531432766116,1.0259664410301104,105
190000,860.0000000026502,-516568.85197250615,300.3500831895118,1.0268626974234278,105
195000,880.0000000027457,-516864.7916398621,299.00075833331084,1.0271583425462254,105
200000,900.0000000028411,-516788.0797941738,298.6736948449115,1.029547239791956,105
205000,920.0000000029366,-515642.2258172862,302.1171173839737,1.0252421418547335,105
210000,940.0000000030321,-516077.97316833725,298.4643951631433,1.026397555770752,105
215000,960.0000000031276,-517109.30467341887,300.9938982468823,1.0291142920502783,105
220000,980.0000000032231,-516708.4012544062,298.3363278750759,1.0308403697599222,105
225000,1000.0000000033186,-517181.98051913874,301.2156229823393,1.0250233573700693,105
230000,1020.0000000034141,-516463.55890537775,300.20913440556944,1.0286014111583728,105
235000,1040.0000000030548,-516006.82683258597,302.8682093440318,1.025812796930921,105
240000,1060.0000000025818,-515180.3228104485,302.4629864604034,1.0265061472693677,105
245000,1080.000000002109,-516477.2455035681,301.12073886030316,1.0269300530658145,105
250000,1100.000000001636,-515088.0766453366,297.7659269619933,1.023774762396346,105
255000,1120.000000001163,-516146.1092005968,304.15189295630114,1.0293333646220335,105
260000,1140.00000000069,-516403.8568457167,302.0820596125497,1.0259457840360553,105
265000,1160.0000000002171,-516944.5827663257,302.238679052542,1.0261414935002107,105
270000,1179.9999999997442,-515959.10953343124,303.97116109541577,1.023024752889164,105
275000,1199.9999999992713,-515444.9384680623,299.3136209086301,1.0233540719214267,105
280000,1219.9999999987983,-516975.16443705675,302.25204386758327,1.0256694271483717,105
285000,1239.9999999983254,-515574.974118134,302.34127456254333,1.0238414221872743,105
290000,1259.9999999978525,-516607.01097755623,299.89907960570514,1.0263012263014137,105
295000,1279.9999999973795,-516406.32491382165,302.8778810244361,1.0243053709802552,105
300000,1299.9999999969066,-516741.74595275545,302.9436560079184,1.0224992856492308,105
305000,1319.9999999964336,-516030.5921644664,300.30277731220366,1.0288343314848025,105
310000,1339.9999999959607,-516641.9038080955,298.53675816423043,1.0273980852657667,105
315000,1359.9999999954878,-518294.50641906215,301.9726171736818,1.0312983911904754,105
320000,1379.9999999950148,-517008.6626998733,303.3914847198619,1.0325103987186768,105
325000,1399.999999994542,-516731.4279513622,299.5982174082305,1.0230642690265908,105
330000,1419.999999994069,-516245.69264306244,302.5573646948875,1.0238765850244336,105
335000,1439.999999993596,-517258.2177016763,300.05487839804516,1.0248742246456064,105
340000,1459.999999993123,-516504.5342298569,300.8621072463081,1.0233332500792367,105
345000,1479.9999999926501,-516601.40575987566,302.27618943183245,1.0291051334858285,105
350000,1499.9999999921772,-517809.89274070505,303.198164238173,1.0285471562737312,105
355000,1519.9999999917043,-516761.56033447804,301.80087014479113,1.0240804198337927,105
360000,1539.9999999912313,-516755.8165054426,301.692223967886,1.0281656649229305,105
365000,1559.9999999907584,-517100.2905420917,301.47181749074053,1.0248852627086598,105
370000,1579.9999999902855,-516543.96625507856,302.67076224748985,1.0266342986438775,105
375000,1599.9999999898125,-516493.99477194785,301.54512249192095,1.027694360147619,105
380000,1619.9999999893396,-515902.245500532,302.3958318882859,1.0253619173597601,105
385000,1639.9999999888666,-516823.14696062123,303.9951669582842,1.0282541167696144,105
390000,1659.9999999883937,-517408.0679525973,301.97335753354264,1.0278147461065965,105
395000,1679.9999999879208,-516327.8880724404,301.82362532689046,1.0283687387454397,105
400000,1699.9999999874478,-515650.20528120804,303.58388207672573,1.0244942841602458,105
405000,1719.999999986975,-516568.34553621314,301.90967768829216,1.022815894308976,105
410000,1739.999999986502,-515844.0364168945,301.78084157547374,1.0251494798830594,105
415000,1759.999999986029,-518087.8048212186,300.82289887822503,1.0307011198481708,105
420000,1779.999999985556,-516460.85813590395,300.8600159635505,1.0218622981067236,105
425000,1799.9999999850832,-517018.13291261764,303.34178611002284,1.0290496288745963,105
430000,1819.9999999846102,-516834.19262712635,303.4127546690888,1.0265203579052165,105
435000,1839.9999999841373,-517382.4452259904,301.52482458626133,1.0261076854917515,105
440000,1859.9999999836643,-516366.24461005,300.5888874027626,1.0273660784878027,105
445000,1879.9999999831914,-516578.0167638883,301.65029243437954,1.0317373347296936,105
450000,1899.9999999827185,-517138.37350754417,299.85777440812836,1.0265701785925205,105
455000,1919.9999999822455,-517003.8521104653,301.7091888581462,1.024488636329385,105
460000,1939.9999999817726,-516301.9515322186,300.207595717433,1.0229001739431498,105
