time_ns,protein_bb_rmsd_A,ligand_rmsd_A
0.0,0.0,0.0
0.25,0.889,2.919
0.5,1.116,3.16
0.75,1.009,2.713
1.0,0.982,2.829
1.25,0.95,2.829
1.5,0.985,2.485
1.75,1.056,2.47
2.0,1.26,2.41
2.25,1.268,2.515
2.5,1.148,2.511
2.75,1.182,2.616
3.0,1.164,2.774
3.25,1.196,2.664
3.5,1.216,3.427
3.75,1.216,3.534
4.0,1.141,3.542
4.25,1.344,3.376
4.5,1.263,2.846
4.75,1.471,3.892
5.0,1.193,3.918
5.25,1.167,3.03
5.5,1.157,2.956
5.75,1.213,3.646
6.0,1.26,3.884
6.25,1.376,4.923
6.5,1.464,4.608
6.75,1.521,3.498
7.0,1.128,3.718
7.25,1.219,4.545
7.5,1.31,6.374
7.75,1.603,5.187
8.0,1.428,5.877
8.25,1.415,4.583
8.5,1.429,3.482
8.75,1.421,4.092
9.0,1.291,3.768
9.25,1.366,4.256
9.5,1.393,4.45
9.75,1.549,3.764
10.0,1.608,2.91
10.25,1.504,3.176
10.5,1.51,4.703
10.75,1.626,4.916
11.0,1.736,6.426
11.25,1.675,3.848
11.5,1.734,3.925
11.75,1.764,4.593
12.0,1.744,3.671
12.25,1.603,4.397
12.5,1.581,4.865
12.75,1.731,4.619
13.0,1.923,4.524
13.25,1.965,5.456
13.5,2.039,5.211
13.75,1.963,4.24
14.0,1.791,4.955
14.25,1.893,5.272
14.5,1.981,5.024
14.75,1.858,4.119
15.0,1.778,4.614
15.25,1.777,4.362
15.5,1.887,4.903
15.75,1.618,4.504
16.0,1.688,4.85
16.25,1.67,4.488
16.5,1.852,4.803
16.75,2.042,4.388
17.0,1.891,4.507
17.25,1.723,4.758
17.5,1.643,4.427
17.75,1.82,4.622
18.0,1.772,4.288
18.25,1.803,4.379
18.5,1.753,4.454
18.75,1.666,4.401
19.0,1.76,4.299
19.25,1.722,5.048
19.5,1.851,5.529
19.75,1.7,4.929
20.0,1.645,4.951
20.25,1.793,4.22
20.5,1.761,4.86
20.75,1.86,4.511
21.0,1.798,4.424
21.25,1.87,4.549
21.5,1.787,4.547
21.75,1.82,4.673
22.0,1.733,4.596
22.25,1.757,4.791
22.5,1.829,4.586
22.75,1.786,4.956
23.0,1.826,4.669
23.25,1.91,4.637
23.5,1.837,5.224
23.75,1.859,4.456
24.0,1.904,4.434
24.25,1.711,5.209
24.5,1.856,5.009
24.75,1.969,4.509
25.0,1.766,5.117
25.25,1.921,4.822
25.5,2.079,4.577
25.75,1.85,4.545
26.0,1.649,5.808
26.25,1.909,4.303
26.5,1.839,4.559
26.75,1.856,4.667
27.0,1.735,4.145
27.25,1.607,4.202
27.5,1.645,4.614
27.75,1.684,4.107
28.0,1.652,5.477
28.25,1.749,5.252
28.5,1.695,3.902
28.75,1.965,3.296
29.0,1.816,4.047
29.25,1.77,3.305
29.5,1.73,3.883
29.75,1.805,3.982
30.0,1.81,3.64
30.25,1.802,3.637
30.5,1.739,4.001
30.75,1.733,3.433
31.0,1.671,3.772
31.25,1.823,3.153
31.5,1.797,3.069
31.75,1.892,3.213
32.0,1.878,2.552
32.25,1.849,3.26
32.5,1.928,2.812
32.75,1.835,2.514
33.0,1.848,2.558
33.25,1.796,2.1
33.5,1.767,2.302
33.75,1.984,2.518
34.0,1.8,2.854
34.25,1.758,2.474
34.5,1.891,2.324
34.75,1.896,4.241
35.0,1.872,4.092
35.25,1.833,4.338
35.5,1.756,4.049
35.75,1.718,4.152
36.0,1.876,2.421
36.25,1.655,3.897
36.5,1.644,2.554
36.75,1.723,2.886
37.0,1.845,2.796
37.25,1.769,2.848
37.5,1.84,3.012
37.75,1.77,2.87
38.0,1.71,2.966
38.25,1.638,2.257
38.5,1.791,2.363
38.75,1.795,2.599
39.0,1.74,2.793
39.25,1.7,2.681
39.5,1.829,2.453
39.75,1.646,2.709
40.0,1.709,2.665
40.25,1.788,2.766
40.5,1.84,2.644
40.75,1.683,2.481
41.0,1.756,2.537
41.25,1.694,2.646
41.5,1.79,2.393
41.75,1.824,2.189
42.0,1.713,2.352
42.25,1.838,2.706
42.5,1.747,2.535
42.75,1.727,2.885
43.0,1.751,2.414
43.25,1.765,2.69
43.5,1.751,2.488
43.75,1.697,2.587
44.0,1.785,3.41
44.25,1.749,2.885
44.5,1.711,3.33
44.75,1.734,2.969
45.0,1.958,2.755
45.25,1.758,2.658
45.5,2.005,2.946
45.75,1.701,2.462
46.0,1.887,2.917
46.25,1.788,2.82
46.5,1.81,3.385
46.75,1.794,4.112
47.0,1.848,4.454
47.25,1.648,3.815
47.5,1.756,3.654
47.75,1.825,3.57
48.0,1.629,2.881
48.25,1.716,2.977
48.5,1.687,2.807
48.75,1.766,3.017
49.0,1.827,3.137
49.25,1.663,2.729
49.5,1.76,3.209
49.75,1.836,3.353
