#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,120.00000000005473,-515886.4838792656,301.19974616692974,1.0242070188157635,--
10000,140.00000000003652,-515828.37031349377,300.1109304361168,1.0231685069441665,107
15000,159.9999999999899,-516432.6878543522,301.383912931043,1.0291305431995414,107
20000,179.9999999999433,-516203.6609540954,301.87652515110767,1.0261663422742073,106
25000,199.9999999998967,-516477.1071832436,304.52544848420257,1.0228406929182774,106
30000,219.99999999985008,-515674.9732367445,300.89779332468936,1.0257407276829242,106
35000,239.99999999980346,-517440.6426317983,301.43871949513675,1.0218333295930146,105
40000,259.99999999978525,-516307.09059998556,300.0616056198982,1.0238434509672816,105
45000,279.99999999988074,-516883.35852726875,301.23921271440224,1.0266283895554031,105
50000,299.99999999997624,-517096.4457476684,302.2092963442823,1.028017430098684,105
55000,320.00000000007174,-516898.2902240155,299.8544215336182,1.029240620553995,105
60000,340.00000000016723,-517549.0170876032,301.79876428414553,1.0269070014419293,105
65000,360.00000000026273,-515753.4868010783,299.80319758347525,1.0250779702297304,105
70000,380.0000000003582,-516937.64374830946,301.2204296910044,1.0226964558933755,105
75000,400.0000000004537,-514234.442307184,297.61016196217366,1.024165043934023,105
80000,420.0000000005492,-515736.71289429534,300.4563866182998,1.0239579658760285,105
85000,440.0000000006447,-516597.7178300868,303.37336393092806,1.026624928581026,105
90000,460.0000000007402,-516668.61731875315,302.2595986207667,1.0244672582718115,105
95000,480.0000000008357,-516900.71979000047,300.21837391767315,1.0261085706653748,105
100000,500.0000000009312,-516222.9747475716,304.7898948761109,1.0235404920669653,105
105000,520.0000000010267,-516688.9167575049,300.96798321007714,1.026352623670434,105
110000,540.0000000011222,-517002.5716911913,300.2913342292938,1.0273583789703788,105
115000,560.0000000012177,-517247.62960679084,298.63287591698514,1.0234147887789777,105
120000,580.0000000013132,-516370.8269200502,300.630518234129,1.0236722880493818,105
125000,600.0000000014087,-517513.6107594555,299.87516558152885,1.024886336341066,105
130000,620.0000000015042,-517364.5376768613,299.5059979423187,1.0221331535535685,105
135000,640.0000000015997,-515488.3330376402,302.8432645979513,1.023914552777642,105
140000,660.0000000016952,-516296.55776194134,301.34428942652374,1.0282632715675082,105
145000,680.0000000017907,-517030.9145541531,298.7174121677802,1.024757878738664,105
