time_ns,protein_bb_rmsd_A,ligand_rmsd_A
0.0,0.0,0.0
0.25,1.043,2.757
0.5,0.997,4.377
0.75,1.039,3.366
1.0,1.051,2.496
1.25,1.23,3.052
1.5,1.21,5.07
1.75,1.228,4.501
2.0,1.311,4.048
2.25,1.268,4.415
2.5,1.231,4.325
2.75,1.351,4.324
3.0,1.188,3.84
3.25,1.412,4.198
3.5,1.478,4.157
3.75,1.353,3.917
4.0,1.452,3.821
4.25,1.32,4.304
4.5,1.469,3.986
4.75,1.352,3.93
5.0,1.303,4.317
5.25,1.374,3.448
5.5,1.589,4.066
5.75,1.363,4.378
6.0,1.599,4.233
6.25,1.371,4.475
6.5,1.265,4.12
6.75,1.269,4.002
7.0,1.301,4.478
7.25,1.485,3.503
7.5,1.387,3.89
7.75,1.356,4.127
8.0,1.641,3.378
8.25,1.376,4.23
8.5,1.301,4.42
8.75,1.264,3.44
9.0,1.222,4.243
9.25,1.246,4.55
9.5,1.13,3.892
9.75,1.229,4.137
10.0,1.223,3.91
10.25,1.205,3.73
10.5,1.35,3.504
10.75,1.326,3.92
11.0,1.357,4.467
11.25,1.328,3.3
11.5,1.474,4.299
11.75,1.41,4.847
12.0,1.353,4.375
12.25,1.491,3.278
12.5,1.45,3.583
12.75,1.52,3.85
13.0,1.605,4.293
13.25,1.434,3.932
13.5,1.317,4.68
13.75,1.442,4.592
14.0,1.363,3.825
14.25,1.398,4.33
14.5,1.385,3.913
14.75,1.446,3.225
15.0,1.599,3.411
15.25,1.498,4.63
15.5,1.473,5.0
15.75,1.566,4.601
16.0,1.41,3.794
16.25,1.543,3.662
16.5,1.516,3.951
16.75,1.542,3.674
17.0,1.666,3.765
17.25,1.769,3.942
17.5,1.602,3.764
17.75,1.598,3.848
18.0,1.62,4.368
18.25,1.596,3.681
18.5,1.739,4.047
18.75,1.646,3.457
19.0,1.573,3.343
19.25,1.513,3.551
19.5,1.511,3.418
19.75,1.459,3.624
20.0,1.594,3.625
20.25,1.438,3.872
20.5,1.635,3.816
20.75,1.602,3.228
21.0,1.858,3.408
21.25,1.608,3.243
21.5,1.654,3.465
21.75,1.748,3.612
22.0,1.697,3.712
22.25,1.746,4.697
22.5,1.83,3.661
22.75,1.888,4.015
23.0,1.786,3.67
23.25,2.099,3.521
23.5,2.234,3.857
23.75,2.101,4.022
24.0,2.107,3.912
24.25,1.904,4.238
24.5,2.061,4.018
24.75,1.975,3.416
25.0,1.686,3.825
25.25,1.399,4.553
25.5,1.713,3.822
25.75,1.654,3.837
26.0,1.685,3.848
26.25,1.645,3.81
26.5,1.818,4.014
26.75,1.591,3.936
27.0,1.837,2.874
27.25,1.705,3.63
27.5,1.843,3.701
27.75,1.689,3.749
28.0,1.653,4.278
28.25,1.918,4.283
28.5,1.61,3.458
28.75,1.589,4.277
29.0,1.793,4.246
29.25,1.694,4.181
29.5,1.736,4.154
29.75,1.539,3.998
30.0,1.552,3.979
30.25,1.55,3.982
30.5,1.606,4.202
30.75,1.775,3.893
31.0,1.741,4.842
31.25,1.66,3.357
31.5,1.568,4.214
31.75,1.686,4.013
32.0,1.687,4.25
32.25,1.727,3.266
32.5,1.573,3.731
32.75,1.822,4.901
33.0,1.739,3.866
33.25,1.79,4.683
33.5,1.754,4.555
33.75,1.91,4.164
34.0,1.647,3.442
34.25,1.763,3.857
34.5,1.694,3.429
34.75,1.797,2.818
35.0,1.851,3.867
35.25,1.735,3.193
35.5,1.847,3.692
35.75,1.764,4.085
36.0,1.725,3.836
36.25,1.921,4.008
36.5,1.845,3.384
36.75,1.923,4.216
37.0,1.867,3.651
37.25,1.789,3.563
37.5,1.586,3.849
37.75,1.791,3.02
38.0,1.662,4.0
38.25,1.747,3.587
38.5,1.913,3.915
38.75,1.949,3.62
39.0,1.949,2.136
39.25,1.901,3.319
39.5,1.705,2.556
39.75,1.948,1.995
40.0,1.659,2.849
40.25,1.815,2.086
40.5,1.757,2.959
40.75,2.022,2.669
41.0,1.877,2.76
41.25,1.876,2.397
41.5,1.614,2.32
41.75,1.865,2.928
42.0,1.726,2.266
42.25,1.611,3.481
42.5,1.74,3.071
42.75,1.73,3.405
43.0,1.663,3.129
43.25,1.689,3.571
43.5,1.671,1.938
43.75,1.514,3.754
44.0,1.721,4.211
44.25,1.809,4.63
44.5,1.54,4.611
44.75,1.643,3.718
45.0,1.888,2.914
45.25,1.905,3.556
45.5,1.65,3.621
45.75,1.885,2.926
46.0,2.005,2.441
46.25,1.75,2.94
46.5,1.745,2.829
46.75,1.976,2.991
47.0,1.782,2.864
47.25,1.63,2.666
47.5,1.712,2.648
47.75,1.713,2.994
48.0,1.705,2.918
48.25,1.703,2.8
48.5,1.631,3.239
48.75,1.746,2.918
49.0,1.921,2.813
49.25,1.696,2.944
49.5,1.877,2.369
49.75,1.825,2.119
