#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,120.00000000005473,-515352.3991500328,298.43625519795273,1.0254257249122851,--
10000,140.00000000003652,-517302.15818712884,304.48329348097803,1.0267863691086943,107
15000,159.9999999999899,-516702.2553031277,304.3118484110763,1.029486344451963,107
20000,179.9999999999433,-517156.9409714595,301.2358109823699,1.0267591819740467,106
25000,199.9999999998967,-515219.52736765356,303.3954443536366,1.021178663011603,106
30000,219.99999999985008,-518536.6088665968,297.46412349698585,1.0300508020648327,105
35000,239.99999999980346,-516715.5344422227,301.6933612580096,1.0232168080475221,105
40000,259.99999999978525,-518401.79378861,303.4898765628942,1.0279094379340845,105
45000,279.99999999988074,-516860.29183874023,301.9111763901728,1.0267916050975254,105
50000,299.99999999997624,-516747.50107485056,301.0234160558415,1.0222118675775813,105
55000,320.00000000007174,-516780.3965456344,301.69151887273824,1.0308695709853049,105
60000,340.00000000016723,-516319.83674295247,303.8745378927339,1.0271046100938217,105
65000,360.00000000026273,-516824.2574796111,298.66824518471344,1.0286812959363412,105
70000,380.0000000003582,-516591.35569237126,301.3106461936902,1.029504720407204,105
75000,400.0000000004537,-516245.62064597616,301.6049794281054,1.0260564003041681,105
80000,420.0000000005492,-515875.15787845664,302.86165228468343,1.0229296291656336,105
85000,440.0000000006447,-517013.5933781599,301.9426893228806,1.0235854874118664,105
90000,460.0000000007402,-515448.0559804817,299.09325380140035,1.018132660997502,105
95000,480.0000000008357,-516803.71739743813,300.7490508431507,1.0229524988772785,105
100000,500.0000000009312,-517092.66091895313,299.9120143261391,1.0244185173794342,105
105000,520.0000000010267,-516534.0231283824,300.8587428703909,1.0236556330869429,105
110000,540.0000000011222,-517667.2171619686,299.4065555394436,1.0232926151634882,105
115000,560.0000000012177,-516504.19773192867,301.02226263283853,1.025005600951122,105
120000,580.0000000013132,-517395.4893461836,301.98552780853817,1.02493716194458,105
125000,600.0000000014087,-517222.4954587957,300.87742539023117,1.0290203761671097,105
130000,620.0000000015042,-517537.44028671714,301.2560253024867,1.026112729890945,105
135000,640.0000000015997,-516436.24752811645,300.43768172219217,1.0228821638470678,105
140000,660.0000000016952,-516447.81088705664,301.1986700871064,1.0239206788301536,105
145000,680.0000000017907,-517434.4011024663,299.4290921328767,1.026017123035492,105
150000,700.0000000018862,-516140.6155960632,301.937111810449,1.0272364167256032,105
155000,720.0000000019817,-517507.2061950085,300.3321576309889,1.0279141296038068,105
160000,740.0000000020772,-517645.87665240327,299.82639817377736,1.0278902984172735,105
165000,760.0000000021727,-517270.5995191701,301.25477782377067,1.0238320678890365,105
170000,780.0000000022682,-518060.63907781313,300.55418454141903,1.0267930161607326,105
175000,800.0000000023637,-516946.73003864987,301.0636227301259,1.0268386928104964,105
180000,820.0000000024592,-516353.91962512815,295.9162126840862,1.0237109468016001,105
185000,840.0000000025547,-516461.78296578093,301.4317721882761,1.0272595621766378,105
190000,860.0000000026502,-516855.07780175563,301.1078503370079,1.0221339660122055,105
195000,880.0000000027457,-517259.7278382352,300.7194660759826,1.0263354363413653,105
200000,900.0000000028411,-516506.2036175269,298.16115626175355,1.02438562154113,105
205000,920.0000000029366,-516110.7817752699,294.974542373905,1.0224937771624736,105
210000,940.0000000030321,-518049.7925862188,299.931234592787,1.0288741477484618,105
215000,960.0000000031276,-517207.8764875757,301.10124852780865,1.0273452901408402,105
220000,980.0000000032231,-517527.39034499717,298.2724188079556,1.0296340202207526,105
225000,1000.0000000033186,-517233.8729519255,303.0345280649355,1.0265401360470177,105
230000,1020.0000000034141,-515841.16804983676,299.1854072992194,1.0236871123457127,105
235000,1040.0000000030548,-516625.2842579654,301.04233464966154,1.0238326945847243,105
240000,1060.0000000025818,-517409.2737231245,301.28395645599034,1.024005407455706,105
245000,1080.000000002109,-516586.91673207027,300.98805042659956,1.0286538368774936,105
250000,1100.000000001636,-517666.3323162971,302.380026800423,1.0251239323054453,105
255000,1120.000000001163,-516518.40906823566,301.9649789854584,1.0284335290597464,105
260000,1140.00000000069,-517042.5535366768,302.47363786902326,1.0258262203755244,105
265000,1160.0000000002171,-515754.60133878654,301.671883121272,1.026396125055068,105
