time_ns,protein_bb_rmsd_A,ligand_rmsd_A
0.0,0.0,0.0
0.25,1.069,2.459
0.5,1.154,1.337
0.75,1.253,1.304
1.0,1.42,1.905
1.25,1.396,2.187
1.5,1.558,1.709
1.75,1.45,2.5
2.0,1.547,2.005
2.25,1.317,1.732
2.5,1.697,1.95
2.75,1.555,2.119
3.0,1.521,1.635
3.25,1.513,1.926
3.5,1.554,2.119
3.75,1.738,2.168
4.0,1.45,1.946
4.25,1.5,1.64
4.5,1.396,2.12
4.75,1.732,1.808
5.0,1.747,1.65
5.25,1.408,1.665
5.5,1.465,1.906
5.75,1.518,1.808
6.0,1.618,2.201
6.25,1.593,2.456
6.5,1.784,2.641
6.75,1.661,2.259
7.0,1.428,1.968
7.25,1.571,1.998
7.5,1.449,2.086
7.75,1.441,2.149
8.0,1.419,2.213
8.25,1.487,2.232
8.5,1.457,2.006
8.75,1.437,2.02
9.0,1.517,2.138
9.25,1.665,2.015
9.5,1.422,2.019
9.75,1.694,2.114
10.0,1.651,1.461
10.25,1.773,1.711
10.5,1.597,1.752
10.75,1.705,1.999
11.0,1.815,1.599
11.25,1.731,0.98
11.5,1.808,1.285
11.75,1.945,1.779
12.0,1.89,1.812
12.25,1.885,2.524
12.5,1.944,2.346
12.75,1.855,1.856
13.0,1.899,2.071
13.25,1.916,1.752
13.5,1.766,1.721
13.75,1.888,1.533
14.0,1.759,1.44
14.25,1.87,1.692
14.5,1.853,2.051
14.75,1.933,1.848
15.0,1.707,1.984
15.25,1.872,2.371
15.5,1.81,1.928
15.75,1.731,2.333
16.0,2.004,2.155
16.25,1.829,2.345
16.5,2.153,3.803
16.75,2.028,1.971
17.0,1.893,2.117
17.25,2.033,1.803
17.5,1.919,2.341
17.75,1.815,2.267
18.0,1.84,2.361
18.25,1.669,2.552
18.5,2.075,3.002
18.75,1.876,2.208
19.0,1.779,2.048
19.25,1.924,2.068
19.5,1.839,1.874
19.75,1.728,2.125
20.0,2.043,1.644
20.25,1.942,2.175
20.5,2.024,2.711
20.75,1.851,1.941
21.0,1.994,2.55
21.25,2.032,2.671
21.5,2.002,1.786
21.75,2.023,2.012
22.0,1.724,2.717
22.25,1.939,2.359
22.5,1.926,1.922
22.75,1.762,2.245
23.0,1.795,2.23
23.25,1.799,2.05
23.5,1.699,1.935
23.75,1.76,1.878
24.0,1.792,1.661
24.25,1.779,1.776
24.5,1.771,1.475
24.75,1.977,1.76
25.0,1.804,1.94
25.25,1.883,2.329
25.5,1.801,2.127
25.75,1.726,2.075
26.0,1.837,1.859
26.25,1.81,2.013
26.5,1.926,2.0
26.75,1.759,1.97
27.0,2.005,2.133
27.25,1.779,2.166
27.5,1.899,2.112
27.75,1.986,2.322
28.0,1.912,2.148
28.25,1.873,2.075
28.5,1.757,2.333
28.75,1.804,2.284
29.0,1.822,2.306
29.25,1.642,2.149
29.5,1.713,2.303
29.75,1.758,2.092
30.0,1.737,2.407
30.25,1.714,2.427
30.5,1.749,1.827
30.75,1.702,1.65
31.0,1.823,1.685
31.25,1.784,2.028
31.5,1.728,1.73
31.75,1.812,2.051
32.0,1.838,2.671
32.25,1.773,1.963
32.5,1.929,2.071
32.75,1.951,2.616
33.0,1.864,2.13
33.25,1.846,2.171
33.5,1.774,2.075
33.75,1.734,1.993
34.0,1.953,2.251
34.25,1.757,1.792
34.5,1.807,1.983
34.75,1.891,2.099
35.0,1.874,2.09
35.25,1.678,2.251
35.5,1.835,1.683
35.75,1.852,2.446
36.0,1.834,1.97
36.25,2.001,2.477
36.5,1.847,2.212
36.75,1.632,2.528
37.0,1.707,2.741
37.25,1.697,2.566
37.5,1.951,3.525
37.75,1.693,2.302
38.0,1.862,2.157
38.25,1.942,2.306
38.5,1.814,2.653
38.75,1.984,2.445
39.0,1.856,2.328
39.25,1.807,2.026
39.5,1.81,1.975
39.75,1.734,2.125
40.0,1.831,1.963
40.25,1.793,2.169
40.5,1.899,2.256
40.75,1.794,2.003
41.0,1.786,2.279
41.25,1.723,2.069
41.5,1.955,2.01
41.75,1.804,2.405
42.0,1.829,2.007
42.25,1.906,2.88
42.5,1.846,2.382
42.75,1.914,2.66
43.0,1.82,3.182
43.25,1.848,3.253
43.5,1.821,2.948
43.75,1.886,3.038
44.0,1.821,2.551
44.25,1.959,2.769
44.5,1.844,2.323
44.75,1.83,2.286
45.0,1.728,2.725
45.25,1.816,2.551
45.5,1.817,2.331
45.75,1.583,2.136
46.0,1.988,2.294
46.25,2.085,2.488
46.5,1.886,2.27
46.75,1.95,2.079
47.0,2.071,2.436
47.25,1.975,2.15
47.5,2.09,2.741
47.75,1.921,2.202
48.0,1.939,2.178
48.25,1.83,1.988
48.5,1.871,1.862
48.75,2.115,2.312
49.0,1.917,1.876
49.25,2.186,1.955
49.5,1.941,2.032
49.75,1.945,2.066
