#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,120.00000000005473,-525212.7379570762,300.51435280859846,1.02415577128636,--
10000,140.00000000003652,-524293.8075058376,301.5774898797584,1.0240863047044353,103
15000,159.9999999999899,-525174.2239328506,303.6421445307505,1.0231720417598902,102
20000,179.9999999999433,-523748.482761391,299.31444074993124,1.0270802491339666,102
25000,199.9999999998967,-523768.1598867825,302.274714519749,1.0225062177257191,102
30000,219.99999999985008,-523255.66915070964,302.2982440335676,1.0209055349189526,102
35000,239.99999999980346,-524604.3184198807,300.3887634542046,1.0258314320087694,101
40000,259.99999999978525,-525510.8916643253,301.7665858310732,1.0242794030405817,101
45000,279.99999999988074,-525552.0201176289,299.5314630495316,1.0230009149641222,101
50000,299.99999999997624,-524693.2920963638,300.58404267743856,1.0276823121360752,101
55000,320.00000000007174,-525108.2748068888,299.5736941487174,1.0204119238833893,101
60000,340.00000000016723,-524584.8984251102,301.41232104383,1.0241576214925208,101
65000,360.00000000026273,-525346.9658755637,300.9634258602376,1.027107789992107,101
70000,380.0000000003582,-524782.944840563,300.0921667079857,1.0250695328268182,101
75000,400.0000000004537,-525461.15409907,299.9110401969694,1.0244281458899895,101
80000,420.0000000005492,-522895.6732503404,301.0257351738168,1.022126159391758,101
85000,440.0000000006447,-524282.18363037705,304.11315437052104,1.026522985949794,101
90000,460.0000000007402,-523712.01250908244,301.2370825102967,1.0250490655821365,102
95000,480.0000000008357,-524987.8986775135,301.3481830697268,1.0265387948911944,102
100000,500.0000000009312,-524193.6122925612,303.22453110432025,1.0215892485569493,102
105000,520.0000000010267,-524243.9846256403,302.1645932313301,1.0261466306598015,102
110000,540.0000000011222,-524863.6484572804,301.5671500602881,1.0297494355966117,102
115000,560.0000000012177,-524713.6542343134,302.0722428884727,1.0251474350185596,102
120000,580.0000000013132,-523242.7230778085,302.5907958010141,1.022382394466648,102
125000,600.0000000014087,-526119.294615631,301.1733362479335,1.0263217700713516,102
130000,620.0000000015042,-523790.2961385222,299.76551044008255,1.0280945063431666,102
135000,640.0000000015997,-523363.0426930245,301.9479775369112,1.0245515057788859,102
140000,660.0000000016952,-524471.4841178167,299.46921785161834,1.027286681373544,102
145000,680.0000000017907,-524789.2582125035,300.0954955812458,1.023631134693872,102
150000,700.0000000018862,-524994.9746171618,299.8076916981429,1.0269159682652327,102
155000,720.0000000019817,-523823.6484592762,303.5790744959554,1.022757359572017,102
160000,740.0000000020772,-524329.5210995278,298.9286205602646,1.0231990726166675,102
165000,760.0000000021727,-524861.4335811422,299.13672170722157,1.0274220581062772,102
170000,780.0000000022682,-524542.9146307469,300.1709764368835,1.0282039314099058,102
175000,800.0000000023637,-524709.434232322,301.7658288196352,1.0257315707204548,102
180000,820.0000000024592,-523606.04902626853,302.42279638913544,1.0260352026139596,102
185000,840.0000000025547,-524724.0411134069,299.8221596046503,1.0264497025961823,102
190000,860.0000000026502,-524348.7570360298,303.30830565971866,1.0219554319011666,102
195000,880.0000000027457,-524011.0607390632,301.52366712967677,1.0262586373479528,102
200000,900.0000000028411,-523464.11903862376,300.2855557111544,1.027132348197696,102
205000,920.0000000029366,-526509.1887897127,298.9855470122932,1.0300651033181145,102
210000,940.0000000030321,-526031.5419267612,301.8599041993457,1.0252621027735327,102
215000,960.0000000031276,-525166.6520194369,302.2555031761146,1.0254460743107965,102
220000,980.0000000032231,-524526.6114724893,297.2114234627351,1.025073567288667,102
225000,1000.0000000033186,-524742.4854706675,303.7353702719732,1.0243976150533127,102
230000,1020.0000000034141,-524856.5962712746,299.69916811758713,1.0259359545779663,102
235000,1040.0000000030548,-523939.23977924744,299.8423810878733,1.026212751080073,102
240000,1060.0000000025818,-525378.9919521557,302.3311863391515,1.0219432838284639,102
245000,1080.000000002109,-525150.1485020281,301.84409173948507,1.028906770458273,102
250000,1100.000000001636,-523063.5135279759,300.94839193311554,1.026778726517379,102
255000,1120.000000001163,-525726.8644952746,300.22370624825624,1.0249932786845353,102
260000,1140.00000000069,-525159.5658571585,299.32251020058055,1.0257583768748206,102
265000,1160.0000000002171,-523690.3005256979,302.1333667824087,1.0250658533777162,102
270000,1179.9999999997442,-524239.2579053701,301.7296323424936,1.0263174716292223,102
275000,1199.9999999992713,-524105.90912884613,301.66080603452986,1.0229701526004513,102
280000,1219.9999999987983,-524890.2293273085,300.5264557003628,1.0228248996730245,102
285000,1239.9999999983254,-523864.59440155746,302.068685016848,1.0197869660434982,102
290000,1259.9999999978525,-524608.7346186507,301.6074675660681,1.024297856715691,102
295000,1279.9999999973795,-524266.0407216111,301.66672510321627,1.026378311370376,102
300000,1299.9999999969066,-525389.6439451296,301.7774423632552,1.0270032029125271,102
305000,1319.9999999964336,-524163.68073280994,300.1950360067829,1.0245042874774277,102
310000,1339.9999999959607,-524812.0435646004,299.75213009485265,1.0224119438817616,102
315000,1359.9999999954878,-525229.3920702781,302.31437991927254,1.0252902959354266,102
320000,1379.9999999950148,-524417.8143468942,297.61842374961566,1.0252735143969711,102
325000,1399.999999994542,-524934.5577084539,301.5171831925769,1.0270336966464928,102
330000,1419.999999994069,-523780.8269008519,299.07700353566077,1.026188676551621,102
335000,1439.999999993596,-525345.5690615685,302.56010609761626,1.024790135111666,102
340000,1459.999999993123,-524705.6291810395,302.9064549112914,1.0236538648170772,102
345000,1479.9999999926501,-525564.4521049955,302.6702093651005,1.027119286899792,102
350000,1499.9999999921772,-525499.2966725202,299.5142886771692,1.0250274280379859,102
355000,1519.9999999917043,-525706.2301525357,301.207929155634,1.0293443321633937,102
360000,1539.9999999912313,-525582.4091827441,301.47154402678666,1.0268779967514718,102
365000,1559.9999999907584,-523828.7041922058,302.1533277996222,1.0222003217950129,102
370000,1579.9999999902855,-524847.9587191148,299.6736430011402,1.0249018606713876,102
375000,1599.9999999898125,-524386.6837111441,299.1608371978439,1.0259905792807313,102
380000,1619.9999999893396,-525346.2996649006,301.9904144740487,1.032512653867238,102
385000,1639.9999999888666,-523673.7423124048,299.8947713345649,1.0284384051951552,102
390000,1659.9999999883937,-524276.6153283771,302.35539139703303,1.023777075697046,102
395000,1679.9999999879208,-524693.1537049841,298.59633592937604,1.0279225774776979,102
400000,1699.9999999874478,-524947.492356759,299.81573912260916,1.028146701921432,102
405000,1719.999999986975,-525053.9961011922,304.3910376609471,1.0285261910071268,102
410000,1739.999999986502,-524804.2250431324,301.1964422793907,1.027557563669905,102
