time_ns,protein_bb_rmsd_A,ligand_rmsd_A
0.0,0.0,0.0
0.25,0.994,1.86
0.5,1.052,1.661
0.75,1.117,1.438
1.0,1.22,1.626
1.25,1.199,1.249
1.5,1.191,1.817
1.75,1.102,2.033
2.0,1.403,2.771
2.25,1.369,2.724
2.5,1.488,2.391
2.75,1.81,3.355
3.0,1.75,2.89
3.25,1.849,3.6
3.5,1.793,3.363
3.75,1.845,3.197
4.0,1.888,3.814
4.25,1.871,3.746
4.5,1.726,3.4
4.75,1.955,3.952
5.0,1.671,4.161
5.25,1.826,3.764
5.5,1.673,4.118
5.75,1.716,4.485
6.0,1.952,4.56
6.25,1.941,3.736
6.5,1.891,4.151
6.75,1.799,3.66
7.0,1.852,4.09
7.25,2.02,4.78
7.5,1.916,3.306
7.75,1.911,3.298
8.0,1.999,3.444
8.25,1.849,3.654
8.5,1.94,4.114
8.75,1.994,4.319
9.0,1.836,4.125
9.25,2.14,3.924
9.5,1.924,4.93
9.75,2.113,4.639
10.0,1.878,4.04
10.25,1.87,3.732
10.5,1.984,4.445
10.75,2.059,4.357
11.0,2.086,4.332
11.25,2.279,4.204
11.5,2.067,4.08
11.75,1.895,3.947
12.0,1.939,4.479
12.25,2.051,4.147
12.5,2.122,4.093
12.75,1.954,4.269
13.0,1.929,4.115
13.25,2.318,4.233
13.5,2.04,3.98
13.75,2.153,4.327
14.0,2.171,4.297
14.25,2.137,4.041
14.5,2.102,3.94
14.75,2.316,4.284
15.0,2.276,4.031
15.25,2.254,3.869
15.5,2.366,4.086
15.75,2.01,4.239
16.0,2.461,4.008
16.25,2.236,4.554
16.5,2.256,4.29
16.75,2.276,4.295
17.0,2.161,4.4
17.25,2.152,4.102
17.5,2.212,4.232
17.75,2.155,4.379
18.0,2.073,4.321
18.25,2.314,4.109
18.5,2.145,4.343
18.75,2.021,4.632
19.0,2.081,4.63
19.25,2.205,4.229
19.5,2.387,4.349
19.75,2.136,4.412
20.0,1.96,4.711
20.25,2.147,4.441
20.5,2.036,4.421
20.75,1.978,4.305
21.0,2.127,4.336
21.25,2.029,4.243
21.5,1.976,4.266
21.75,2.019,4.195
22.0,1.948,4.405
22.25,2.108,4.329
22.5,1.945,4.823
22.75,2.145,4.301
23.0,1.843,4.379
23.25,1.74,4.162
23.5,1.974,4.255
23.75,1.802,5.009
24.0,2.026,4.054
24.25,2.027,4.568
24.5,2.203,4.899
24.75,2.217,4.824
25.0,2.072,4.718
25.25,2.167,4.456
25.5,2.076,4.889
25.75,2.167,4.766
26.0,2.098,4.604
26.25,2.182,4.896
26.5,2.359,5.148
26.75,2.117,4.844
27.0,2.185,5.115
27.25,2.281,5.256
27.5,2.169,4.21
27.75,2.202,4.783
28.0,2.3,4.371
28.25,2.444,4.749
28.5,2.114,4.603
28.75,2.279,4.483
29.0,2.146,4.558
29.25,2.235,4.969
29.5,2.237,4.956
29.75,2.164,4.604
30.0,2.187,4.756
30.25,2.11,4.467
30.5,2.247,4.637
30.75,2.158,4.358
31.0,2.282,4.584
31.25,2.018,4.627
31.5,2.145,4.861
31.75,2.06,4.831
32.0,2.033,4.329
32.25,2.111,4.324
32.5,2.036,4.887
32.75,1.944,4.624
33.0,2.138,4.763
33.25,2.269,4.658
33.5,2.371,4.224
33.75,2.257,4.336
34.0,2.234,3.818
34.25,2.267,4.287
34.5,2.305,4.575
34.75,2.251,6.269
35.0,2.341,3.973
35.25,2.14,3.529
35.5,2.24,4.025
35.75,2.218,4.208
36.0,2.16,4.259
36.25,2.242,4.074
36.5,2.267,5.228
36.75,2.133,74.879
37.0,2.182,73.99
37.25,2.194,74.73
37.5,2.194,74.263
37.75,2.264,74.85
38.0,2.237,74.606
38.25,2.101,74.09
38.5,2.145,74.112
38.75,2.033,74.548
39.0,2.112,4.71
39.25,2.216,4.776
39.5,2.207,74.25
39.75,2.049,73.929
40.0,2.06,74.355
40.25,2.145,73.872
40.5,2.276,74.681
40.75,2.185,74.025
41.0,2.267,73.395
41.25,2.2,74.176
41.5,1.996,4.524
41.75,2.171,4.474
42.0,1.932,74.205
42.25,2.112,74.367
42.5,2.385,74.586
42.75,2.236,74.017
43.0,2.171,73.692
43.25,2.29,74.095
43.5,2.23,73.625
43.75,2.213,4.408
44.0,2.165,73.941
44.25,2.071,4.283
44.5,2.132,4.635
44.75,2.288,5.272
45.0,2.184,74.221
45.25,2.201,73.165
45.5,2.201,74.106
45.75,2.109,74.567
46.0,2.194,74.174
46.25,2.328,74.331
46.5,2.314,73.987
46.75,2.216,74.186
47.0,2.208,72.873
47.25,2.357,73.86
47.5,2.139,73.596
47.75,2.309,5.728
48.0,2.152,5.971
48.25,2.271,4.763
48.5,2.227,5.545
48.75,2.121,4.562
49.0,2.135,4.064
49.25,2.078,4.304
49.5,2.149,4.577
49.75,2.094,73.796
