#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,120.00000000005473,-517964.5542774487,300.013805247932,1.02846313543775,--
10000,140.00000000003652,-515182.7211171454,300.06634796367194,1.0255010217127818,105
15000,159.9999999999899,-517947.93105186103,300.261176606114,1.0266388122425902,105
20000,179.9999999999433,-516686.2269528569,302.62236495293536,1.0268994560607685,105
25000,199.9999999998967,-516480.64021220175,302.7176766597383,1.0264363821930336,105
30000,219.99999999985008,-517534.3273453398,299.02258021849633,1.0258454718455428,105
35000,239.99999999980346,-515368.73710895726,301.76629558967676,1.0249264922004513,105
40000,259.99999999978525,-515863.0170841818,299.54565237140207,1.0230536659547944,105
45000,279.99999999988074,-516732.28963791067,298.5530680097105,1.023092162919525,105
50000,299.99999999997624,-517658.46163915494,301.2910238804707,1.0257924853189433,105
55000,320.00000000007174,-517846.0779958798,299.74288282592295,1.0278751271685331,105
60000,340.00000000016723,-517650.7290628471,302.62390900944587,1.0282300151692532,105
65000,360.00000000026273,-517330.3396899991,302.23066882539746,1.0298941355126554,105
70000,380.0000000003582,-517834.9763054282,301.2978162781099,1.0270754124413244,105
75000,400.0000000004537,-517585.49145500874,302.4046577479276,1.0251904480893674,105
80000,420.0000000005492,-516174.8758066674,300.67336059071505,1.0268902061457477,105
85000,440.0000000006447,-517104.5593259791,298.93810060087725,1.019412115243297,105
90000,460.0000000007402,-516878.68993950845,298.37223165648606,1.023221666516006,105
95000,480.0000000008357,-516603.45266437647,301.5279252625533,1.0241757830657996,105
100000,500.0000000009312,-516942.99396519223,299.23348235594074,1.0243437506246715,105
105000,520.0000000010267,-518022.5775096747,302.5163344120087,1.029952497379933,105
110000,540.0000000011222,-516047.91821063845,301.8419262253414,1.0227684946336062,105
115000,560.0000000012177,-517759.1373828454,299.60352684678156,1.026500654820239,105
120000,580.0000000013132,-517531.1307823842,301.2303117848789,1.0243729246873314,105
125000,600.0000000014087,-517174.8902401938,302.10171019699925,1.0294418604233981,105
130000,620.0000000015042,-516221.06115157856,301.79742137870016,1.0254399347735625,105
135000,640.0000000015997,-516786.08217693074,300.4598117330658,1.0261598489855754,105
140000,660.0000000016952,-517583.47259727516,299.7012117339552,1.023910870124419,105
145000,680.0000000017907,-517027.4425081278,302.8160172767728,1.0257227239338809,105
150000,700.0000000018862,-516488.91849282035,302.2630941600261,1.0217247578879896,105
155000,720.0000000019817,-517048.2685127973,300.7024191811857,1.027581317505076,105
160000,740.0000000020772,-516186.63583789486,300.62620238988296,1.0252738308985991,105
165000,760.0000000021727,-517106.4944098231,303.4034699444138,1.0279749548134804,105
170000,780.0000000022682,-516881.83653553226,300.7221254983503,1.026910713558763,105
175000,800.0000000023637,-516839.7380634248,300.75754606732283,1.028958753914189,105
180000,820.0000000024592,-516954.9270872886,300.98226340531863,1.024716055378824,105
185000,840.0000000025547,-516219.17411639844,300.7870101822964,1.0245219652155872,105
190000,860.0000000026502,-516866.86677750456,300.5225137837068,1.022002244593523,105
195000,880.0000000027457,-517229.63078922266,302.39204022322076,1.027976245959646,105
200000,900.0000000028411,-517493.81479231245,300.89273636987684,1.0278724681064841,105
205000,920.0000000029366,-516340.559769565,300.38614727710774,1.0215213597453812,105
210000,940.0000000030321,-517164.94944966095,301.89674041632577,1.0281945734966336,105
215000,960.0000000031276,-517369.8247583972,302.7763213711597,1.0297873313723587,105
220000,980.0000000032231,-517535.28773325635,297.2641821468921,1.0271333085493637,105
225000,1000.0000000033186,-516778.62756608287,300.4206821707185,1.0278420278981082,105
230000,1020.0000000034141,-516554.0658939809,298.5497446018528,1.0292750370391213,105
235000,1040.0000000030548,-516167.98996718787,299.97907810053533,1.0270701487331586,105
240000,1060.0000000025818,-516807.96467923187,304.3014234749492,1.0276367616294324,105
245000,1080.000000002109,-518268.4352395516,302.00573558852295,1.0297372001922547,105
250000,1100.000000001636,-516307.10239198315,300.0381803192936,1.0254975480613362,105
255000,1120.000000001163,-515741.1026484696,300.7062870240442,1.0245604948159488,105
260000,1140.00000000069,-517147.5416766745,300.59726730751646,1.0264144363287053,105
265000,1160.0000000002171,-517205.70417234814,301.09770221488236,1.0284378835933263,105
270000,1179.9999999997442,-517897.4535583367,301.33993907270144,1.030330095054573,105
275000,1199.9999999992713,-517019.50258613494,301.199061319151,1.027709511855613,105
280000,1219.9999999987983,-516956.0570063023,300.03427682314566,1.025535326963542,105
285000,1239.9999999983254,-515272.1156895112,303.7814265659408,1.023955431529954,105
290000,1259.9999999978525,-516472.5213842245,300.74542592987706,1.0215980754018708,105
295000,1279.9999999973795,-518205.80350174545,298.9483881178856,1.028842704857601,105
300000,1299.9999999969066,-518006.0601920339,300.3107965238853,1.0267453792790993,105
305000,1319.9999999964336,-516938.3852510883,302.1673325309636,1.0271639605711747,105
310000,1339.9999999959607,-517616.6889183121,301.26197926116964,1.0272553410193452,105
315000,1359.9999999954878,-517416.1521702707,299.1580029190574,1.0255841847327816,105
320000,1379.9999999950148,-517307.98654377135,300.3713313435903,1.025931749804056,105
325000,1399.999999994542,-517406.9997116511,301.4177008460133,1.0246484557288749,105
330000,1419.999999994069,-517237.79803437646,300.1076125339956,1.0258842938720352,105
335000,1439.999999993596,-517496.8773691205,300.71018373711354,1.0249084296654967,105
340000,1459.999999993123,-516412.20197138726,300.59262510801943,1.0254657895300947,105
345000,1479.9999999926501,-517627.7305876268,299.56898085193274,1.0289311647103079,105
350000,1499.9999999921772,-516876.69594992907,299.1127561494523,1.0264934123639697,105
355000,1519.9999999917043,-516626.7591404,299.5196848973457,1.02375212847658,105
360000,1539.9999999912313,-516630.4962732673,298.6472017364287,1.0275521839510005,105
365000,1559.9999999907584,-515771.35628975555,301.097715060261,1.0250068383751247,105
370000,1579.9999999902855,-517556.00949834404,301.3129897186798,1.0269936222705185,105
375000,1599.9999999898125,-517864.0342036465,299.6341489088396,1.027215469393139,105
380000,1619.9999999893396,-516571.10127710784,300.4929307620432,1.0276997210948633,105
385000,1639.9999999888666,-516991.09427417465,302.0668556588888,1.028684127105334,105
390000,1659.9999999883937,-516844.6139278391,301.61223427122616,1.0245907750025167,105
395000,1679.9999999879208,-517209.88109786296,305.7944580011254,1.030773687862451,105
400000,1699.9999999874478,-515968.3465470767,299.7039440779155,1.0248255744556534,105
405000,1719.999999986975,-517436.68892190885,299.7258663558819,1.0297440001892246,105
410000,1739.999999986502,-517593.18569940794,301.73973549224803,1.0281389093397226,105
415000,1759.999999986029,-519232.25361794676,301.5997721673327,1.027825381818519,105
420000,1779.999999985556,-517295.99444404733,300.1650841241571,1.0287238145501618,105
425000,1799.9999999850832,-518905.8499937109,300.5903404818608,1.0294783764474815,105
430000,1819.9999999846102,-517073.72538578,301.3702921568068,1.028462366549342,105
435000,1839.9999999841373,-518000.4588219153,300.7001958434497,1.0282585825963817,105
440000,1859.9999999836643,-517635.79455094645,301.4238887314259,1.0298410084944627,105
445000,1879.9999999831914,-516725.9270989136,298.4775840666977,1.0213837314921896,105
450000,1899.9999999827185,-517512.0423914823,303.0199464958355,1.0243476342962938,105
455000,1919.9999999822455,-516586.8031544124,301.0335404025144,1.0285460741720989,105
460000,1939.9999999817726,-516463.507157434,299.94999694910524,1.0230742563058908,105
465000,1959.9999999812997,-517238.2172074297,298.6184039290195,1.0311562064665467,105
470000,1979.9999999808267,-517244.4698179725,300.84217818704116,1.0265643481702185,105
475000,1999.9999999803538,-516246.96761821466,300.5099199182812,1.0259132508346962,105
480000,2019.9999999798808,-517174.3894711097,302.0619715139988,1.0248410926474663,105
485000,2039.999999979408,-517279.22702747886,300.44206067700105,1.027114899141446,105
490000,2059.999999978935,-517391.0702810837,300.79861319923276,1.0236736503112407,105
495000,2079.9999999784623,-516963.05749272904,301.1022057424549,1.023910633952733,105
500000,2099.9999999779893,-516998.07107588486,298.96057947176587,1.0269847561949095,105
505000,2119.9999999775164,-519058.51872392045,300.5507129164266,1.0248570302008762,105
510000,2139.9999999770434,-517431.62182109384,300.0544095996125,1.027971757290438,105
515000,2159.9999999765705,-515086.90832331567,303.4467240298841,1.0230789391873674,105
520000,2179.9999999760976,-516983.84473764687,303.4977312195952,1.027383610451231,105
525000,2199.9999999756246,-517598.2331661333,302.0821616487977,1.0289904850239726,105
530000,2219.9999999751517,-517987.0272549838,299.47682270986155,1.0280691920417888,105
535000,2239.9999999746788,-515527.5640482241,300.527859029286,1.0249155261134615,105
540000,2259.999999974206,-518157.44385542604,302.0666633552164,1.022662953064543,105
545000,2279.999999973733,-518093.51367886574,301.13194659690316,1.0287490582177246,105
550000,2299.99999997326,-516437.90733325784,301.5969404264336,1.0275448815250383,105
555000,2319.999999972787,-517182.28344054194,301.3612052169056,1.0239535419087444,105
560000,2339.999999972314,-517569.1907368901,300.9478203477749,1.027382690684185,105
565000,2359.999999971841,-517161.5448770141,298.74953648810026,1.024542729772213,105
570000,2379.999999971368,-517936.72244141065,300.4259484688892,1.0273038140683322,106
575000,2399.9999999708953,-515844.0150353336,302.37185703223815,1.027227264964218,106
580000,2419.9999999704223,-518202.41060682945,298.79688144925956,1.0280729466759988,106
585000,2439.9999999699494,-517591.17609453085,299.69174874710245,1.0262358534786677,106
590000,2459.9999999694764,-517406.42205739976,303.3958638296955,1.0230330552783353,106
595000,2479.9999999690035,-517002.1391337218,299.5330088751236,1.0315667278796996,106
600000,2499.9999999685306,-517246.76723178173,300.02279101279083,1.0313823514877354,106
605000,2519.9999999680576,-517569.0173929429,301.9183761323624,1.025100716300595,106
610000,2539.9999999675847,-517232.0267392064,300.81863290957114,1.0285280802145542,106
615000,2559.9999999671118,-517728.67143975943,298.57030602407355,1.0297514976439963,106
620000,2579.999999966639,-516660.57071744464,302.1479503233648,1.0203540490752423,106
625000,2599.999999966166,-517332.6678413185,299.6925510557985,1.0326689431479887,106
630000,2619.999999965693,-516060.7237841969,301.4560513271265,1.0278636267790129,106
635000,2639.99999996522,-517356.3533134421,300.1300432035172,1.027606691040771,106
640000,2659.999999964747,-516609.78802346345,300.8022172085137,1.0246720506529894,106
645000,2679.999999964274,-518064.885300023,300.26245345447774,1.0290170018925706,106
650000,2699.999999963801,-517414.5372436235,297.2752758433792,1.0275305489361461,106
655000,2719.9999999633283,-516528.5244244144,301.11137302309544,1.0277701099135337,106
660000,2739.9999999628553,-517727.22519932804,300.1500130202192,1.0264828189583213,106
665000,2759.9999999623824,-516843.8299160863,302.97748214242625,1.0255160405821369,106
670000,2779.9999999619095,-517828.62639053655,301.5707820247425,1.02833917531424,106
675000,2799.9999999614365,-518143.83787417994,301.0976692357615,1.0262154031660184,106
680000,2819.9999999609636,-516688.1644549067,300.69657579406083,1.0240161480661374,106
685000,2839.9999999604906,-517161.818028772,302.80817417675655,1.0239236171998742,106
690000,2859.9999999600177,-516758.88635393884,304.3259516664707,1.0230360983621603,106
695000,2879.9999999595448,-517160.64411086915,297.8151550616318,1.023546980513333,106
700000,2899.999999959072,-517358.9710797011,299.41098943893843,1.0284176569485952,106
705000,2919.999999958599,-517907.9450672071,300.77578481962655,1.0286350169818308,106
710000,2939.999999958126,-517937.4059394174,301.53683611047666,1.0268540617869817,106
715000,2959.999999957653,-515881.6350045607,302.88173790788187,1.0273794445464848,106
720000,2979.99999995718,-515555.49680671305,299.2715471675339,1.020187224673948,106
725000,2999.999999956707,-516791.980865631,296.1793002194973,1.0259031101698028,106
730000,3019.999999956234,-516318.01208939194,301.50262375444515,1.0226570607563363,106
735000,3039.9999999557613,-518120.13615320413,299.47953233991507,1.0248096287202897,106
740000,3059.9999999552883,-516829.17967246985,300.25438322143265,1.0268247828908388,106
745000,3079.9999999548154,-516946.30323954136,299.87330697886824,1.0228186999818385,106
750000,3099.9999999543425,-517840.1409157461,300.2089807727051,1.0296849793709284,106
755000,3119.9999999538695,-516968.0330073568,301.1836418114227,1.022566284344613,106
