time_ns,protein_bb_rmsd_A,ligand_rmsd_A
0.0,0.007,0.0
0.25,0.987,1.192
0.5,1.189,2.222
0.75,1.561,1.875
1.0,1.586,2.653
1.25,1.31,2.239
1.5,1.472,1.95
1.75,1.474,1.924
2.0,1.364,2.189
2.25,1.552,2.481
2.5,1.364,2.269
2.75,1.419,2.063
3.0,1.525,2.5
3.25,1.521,2.792
3.5,1.552,1.951
3.75,1.463,1.923
4.0,1.534,2.466
4.25,1.497,2.318
4.5,1.508,2.308
4.75,1.433,3.061
5.0,1.669,3.339
5.25,1.573,4.514
5.5,1.59,4.313
5.75,1.654,3.57
6.0,1.47,4.31
6.25,1.611,4.431
6.5,1.527,4.474
6.75,1.608,3.416
7.0,1.396,2.809
7.25,1.577,2.962
7.5,1.465,2.721
7.75,1.648,3.621
8.0,1.594,3.346
8.25,1.467,4.236
8.5,1.544,4.081
8.75,1.627,3.615
9.0,1.716,3.527
9.25,1.583,4.062
9.5,1.763,3.935
9.75,1.673,4.293
10.0,1.636,3.868
10.25,1.656,3.74
10.5,1.673,3.939
10.75,1.721,4.485
11.0,1.731,4.273
11.25,1.829,3.983
11.5,1.734,3.979
11.75,1.767,3.724
12.0,1.84,4.257
12.25,1.858,3.563
12.5,1.752,3.986
12.75,1.865,3.84
13.0,2.011,4.308
13.25,2.198,3.897
13.5,2.213,3.318
13.75,2.101,4.196
14.0,2.259,4.336
14.25,2.321,4.931
14.5,2.27,4.925
14.75,2.399,6.771
15.0,2.314,6.799
15.25,2.345,6.524
15.5,2.106,6.457
15.75,2.151,4.617
16.0,2.166,4.5
16.25,2.537,3.882
16.5,2.417,3.961
16.75,2.48,3.656
17.0,2.521,3.2
17.25,2.226,3.163
17.5,2.483,2.995
17.75,2.283,3.256
18.0,2.358,3.762
18.25,2.357,4.656
18.5,2.218,3.149
18.75,2.366,3.344
19.0,2.463,4.37
19.25,2.419,2.747
19.5,2.46,2.675
19.75,2.442,2.095
20.0,2.343,3.225
20.25,2.809,3.268
20.5,2.461,3.474
20.75,2.505,4.258
21.0,2.663,3.353
21.25,2.628,3.874
21.5,2.183,3.621
21.75,2.4,4.847
22.0,2.444,2.965
22.25,2.588,3.139
22.5,2.403,2.76
22.75,2.629,3.486
23.0,2.482,2.611
23.25,2.432,3.117
23.5,2.579,6.411
23.75,2.461,4.512
24.0,2.535,3.276
24.25,2.437,2.634
24.5,2.374,3.701
24.75,2.536,3.066
25.0,2.413,2.286
25.25,2.283,3.61
25.5,2.496,3.743
25.75,2.376,2.921
26.0,2.629,2.994
26.25,2.385,3.17
26.5,2.41,3.457
26.75,2.244,2.505
27.0,2.296,3.147
27.25,2.393,4.589
27.5,2.344,4.918
27.75,2.423,5.325
28.0,2.411,3.875
28.25,2.282,3.202
28.5,2.472,2.968
28.75,2.417,4.587
29.0,2.45,4.46
29.25,2.964,4.543
29.5,2.954,3.738
29.75,3.019,3.986
30.0,2.967,3.996
30.25,2.847,2.741
30.5,2.693,3.238
30.75,2.624,3.852
31.0,2.351,2.507
31.25,2.414,4.611
31.5,2.953,3.591
31.75,2.714,3.709
32.0,2.724,3.856
32.25,2.564,3.265
32.5,2.604,3.947
32.75,2.599,3.679
33.0,2.468,3.795
33.25,2.541,5.239
33.5,2.471,5.643
33.75,2.739,4.441
34.0,2.58,5.103
34.25,2.411,4.816
34.5,2.394,3.73
34.75,2.608,4.197
35.0,2.422,4.964
35.25,2.267,5.101
35.5,2.644,4.85
35.75,3.057,4.922
36.0,2.389,4.949
36.25,2.213,4.61
36.5,2.036,4.325
36.75,1.967,4.561
37.0,1.995,4.805
37.25,2.322,4.718
37.5,2.341,5.762
37.75,2.278,5.998
38.0,2.404,5.869
38.25,2.287,5.891
38.5,2.352,5.956
38.75,2.247,5.712
39.0,2.094,6.249
39.25,2.362,7.784
39.5,2.338,7.135
39.75,2.151,7.96
40.0,2.256,7.472
40.25,2.468,6.532
40.5,2.401,7.0
40.75,2.318,8.498
41.0,2.234,7.833
41.25,2.136,7.845
41.5,2.277,7.178
41.75,2.389,8.193
42.0,2.379,7.415
42.25,2.446,6.245
42.5,2.719,6.297
42.75,2.425,7.494
43.0,2.434,8.179
43.25,2.213,8.039
43.5,2.136,7.91
43.75,2.304,6.665
44.0,3.022,5.023
44.25,2.352,7.517
44.5,2.321,7.36
44.75,2.285,8.014
45.0,2.184,7.356
45.25,2.254,7.7
45.5,2.535,7.922
45.75,2.103,8.13
46.0,2.147,8.103
46.25,1.982,7.768
46.5,2.215,7.774
46.75,2.366,6.919
47.0,2.475,7.35
47.25,2.422,5.491
47.5,2.43,6.635
47.75,2.355,5.324
48.0,2.108,5.689
48.25,2.317,5.683
48.5,2.296,5.102
48.75,2.4,5.48
49.0,2.578,5.636
49.25,2.547,6.392
49.5,2.264,5.488
49.75,2.456,5.43
