#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,120.00000000005473,-515812.6294159496,301.67645046910144,1.0302159298475595,--
10000,140.00000000003652,-515891.14045774937,298.8069767018726,1.0243189735074043,107
15000,159.9999999999899,-515442.1516016829,301.16108258834464,1.026017025104662,107
20000,179.9999999999433,-515029.93498693523,301.88568586061496,1.027082665128756,107
25000,199.9999999998967,-515258.27135669836,301.0309355159523,1.0251145503329007,107
30000,219.99999999985008,-515262.7250839737,302.911926427322,1.0263644495806734,107
35000,239.99999999980346,-513513.03695553984,300.78971256152903,1.022047451206431,107
40000,259.99999999978525,-517546.2335394814,302.9449116586493,1.0259255352375285,107
45000,279.99999999988074,-514918.03381903376,299.34248970821653,1.0241354376116185,107
50000,299.99999999997624,-515693.2760803164,299.65019731712226,1.0261776936871854,107
55000,320.00000000007174,-515177.2844562016,303.16896252941797,1.0282010396464125,107
60000,340.00000000016723,-514446.980156312,298.8889499626302,1.0284999114682283,107
65000,360.00000000026273,-514147.81835223734,301.25369887983726,1.0222307217187736,107
70000,380.0000000003582,-515960.9908617819,301.1719153176205,1.026331880328897,107
75000,400.0000000004537,-515987.9277760843,301.00226539515916,1.0246347280078731,107
80000,420.0000000005492,-514659.1600543654,302.70200881386154,1.0263632360668842,107
85000,440.0000000006447,-515751.067714463,300.3748286128948,1.0278053353224934,107
90000,460.0000000007402,-516440.6793269266,301.90104963270335,1.0266711805712008,107
95000,480.0000000008357,-513434.352962587,300.2209779214241,1.0243457450633233,107
100000,500.0000000009312,-516142.8706429368,302.847334674502,1.029368548447845,107
105000,520.0000000010267,-515253.1970786229,299.56420247634253,1.0243086625081508,107
110000,540.0000000011222,-514383.1960565951,302.5198942461921,1.0278418844412966,107
115000,560.0000000012177,-515737.91938096844,300.92019432479617,1.0251881299083652,107
120000,580.0000000013132,-517204.22360670054,300.49874659690704,1.0271331689308945,107
125000,600.0000000014087,-516409.1726921166,303.378009943564,1.0256725975518397,107
130000,620.0000000015042,-515129.4708671933,305.43092402823896,1.0262715995752745,107
135000,640.0000000015997,-516851.44294710876,299.0145611140625,1.026583493226501,107
140000,660.0000000016952,-514965.7283131897,300.18076552077133,1.024158108853674,107
145000,680.0000000017907,-515229.01302618696,301.450041038641,1.0264832919593605,107
150000,700.0000000018862,-514486.9214172268,298.5637460072068,1.0207760843482938,107
155000,720.0000000019817,-515007.25603656773,301.6019604300631,1.0231021232235045,107
160000,740.0000000020772,-515556.26760059106,299.44257042230515,1.0238867313526072,107
165000,760.0000000021727,-514867.84553066385,301.75050014235313,1.0219854423753212,107
170000,780.0000000022682,-517080.190754737,300.8389934148137,1.0306154962243463,107
175000,800.0000000023637,-517517.9677230774,301.3954362940666,1.0243670902913853,107
180000,820.0000000024592,-517381.2606789763,301.9138669447103,1.0247514425758566,107
185000,840.0000000025547,-515297.6741040682,302.33690207491634,1.0255336124689975,107
190000,860.0000000026502,-515606.15318658086,300.2507622482381,1.026787475220701,107
195000,880.0000000027457,-516230.34391985065,298.3124961655244,1.0270040809577625,107
200000,900.0000000028411,-514897.8954680131,299.0296471045373,1.0284276294595796,107
205000,920.0000000029366,-515418.23168321606,301.31450408410035,1.0253976167083247,107
210000,940.0000000030321,-515730.5680502092,304.4406077195479,1.0246737839395295,107
215000,960.0000000031276,-515973.95234599756,299.19765396193236,1.0250796049884974,107
220000,980.0000000032231,-516768.87580438284,300.43761524041355,1.0252792377901618,107
225000,1000.0000000033186,-516498.836644646,299.41950896538486,1.0255490181588776,107
230000,1020.0000000034141,-516484.1817782484,300.48005365255443,1.0257777818881593,107
235000,1040.0000000030548,-514487.43845268106,301.9164755830055,1.0237835480042814,107
240000,1060.0000000025818,-514811.10487953736,301.734914723314,1.0224491242248923,107
245000,1080.000000002109,-515233.6736496459,304.1520325175817,1.023383168481611,107
250000,1100.000000001636,-514422.90401798417,299.2414885864329,1.0199257262760586,107
255000,1120.000000001163,-516347.4468280242,302.2002446502707,1.0258680445646517,107
260000,1140.00000000069,-514834.55235416023,301.7451606894963,1.023197249352171,107
265000,1160.0000000002171,-516489.1444261712,301.3948035351919,1.0264820233624359,107
270000,1179.9999999997442,-516351.24073240533,302.7172741644265,1.0261610537720298,107
275000,1199.9999999992713,-516476.36830888805,298.86527133246193,1.025159047831365,107
280000,1219.9999999987983,-515442.0928640119,300.7435932959085,1.0251443698980327,107
