time_ns,protein_bb_rmsd_A,ligand_rmsd_A
0.0,0.0,0.0
0.25,0.914,1.727
0.5,1.054,1.639
0.75,1.347,1.944
1.0,1.171,1.517
1.25,1.329,1.866
1.5,1.268,2.493
1.75,1.305,3.641
2.0,1.344,4.025
2.25,1.586,4.313
2.5,1.475,4.128
2.75,1.285,4.045
3.0,1.247,3.844
3.25,1.518,4.231
3.5,1.495,3.955
3.75,1.32,3.919
4.0,1.26,4.057
4.25,1.458,3.746
4.5,1.381,4.302
4.75,1.713,3.523
5.0,1.768,3.408
5.25,1.862,3.838
5.5,1.62,4.317
5.75,1.596,3.992
6.0,1.768,3.721
6.25,1.91,4.539
6.5,1.846,4.277
6.75,1.885,3.598
7.0,1.666,3.639
7.25,1.773,3.486
7.5,1.74,4.066
7.75,1.637,4.617
8.0,1.707,3.771
8.25,1.684,3.438
8.5,1.778,3.832
8.75,1.675,3.706
9.0,1.561,3.64
9.25,1.788,3.372
9.5,1.643,3.545
9.75,1.603,4.149
10.0,1.761,3.637
10.25,1.507,3.52
10.5,1.788,3.749
10.75,1.569,3.808
11.0,1.447,3.905
11.25,1.458,3.561
11.5,1.665,3.807
11.75,1.642,3.574
12.0,1.852,3.699
12.25,1.731,3.403
12.5,1.782,3.502
12.75,1.586,3.57
13.0,1.603,4.052
13.25,1.482,3.647
13.5,1.547,3.578
13.75,1.575,3.641
14.0,1.602,3.546
14.25,1.605,3.75
14.5,1.496,3.741
14.75,1.733,3.899
15.0,1.925,3.988
15.25,1.829,3.953
15.5,1.726,4.519
15.75,1.63,4.29
16.0,1.736,3.851
16.25,1.697,4.408
16.5,1.689,3.984
16.75,1.799,4.152
17.0,1.94,3.861
17.25,1.934,3.848
17.5,1.931,3.96
17.75,2.115,3.846
18.0,2.155,3.708
18.25,1.899,3.749
18.5,2.023,3.648
18.75,1.775,3.564
19.0,1.865,3.543
19.25,1.905,3.474
19.5,1.618,3.618
19.75,2.041,3.602
20.0,1.844,3.664
20.25,1.612,3.587
20.5,1.509,3.71
20.75,1.721,3.537
21.0,1.839,3.595
21.25,1.872,3.585
21.5,1.711,3.814
21.75,1.843,3.557
22.0,1.699,4.284
22.25,1.679,4.04
22.5,1.864,3.863
22.75,1.826,3.919
23.0,1.889,3.964
23.25,1.99,4.117
23.5,1.956,3.719
23.75,1.735,4.026
24.0,1.853,3.583
24.25,1.881,3.563
24.5,1.795,3.885
24.75,1.733,3.871
25.0,1.81,3.85
25.25,1.923,3.783
25.5,1.713,4.071
25.75,1.728,3.924
26.0,1.881,3.837
26.25,1.833,3.705
26.5,2.018,3.623
26.75,1.664,3.97
27.0,1.767,4.075
27.25,1.731,4.273
27.5,1.885,4.409
27.75,1.851,4.452
28.0,1.737,3.706
28.25,1.749,3.912
28.5,1.884,3.784
28.75,2.065,4.278
29.0,2.057,3.647
29.25,1.973,4.045
29.5,1.881,3.685
29.75,1.867,4.113
30.0,2.012,3.95
30.25,1.913,4.109
30.5,1.777,4.056
30.75,1.967,4.149
31.0,1.782,4.037
31.25,1.801,3.993
31.5,1.906,3.826
31.75,1.794,4.05
32.0,1.759,4.01
32.25,1.838,3.989
32.5,1.741,4.166
32.75,1.749,4.001
33.0,1.855,4.068
33.25,1.703,4.322
33.5,1.824,4.176
33.75,1.757,4.006
34.0,1.833,4.163
34.25,1.927,4.16
34.5,1.788,3.966
34.75,1.64,3.868
35.0,1.801,4.226
35.25,1.628,4.155
35.5,1.685,3.995
35.75,1.689,3.865
36.0,1.778,3.938
36.25,1.924,3.813
36.5,1.879,3.882
36.75,1.822,3.954
37.0,1.737,3.862
37.25,1.886,4.425
37.5,1.566,4.142
37.75,1.818,3.914
38.0,1.998,3.944
38.25,1.791,3.792
38.5,1.805,3.895
38.75,1.659,3.949
39.0,1.962,4.011
39.25,1.771,3.866
39.5,1.878,4.015
39.75,1.709,4.13
40.0,1.793,3.993
40.25,1.864,4.157
40.5,1.943,4.134
40.75,1.986,3.928
41.0,2.008,4.063
41.25,1.987,3.892
41.5,2.159,4.018
41.75,1.91,3.854
42.0,1.992,3.79
42.25,1.986,3.878
42.5,2.105,3.744
42.75,1.886,3.793
43.0,2.201,3.562
43.25,2.052,3.928
43.5,1.94,3.981
43.75,1.859,4.13
44.0,1.979,4.066
44.25,1.846,3.843
44.5,1.95,3.91
44.75,1.766,3.938
45.0,2.02,3.797
45.25,2.025,3.804
45.5,1.766,3.802
45.75,1.987,4.059
46.0,1.897,3.511
46.25,1.846,4.167
46.5,1.981,3.888
46.75,1.983,4.113
47.0,1.927,3.914
47.25,1.889,4.165
47.5,1.705,3.966
47.75,1.917,3.882
48.0,1.843,3.889
48.25,1.757,3.915
48.5,1.796,3.976
48.75,1.894,4.338
49.0,1.899,3.867
49.25,1.775,3.999
49.5,1.764,3.723
49.75,1.905,3.834
