#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,120.00000000005473,-515522.42835530033,300.2964774982475,1.0278068113744607,--
10000,140.00000000003652,-515480.55068564694,301.595633856964,1.0259117126831687,105
15000,159.9999999999899,-515624.78630281123,300.23952347431646,1.026032384623007,105
20000,179.9999999999433,-515725.95969841164,300.6336394867594,1.024630372290715,105
25000,199.9999999998967,-515529.50622431096,302.7681235945268,1.0257364862150387,105
30000,219.99999999985008,-516667.5092183526,300.43151261069755,1.0319209052707858,104
35000,239.99999999980346,-516001.2791977986,301.43410056156466,1.0268455665824918,104
40000,259.99999999978525,-514986.003642441,300.09752353117597,1.025812121235243,104
45000,279.99999999988074,-514431.3925051021,301.7917280478816,1.0260266504452995,104
50000,299.99999999997624,-515678.8163282559,301.03370670958236,1.0226132905541472,104
55000,320.00000000007174,-515863.03598376014,299.5568599043079,1.025720828351793,104
60000,340.00000000016723,-514933.0956604248,302.0102566679199,1.024389619868666,104
65000,360.00000000026273,-515953.4230079951,300.7599240634738,1.0241584462914477,104
70000,380.0000000003582,-515276.99900559103,302.287464631101,1.028696184818456,104
75000,400.0000000004537,-516023.536276442,299.7258458002622,1.0242286265492235,104
80000,420.0000000005492,-517003.5288108019,298.4794318359326,1.0256976101010773,104
85000,440.0000000006447,-515353.2710571869,300.5298781684384,1.026387064250965,104
90000,460.0000000007402,-515009.9033473758,304.0045872703799,1.0254718423226226,104
95000,480.0000000008357,-517380.3469915276,299.20153698160465,1.0303113380536104,104
100000,500.0000000009312,-517880.83779306617,301.0363863821125,1.0299748724491145,104
105000,520.0000000010267,-516140.5959049307,299.8755122422255,1.0267580014925424,104
110000,540.0000000011222,-515329.09746726253,300.81805610345145,1.0284712646304721,104
115000,560.0000000012177,-515350.27465171786,300.6318856264624,1.0262125302959872,104
120000,580.0000000013132,-513690.5924763158,300.69984457120177,1.0203459701719886,104
125000,600.0000000014087,-516178.59593724273,302.6625168328458,1.0269364718403344,104
130000,620.0000000015042,-515045.5712171858,300.4738343004968,1.0227117612902688,104
135000,640.0000000015997,-516386.6378551093,302.06370568450586,1.0267957537857066,104
140000,660.0000000016952,-518116.2909955941,299.5780058132763,1.0275659805255462,104
145000,680.0000000017907,-516951.5404015761,300.4982038550372,1.030131563285496,104
150000,700.0000000018862,-516143.19196688244,301.26097638205175,1.0275507731293585,104
155000,720.0000000019817,-516351.9513309193,298.7456773721357,1.028489530264032,104
160000,740.0000000020772,-515883.7250046986,302.08086372073035,1.0259951166538355,104
165000,760.0000000021727,-515129.4053431782,301.31499040277293,1.0233877521089674,104
170000,780.0000000022682,-516400.15602316824,300.4690883681366,1.0275793808548916,104
175000,800.0000000023637,-516284.1246550861,299.58348876166684,1.0260955754602672,104
180000,820.0000000024592,-517482.0209879759,301.06576312576624,1.0260736213295953,104
185000,840.0000000025547,-514541.7422525103,299.0995650965181,1.0257831025441262,104
190000,860.0000000026502,-516490.3184523443,300.93219505390823,1.0299782665416797,104
195000,880.0000000027457,-516110.7180652255,302.04851621320574,1.029055310080083,104
200000,900.0000000028411,-515348.8822426745,299.43246773624526,1.0265634973437108,104
205000,920.0000000029366,-515830.9003661587,299.3728853459649,1.0239906040716584,103
210000,940.0000000030321,-516632.7574730029,303.2289083329398,1.029741272567599,103
215000,960.0000000031276,-515347.5500430092,299.5324994081689,1.0245929813185548,103
220000,980.0000000032231,-515559.9237085534,298.97324106795793,1.0198731313266673,103
225000,1000.0000000033186,-516778.95382754575,302.34001268288114,1.0293885636505784,103
230000,1020.0000000034141,-517902.6463001529,301.16806374056546,1.030849333522332,103
235000,1040.0000000030548,-514734.71023503714,300.87705627352653,1.0258127901704375,103
240000,1060.0000000025818,-515002.0044668622,296.84793374585456,1.0238938789312606,103
245000,1080.000000002109,-516874.83344835555,299.95026804503476,1.0231177824123183,103
250000,1100.000000001636,-515399.97995138494,300.47534841131557,1.0292109787484178,103
255000,1120.000000001163,-517356.7236825051,300.416955121702,1.0285746683527193,103
260000,1140.00000000069,-514454.6358856512,299.90320582839075,1.0231724230357049,103
265000,1160.0000000002171,-515805.6999429057,300.516826105017,1.0257259951504158,103
270000,1179.9999999997442,-516646.17216595914,301.6233936435066,1.030713111285162,103
275000,1199.9999999992713,-517100.4794936802,298.8858544653846,1.0293944377253201,103
280000,1219.9999999987983,-517225.3341007212,299.94623824605384,1.0289773535542877,103
285000,1239.9999999983254,-516015.23594316747,301.10739161400846,1.0266149711950439,103
290000,1259.9999999978525,-516186.47623224347,301.11864074302224,1.0288112928289594,103
295000,1279.9999999973795,-515771.59236410796,299.73522352956536,1.0299665326733654,103
300000,1299.9999999969066,-515956.26228078315,304.44320497284934,1.0292323966670336,103
305000,1319.9999999964336,-515168.4771315078,303.9187267192403,1.0254533747221979,103
310000,1339.9999999959607,-517041.9974031602,299.2082302286707,1.0324553170356727,103
315000,1359.9999999954878,-516647.3672528113,300.2734692445153,1.027447735814037,103
320000,1379.9999999950148,-515585.8132493228,298.5389900726329,1.0277512358308456,103
325000,1399.999999994542,-515585.7880595855,300.2267814126356,1.0282563521343837,103
330000,1419.999999994069,-516386.11509920075,298.89923093736604,1.0289814779108342,103
335000,1439.999999993596,-515186.9724674851,300.57325195094836,1.0240352352668052,103
340000,1459.999999993123,-516415.31412066636,298.744997316017,1.0268818058175853,103
345000,1479.9999999926501,-515462.72656809515,301.4359906168764,1.026849745595268,103
350000,1499.9999999921772,-516084.6621072858,302.07054127282396,1.0293337693556028,103
355000,1519.9999999917043,-515737.1294092047,303.476581828374,1.0244604170487444,103
360000,1539.9999999912313,-517449.28265983285,302.41961208612713,1.029476298859713,103
365000,1559.9999999907584,-516711.5448034913,302.2425067096118,1.0262715253296795,103
370000,1579.9999999902855,-516812.56859996985,299.7348820777618,1.0227173320766814,103
375000,1599.9999999898125,-517707.76232223073,301.0676082908264,1.0287466818049313,103
380000,1619.9999999893396,-516556.375581407,300.5044206417279,1.0276369458280428,103
385000,1639.9999999888666,-515214.41494382895,300.8820709863229,1.026962111495964,103
390000,1659.9999999883937,-516231.85864317906,297.24869178474694,1.0250308230203178,103
395000,1679.9999999879208,-516870.2473876036,301.0359783128305,1.0272832247945913,103
400000,1699.9999999874478,-514435.4097008696,301.58733674284696,1.0258543267554918,103
405000,1719.999999986975,-516117.46231766045,301.67654112030334,1.0240878509136975,103
410000,1739.999999986502,-516256.77862492413,299.58844772913017,1.0273511776566535,103
