time_ns,protein_bb_rmsd_A,ligand_rmsd_A
0.0,0.007,0.0
0.25,0.92,0.828
0.5,1.03,1.326
0.75,1.345,1.757
1.0,1.281,0.98
1.25,1.239,1.179
1.5,1.252,1.201
1.75,1.337,1.155
2.0,1.32,1.992
2.25,1.269,2.045
2.5,1.291,2.186
2.75,1.401,2.569
3.0,1.351,2.217
3.25,1.222,1.971
3.5,1.439,2.165
3.75,1.353,2.38
4.0,1.283,1.947
4.25,1.343,2.083
4.5,1.215,2.4
4.75,1.074,2.464
5.0,1.228,2.958
5.25,1.245,2.619
5.5,1.21,2.831
5.75,1.221,2.506
6.0,1.285,2.602
6.25,1.534,2.889
6.5,1.406,2.671
6.75,1.379,2.832
7.0,1.35,2.663
7.25,1.358,2.921
7.5,1.208,3.195
7.75,1.398,2.932
8.0,1.542,2.999
8.25,1.547,2.445
8.5,1.559,2.738
8.75,1.652,2.887
9.0,1.382,2.82
9.25,1.582,2.454
9.5,1.483,2.918
9.75,1.424,2.51
10.0,1.627,2.63
10.25,1.687,2.941
10.5,1.714,2.972
10.75,1.674,2.53
11.0,1.796,2.862
11.25,1.982,3.155
11.5,1.706,3.066
11.75,1.69,2.994
12.0,1.652,2.846
12.25,1.622,3.027
12.5,1.719,3.545
12.75,1.85,2.788
13.0,1.901,2.986
13.25,1.723,2.919
13.5,1.791,3.186
13.75,1.862,2.894
14.0,1.912,2.661
14.25,1.952,3.047
14.5,1.874,2.894
14.75,1.829,3.177
15.0,1.636,3.24
15.25,2.289,3.467
15.5,1.946,3.325
15.75,1.97,3.322
16.0,2.174,3.412
16.25,2.212,3.474
16.5,2.035,3.572
16.75,1.92,3.954
17.0,2.042,3.019
17.25,1.936,3.314
17.5,1.834,3.042
17.75,1.802,3.712
18.0,1.723,3.155
18.25,2.308,3.194
18.5,2.011,3.317
18.75,2.079,3.005
19.0,1.734,3.013
19.25,1.743,3.716
19.5,1.914,3.57
19.75,2.149,3.556
20.0,1.809,3.272
20.25,1.94,3.101
20.5,1.809,3.05
20.75,1.896,3.347
21.0,1.724,3.463
21.25,1.767,3.317
21.5,1.689,3.063
21.75,1.924,3.075
22.0,1.902,3.196
22.25,1.763,2.902
22.5,1.661,2.971
22.75,1.909,3.512
23.0,1.801,3.068
23.25,2.018,2.962
23.5,1.994,2.876
23.75,1.895,3.247
24.0,1.972,2.429
24.25,1.99,3.116
24.5,2.053,2.644
24.75,2.247,2.815
25.0,2.252,2.857
25.25,2.06,3.016
25.5,2.196,2.759
25.75,2.292,2.753
26.0,2.165,2.754
26.25,2.299,2.854
26.5,2.172,2.936
26.75,2.149,2.778
27.0,2.276,2.91
27.25,2.078,2.75
27.5,2.423,2.858
27.75,2.157,2.787
28.0,2.129,3.246
28.25,1.99,3.225
28.5,2.266,2.499
28.75,1.923,3.052
29.0,2.039,2.747
29.25,2.018,2.993
29.5,2.01,2.651
29.75,2.095,2.924
30.0,1.925,3.107
30.25,2.327,3.139
30.5,1.809,3.356
30.75,2.026,2.784
31.0,1.92,2.84
31.25,1.783,3.185
31.5,1.974,2.782
31.75,1.96,3.108
32.0,1.907,2.969
32.25,2.04,3.294
32.5,2.068,2.811
32.75,2.063,2.925
33.0,1.976,2.834
33.25,2.172,2.742
33.5,2.141,2.82
33.75,2.062,2.892
34.0,2.02,2.846
34.25,2.008,3.335
34.5,2.147,2.812
34.75,2.312,3.098
35.0,2.192,3.073
35.25,2.098,3.062
35.5,2.074,2.91
35.75,2.276,3.037
36.0,2.198,2.983
36.25,2.298,3.371
36.5,2.236,2.759
36.75,2.212,2.61
37.0,2.486,2.791
37.25,2.375,2.802
37.5,2.207,3.024
37.75,2.276,2.887
38.0,2.371,3.12
38.25,2.284,2.89
38.5,2.306,2.905
38.75,2.446,2.725
39.0,2.421,3.016
39.25,2.5,2.954
39.5,2.263,2.698
39.75,2.515,2.946
40.0,2.575,3.071
40.25,2.59,2.695
40.5,2.473,2.955
40.75,2.212,2.698
41.0,2.128,3.004
41.25,2.341,2.906
41.5,2.281,2.998
41.75,2.349,3.241
42.0,2.145,3.051
42.25,2.391,3.128
42.5,2.568,3.063
42.75,2.306,3.05
43.0,2.262,2.896
43.25,2.292,3.079
43.5,2.261,2.894
43.75,2.204,2.882
44.0,2.277,3.11
44.25,2.2,2.957
44.5,2.19,2.881
44.75,2.218,3.297
45.0,2.072,2.967
45.25,2.286,2.937
45.5,2.154,2.958
45.75,2.373,3.152
46.0,2.314,3.1
46.25,2.263,2.98
46.5,2.111,3.153
46.75,2.092,3.573
47.0,2.24,2.788
47.25,2.22,3.184
47.5,2.157,2.993
47.75,1.975,2.958
48.0,2.32,3.301
48.25,2.285,3.256
48.5,2.024,3.105
48.75,2.166,2.665
49.0,2.136,3.023
49.25,2.246,2.988
49.5,2.201,3.549
49.75,2.133,3.853
