#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,120.00000000005473,-516337.1097909969,302.10174567570925,1.0287954463858324,--
10000,140.00000000003652,-514274.5692916389,301.0049663128111,1.0222499049755547,105
15000,159.9999999999899,-515959.2851237287,299.40676614493077,1.02076466832757,104
20000,179.9999999999433,-517176.13614412677,298.77084630833014,1.0240652748804617,104
25000,199.9999999998967,-516955.1153808455,300.39913984411163,1.0307624456863436,104
30000,219.99999999985008,-517539.7742461148,301.0851023717809,1.028386881482085,104
35000,239.99999999980346,-516833.87074135547,302.3857567517555,1.03247279931555,104
40000,259.99999999978525,-515501.1274938439,300.7357573396763,1.0245527425865277,104
45000,279.99999999988074,-515752.4705203448,299.01071756519053,1.0263509103705386,104
50000,299.99999999997624,-518169.95238274685,298.9331930679513,1.031611596143352,104
55000,320.00000000007174,-517619.4383686213,299.0683904522071,1.0305907536992613,104
60000,340.00000000016723,-516580.4408771179,300.9751802521736,1.0218358766035431,104
65000,360.00000000026273,-517847.1413995861,304.2205469245189,1.0270012869274752,104
70000,380.0000000003582,-515309.29441707744,300.5650579432543,1.0242569435431819,103
75000,400.0000000004537,-516282.7558267694,304.0740804519289,1.0246115714310242,103
80000,420.0000000005492,-516502.92213827255,300.4485155154224,1.0243246478204582,103
85000,440.0000000006447,-517570.62118674326,302.3566543210064,1.0254175403284504,103
90000,460.0000000007402,-516013.389725009,302.17045796653105,1.0214128550105879,102
95000,480.0000000008357,-516563.933195709,301.8705281910215,1.0267913136710471,102
100000,500.0000000009312,-516403.9338498146,301.99534235159337,1.02393397584905,102
105000,520.0000000010267,-517290.0790220115,300.18593039095333,1.0225225754352854,102
110000,540.0000000011222,-517982.77778887795,298.642293044928,1.0291833149444178,102
115000,560.0000000012177,-516892.8280267457,299.3906518224135,1.0279571820278561,102
120000,580.0000000013132,-516023.4013856272,300.4826906210555,1.025170525189063,102
125000,600.0000000014087,-517996.3571303382,298.8847590631118,1.0232687680820116,102
130000,620.0000000015042,-516898.120248324,304.44731420265293,1.0265450735285417,103
135000,640.0000000015997,-517600.4334424832,298.9276277456977,1.0250670447936205,103
140000,660.0000000016952,-517231.30150845693,303.3569610454809,1.0274604574629336,103
145000,680.0000000017907,-517047.493221211,299.0382010608656,1.0235006008560419,103
150000,700.0000000018862,-516322.2971892732,298.7001945159492,1.0270330021829084,103
155000,720.0000000019817,-516715.606996794,301.7130423164815,1.0254691926307482,103
160000,740.0000000020772,-516808.5444031793,299.54866133280933,1.0252056972372703,103
165000,760.0000000021727,-516755.7006339431,301.88532492045334,1.0271643778429114,103
170000,780.0000000022682,-516824.93506851327,303.4585208900281,1.0244234196588298,103
175000,800.0000000023637,-517542.7055386016,299.9595782912755,1.0283016890724725,103
180000,820.0000000024592,-516528.6904024957,300.405404614817,1.0289792343194641,103
185000,840.0000000025547,-517312.5870193045,299.81013650305346,1.0295462874638743,103
190000,860.0000000026502,-516305.14014315093,303.98698338016413,1.0291432647740661,103
195000,880.0000000027457,-516322.50333810947,299.5131057257787,1.0268218260439543,103
200000,900.0000000028411,-516688.1248249756,300.17418063416056,1.0255906933100813,103
