#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,120.00000000005473,-516118.3161988007,298.9352162981056,1.0235069843343731,--
10000,140.00000000003652,-516226.2122121253,298.54744748169685,1.0224931392286956,103
15000,159.9999999999899,-515965.3100562298,300.28395115505947,1.0270250919811006,103
20000,179.9999999999433,-516460.43937081075,303.096442834959,1.0227155029513721,103
25000,199.9999999998967,-516530.8967021343,302.5805646687816,1.0259872422051566,103
30000,219.99999999985008,-515538.5313748913,298.5887922683567,1.0249399961851882,103
35000,239.99999999980346,-517381.26075748843,299.7291386536457,1.0253414304665203,103
40000,259.99999999978525,-516588.0384921632,301.5751784278959,1.0290784955894872,103
45000,279.99999999988074,-516029.7742514126,301.74817496382866,1.023921175455861,103
50000,299.99999999997624,-515861.6873721706,303.29293178072453,1.0251267490472395,103
55000,320.00000000007174,-516439.47973882663,301.8128386377511,1.0235853286819747,103
60000,340.00000000016723,-517885.06101057073,302.84346753913775,1.0266981355394151,103
65000,360.00000000026273,-516146.8622449909,302.1748134326751,1.0264201225157763,103
70000,380.0000000003582,-517101.57879814925,302.17124720714247,1.0256801180199866,103
75000,400.0000000004537,-517075.3621521485,299.97231253242813,1.0323029299678572,103
80000,420.0000000005492,-515910.7165357913,299.90469360514857,1.0264340891580834,103
85000,440.0000000006447,-516343.4754249952,301.3777720674212,1.0246714890151638,103
90000,460.0000000007402,-517265.82497406704,301.3692041538242,1.026478545927417,103
95000,480.0000000008357,-516791.57128724945,301.065488212449,1.0278545924591564,103
100000,500.0000000009312,-515166.8830423176,302.6654266821387,1.0251048747025404,103
105000,520.0000000010267,-517340.4888816357,301.7026520489743,1.023131403200802,103
110000,540.0000000011222,-516111.02461436717,305.3207198187004,1.024744984124819,103
115000,560.0000000012177,-516483.4137907608,299.77078115530395,1.0257937344991528,103
120000,580.0000000013132,-515127.26209172746,301.6773030801231,1.0235096790419829,103
125000,600.0000000014087,-517135.1308922882,301.24142243122054,1.0272834424875525,103
130000,620.0000000015042,-516976.2851762746,301.98267615575173,1.028383981525502,103
135000,640.0000000015997,-516941.0185959763,301.1531186680404,1.0247810589850626,103
140000,660.0000000016952,-518222.6354193338,301.72196947092795,1.03010828903893,103
145000,680.0000000017907,-517012.15151348244,300.6220977300148,1.022940189461876,103
150000,700.0000000018862,-515532.5118691223,299.54637064387214,1.023969313063135,103
155000,720.0000000019817,-516753.374836548,303.1432211680498,1.0271444120660436,103
160000,740.0000000020772,-516769.40499414783,299.44627035672147,1.0244947525641526,103
165000,760.0000000021727,-517576.9181618113,300.0550167427788,1.026525908116175,103
170000,780.0000000022682,-515581.47968809865,302.3421484694927,1.0246237690335158,103
175000,800.0000000023637,-518440.4342704243,300.9987759334396,1.0265254124301562,103
180000,820.0000000024592,-516840.4092978006,301.88608520342524,1.027148277336092,103
185000,840.0000000025547,-517333.6092552317,296.8559140868156,1.0258484657840174,103
190000,860.0000000026502,-516983.7682348951,299.81937114945015,1.0269755764896875,103
195000,880.0000000027457,-516535.485923629,297.9956117524905,1.0258479288675784,103
200000,900.0000000028411,-516515.9604356461,305.1033056903982,1.0236996877084659,103
205000,920.0000000029366,-516714.92854125355,299.6213286653186,1.0267448228894913,103
210000,940.0000000030321,-517832.2318283224,300.7775321555168,1.0232497015234048,103
215000,960.0000000031276,-516457.1231954496,301.8077978872734,1.0260219658395944,103
220000,980.0000000032231,-516651.03945732745,300.88463142926685,1.0251522252193324,103
225000,1000.0000000033186,-518407.6861088376,301.5871810098973,1.0281053885047162,103
230000,1020.0000000034141,-515844.52560230996,302.3171894942738,1.020739885976421,103
235000,1040.0000000030548,-517662.06666605733,304.5796761923507,1.0284219333797053,103
240000,1060.0000000025818,-517232.15398750803,302.5847072616517,1.0284786950886236,102
245000,1080.000000002109,-516200.00605052663,301.1201132652494,1.0263147789848086,102
250000,1100.000000001636,-517143.66798102716,302.53380449147875,1.0289031528959276,102
255000,1120.000000001163,-516674.4207901519,300.89682889625266,1.0277480323367716,102
260000,1140.00000000069,-517931.5645710707,300.05545979025305,1.028038035096782,102
265000,1160.0000000002171,-517597.7450638013,300.22990077465835,1.028391217634242,102
270000,1179.9999999997442,-516155.9165881793,300.21672071815,1.0218434669283505,102
275000,1199.9999999992713,-515752.5973056804,302.6698749931662,1.0222474673739743,102
280000,1219.9999999987983,-516279.1263084167,303.46359843111156,1.0221378409773723,102
285000,1239.9999999983254,-517404.44039086625,300.99602682740607,1.0276907163721567,102
290000,1259.9999999978525,-516717.0075349123,302.34282071570146,1.0223291967219588,102
295000,1279.9999999973795,-517371.13566589705,305.46785287514007,1.0261706101569068,102
300000,1299.9999999969066,-516134.56532310764,302.03507450498796,1.026009241195345,102
305000,1319.9999999964336,-517469.95948944497,300.1625028139075,1.024688200099354,102
310000,1339.9999999959607,-515196.10676144087,300.5319242815506,1.021849454673236,102
315000,1359.9999999954878,-517417.1076659849,301.5636575441246,1.023107285107642,102
320000,1379.9999999950148,-516761.6022771469,301.4050930422265,1.026904433917349,102
325000,1399.999999994542,-517434.7593755685,298.9320133279651,1.0270870441763404,102
330000,1419.999999994069,-516902.7837324296,299.0719725919242,1.0247706176318483,102
335000,1439.999999993596,-516916.2997164454,301.0710755518127,1.024148778707093,102
340000,1459.999999993123,-517919.0310774385,301.61622890072425,1.0245014149992826,102
345000,1479.9999999926501,-516065.4741629085,301.10216260780135,1.0233979941356148,102
350000,1499.9999999921772,-516628.22043433273,301.6697444055709,1.0250310740986384,102
355000,1519.9999999917043,-516697.59760490246,300.1689294743968,1.021233183196865,102
360000,1539.9999999912313,-516524.67243607435,300.3975505826321,1.0231861767019879,102
365000,1559.9999999907584,-517548.2691261575,301.4497709711713,1.026510557063595,102
370000,1579.9999999902855,-517362.00868931133,301.92283058247074,1.0243220719725736,102
375000,1599.9999999898125,-516344.8712805109,300.0161395131335,1.0232453432484516,102
380000,1619.9999999893396,-516759.5503407547,302.4907742165315,1.027537634783193,102
385000,1639.9999999888666,-516004.77953175595,299.02924221059925,1.0263885861116455,102
390000,1659.9999999883937,-518104.47728151875,301.4145024560032,1.0296557897907725,102
395000,1679.9999999879208,-517391.94805119094,300.62300417438195,1.025027028749945,102
400000,1699.9999999874478,-516847.2508469436,300.4159533585341,1.0245691432696273,102
405000,1719.999999986975,-517195.6679796118,300.60588320555127,1.027074169818526,102
410000,1739.999999986502,-518550.2834729925,299.6171386600379,1.0270084514326558,102
415000,1759.999999986029,-517471.5958595304,300.0445738832415,1.0261667035664535,102
420000,1779.999999985556,-516484.9892946372,299.62614819596183,1.0282670872019628,102
425000,1799.9999999850832,-516749.289956036,300.09413163771296,1.0269319454773425,102
430000,1819.9999999846102,-516635.7747166746,302.9648522895317,1.0263135086559712,102
