time_ns,protein_bb_rmsd_A,ligand_rmsd_A
0.0,0.007,0.0
0.25,0.938,1.083
0.5,1.022,1.045
0.75,1.134,1.466
1.0,0.992,1.319
1.25,1.113,0.713
1.5,1.243,1.325
1.75,1.571,0.833
2.0,1.391,0.897
2.25,1.545,1.041
2.5,1.536,0.72
2.75,1.36,1.349
3.0,1.501,1.096
3.25,1.407,1.373
3.5,1.694,0.407
3.75,1.586,1.152
4.0,1.66,0.974
4.25,1.627,0.845
4.5,1.865,0.885
4.75,1.788,1.543
5.0,1.794,0.474
5.25,1.65,1.004
5.5,1.757,1.228
5.75,1.676,1.081
6.0,1.738,0.767
6.25,1.687,1.39
6.5,1.713,1.239
6.75,1.495,1.235
7.0,1.493,0.708
7.25,1.546,0.973
7.5,1.518,0.875
7.75,1.544,1.087
8.0,1.644,1.174
8.25,1.638,0.97
8.5,1.603,0.778
8.75,1.565,0.845
9.0,1.506,1.233
9.25,1.436,0.581
9.5,1.359,1.342
9.75,1.575,0.612
10.0,1.557,1.189
10.25,1.59,1.145
10.5,1.497,1.422
10.75,1.453,1.283
11.0,1.575,1.174
11.25,1.522,1.235
11.5,1.384,1.037
11.75,1.593,0.983
12.0,1.515,1.038
12.25,1.585,0.934
12.5,1.382,1.213
12.75,1.461,0.965
13.0,1.582,0.723
13.25,1.375,0.839
13.5,1.51,0.883
13.75,1.507,0.824
14.0,1.542,0.65
14.25,1.461,0.82
14.5,1.368,1.036
14.75,1.383,0.806
15.0,1.551,1.196
15.25,1.379,1.166
15.5,1.489,0.626
15.75,1.543,0.701
16.0,1.518,1.529
16.25,1.433,0.837
16.5,1.395,1.07
16.75,1.557,1.154
17.0,1.49,0.939
17.25,1.339,0.621
17.5,1.461,0.917
17.75,1.404,0.814
18.0,1.403,0.954
18.25,1.591,1.425
18.5,1.415,1.158
18.75,1.595,1.044
19.0,1.38,0.642
19.25,1.446,1.222
19.5,1.379,0.461
19.75,1.488,1.064
20.0,1.285,1.377
20.25,1.39,0.746
20.5,1.421,1.137
20.75,1.652,0.965
21.0,1.792,1.168
21.25,1.733,0.92
21.5,1.566,0.903
21.75,1.776,0.827
22.0,1.891,0.822
22.25,1.737,0.889
22.5,1.642,0.836
22.75,1.639,1.315
23.0,1.679,2.34
23.25,1.665,2.025
23.5,1.708,2.001
23.75,1.579,2.039
24.0,1.637,2.732
24.25,1.695,2.135
24.5,1.704,2.104
24.75,1.616,1.908
25.0,1.549,2.047
25.25,1.775,1.957
25.5,1.598,1.989
25.75,1.638,1.999
26.0,1.629,2.209
26.25,1.687,2.261
26.5,1.709,2.285
26.75,1.596,2.287
27.0,1.53,2.341
27.25,1.734,2.125
27.5,1.718,2.342
27.75,1.743,2.368
28.0,1.737,2.609
28.25,1.629,2.248
28.5,1.696,2.446
28.75,1.613,1.786
29.0,1.61,2.179
29.25,1.623,2.459
29.5,1.56,2.142
29.75,1.593,2.418
30.0,1.599,1.665
30.25,1.628,1.364
30.5,1.674,1.754
30.75,1.87,1.997
31.0,1.786,2.199
31.25,1.644,2.251
31.5,1.659,2.139
31.75,1.608,2.35
32.0,1.801,2.092
32.25,1.421,2.279
32.5,1.643,2.521
32.75,1.647,2.604
33.0,1.595,2.512
33.25,1.551,1.324
33.5,1.629,1.716
33.75,1.638,1.745
34.0,1.712,2.237
34.25,1.544,1.825
34.5,1.667,2.168
34.75,1.695,2.201
35.0,1.721,1.87
35.25,1.742,2.275
35.5,1.649,2.282
35.75,1.603,2.338
36.0,1.461,2.591
36.25,1.819,2.004
36.5,1.561,0.821
36.75,1.38,0.616
37.0,1.611,0.819
37.25,1.545,0.862
37.5,1.543,0.98
37.75,1.495,0.762
38.0,1.597,1.028
38.25,1.631,1.116
38.5,1.581,1.106
38.75,1.699,0.754
39.0,1.675,0.901
39.25,1.563,0.73
39.5,1.575,0.837
39.75,1.668,0.772
40.0,1.719,1.271
40.25,1.619,0.94
40.5,1.567,0.645
40.75,1.596,1.602
41.0,1.566,0.601
41.25,1.484,0.769
41.5,1.399,0.837
41.75,1.561,1.603
42.0,1.759,1.499
42.25,1.414,0.895
42.5,1.674,1.097
42.75,1.678,1.137
43.0,1.516,1.05
43.25,1.552,1.044
43.5,1.522,0.814
43.75,1.566,1.541
44.0,1.598,1.484
44.25,1.876,0.948
44.5,1.658,1.243
44.75,1.464,1.091
45.0,1.637,1.78
45.25,1.573,0.758
45.5,1.73,0.965
45.75,1.592,0.9
46.0,1.783,0.794
46.25,1.484,1.289
46.5,1.776,1.226
46.75,1.698,0.81
47.0,1.641,0.752
47.25,1.632,0.829
47.5,1.606,0.715
47.75,1.75,1.17
48.0,1.725,0.751
48.25,1.48,1.101
48.5,1.751,1.994
48.75,1.67,1.25
49.0,1.653,0.775
49.25,1.646,1.111
49.5,1.727,1.419
49.75,1.708,0.734
