time_ns,protein_bb_rmsd_A,ligand_rmsd_A
0.0,0.0,0.0
0.25,0.811,2.35
0.5,1.055,2.799
0.75,0.978,2.438
1.0,1.011,3.082
1.25,1.173,2.868
1.5,1.246,3.018
1.75,1.162,2.718
2.0,1.245,2.899
2.25,1.213,2.859
2.5,1.305,2.612
2.75,1.227,2.807
3.0,1.214,2.933
3.25,1.201,3.675
3.5,1.319,3.489
3.75,1.401,3.466
4.0,1.44,3.017
4.25,1.276,3.109
4.5,1.288,3.217
4.75,1.165,3.571
5.0,1.128,3.437
5.25,1.225,2.893
5.5,1.417,2.883
5.75,1.422,3.238
6.0,1.317,2.868
6.25,1.348,2.75
6.5,1.319,3.021
6.75,1.539,2.73
7.0,1.537,2.734
7.25,1.396,2.93
7.5,1.695,3.118
7.75,1.653,2.813
8.0,1.601,3.023
8.25,1.543,2.946
8.5,1.349,2.977
8.75,1.342,3.065
9.0,1.459,3.047
9.25,1.406,3.133
9.5,1.606,3.45
9.75,1.371,2.881
10.0,1.372,2.828
10.25,1.368,3.285
10.5,1.513,3.046
10.75,1.497,3.09
11.0,1.498,3.126
11.25,1.383,3.224
11.5,1.316,2.946
11.75,1.484,2.946
12.0,1.6,3.068
12.25,1.585,2.78
12.5,1.511,3.076
12.75,1.402,3.127
13.0,1.429,3.182
13.25,1.509,5.547
13.5,1.406,3.697
13.75,1.602,3.215
14.0,1.429,3.233
14.25,1.387,3.787
14.5,1.35,4.067
14.75,1.365,3.688
15.0,1.38,3.328
15.25,1.364,3.131
15.5,1.588,3.579
15.75,1.617,3.681
16.0,1.506,2.973
16.25,1.538,3.211
16.5,1.514,3.872
16.75,1.663,3.115
17.0,1.735,3.159
17.25,1.81,3.176
17.5,1.729,3.023
17.75,1.791,4.148
18.0,1.664,4.544
18.25,1.603,3.043
18.5,1.651,3.056
18.75,1.721,3.297
19.0,1.732,3.759
19.25,1.628,3.481
19.5,1.574,3.001
19.75,1.72,3.41
20.0,1.719,3.113
20.25,1.723,4.649
20.5,1.636,3.419
20.75,1.519,4.442
21.0,1.6,4.061
21.25,1.682,3.326
21.5,1.613,3.592
21.75,1.57,3.332
22.0,1.414,3.815
22.25,1.493,3.064
22.5,1.553,3.152
22.75,1.535,2.818
23.0,1.574,3.445
23.25,1.562,3.59
23.5,1.641,3.2
23.75,1.401,4.778
24.0,1.572,3.263
24.25,1.537,3.667
24.5,1.442,3.297
24.75,1.68,3.832
25.0,1.573,3.041
25.25,1.523,3.261
25.5,1.662,4.0
25.75,1.45,4.301
26.0,1.564,3.16
26.25,1.644,4.176
26.5,1.591,3.193
26.75,1.735,3.587
27.0,1.647,2.731
27.25,1.47,2.618
27.5,1.364,3.116
27.75,1.513,2.982
28.0,1.423,3.068
28.25,1.404,2.941
28.5,1.504,3.393
28.75,1.757,3.337
29.0,1.512,2.782
29.25,1.466,2.9
29.5,1.532,3.693
29.75,1.566,2.976
30.0,1.521,4.201
30.25,1.416,2.851
30.5,1.457,3.067
30.75,1.487,2.946
31.0,1.504,3.239
31.25,1.43,5.012
31.5,1.428,4.916
31.75,1.53,2.822
32.0,1.481,3.708
32.25,1.733,3.272
32.5,1.826,3.717
32.75,1.826,3.04
33.0,1.879,2.531
33.25,1.881,3.162
33.5,1.971,4.618
33.75,2.087,5.757
34.0,2.048,5.125
34.25,2.138,5.668
34.5,2.073,5.19
34.75,2.196,5.418
35.0,2.027,3.058
35.25,1.847,2.784
35.5,2.019,2.795
35.75,1.941,3.332
36.0,1.927,3.119
36.25,2.031,2.986
36.5,1.884,2.838
36.75,1.983,3.035
37.0,2.123,3.434
37.25,2.044,3.694
37.5,1.934,4.052
37.75,1.867,5.894
38.0,2.061,6.455
38.25,2.219,6.261
38.5,1.611,4.027
38.75,1.847,4.259
39.0,1.611,2.205
39.25,1.719,4.628
39.5,1.976,5.166
39.75,1.675,4.259
40.0,1.834,4.616
40.25,1.587,4.349
40.5,1.641,4.565
40.75,1.647,4.493
41.0,1.646,4.615
41.25,1.713,5.984
41.5,1.873,4.439
41.75,1.699,5.293
42.0,1.621,4.638
42.25,1.799,4.543
42.5,1.795,4.523
42.75,2.01,3.74
43.0,2.414,2.837
43.25,2.028,2.83
43.5,1.693,3.356
43.75,1.724,4.602
44.0,1.843,3.256
44.25,1.779,2.888
44.5,1.714,3.06
44.75,1.77,2.775
45.0,1.921,3.127
45.25,1.763,4.954
45.5,1.827,4.802
45.75,1.738,4.677
46.0,1.865,4.686
46.25,1.708,4.518
46.5,1.865,2.433
46.75,1.679,3.645
47.0,2.095,2.853
47.25,1.815,3.601
47.5,2.042,3.192
47.75,1.768,3.78
48.0,1.782,4.427
48.25,1.859,3.168
48.5,1.908,4.123
48.75,1.935,4.586
49.0,1.76,3.88
49.25,1.899,2.868
49.5,1.895,4.02
49.75,1.944,3.77
