#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,120.00000000005473,-499922.00307636126,297.4216168617528,1.02911683627681,0
10000,140.00000000003652,-499563.91713200184,298.707542642313,1.025042493164519,110
15000,159.9999999999899,-498146.19783480326,298.9983668620747,1.0220388938756824,110
20000,179.9999999999433,-499807.3755221702,303.11440613180685,1.0296998327828477,110
25000,199.9999999998967,-499748.8365372154,300.5786069935685,1.0296049246247652,110
30000,219.99999999985008,-499847.12575782277,300.01755573901477,1.0300877857262858,110
35000,239.99999999980346,-500314.25335084484,299.91125033268327,1.024379659436055,110
40000,259.99999999978525,-500034.9918089174,300.8422165353221,1.0280842402985277,110
45000,279.99999999988074,-500065.3386338614,298.68412238567356,1.0252186305323574,109
50000,299.99999999997624,-499705.4374452494,301.04520331383526,1.027937355806479,109
55000,320.00000000007174,-499715.3488940776,299.1626440213948,1.0301948119704905,109
60000,340.00000000016723,-499277.32272835495,302.21012444377305,1.0280863887797052,109
65000,360.00000000026273,-499506.02367417817,297.83852790863983,1.0236027869647517,109
70000,380.0000000003582,-499758.7674396117,300.1421918754405,1.0252670623430862,109
65000,360.00000000026273,-499449.928015874,299.07496860307356,1.024329462442579,0
70000,380.0000000003582,-498605.3990649993,302.81606737099906,1.025655782085139,109
75000,400.0000000004537,-499631.4735467583,302.98216920012135,1.0274094614288076,109
80000,420.0000000005492,-499911.4014519821,304.2081419943921,1.0269445429393087,108
85000,440.0000000006447,-500603.75555398106,301.6563062581768,1.0259384607945403,108
90000,460.0000000007402,-499533.35654670023,302.99265430411725,1.0258461174373756,108
95000,480.0000000008357,-499825.07059050375,296.87205554127314,1.0274192296000957,108
100000,500.0000000009312,-499827.9205821119,301.9798792173847,1.0277145580757858,108
105000,520.0000000010267,-499709.98446358694,301.41799570551535,1.0285813246239373,108
110000,540.0000000011222,-499470.4603412959,300.9842523124865,1.028098868350859,108
115000,560.0000000012177,-500723.9580279747,301.21487156066064,1.0269672981219458,108
120000,580.0000000013132,-500206.9859843652,300.8944691477652,1.0296711440240147,108
125000,600.0000000014087,-500022.02552191354,302.23622520218566,1.0290765437931702,108
130000,620.0000000015042,-500566.9455795605,301.9915432642666,1.0289623231601346,107
135000,640.0000000015997,-499528.6230137786,304.5330119408051,1.027747624511012,107
140000,660.0000000016952,-500638.24795195693,300.2456002833282,1.025821423003178,107
145000,680.0000000017907,-498784.3279155267,301.2793556856591,1.0208335887783222,107
150000,700.0000000018862,-500401.34222049196,302.31070263472975,1.0230697516441734,107
155000,720.0000000019817,-499927.06998990267,302.2999803133435,1.0248225086424254,107
160000,740.0000000020772,-500366.65290332306,300.92197818689743,1.0317011718978875,107
165000,760.0000000021727,-500193.0962615027,301.8848417837212,1.0251427019400372,107
170000,780.0000000022682,-499682.10646616016,301.28065633758973,1.0302283922574733,107
175000,800.0000000023637,-500269.2201555439,299.1511624940715,1.0238076617047627,107
180000,820.0000000024592,-499869.49718718533,299.0683238949707,1.0289313744675292,107
185000,840.0000000025547,-500095.3653343029,301.9396224273181,1.0274271989336072,107
190000,860.0000000026502,-500909.766207966,299.714880080007,1.0293848047811047,107
195000,880.0000000027457,-500140.66381004034,300.0595365948013,1.0304255655554384,107
200000,900.0000000028411,-500129.43469419796,301.0320029370152,1.0270699779413697,107
205000,920.0000000029366,-499693.3581366923,300.40223977824337,1.0264235833397468,107
210000,940.0000000030321,-499336.4537113565,302.86229179369985,1.0268513274410425,107
215000,960.0000000031276,-498647.3111457131,303.23476014982697,1.0281616385460135,107
220000,980.0000000032231,-499302.5025241112,298.61896483664077,1.0260304452458153,107
225000,1000.0000000033186,-500928.0207237622,300.2862869164685,1.025146414293777,107
230000,1020.0000000034141,-500805.7895121961,299.1099112426499,1.0269672817915696,107
235000,1040.0000000030548,-500723.9085294504,300.38117875801663,1.026817597737621,107
240000,1060.0000000025818,-500299.830881773,300.2062255803485,1.0266158928662692,107
245000,1080.000000002109,-500015.00575317256,301.94710724132216,1.0281388973049408,107
250000,1100.000000001636,-500676.1245282432,302.1427318244269,1.0295854979412942,107
255000,1120.000000001163,-499742.56716016633,300.9498194370556,1.029538771149604,107
260000,1140.00000000069,-500447.1307592676,301.07390942252374,1.0248453440747753,107
265000,1160.0000000002171,-498898.0178475708,303.3271110740967,1.027660819421341,107
270000,1179.9999999997442,-500332.82913563866,301.91318933786863,1.0320398338284218,107
275000,1199.9999999992713,-499175.65615617065,301.2839210493796,1.0259389777062675,107
280000,1219.9999999987983,-499355.9682161873,300.58727987269975,1.0235825567403725,107
285000,1239.9999999983254,-500385.37941242405,300.3075598396734,1.031039903581296,107
290000,1259.9999999978525,-500230.8719826548,298.78108872694935,1.027515772526899,107
295000,1279.9999999973795,-500550.26893472974,301.105360579789,1.0270440470560749,107
300000,1299.9999999969066,-500492.77221703343,299.4523384483105,1.0258095980874082,107
305000,1319.9999999964336,-498888.3264030791,301.6909844568258,1.0296224681222157,107
310000,1339.9999999959607,-500470.3453498923,299.12999819510736,1.031010499520614,107
315000,1359.9999999954878,-499679.4554768575,302.7305370564297,1.0278675569828182,107
320000,1379.9999999950148,-499703.4887906525,300.23515604394095,1.0272702664272348,107
325000,1399.999999994542,-498651.5144872267,301.89958421717836,1.023731617495905,107
330000,1419.999999994069,-499412.49784808536,301.86310152692096,1.0272009554736223,107
335000,1439.999999993596,-500663.1157296244,298.9748188945033,1.0293480303653806,107
340000,1459.999999993123,-500192.52334561525,302.944743111779,1.0260345450587607,107
345000,1479.9999999926501,-500042.0442027282,300.28248906618273,1.0269562652585589,107
350000,1499.9999999921772,-499726.94287889986,300.5216089857466,1.0248019106638369,107
355000,1519.9999999917043,-500114.2588717651,298.35983503416986,1.0276511391573373,107
360000,1539.9999999912313,-499674.45528110885,302.33420610479544,1.027812098029085,107
365000,1559.9999999907584,-499625.3835613888,301.7888575541893,1.025787407077885,107
370000,1579.9999999902855,-498796.1812419265,300.06149056603294,1.0277288166176828,107
375000,1599.9999999898125,-499959.595515023,298.71543103624435,1.0246034087005829,107
380000,1619.9999999893396,-499147.78280446725,301.294418713334,1.0271602806662405,107
385000,1639.9999999888666,-500701.3907112216,299.68293049580654,1.0272414249030186,107
390000,1659.9999999883937,-500875.0643141414,301.2520089343694,1.0288793723100849,107
395000,1679.9999999879208,-500122.08812046936,300.5335037870974,1.0245000506771005,107
400000,1699.9999999874478,-498624.759506874,301.86110392613614,1.0237533461509276,107
405000,1719.999999986975,-500687.64612561977,300.05152715064855,1.026983896527268,107
410000,1739.999999986502,-499508.40181064536,300.659025868648,1.0292306332512147,107
415000,1759.999999986029,-499023.6828093808,300.40892600233775,1.0282504180891416,107
420000,1779.999999985556,-501493.560994626,300.25822692318354,1.029872646195441,107
425000,1799.9999999850832,-500348.51025169156,301.8893410483345,1.0299636711773876,107
430000,1819.9999999846102,-499248.79174763453,298.99695689150855,1.0246985221635008,107
435000,1839.9999999841373,-499444.42308709864,299.4425919350148,1.0261921519009944,107
440000,1859.9999999836643,-499486.7082852877,300.63582322391574,1.0207272625531152,107
445000,1879.9999999831914,-500000.8795414665,301.2581494304151,1.0231279493219099,107
450000,1899.9999999827185,-500780.7430257448,299.5410480820452,1.0295537129322796,107
455000,1919.9999999822455,-499785.432649344,297.91002765477543,1.0259788005293402,107
460000,1939.9999999817726,-499971.01094752224,299.66738210324877,1.0271758326755425,107
465000,1959.9999999812997,-500201.52788187214,299.7453726636895,1.0287139108112395,107
470000,1979.9999999808267,-499917.12023366964,298.7891811442013,1.026165810912658,107
475000,1999.9999999803538,-500776.00286902394,302.3719115104175,1.0291921890650257,107
480000,2019.9999999798808,-500073.2221538569,302.1400448054603,1.0258935520801593,107
485000,2039.999999979408,-500148.13544995454,300.5513923347109,1.0242565606113743,107
490000,2059.999999978935,-499887.02040574513,300.93953749664945,1.0259873900336802,107
495000,2079.9999999784623,-500814.2425207724,303.38513964430877,1.0335744607279793,107
500000,2099.9999999779893,-501109.7723126819,298.15311436208333,1.0265008564250653,107
505000,2119.9999999775164,-500980.4653930154,300.0907098901228,1.028384657654917,107
510000,2139.9999999770434,-500496.7415161482,301.51625329201516,1.026276031092438,107
515000,2159.9999999765705,-499512.10377332265,300.40644786809486,1.023011340310068,107
520000,2179.9999999760976,-500225.45402904996,300.310290226447,1.027889699773583,107
525000,2199.9999999756246,-500876.03166065295,302.4256275911713,1.0318683296891653,107
530000,2219.9999999751517,-500190.6292232841,302.5757276427417,1.0258060665017852,107
