time_ns,protein_bb_rmsd_A,ligand_rmsd_A
0.0,0.0,0.0
0.25,0.99,1.931
0.5,1.178,2.362
0.75,1.299,2.173
1.0,1.348,1.954
1.25,1.715,2.828
1.5,1.797,2.126
1.75,1.657,2.095
2.0,1.851,1.772
2.25,1.763,1.751
2.5,1.834,1.953
2.75,1.73,1.766
3.0,1.744,2.131
3.25,1.657,2.458
3.5,1.607,4.274
3.75,1.519,1.671
4.0,1.582,1.862
4.25,1.88,2.327
4.5,1.634,2.11
4.75,1.816,1.853
5.0,1.777,2.32
5.25,1.663,2.15
5.5,1.799,2.733
5.75,1.972,1.819
6.0,2.065,1.875
6.25,1.783,1.477
6.5,1.977,2.788
6.75,1.993,2.843
7.0,1.805,3.065
7.25,1.727,3.175
7.5,1.741,2.605
7.75,1.719,3.457
8.0,1.683,4.244
8.25,1.953,4.707
8.5,1.985,5.074
8.75,1.946,3.622
9.0,1.972,1.997
9.25,1.945,2.929
9.5,2.23,3.892
9.75,1.995,2.168
10.0,1.934,1.868
10.25,1.998,2.354
10.5,1.944,2.47
10.75,2.127,2.011
11.0,2.119,6.211
11.25,1.946,2.322
11.5,2.201,2.519
11.75,1.967,1.837
12.0,1.944,1.738
12.25,2.104,2.359
12.5,1.709,2.256
12.75,1.783,1.701
13.0,1.666,1.881
13.25,1.577,2.013
13.5,1.733,2.537
13.75,1.744,2.265
14.0,1.744,1.902
14.25,1.828,2.155
14.5,1.677,2.793
14.75,1.869,2.063
15.0,1.75,1.874
15.25,1.757,1.933
15.5,1.586,2.081
15.75,1.763,2.073
16.0,1.669,1.936
16.25,1.514,1.868
16.5,1.613,2.106
16.75,1.754,2.05
17.0,1.899,1.88
17.25,1.829,1.68
17.5,1.789,1.368
17.75,1.793,1.629
18.0,1.739,1.436
18.25,1.646,1.459
18.5,1.829,1.795
18.75,1.797,1.897
19.0,1.762,2.183
19.25,1.66,1.777
19.5,1.822,1.62
19.75,1.61,1.357
20.0,1.515,1.388
20.25,1.489,1.908
20.5,1.588,1.414
20.75,1.637,1.745
21.0,1.697,1.739
21.25,1.682,2.288
21.5,1.701,1.864
21.75,1.704,1.612
22.0,1.542,1.917
22.25,1.645,2.196
22.5,1.546,2.142
22.75,1.595,2.519
23.0,1.71,1.905
23.25,1.502,1.949
23.5,1.513,1.56
23.75,1.586,1.451
24.0,1.789,1.883
24.25,1.718,1.615
24.5,1.668,1.843
24.75,1.486,2.303
25.0,1.604,2.28
25.25,1.574,1.898
25.5,1.708,2.246
25.75,1.717,1.796
26.0,1.807,1.747
26.25,1.814,2.118
26.5,1.918,1.878
26.75,1.778,3.711
27.0,2.019,1.862
27.25,1.971,1.858
27.5,1.85,2.12
27.75,1.849,1.715
28.0,1.789,2.036
28.25,1.913,2.377
28.5,1.782,2.057
28.75,1.685,1.479
29.0,1.709,2.127
29.25,1.605,1.97
29.5,1.582,1.914
29.75,1.684,1.575
30.0,1.663,1.944
30.25,1.747,1.682
30.5,1.817,1.643
30.75,1.887,1.779
31.0,1.666,1.694
31.25,1.706,2.022
31.5,1.927,2.038
31.75,1.836,2.029
32.0,1.865,1.762
32.25,1.765,1.715
32.5,1.877,2.213
32.75,1.797,2.19
33.0,1.773,2.273
33.25,1.714,1.943
33.5,1.764,1.442
33.75,2.019,2.128
34.0,1.959,1.545
34.25,1.917,1.836
34.5,2.029,2.105
34.75,1.996,2.229
35.0,1.874,2.316
35.25,1.941,2.027
35.5,1.922,2.523
35.75,1.867,1.874
36.0,1.857,1.45
36.25,1.778,1.775
36.5,1.967,1.818
36.75,1.983,2.041
37.0,1.999,1.689
37.25,1.913,1.931
37.5,2.013,1.344
37.75,1.887,2.437
38.0,1.73,2.603
38.25,2.001,1.942
38.5,1.967,2.423
38.75,1.83,1.965
39.0,1.905,1.936
39.25,1.941,2.045
39.5,1.757,1.817
39.75,1.712,1.722
40.0,1.579,1.606
40.25,2.196,1.891
40.5,1.973,2.115
40.75,1.929,2.741
41.0,1.865,3.308
41.25,2.063,1.626
41.5,2.029,2.483
41.75,2.026,2.368
42.0,2.033,1.867
42.25,1.967,1.835
42.5,2.074,1.88
42.75,2.13,1.678
43.0,1.932,1.901
43.25,1.801,2.618
43.5,1.929,2.717
43.75,2.078,2.97
44.0,2.042,3.514
44.25,1.835,2.919
44.5,1.888,2.001
44.75,1.982,1.734
45.0,1.996,2.17
45.25,2.04,1.549
45.5,2.316,2.061
45.75,2.026,1.966
46.0,2.033,1.616
46.25,2.116,1.916
46.5,2.13,1.9
46.75,2.087,2.126
47.0,2.032,2.716
47.25,2.004,2.876
47.5,2.129,2.015
47.75,1.919,2.176
48.0,2.004,2.936
48.25,2.007,2.485
48.5,2.088,2.384
48.75,2.135,2.207
49.0,2.033,2.34
49.25,2.052,1.994
49.5,2.112,1.851
49.75,1.969,2.282
