#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,120.00000000005473,-511544.1837968023,300.51105637450206,1.02914545378534,--
10000,140.00000000003652,-511856.2906101614,302.25297904127456,1.0273759176472312,105
15000,159.9999999999899,-511930.45705693075,300.32688943738225,1.025133890828114,105
20000,179.9999999999433,-511772.49538341,298.4765145079781,1.0281549552939668,105
25000,199.9999999998967,-511653.9938902231,301.7259740956527,1.026298356802361,105
30000,219.99999999985008,-512127.52520815725,300.59813987124755,1.0244117620182156,105
35000,239.99999999980346,-511468.5893173849,300.341315613059,1.0243654346388116,105
40000,259.99999999978525,-513147.64740280574,301.10419767093964,1.0277364768197632,105
45000,279.99999999988074,-513136.6464032938,301.60243428612614,1.0282808859561523,105
50000,299.99999999997624,-512895.2361026497,300.57849377959974,1.0259019001575906,105
55000,320.00000000007174,-511882.9386075195,301.2377558752928,1.0273673795755023,104
60000,340.00000000016723,-511649.27515715687,302.7428595684312,1.0296847222626622,104
65000,360.00000000026273,-511907.46979279607,301.5045501595045,1.0269079311699434,104
70000,380.0000000003582,-511088.9259001396,300.72011999242324,1.0236480804064974,104
75000,400.0000000004537,-512423.7747167954,302.0085352283367,1.0273812948436511,104
80000,420.0000000005492,-512046.46896756557,300.0873430579281,1.0232808080448512,104
85000,440.0000000006447,-513350.53551688395,302.6259126531723,1.0286241755652703,104
90000,460.0000000007402,-513118.5377094748,299.1473072354689,1.0246272919756918,104
95000,480.0000000008357,-511943.06070151064,299.9071696650128,1.0269306713030166,104
100000,500.0000000009312,-511399.29446123936,302.1005969976736,1.0224060909027741,104
105000,520.0000000010267,-513098.25728647364,300.19161963288946,1.0275773263294155,104
110000,540.0000000011222,-512360.8387141335,301.49241119668153,1.0287659008145618,104
115000,560.0000000012177,-512379.6203349191,303.658606783079,1.025522077681838,104
120000,580.0000000013132,-512164.72759030527,301.71297005630527,1.0296593455157819,104
125000,600.0000000014087,-511542.74122082605,301.9439121994383,1.025538941600543,104
130000,620.0000000015042,-512552.40534127667,300.53244571856527,1.023096365128718,104
135000,640.0000000015997,-512827.68638682575,301.56746313623046,1.0291684149656826,104
140000,660.0000000016952,-511889.81328347325,298.84435011816555,1.0262889258067236,104
145000,680.0000000017907,-512837.9839621489,302.3965127128013,1.0279121594591327,104
150000,700.0000000018862,-512717.0049471222,303.15201893844767,1.0257177682349146,104
155000,720.0000000019817,-512314.1032267504,300.07191166594845,1.0278334815974544,104
160000,740.0000000020772,-511948.0720189428,303.63068639899,1.022048319388828,104
165000,760.0000000021727,-512848.52561391774,297.56207845175896,1.02669464939483,104
170000,780.0000000022682,-513289.25990761793,300.53631984343997,1.0244986642134413,104
175000,800.0000000023637,-512585.999749735,304.2991365830198,1.0296174468074848,104
180000,820.0000000024592,-512163.528222051,300.8319969392417,1.026681745037007,104
185000,840.0000000025547,-512744.2540676999,301.79407091906387,1.0241324017454592,104
190000,860.0000000026502,-512016.86882726476,301.1260197046976,1.0247740056068022,104
195000,880.0000000027457,-513467.31689217105,301.00258000617833,1.027438249402001,104
200000,900.0000000028411,-512557.0801001685,303.0659540873989,1.025074366513619,104
205000,920.0000000029366,-512052.87613260397,302.3269050944132,1.026082123827286,104
210000,940.0000000030321,-511898.228214124,301.9826540512168,1.0235263380573068,104
215000,960.0000000031276,-511910.95649682474,301.94333981370977,1.023117217121201,104
220000,980.0000000032231,-511937.0215257285,304.0169091144398,1.0287675069126494,104
225000,1000.0000000033186,-511623.26628325647,304.62141026045526,1.0248196147861715,104
230000,1020.0000000034141,-513316.96391052334,303.86512719815397,1.0285641227505247,104
235000,1040.0000000030548,-512674.46382793714,301.1613708076772,1.0265029302985962,104
240000,1060.0000000025818,-512156.46469156304,303.6531284387335,1.0274662422109881,104
245000,1080.000000002109,-510796.4127061614,301.6828571930443,1.0234709783856346,104
250000,1100.000000001636,-510574.28881220147,299.3001042219711,1.0218424385692695,104
255000,1120.000000001163,-510965.4420067398,302.2839812880291,1.023768282788825,104
260000,1140.00000000069,-511845.6904461095,300.97116229685986,1.0241421327605675,104
265000,1160.0000000002171,-513526.6910618583,300.50706183152533,1.0298228116891794,104
270000,1179.9999999997442,-512371.928454275,301.1768860355497,1.0239202839114314,104
275000,1199.9999999992713,-512365.10575220594,300.1294301825788,1.0231043261501087,104
280000,1219.9999999987983,-512013.8172239461,300.7555271225538,1.0268635850835515,104
285000,1239.9999999983254,-513485.5738808422,300.6769337397106,1.0295475923743005,104
290000,1259.9999999978525,-512988.0262553678,302.18172364606994,1.024457849816453,104
295000,1279.9999999973795,-512786.4263695653,299.1059526521633,1.026058929931344,104
300000,1299.9999999969066,-511409.66281163134,302.3953746642469,1.0210420023839197,104
305000,1319.9999999964336,-511806.71619974053,301.2627618408753,1.0290002159537406,104
310000,1339.9999999959607,-511693.93751111696,301.44555040196263,1.0279738607964006,104
315000,1359.9999999954878,-512198.4117516151,303.06839800672094,1.0292400327183586,104
320000,1379.9999999950148,-513195.1668137985,297.7556652354181,1.0251462919084768,104
325000,1399.999999994542,-511202.95634588273,301.2025010319056,1.0238162904700379,104
330000,1419.999999994069,-512621.31536422134,301.12411441451843,1.0277482577715356,104
335000,1439.999999993596,-511976.65022806986,300.73123027457336,1.0240616701854972,104
340000,1459.999999993123,-512730.8673504845,302.8840311008436,1.0254449955883542,104
345000,1479.9999999926501,-512435.8863545442,303.5355905461624,1.0278017861021755,104
350000,1499.9999999921772,-511548.35748935817,299.8065084561166,1.0264826417825292,104
355000,1519.9999999917043,-512325.3826522967,301.9941226476741,1.0282612816960348,104
360000,1539.9999999912313,-512215.4286569052,300.1234129664393,1.0269506116733187,104
365000,1559.9999999907584,-512396.0139511721,297.6379490757358,1.0262593197124523,104
370000,1579.9999999902855,-512750.73124259245,301.2164950957368,1.0302106447327357,104
375000,1599.9999999898125,-511800.23001248855,298.3689207873753,1.0222789469591256,104
380000,1619.9999999893396,-513110.1624753284,300.31740306372797,1.0265906636066306,104
385000,1639.9999999888666,-511453.03285791515,302.24098144517967,1.0237713909329613,104
390000,1659.9999999883937,-512013.02350248466,302.8986958373743,1.025271272983408,104
395000,1679.9999999879208,-512641.84957276285,302.58046876802837,1.0308049529985672,104
400000,1699.9999999874478,-512438.89748879126,300.50334729721675,1.026452090156137,104
405000,1719.999999986975,-511941.13420958957,300.85731855917743,1.0291291244523508,104
410000,1739.999999986502,-512938.07157792477,303.339815967926,1.0293942886194154,104
415000,1759.999999986029,-511676.3031462659,298.1288146558017,1.0265109833151833,104
420000,1779.999999985556,-512392.6872727494,301.78431989290397,1.0286020267899636,104
425000,1799.9999999850832,-513542.1186229454,300.3114768473836,1.0254130328951903,104
430000,1819.9999999846102,-512910.3124439488,299.2753537370608,1.02573535266559,104
435000,1839.9999999841373,-512254.74186715344,301.79670233604946,1.0276955895542792,104
440000,1859.9999999836643,-512499.4928858797,302.10475784564346,1.0276021603906502,104
445000,1879.9999999831914,-513497.1542123889,301.90058570102514,1.0219468255568127,104
450000,1899.9999999827185,-512911.1720688022,301.8326578751569,1.026140450230546,104
455000,1919.9999999822455,-512508.3099387302,301.6087424021434,1.025458529834209,104
460000,1939.9999999817726,-512283.24176129256,302.48397866674964,1.0233617836876643,104
465000,1959.9999999812997,-513171.33455907577,299.4570941330961,1.0277112631039091,104
470000,1979.9999999808267,-510899.3377097391,299.97604426342065,1.019139714400637,104
475000,1999.9999999803538,-511801.8020315494,301.80851875207105,1.0181690685854785,104
480000,2019.9999999798808,-512545.52212390304,302.6075361755858,1.0262893686823797,104
485000,2039.999999979408,-511684.27238963335,300.33574556788926,1.027340294298436,104
490000,2059.999999978935,-512422.53527155635,300.48975795055657,1.0263625881281226,104
495000,2079.9999999784623,-511644.9327662424,301.8403581009459,1.0255781376039494,104
500000,2099.9999999779893,-511917.1298068841,301.23569781755765,1.024323399323521,104
505000,2119.9999999775164,-513378.49308591406,299.51698331503746,1.0290740958350537,104
510000,2139.9999999770434,-512026.5275906264,303.0507538820999,1.023943089241755,104
515000,2159.9999999765705,-513305.3088411377,300.66866982864286,1.0282568297259027,104
520000,2179.9999999760976,-512025.98089218885,299.5780656485573,1.0255453957002834,104
525000,2199.9999999756246,-512165.15364617575,300.54463778773356,1.0281410352956877,104
530000,2219.9999999751517,-513629.53494627983,298.8740839342643,1.0263918334358495,104
535000,2239.9999999746788,-512246.04987958795,301.9485905387875,1.0228306289017108,104
540000,2259.999999974206,-512118.52555297595,298.7921097529363,1.0271531271015926,104
545000,2279.999999973733,-513282.6070633838,297.2926617637534,1.0298259936911058,104
550000,2299.99999997326,-512653.22448845534,301.67929714001895,1.02823808779706,104
555000,2319.999999972787,-511780.1326489034,298.9954295234983,1.0281599816291347,104
560000,2339.999999972314,-512877.59347995115,300.694222147389,1.0276304907975746,104
565000,2359.999999971841,-512399.48161773547,298.3381519220936,1.029935418075658,104
570000,2379.999999971368,-514481.3008675829,302.5867061304216,1.0354823790221759,104
575000,2399.9999999708953,-512472.1670932146,300.7747575219137,1.0260027850522464,104
580000,2419.9999999704223,-511897.9306768365,302.422121110822,1.025690581000486,104
585000,2439.9999999699494,-511649.3272791826,301.221730130455,1.0213886122081757,104
590000,2459.9999999694764,-511506.8404146526,301.9982161026832,1.0229358666666915,104
595000,2479.9999999690035,-511780.62049931055,301.8185914957955,1.028204792842891,104
600000,2499.9999999685306,-511331.23833398265,301.31001563105747,1.0274223942422736,104
605000,2519.9999999680576,-513539.6369793841,299.11609648053235,1.0270967216748388,104
610000,2539.9999999675847,-511604.3244304175,301.90010742473123,1.0224419480745226,104
615000,2559.9999999671118,-512711.19666327094,300.1446562918792,1.0188897037057267,104
620000,2579.999999966639,-511546.1720916373,300.90827993649316,1.0195005675688187,104
625000,2599.999999966166,-511831.5705149621,301.65190688139154,1.0253809365239568,104
630000,2619.999999965693,-511858.82063303865,301.9712001618409,1.0228235464074116,104
635000,2639.99999996522,-512134.4042197475,302.0539894851742,1.0241443564675994,104
640000,2659.999999964747,-512864.7398271428,300.0464509897178,1.0275617876948966,104
645000,2679.999999964274,-511222.2524080961,305.2544326121281,1.0277779897211374,104
650000,2699.999999963801,-512936.1388735636,302.10098538956936,1.0265169797556772,104
655000,2719.9999999633283,-513055.986545732,299.0874157789195,1.0300175458664917,104
660000,2739.9999999628553,-512539.3561736392,301.98375757638144,1.0296636383419915,104
665000,2759.9999999623824,-512653.5554321129,300.252849518838,1.0234136246327776,104
670000,2779.9999999619095,-512348.35527118226,301.89557503078186,1.025491899082201,104
675000,2799.9999999614365,-512614.33031919925,301.55556275826086,1.0250851020719713,104
680000,2819.9999999609636,-513044.69522433355,301.06735060883204,1.025630912862146,104
685000,2839.9999999604906,-512621.40958160744,302.6207562766993,1.0226837845339327,104
690000,2859.9999999600177,-512574.7300666645,299.879628701711,1.0256208119912538,104
695000,2879.9999999595448,-511958.0871848266,300.4372995330134,1.025425834928249,104
700000,2899.999999959072,-512515.65249086195,301.0144039640748,1.0275973082048688,104
705000,2919.999999958599,-512953.4462913803,300.1900200929505,1.0282704668075913,104
710000,2939.999999958126,-513266.01166839246,301.7307082410908,1.0284775000833875,104
715000,2959.999999957653,-512832.3544635235,301.29930708900525,1.0293043588360618,104
720000,2979.99999995718,-511490.44640414184,300.9117321681633,1.0253466516029675,104
725000,2999.999999956707,-513247.48984956974,298.6635957945786,1.0323875362178185,104
730000,3019.999999956234,-512744.43892137986,301.9120941227588,1.0232352205617912,104
735000,3039.9999999557613,-512659.5083731387,301.49727756715674,1.0255153816534612,104
740000,3059.9999999552883,-512754.5861751677,301.6749162041837,1.027470029440782,104
745000,3079.9999999548154,-511272.40041248826,300.39502897309956,1.0238753670325647,104
750000,3099.9999999543425,-511742.16067495686,299.5645229525352,1.0240932853139797,104
755000,3119.9999999538695,-512594.8475858157,302.95621099676106,1.0276857251659846,104
760000,3139.9999999533966,-511754.1684383624,297.3935174211842,1.027037536002334,104
765000,3159.9999999529236,-513258.7044504434,299.94625709783793,1.0257301318151406,104
770000,3179.9999999524507,-512399.14784353087,298.73135865338486,1.0303806400187856,104
775000,3199.9999999519778,-512256.4222943955,299.9464287672015,1.0231584132443194,104
780000,3219.999999951505,-511750.0042962916,299.48113676717685,1.0245548774779143,104
785000,3239.999999951032,-511736.90671419026,300.7745446220847,1.0272959399717405,104
790000,3259.999999950559,-512707.4742855388,300.4978189887178,1.0270370022980333,104
795000,3279.999999950086,-512340.54831596697,299.19776042604155,1.0253301046350016,104
800000,3299.999999949613,-512559.581746259,302.7985222027639,1.0303619847675916,104
805000,3319.99999994914,-512880.4322007026,304.35411493951125,1.0280772894164345,104
810000,3339.999999948667,-512399.73642328265,300.0500795508871,1.0249747890486962,104
815000,3359.9999999481943,-513473.69350126525,298.34953841342474,1.028378558626415,104
820000,3379.9999999477213,-512198.28117240965,302.05538777067454,1.0240734026918958,104
825000,3399.9999999472484,-511516.41481532436,302.53089769551224,1.0273322680574648,104
830000,3419.9999999467755,-512362.0363338811,303.12333384770096,1.0296093018481753,104
835000,3439.9999999463025,-514852.5030894212,300.4544694869565,1.0324680147293066,104
840000,3459.9999999458296,-512728.6247814342,300.86572382762137,1.026026193717335,104
845000,3479.9999999453566,-512276.3260500068,300.8748098343237,1.0276218934492674,104
850000,3499.9999999448837,-512404.1977732759,302.80866695365006,1.0256255419678006,104
855000,3519.999999944411,-514244.93271431536,300.20558235316713,1.0275952347828803,104
860000,3539.999999943938,-512105.07852591644,303.32121280691877,1.0289271675922638,104
865000,3559.999999943465,-512881.00321643613,300.5807871188222,1.0274586722143648,104
870000,3579.999999942992,-514160.42731780047,300.4325877387365,1.0271108255514125,104
875000,3599.999999942519,-513628.85361268977,300.4581018666117,1.0282408295980334,104
880000,3619.999999942046,-512724.11471203994,302.239408350691,1.0255304272138241,104
885000,3639.999999941573,-512386.05298005743,299.66872729626004,1.0284058718813212,104
890000,3659.9999999411,-513234.8107540875,299.45979774470254,1.0284819536037832,104
895000,3679.9999999406273,-513369.6392315328,300.3165607889546,1.0249148646046096,104
900000,3699.9999999401543,-510907.78510214295,302.140689280763,1.0304494141645097,104
905000,3719.9999999396814,-512579.07086221874,301.0799966271908,1.0245959133599245,104
910000,3739.9999999392085,-513402.45721647795,299.1962015880847,1.0264866385305464,104
915000,3759.9999999387355,-512815.0179606618,301.76160689122776,1.0263059685306328,104
920000,3779.9999999382626,-512929.1676825208,300.15504610666153,1.0237615391582766,104
925000,3799.9999999377897,-512485.5074599595,302.10678577175867,1.024839723425119,104
930000,3819.9999999373167,-512199.84660013486,301.8306699550284,1.0221827367460572,104
935000,3839.999999936844,-512228.2195907971,300.07288438669207,1.0234115361248608,104
940000,3859.999999936371,-513581.62047968013,298.8589491142055,1.0253076532622367,104
945000,3879.999999935898,-512878.02705408004,299.6992450170204,1.0273159847338424,104
950000,3899.999999935425,-513653.33857295127,302.3652093371637,1.0266768765467351,104
955000,3919.999999934952,-512253.9014345263,304.05740662919226,1.0278692708945603,104
960000,3939.999999934479,-512507.03966884036,299.04826691316845,1.02699960248911,104
965000,3959.999999934006,-511682.4555681364,300.0249373320765,1.0228648578404944,104
970000,3979.999999933533,-512093.5937380516,303.2546343201441,1.0279413953383874,104
975000,3999.9999999330603,-511683.8543104767,304.9659374268869,1.024370612775851,104
980000,4019.9999999325873,-510690.2171022056,300.75440513298946,1.0268055148210522,104
985000,4039.9999999321144,-512186.6979991731,300.5907618066986,1.026010188539617,104
990000,4059.9999999316415,-513827.0601577782,302.4809167917385,1.028046217713026,104
995000,4079.9999999311685,-513128.8389963417,301.67695469061573,1.0243073580868787,104
1000000,4099.999999930696,-512079.07865513745,299.30518298700434,1.022463667728165,104
1005000,4119.999999930223,-512716.1527134776,302.3421253614301,1.0216946913342784,104
1010000,4139.99999992975,-512434.4481851356,301.16818127464785,1.0261124057281261,104
1015000,4159.999999929277,-512287.5275664944,299.13004156432766,1.0243591509419658,104
1020000,4179.999999928804,-514100.8841683341,300.74283960378585,1.0290668788651989,104
1025000,4199.999999928331,-512409.2988948135,299.5816269752527,1.0238781790196487,104
1030000,4219.999999927858,-512233.06851192564,303.60269248387806,1.0262842909057044,104
1035000,4239.999999927385,-513095.66018332215,302.58933213320563,1.0267754448411675,104
1040000,4259.999999926912,-512619.53742110403,300.5145778362994,1.0295222098203387,104
1045000,4279.999999926439,-511887.1465662024,297.9617449098738,1.0253183111678443,104
1050000,4299.999999925966,-513680.4863859627,302.69638514630935,1.0265522861689487,104
1055000,4319.999999925493,-513333.5898774958,300.39609803697493,1.0292885901559516,104
1060000,4339.99999992502,-512356.2611518896,300.21828267778255,1.0276436013449293,104
1065000,4359.999999924547,-513253.96217387076,302.84046036309553,1.0282086907044226,104
1070000,4379.9999999240745,-512493.33496084344,299.6529597108877,1.0256192570647378,104
