time_ns,protein_bb_rmsd_A,ligand_rmsd_A
0.0,0.0,0.0
0.25,0.939,2.964
0.5,1.299,2.365
0.75,1.286,1.839
1.0,1.529,2.157
1.25,1.216,1.741
1.5,1.427,2.056
1.75,1.517,2.901
2.0,1.549,3.061
2.25,1.641,2.826
2.5,1.569,2.82
2.75,1.477,3.152
3.0,1.435,2.47
3.25,1.459,2.74
3.5,1.493,2.445
3.75,1.704,2.565
4.0,2.173,2.331
4.25,2.05,2.117
4.5,2.115,2.174
4.75,2.175,2.473
5.0,1.959,2.393
5.25,1.915,3.102
5.5,1.761,3.725
5.75,1.835,3.04
6.0,2.011,2.823
6.25,2.244,3.132
6.5,2.021,2.911
6.75,1.964,3.26
7.0,2.206,2.804
7.25,2.13,3.253
7.5,2.011,2.316
7.75,1.972,2.206
8.0,2.155,3.888
8.25,2.037,3.211
8.5,2.292,2.613
8.75,2.52,3.237
9.0,2.086,3.117
9.25,2.185,2.777
9.5,2.207,3.059
9.75,2.217,3.238
10.0,1.905,3.768
10.25,2.199,3.227
10.5,2.301,3.295
10.75,2.15,2.92
11.0,2.096,3.545
11.25,2.311,3.046
11.5,2.115,3.08
11.75,2.074,3.319
12.0,2.155,3.55
12.25,2.325,2.896
12.5,2.224,2.998
12.75,2.281,2.708
13.0,2.444,2.745
13.25,2.335,2.563
13.5,2.75,3.245
13.75,2.675,3.102
14.0,2.732,3.193
14.25,2.732,2.983
14.5,2.599,3.566
14.75,2.578,3.032
15.0,2.7,3.11
15.25,2.736,2.361
15.5,2.391,2.623
15.75,2.515,3.38
16.0,2.654,2.678
16.25,2.071,2.309
16.5,2.431,2.19
16.75,2.511,2.486
17.0,2.401,2.284
17.25,2.454,4.4
17.5,2.47,2.316
17.75,2.542,2.947
18.0,2.482,3.392
18.25,2.488,3.192
18.5,2.259,3.38
18.75,2.446,3.296
19.0,2.573,3.582
19.25,2.303,3.573
19.5,2.23,3.231
19.75,2.209,3.638
20.0,2.207,2.949
20.25,2.292,3.234
20.5,2.201,3.162
20.75,2.176,2.972
21.0,2.186,2.777
21.25,2.228,3.447
21.5,2.469,3.432
21.75,2.442,3.194
22.0,2.299,3.145
22.25,2.196,2.983
22.5,2.281,3.199
22.75,2.308,3.5
23.0,2.21,3.161
23.25,2.167,3.145
23.5,2.382,3.231
23.75,2.233,3.113
24.0,2.557,3.641
24.25,2.062,2.735
24.5,2.132,2.66
24.75,2.401,2.908
25.0,2.25,2.656
25.25,2.292,2.923
25.5,2.289,3.088
25.75,2.385,2.944
26.0,2.269,2.644
26.25,2.414,2.599
26.5,2.173,2.715
26.75,2.182,2.69
27.0,2.082,2.855
27.25,2.466,2.793
27.5,2.405,3.059
27.75,2.079,2.603
28.0,2.478,3.506
28.25,2.318,2.639
28.5,2.544,2.803
28.75,2.419,2.559
29.0,2.404,2.69
29.25,2.482,3.066
29.5,2.552,3.273
29.75,2.444,3.109
30.0,2.412,3.074
30.25,2.686,3.188
30.5,2.303,3.678
30.75,2.311,3.169
31.0,2.512,3.002
31.25,2.352,2.766
31.5,2.27,2.822
31.75,2.495,2.689
32.0,2.385,2.679
32.25,2.367,2.741
32.5,2.385,2.337
32.75,2.074,2.237
33.0,2.173,2.909
33.25,2.365,3.261
33.5,2.525,3.898
33.75,2.262,3.765
34.0,2.49,4.521
34.25,2.355,3.661
34.5,2.608,3.49
34.75,2.614,3.794
35.0,2.474,3.246
35.25,2.294,3.344
35.5,2.25,3.219
35.75,2.369,3.947
36.0,2.116,3.95
36.25,2.504,3.904
36.5,2.764,4.013
36.75,2.564,4.151
37.0,2.377,3.675
37.25,2.196,3.941
37.5,2.131,4.171
37.75,2.206,3.719
38.0,2.388,3.748
38.25,2.118,3.637
38.5,2.374,3.924
38.75,2.544,3.782
39.0,2.464,4.091
39.25,2.195,3.857
39.5,2.172,4.285
39.75,2.378,4.644
40.0,2.355,4.467
40.25,2.232,2.699
40.5,2.366,3.096
40.75,2.36,3.372
41.0,2.454,3.647
41.25,2.407,4.419
41.5,2.428,4.126
41.75,2.279,4.516
42.0,2.343,3.719
42.25,2.446,3.278
42.5,2.477,2.769
42.75,2.445,2.758
43.0,2.488,2.631
43.25,2.516,2.752
43.5,2.414,2.705
43.75,2.461,2.93
44.0,2.637,3.449
44.25,2.351,3.447
44.5,2.098,3.386
44.75,2.335,3.405
45.0,2.465,3.303
45.25,2.343,3.206
45.5,2.27,5.41
45.75,2.27,5.605
46.0,2.203,4.415
46.25,2.339,4.224
46.5,2.013,4.95
46.75,2.264,4.461
47.0,2.16,4.879
47.25,2.204,5.392
47.5,2.252,4.933
47.75,2.192,3.088
48.0,2.138,4.716
48.25,2.147,3.366
48.5,2.362,3.153
48.75,2.207,3.058
49.0,2.133,3.556
49.25,2.275,3.307
49.5,2.139,3.217
49.75,2.219,3.228
