#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,120.00000000005473,-517326.34177725157,297.87479270845927,1.0262891921802575,--
10000,140.00000000003652,-516757.05706368457,302.64212573412726,1.0259542389657423,104
15000,159.9999999999899,-516338.81762593705,298.11924032256536,1.0282062967473486,104
20000,179.9999999999433,-516997.8290122582,299.1846201068568,1.0236205164810939,104
25000,199.9999999998967,-518731.73848360404,298.41987749178065,1.0300746260826419,104
30000,219.99999999985008,-516347.66773748,299.6039737478142,1.0235761692070724,104
35000,239.99999999980346,-518250.9845125803,300.2209246431679,1.0270781276280414,104
40000,259.99999999978525,-516883.83247797797,299.94921174458693,1.0288681345459514,104
45000,279.99999999988074,-516898.02571386774,301.02730864679637,1.0264755050894097,104
50000,299.99999999997624,-516532.21363915526,300.3905212737425,1.0280270674388146,104
55000,320.00000000007174,-518385.8843024031,299.9348697763918,1.025411756265242,104
60000,340.00000000016723,-517152.49472377193,300.7578742408222,1.0245502259156412,104
65000,360.00000000026273,-518504.9178966109,299.4227122146808,1.0266310876248268,104
70000,380.0000000003582,-517595.0189610368,301.4788032460966,1.026459181878613,104
75000,400.0000000004537,-516360.0120284476,300.7891689855794,1.0238446053749755,104
80000,420.0000000005492,-517050.4541314945,302.25445689113286,1.02434431332238,104
85000,440.0000000006447,-517645.8704575808,299.4807080503991,1.0301778125023755,104
90000,460.0000000007402,-517005.617448424,302.1917366652534,1.022473588414703,102
95000,480.0000000008357,-517258.00520237,300.9683024689352,1.0229934124007491,101
100000,500.0000000009312,-518235.7928894488,301.4843889460182,1.026059936835713,100
105000,520.0000000010267,-517289.83788069873,301.2797783326881,1.0256663293427564,99.3
110000,540.0000000011222,-518024.3444235155,300.7448292751722,1.026651469515836,98.6
115000,560.0000000012177,-518088.8619244804,300.2447745782455,1.0231052546503296,98
120000,580.0000000013132,-517994.1066786831,303.16147303500844,1.0234950247749242,97.4
125000,600.0000000014087,-518483.8743678648,301.6445429628936,1.027901958332574,96.9
130000,620.0000000015042,-518020.56526620965,299.1257133052121,1.0234850815905956,96.4
135000,640.0000000015997,-518032.0781919854,300.37214127777,1.0297431323619577,96
140000,660.0000000016952,-517706.3417795347,300.71725086804025,1.0232450087939766,95.7
145000,680.0000000017907,-518234.9624166251,299.78987091793783,1.0252187052543318,95.3
150000,700.0000000018862,-515795.4144211714,301.3707328426094,1.025379752360436,95
155000,720.0000000019817,-519181.6045345927,301.199799216402,1.0263824734267246,94.7
160000,740.0000000020772,-518219.8585092216,299.1428309236658,1.027717625163306,94.4
165000,760.0000000021727,-517983.6698014564,301.7541020652843,1.0266790856055994,94.2
170000,780.0000000022682,-518187.4391069517,302.13314374253827,1.0252095695682255,94
175000,800.0000000023637,-518101.6345824867,303.67933396284104,1.0240811450702632,93.7
180000,820.0000000024592,-518757.1351823725,300.9571245290333,1.0248242782437766,93.5
185000,840.0000000025547,-517367.4152141826,301.80494788707273,1.0239070871995917,93.3
190000,860.0000000026502,-517528.58186134766,301.8861247089675,1.0259056658764718,93.1
195000,880.0000000027457,-518696.0689571216,301.02753281787886,1.0268791835449822,93
200000,900.0000000028411,-517060.7164607323,299.9078749231065,1.0279408912455172,92.8
205000,920.0000000029366,-518208.65884126886,304.2176282973881,1.0279264262674344,92.7
210000,940.0000000030321,-518318.24941559904,300.98264100353117,1.0242754401463197,92.5
215000,960.0000000031276,-518437.7373564984,297.66618790375975,1.0252576579046389,83.2
220000,980.0000000032231,-518474.2389853175,302.4923350569153,1.0249848748896613,83.7
225000,1000.0000000033186,-518258.49025168456,299.47090882768777,1.025339175352876,84.1
230000,1020.0000000034141,-518188.2777762327,300.99510459774274,1.0280483723389753,84.4
235000,1040.0000000030548,-517284.37790864403,301.9058962023213,1.0263135856311865,84.8
240000,1060.0000000025818,-517947.39157380397,299.2151761215522,1.0270506666735184,85.1
245000,1080.000000002109,-518955.65279790736,302.01047445016883,1.0275929559138337,85.5
250000,1100.000000001636,-518576.2347108179,297.8030828245084,1.0250069335105199,85.8
255000,1120.000000001163,-518733.1199635379,300.1784734592991,1.0253912794907591,86.1
260000,1140.00000000069,-518200.2396869075,299.86266514773246,1.0233501978648816,86.4
265000,1160.0000000002171,-517407.741315627,301.43438066628505,1.0244296926649112,86.7
270000,1179.9999999997442,-517792.1653240074,302.7106608401283,1.0249728765545276,86.9
275000,1199.9999999992713,-518240.3918670055,303.02918566671093,1.0226902049419746,87.2
280000,1219.9999999987983,-517185.54550923593,301.21427830488193,1.0286396967024045,87.4
285000,1239.9999999983254,-517437.140742884,301.0373850700432,1.0254010264607205,87.7
290000,1259.9999999978525,-517556.2136024893,301.00266667616637,1.0228620985840478,87.9
295000,1279.9999999973795,-517440.4877700531,302.527616602003,1.0273137356577793,88.2
300000,1299.9999999969066,-518480.51717474614,303.21922600683564,1.0283407520586116,88.4
305000,1319.9999999964336,-519044.30786715634,299.92562252174963,1.0250042960827426,88.6
310000,1339.9999999959607,-518353.0945925026,298.0533927330719,1.0230517905643999,88.8
315000,1359.9999999954878,-517468.9245720706,301.82003162037364,1.0248012882404864,89
320000,1379.9999999950148,-518844.47688793833,301.18016914140253,1.0309770933335995,89.2
325000,1399.999999994542,-517583.9061145873,300.29064968475245,1.0304244700896528,89.4
330000,1419.999999994069,-518419.70803582156,299.6559770814908,1.0298903746021488,89.6
335000,1439.999999993596,-517848.8202410869,299.0110367414303,1.029939088908625,89.8
340000,1459.999999993123,-517710.74449592875,302.11294101188565,1.0272605790844271,90
345000,1479.9999999926501,-518591.3820413635,301.7026478253923,1.025295694621717,90.2
350000,1499.9999999921772,-518050.9255770219,302.6843511813508,1.0232358091210514,90.3
355000,1519.9999999917043,-517067.1365513704,299.13522398864603,1.0246778073619447,90.5
360000,1539.9999999912313,-517743.54494887614,303.0054857416558,1.0272841561588382,90.7
365000,1559.9999999907584,-518823.7680644393,302.30019856796275,1.0294352763733843,90.8
370000,1579.9999999902855,-518272.93065438676,298.8403847783958,1.0284033246256121,91
375000,1599.9999999898125,-519452.3372427148,299.3211874438782,1.0296501611414366,91.1
380000,1619.9999999893396,-518370.4372470705,302.1134050978161,1.0255542347982995,91.3
385000,1639.9999999888666,-517847.11917371256,305.01442851012445,1.0254805547245427,91.4
390000,1659.9999999883937,-518370.596303968,301.5187764470391,1.0255411438485216,91.5
395000,1679.9999999879208,-517210.757962022,303.4396152496069,1.020247397786722,91.7
400000,1699.9999999874478,-517814.3154465584,300.1835737572637,1.0254584279716035,91.8
405000,1719.999999986975,-518874.8256368623,300.94221072687844,1.0291312812310918,91.9
410000,1739.999999986502,-517904.6320929411,301.2169505585209,1.026144982103771,92.1
415000,1759.999999986029,-517026.2052974836,300.96360966695477,1.0268551267473836,92.2
420000,1779.999999985556,-517222.7516250741,304.0440780907526,1.0256160604158342,92.3
425000,1799.9999999850832,-519552.20137868985,302.00504277321585,1.0289616029997608,92.4
430000,1819.9999999846102,-517905.27129741944,300.3570931873537,1.0256112353676055,92.6
435000,1839.9999999841373,-519089.33168027294,301.7088821736568,1.0235392968590395,92.7
440000,1859.9999999836643,-518874.0188656314,300.2807827627263,1.0244867794470274,92.8
445000,1879.9999999831914,-516912.44668478845,301.6819923498202,1.0218924896129498,92.9
450000,1899.9999999827185,-518175.8261685753,301.6369556834144,1.0288587009849757,93
455000,1919.9999999822455,-518234.52348469617,300.3065921714485,1.0276263333990105,93.1
460000,1939.9999999817726,-518108.9023587599,304.3224204892207,1.0260364443552703,93.2
465000,1959.9999999812997,-517051.65892703575,300.2550551004537,1.0269046712414271,93.3
470000,1979.9999999808267,-518096.59504039586,301.9498080956253,1.0280281143364,93.4
475000,1999.9999999803538,-517471.23710417,301.93770230191495,1.0230629299068366,93.5
480000,2019.9999999798808,-517458.8413746583,303.7363004240121,1.0249208646200756,93.6
485000,2039.999999979408,-518005.6091146851,303.439395088262,1.028732833888819,93.7
490000,2059.999999978935,-517453.04946452077,301.44236267324436,1.02572951370602,93.8
495000,2079.9999999784623,-517705.67646812066,303.6909551853083,1.0306302516031014,93.9
500000,2099.9999999779893,-518903.3322791578,298.56543094724384,1.0265453861259495,94
505000,2119.9999999775164,-518344.96480202395,299.18082805238674,1.02778377876464,94.1
510000,2139.9999999770434,-518495.7781454446,300.47251607419605,1.029685246356662,94.2
515000,2159.9999999765705,-519220.3568283401,300.94264291371996,1.0250685570994562,94.2
520000,2179.9999999760976,-518150.2527605053,301.3072102435337,1.0269979298237149,94.3
525000,2199.9999999756246,-518229.8624730932,301.6248691722679,1.025607310156577,94.4
530000,2219.9999999751517,-518863.75417989516,302.3452081609077,1.0288601159180213,94.5
535000,2239.9999999746788,-518403.0883879778,302.7912608168821,1.0243314751974668,94.6
540000,2259.999999974206,-519109.0152462167,301.03502375846705,1.025490858701526,94.7
545000,2279.999999973733,-517878.4748413721,299.74391444970405,1.0211341317695095,94.7
550000,2299.99999997326,-518398.5510238849,300.32451570046607,1.0241497884491624,94.8
555000,2319.999999972787,-517831.91354862065,300.46518373448714,1.024943954009039,94.9
560000,2339.999999972314,-518690.03430225793,298.7171624944329,1.0266520617554387,95
565000,2359.999999971841,-518709.21896925475,302.09241360250235,1.0285216956870658,95
570000,2379.999999971368,-517003.50103882165,300.1410872900434,1.0254937104563577,95.1
575000,2399.9999999708953,-517822.47697664937,301.3697992346778,1.026020323604836,95.2
580000,2419.9999999704223,-518111.1065144513,302.56363193620876,1.0238431653611122,95.2
585000,2439.9999999699494,-518239.5224602886,299.0592557157687,1.030920903346819,95.3
590000,2459.9999999694764,-518103.4713028311,298.86933035574947,1.0237775538101372,95.4
595000,2479.9999999690035,-517205.72967821616,302.2040686831636,1.028037641286395,95.4
600000,2499.9999999685306,-518375.2978391887,301.4839700773606,1.0278823824180192,95.5
605000,2519.9999999680576,-518157.0517700168,301.87100917068886,1.027190756284348,95.6
610000,2539.9999999675847,-517922.3875906768,303.55775450528324,1.019773242414282,95.6
615000,2559.9999999671118,-517857.26058538025,301.2906552749798,1.0283707029614362,95.7
620000,2579.999999966639,-518564.3655009528,298.71531974121245,1.0236430768666234,95.7
625000,2599.999999966166,-519085.7833010608,299.9184700127816,1.0294933416457952,95.8
630000,2619.999999965693,-517200.8506177424,304.01731592861006,1.0241857776400207,95.9
635000,2639.99999996522,-518559.33947738586,300.8725664887524,1.0261075040600267,95.9
640000,2659.999999964747,-517606.44443509774,301.8063984051004,1.0211237568095797,96
645000,2679.999999964274,-517458.6939679936,302.54136679305213,1.0206626180780907,96
650000,2699.999999963801,-518585.5287155919,300.83275046964184,1.0241105939227562,96.1
655000,2719.9999999633283,-519410.55622885446,301.5506869115769,1.0261466955703382,96.1
660000,2739.9999999628553,-518664.4411217924,302.4013174670888,1.0226272702902228,96.2
665000,2759.9999999623824,-516891.66864038934,301.38523898905413,1.023580665943346,96.3
670000,2779.9999999619095,-519741.434369294,300.1208473741777,1.0294621054106399,96.3
675000,2799.9999999614365,-518122.04374922556,300.09340767768964,1.0253136873978959,96.4
680000,2819.9999999609636,-518800.0886955743,301.77554427237794,1.0268408978151107,96.4
685000,2839.9999999604906,-518310.4064959334,299.81088074999275,1.0239641414684457,96.5
690000,2859.9999999600177,-516800.2500790141,299.3151588576781,1.0207528301233932,96.5
695000,2879.9999999595448,-518351.9347155499,302.1660515830845,1.0246195026741667,96.6
700000,2899.999999959072,-519026.5530940739,300.69698980749865,1.0264798161214763,96.6
705000,2919.999999958599,-518225.09457810805,302.4554154072001,1.0301594550199387,96.7
710000,2939.999999958126,-517843.6837614896,301.86337060807404,1.0237056062613414,96.7
715000,2959.999999957653,-518027.49007781595,300.3959523849928,1.0245775744334258,96.7
720000,2979.99999995718,-517396.062781092,301.2787616313554,1.0240775901869021,96.8
725000,2999.999999956707,-517531.59146657796,303.1528170314548,1.0271766065545445,96.8
730000,3019.999999956234,-518736.4568016706,299.8415915739737,1.027159705849853,96.9
735000,3039.9999999557613,-517467.41966240224,300.76145487313863,1.0221265927848577,96.9
740000,3059.9999999552883,-517645.4902765972,298.4612158947754,1.0256451327470764,97
