#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,120.00000000005473,-517613.94509152113,302.2636472916035,1.023379706063245,--
10000,140.00000000003652,-518106.09264585003,300.2817876323311,1.0250950092168423,105
15000,159.9999999999899,-518699.16399147897,300.91162773907314,1.0258070727740662,105
20000,179.9999999999433,-518060.82800938375,300.59026576471956,1.027638978996572,105
25000,199.9999999998967,-517865.9880123781,298.95466588488,1.0204405898193392,105
30000,219.99999999985008,-518340.659949285,300.16206772108785,1.0229570216358368,105
35000,239.99999999980346,-517523.96835391107,298.16081849328896,1.0248206080092743,104
40000,259.99999999978525,-517886.71463365806,300.7167429755644,1.0242333419841865,104
45000,279.99999999988074,-518455.79870493873,301.72482148290567,1.0232078054658484,104
50000,299.99999999997624,-518290.47862572595,298.6312073779711,1.0282086431345587,104
55000,320.00000000007174,-519392.1429161299,302.6009603233551,1.0314820483408071,104
60000,340.00000000016723,-519587.61787649663,302.8208311379387,1.0301580973765392,104
65000,360.00000000026273,-518448.3196295842,301.21790057490114,1.0285218390739437,104
70000,380.0000000003582,-518455.217819558,303.9106756410718,1.02689564782765,104
75000,400.0000000004537,-518132.7754482364,298.67689661694243,1.0246939012030458,104
80000,420.0000000005492,-518478.4818901601,303.0008415623188,1.0284405011559852,104
85000,440.0000000006447,-517344.7905607007,300.60342649730694,1.0256127116791012,104
90000,460.0000000007402,-518091.4573744468,300.572576433987,1.0252704621807571,104
95000,480.0000000008357,-518316.56078055664,300.6481423853125,1.0255284268381195,104
100000,500.0000000009312,-518047.82292740303,299.82270596120725,1.0249166610811486,104
105000,520.0000000010267,-517504.0575695047,301.5268246865045,1.021509215338063,104
110000,540.0000000011222,-518433.904348857,301.8073447370104,1.0278846819989622,104
115000,560.0000000012177,-518926.8434664763,301.4334727554936,1.027358066683973,104
120000,580.0000000013132,-518070.52146462724,300.19416102209794,1.0284098409552422,104
125000,600.0000000014087,-518180.30304106325,300.28700343553373,1.0242136395387798,104
130000,620.0000000015042,-519826.20439077495,299.9377930518989,1.0285789677460702,104
135000,640.0000000015997,-518857.2285696997,302.37787588926494,1.021480980536858,104
140000,660.0000000016952,-519237.19277474214,301.93828858923786,1.027314169020366,104
145000,680.0000000017907,-518009.6982977169,300.38352470356926,1.0211202110864637,104
150000,700.0000000018862,-517249.3526180538,303.8611663060372,1.0237204602747931,104
155000,720.0000000019817,-518235.7107256409,302.8888734423328,1.0250382765874588,104
160000,740.0000000020772,-518496.63470543944,298.4754043384087,1.0280595030331396,104
165000,760.0000000021727,-519645.3147069835,302.0895632189535,1.0290690485316627,104
170000,780.0000000022682,-518734.4395446924,300.967920894391,1.022262595276407,104
175000,800.0000000023637,-519143.38109844155,300.89783477608853,1.0248113677301334,104
180000,820.0000000024592,-517851.53303555236,302.5749324464302,1.02442671318877,104
185000,840.0000000025547,-518088.56561518623,300.39977600054834,1.0263452695165265,104
190000,860.0000000026502,-516972.7434336159,302.1651880613922,1.0247926810521186,104
195000,880.0000000027457,-518960.8632484977,298.1334688128908,1.0224744869308497,104
200000,900.0000000028411,-518513.24463074165,300.65357457402973,1.0289541852536164,104
205000,920.0000000029366,-517851.11017734115,301.2679236112008,1.025757018524805,104
210000,940.0000000030321,-518219.391069198,301.2739937968416,1.026017402789418,104
215000,960.0000000031276,-518799.3123693841,299.43196025655186,1.0250821331678455,104
220000,980.0000000032231,-518418.59056739695,299.5446181680618,1.0290502038980525,104
225000,1000.0000000033186,-518812.92133856774,301.5543968003305,1.0219658296018328,104
230000,1020.0000000034141,-519082.9108856709,299.88940252918167,1.029138159030472,104
235000,1040.0000000030548,-518918.02131215157,303.2187803657537,1.024191987375807,104
240000,1060.0000000025818,-517599.02350541786,298.5625557424324,1.0221779244940123,104
245000,1080.000000002109,-518824.27958302293,299.343138750532,1.0294055932388786,104
250000,1100.000000001636,-518443.9036794014,303.7278633349676,1.0284297929106916,104
255000,1120.000000001163,-518469.2848676038,302.78648356822856,1.0231740963517755,104
260000,1140.00000000069,-520114.7370439826,300.5515526392873,1.0294603306807797,104
265000,1160.0000000002171,-518139.7124572494,302.97577475493904,1.0232912544288062,104
270000,1179.9999999997442,-518849.06275296165,302.7736159240664,1.030280699898883,104
275000,1199.9999999992713,-518164.68250196404,298.7795758133169,1.026679294800906,104
280000,1219.9999999987983,-518933.02258921764,302.1293574970204,1.0271606546296244,104
285000,1239.9999999983254,-519737.1149390314,303.17338486554934,1.0268556502387096,104
290000,1259.9999999978525,-518022.9087035551,300.92811844989063,1.028837747948117,104
295000,1279.9999999973795,-519344.62353849947,301.0564714939675,1.0264309462969667,104
300000,1299.9999999969066,-518006.92300437833,302.13887978174245,1.0276081455903647,104
305000,1319.9999999964336,-518776.46522596804,301.10156932976486,1.0277754807974617,104
310000,1339.9999999959607,-518723.1544716004,301.50681725804134,1.0248507220525396,104
315000,1359.9999999954878,-519520.83124258975,300.5044092776165,1.0309295601383015,104
320000,1379.9999999950148,-516753.95652010245,300.57309923586024,1.0251268574041512,104
325000,1399.999999994542,-517794.89451680845,300.1577317223073,1.0238921669623666,104
330000,1419.999999994069,-518408.2750017734,303.1463294519202,1.0214826764133351,104
335000,1439.999999993596,-518451.8412910758,298.92771082643753,1.0287042152861037,104
340000,1459.999999993123,-518260.4247138719,298.38648705919655,1.0253135393513348,104
345000,1479.9999999926501,-518724.3389945491,300.0864036318123,1.0240035059790908,104
350000,1499.9999999921772,-517998.730444669,300.7256981547383,1.0251300643331798,104
355000,1519.9999999917043,-518524.36374852294,299.21603091357974,1.022655426370966,104
360000,1539.9999999912313,-518686.2424880897,304.5223382915223,1.0264293247390892,104
365000,1559.9999999907584,-517873.8793066214,300.7875108441712,1.0245310227155218,104
370000,1579.9999999902855,-519368.59117302904,300.92492521879046,1.0264819691285307,104
375000,1599.9999999898125,-518430.5737505306,300.53375464388415,1.0296512923710364,104
380000,1619.9999999893396,-518592.3023089259,299.95485025124185,1.024159614121708,104
385000,1639.9999999888666,-518898.3382197642,300.2789905753546,1.0267783622108786,104
390000,1659.9999999883937,-518561.9338304864,301.6873174915334,1.0259618451156427,104
