time_ns,protein_bb_rmsd_A,ligand_rmsd_A
0.0,0.0,0.0
0.25,1.087,2.672
0.5,1.063,2.912
0.75,1.212,2.284
1.0,1.073,3.266
1.25,1.45,3.167
1.5,1.249,3.19
1.75,1.342,3.169
2.0,1.219,2.723
2.25,1.223,3.737
2.5,1.443,3.445
2.75,1.437,3.773
3.0,1.312,4.046
3.25,1.464,4.228
3.5,1.3,5.213
3.75,1.609,4.746
4.0,1.391,4.409
4.25,1.532,4.498
4.5,1.461,4.029
4.75,1.373,4.444
5.0,1.424,4.398
5.25,1.347,4.311
5.5,1.491,4.035
5.75,1.534,3.831
6.0,1.714,3.897
6.25,1.448,3.365
6.5,1.47,3.822
6.75,1.448,3.763
7.0,1.696,4.604
7.25,1.493,4.638
7.5,1.534,4.606
7.75,1.492,4.611
8.0,1.508,4.401
8.25,1.504,4.683
8.5,1.472,4.214
8.75,1.499,4.706
9.0,1.549,4.694
9.25,1.532,4.569
9.5,1.506,4.806
9.75,1.482,4.366
10.0,1.609,4.754
10.25,1.703,4.659
10.5,1.504,4.822
10.75,1.491,4.556
11.0,1.545,4.648
11.25,1.549,4.351
11.5,1.74,4.63
11.75,1.6,4.828
12.0,1.66,4.81
12.25,1.606,4.761
12.5,1.6,4.345
12.75,1.675,4.812
13.0,1.569,4.561
13.25,1.575,5.02
13.5,1.603,4.536
13.75,1.71,4.901
14.0,1.64,4.902
14.25,1.891,4.919
14.5,1.596,4.693
14.75,1.537,4.701
15.0,1.543,4.521
15.25,1.604,4.436
15.5,1.702,4.511
15.75,1.59,4.451
16.0,1.557,4.472
16.25,1.576,4.131
16.5,1.77,3.783
16.75,1.752,4.431
17.0,1.544,4.771
17.25,1.617,3.705
17.5,1.843,3.889
17.75,1.486,4.327
18.0,1.604,4.161
18.25,1.6,4.076
18.5,1.463,4.335
18.75,1.603,4.267
19.0,1.794,4.366
19.25,1.659,4.312
19.5,1.714,4.395
19.75,1.739,3.916
20.0,1.668,4.386
20.25,1.642,4.525
20.5,1.783,4.475
20.75,1.694,4.467
21.0,1.709,4.204
21.25,1.561,4.066
21.5,1.616,3.518
21.75,1.626,3.356
22.0,1.625,3.546
22.25,1.72,4.157
22.5,1.741,3.486
22.75,1.751,4.041
23.0,1.689,3.384
23.25,1.74,3.533
23.5,1.737,3.66
23.75,1.726,4.226
24.0,1.65,3.551
24.25,1.582,3.874
24.5,1.752,4.099
24.75,1.907,3.965
25.0,1.684,3.534
25.25,1.791,3.757
25.5,1.708,4.091
25.75,1.649,3.96
26.0,1.838,4.23
26.25,1.705,4.549
26.5,1.944,4.518
26.75,1.626,4.229
27.0,1.823,4.359
27.25,1.872,4.43
27.5,1.876,4.174
27.75,1.88,4.514
28.0,1.74,4.359
28.25,1.708,4.568
28.5,1.778,4.475
28.75,1.725,4.409
29.0,1.779,4.088
29.25,1.762,4.213
29.5,1.698,4.007
29.75,1.726,4.496
30.0,1.768,4.234
30.25,1.608,4.506
30.5,1.683,4.493
30.75,1.866,4.481
31.0,1.658,4.652
31.25,1.7,4.735
31.5,1.902,4.501
31.75,1.866,4.746
32.0,1.918,4.882
32.25,1.859,4.317
32.5,1.647,4.772
32.75,1.684,4.494
33.0,1.663,4.133
33.25,1.604,4.738
33.5,1.608,4.187
33.75,1.664,4.637
34.0,1.723,4.483
34.25,1.375,4.734
34.5,1.45,4.488
34.75,1.452,4.329
35.0,1.629,4.351
35.25,1.642,4.618
35.5,1.543,4.842
35.75,1.511,4.529
36.0,1.709,4.552
36.25,1.656,4.61
36.5,1.571,4.538
36.75,1.63,4.566
37.0,1.418,4.617
37.25,1.668,4.334
37.5,1.619,4.306
37.75,1.611,4.485
38.0,1.676,4.215
38.25,1.68,4.43
38.5,1.627,4.641
38.75,1.6,4.739
39.0,1.609,4.886
39.25,1.841,4.364
39.5,1.764,4.473
39.75,1.77,4.686
40.0,1.677,4.355
40.25,1.788,4.578
40.5,1.877,4.306
40.75,1.866,4.228
41.0,1.668,4.227
41.25,1.692,4.407
41.5,1.821,4.435
41.75,1.791,4.47
42.0,1.63,4.538
42.25,1.674,4.412
42.5,1.783,4.36
42.75,1.828,4.331
43.0,1.729,4.3
43.25,1.846,4.337
43.5,1.77,4.374
43.75,1.857,4.274
44.0,1.798,4.087
44.25,1.959,3.999
44.5,1.901,4.478
44.75,1.624,4.027
45.0,1.702,4.054
45.25,1.867,3.842
45.5,1.663,4.033
45.75,1.726,3.875
46.0,1.808,3.915
46.25,1.568,4.205
46.5,1.697,4.025
46.75,1.773,3.98
47.0,2.023,3.711
47.25,1.851,4.188
47.5,1.933,4.357
47.75,1.852,4.068
48.0,2.011,3.981
48.25,1.798,4.358
48.5,1.8,4.445
48.75,1.758,4.188
49.0,1.732,4.317
49.25,1.902,4.166
49.5,1.732,4.205
49.75,1.81,4.274
