time_ns,protein_bb_rmsd_A,ligand_rmsd_A
0.0,0.0,0.0
0.25,0.999,2.116
0.5,1.027,1.776
0.75,1.051,1.637
1.0,1.064,1.785
1.25,1.074,2.124
1.5,1.037,2.274
1.75,1.128,2.494
2.0,1.222,1.82
2.25,1.238,1.831
2.5,1.16,2.844
2.75,1.146,2.262
3.0,1.165,3.202
3.25,1.098,1.502
3.5,1.17,3.369
3.75,1.299,2.399
4.0,1.384,1.617
4.25,1.16,2.271
4.5,1.478,2.996
4.75,1.569,3.099
5.0,1.594,3.059
5.25,1.69,2.946
5.5,1.753,2.383
5.75,1.783,3.057
6.0,1.823,2.893
6.25,1.7,2.505
6.5,1.951,2.513
6.75,2.034,3.057
7.0,1.866,2.831
7.25,2.011,2.549
7.5,1.795,2.932
7.75,2.029,2.855
8.0,2.003,3.019
8.25,1.863,2.929
8.5,2.006,2.683
8.75,1.914,2.811
9.0,1.935,2.83
9.25,1.864,2.71
9.5,1.871,2.94
9.75,1.877,2.788
10.0,2.023,3.193
10.25,1.835,2.899
10.5,2.03,2.747
10.75,2.053,3.229
11.0,2.222,3.045
11.25,2.199,2.594
11.5,2.102,2.972
11.75,2.084,2.944
12.0,2.092,2.909
12.25,2.263,2.94
12.5,2.101,2.889
12.75,2.087,2.786
13.0,2.138,2.864
13.25,2.18,3.052
13.5,2.146,2.879
13.75,2.139,2.985
14.0,2.267,3.053
14.25,2.315,3.656
14.5,2.197,3.179
14.75,2.071,3.127
15.0,2.15,3.02
15.25,2.148,3.027
15.5,2.037,2.887
15.75,2.06,3.077
16.0,2.001,3.068
16.25,2.003,3.207
16.5,2.002,3.341
16.75,2.225,3.194
17.0,2.149,3.246
17.25,1.958,3.506
17.5,1.784,2.708
17.75,1.966,3.209
18.0,2.002,3.06
18.25,2.065,3.395
18.5,2.101,2.975
18.75,1.973,3.157
19.0,2.192,2.49
19.25,1.953,2.614
19.5,2.17,2.954
19.75,2.228,2.916
20.0,2.317,3.335
20.25,2.277,2.59
20.5,1.949,2.974
20.75,2.017,3.089
21.0,2.048,1.996
21.25,2.143,2.112
21.5,2.174,2.154
21.75,2.151,1.78
22.0,2.106,2.681
22.25,2.104,2.132
22.5,2.086,1.704
22.75,1.958,1.572
23.0,1.834,2.018
23.25,2.038,2.182
23.5,2.001,2.5
23.75,1.978,2.016
24.0,1.938,1.811
24.25,1.948,1.794
24.5,1.841,1.569
24.75,1.944,1.73
25.0,2.066,1.937
25.25,1.907,1.766
25.5,1.898,2.115
25.75,2.207,2.119
26.0,1.913,2.033
26.25,2.133,2.335
26.5,1.758,1.767
26.75,1.947,2.425
27.0,2.083,1.921
27.25,1.987,2.286
27.5,2.018,2.203
27.75,1.942,2.192
28.0,1.962,1.804
28.25,1.84,2.001
28.5,1.872,1.748
28.75,2.049,1.879
29.0,1.965,1.796
29.25,1.924,1.894
29.5,2.057,2.1
29.75,1.873,2.149
30.0,1.943,1.569
30.25,1.801,1.731
30.5,1.822,2.243
30.75,2.06,2.212
31.0,2.088,1.744
31.25,1.904,1.886
31.5,1.944,1.978
31.75,1.78,2.0
32.0,1.969,2.369
32.25,1.974,2.996
32.5,2.013,3.248
32.75,1.98,2.608
33.0,1.923,2.132
33.25,2.014,2.532
33.5,1.928,2.794
33.75,2.048,2.216
34.0,2.014,2.802
34.25,1.951,2.617
34.5,1.991,2.245
34.75,1.942,2.76
35.0,1.82,2.303
35.25,1.988,2.732
35.5,1.885,2.432
35.75,1.872,2.94
36.0,1.991,2.16
36.25,1.769,2.626
36.5,1.727,2.753
36.75,1.779,2.929
37.0,1.665,2.305
37.25,1.879,2.414
37.5,1.806,2.832
37.75,1.685,2.455
38.0,1.933,2.437
38.25,1.817,2.291
38.5,2.085,3.092
38.75,2.03,2.767
39.0,1.912,2.959
39.25,1.935,2.844
39.5,1.801,2.483
39.75,1.965,2.943
40.0,2.016,2.847
40.25,1.922,2.667
40.5,1.719,2.921
40.75,1.915,2.471
41.0,1.943,2.463
41.25,1.902,2.833
41.5,1.995,1.979
41.75,2.061,2.371
42.0,1.985,2.484
42.25,1.82,2.912
42.5,1.794,2.949
42.75,1.981,2.607
43.0,1.665,2.137
43.25,2.01,2.135
43.5,1.787,1.835
43.75,1.787,2.371
44.0,1.91,2.241
44.25,1.897,2.367
44.5,1.794,2.231
44.75,1.784,2.093
45.0,1.992,2.215
45.25,1.873,2.064
45.5,1.759,1.899
45.75,1.898,2.11
46.0,1.789,1.878
46.25,1.994,2.069
46.5,1.762,2.126
46.75,1.875,2.442
47.0,1.759,2.167
47.25,1.899,1.932
47.5,1.895,2.462
47.75,1.872,2.449
48.0,1.955,2.321
48.25,1.933,2.344
48.5,1.891,2.026
48.75,1.981,2.302
49.0,2.085,2.286
49.25,1.764,2.668
49.5,1.762,2.586
49.75,1.867,2.437
