#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,120.00000000005473,-515873.3286381746,302.5627490349073,1.0266099164108646,--
10000,140.00000000003652,-516730.5874536624,301.947407366106,1.0276983598349636,107
15000,159.9999999999899,-517861.58449352114,302.60246280206945,1.0262609738934318,106
20000,179.9999999999433,-517801.2669817039,301.1046726246064,1.0341923130887594,106
25000,199.9999999998967,-517046.22284525214,298.3382811665115,1.029017813921432,106
30000,219.99999999985008,-517919.9852755766,303.0855272617998,1.0280155264510593,106
35000,239.99999999980346,-517828.20873586857,301.2428689715348,1.0282495946652603,106
40000,259.99999999978525,-516455.9114468298,299.9641647502531,1.0254919646528635,106
45000,279.99999999988074,-516672.5742439262,300.6277303886335,1.0286239440694167,106
50000,299.99999999997624,-516698.8889065776,300.121774029216,1.0260858568028106,106
55000,320.00000000007174,-517733.42771822354,299.9506412639803,1.026418491262022,106
60000,340.00000000016723,-517063.6967869778,301.83662981397464,1.0234575537460218,106
65000,360.00000000026273,-517580.9083966345,300.99604135227906,1.0291060597677157,106
70000,380.0000000003582,-516306.6186713637,299.66913532739125,1.0233879059724404,106
75000,400.0000000004537,-515449.26156242564,299.3720073885347,1.0282168259978164,106
80000,420.0000000005492,-517794.250307336,300.7292450856266,1.0278520315740987,106
85000,440.0000000006447,-516920.02484388184,301.73895583787055,1.0269657776199919,106
90000,460.0000000007402,-516369.76551284594,301.01059455278937,1.023623435092276,106
95000,480.0000000008357,-517446.6360600635,300.81130704561525,1.025971578115154,106
100000,500.0000000009312,-516584.44648038666,298.4110367703737,1.0256208789149406,106
105000,520.0000000010267,-515977.58780376264,301.7285708791331,1.0233411427375376,106
110000,540.0000000011222,-517630.48533876194,301.72927490660504,1.0260455566453777,106
115000,560.0000000012177,-516957.5424661876,301.19375654176787,1.0256042429795644,106
120000,580.0000000013132,-517155.13494310714,303.07730591952,1.025941709687087,106
