time_ns,protein_bb_rmsd_A,ligand_rmsd_A
0.0,0.007,0.0
0.25,0.808,1.673
0.5,0.961,1.383
0.75,1.335,1.972
1.0,1.443,2.036
1.25,1.225,1.711
1.5,1.273,1.821
1.75,1.127,3.015
2.0,1.197,2.301
2.25,1.418,2.492
2.5,1.533,1.895
2.75,1.467,2.209
3.0,1.464,2.669
3.25,1.446,2.392
3.5,1.442,2.161
3.75,1.361,2.452
4.0,1.435,2.822
4.25,1.344,2.417
4.5,1.289,2.824
4.75,1.494,2.392
5.0,1.706,2.418
5.25,1.492,2.449
5.5,1.578,2.179
5.75,1.456,2.291
6.0,1.284,2.574
6.25,1.559,2.609
6.5,1.419,2.762
6.75,1.435,2.441
7.0,1.193,2.625
7.25,1.556,2.343
7.5,1.496,2.537
7.75,1.286,2.911
8.0,1.281,2.724
8.25,1.705,2.45
8.5,1.658,2.616
8.75,1.287,2.5
9.0,1.508,2.468
9.25,1.379,2.06
9.5,1.498,2.475
9.75,1.395,2.291
10.0,1.59,2.749
10.25,1.486,2.604
10.5,1.576,2.426
10.75,1.599,2.638
11.0,1.143,2.367
11.25,1.468,2.431
11.5,1.239,2.785
11.75,1.261,2.202
12.0,1.191,2.315
12.25,1.306,2.251
12.5,1.012,2.533
12.75,1.128,2.393
13.0,1.08,2.312
13.25,1.11,2.323
13.5,1.237,2.298
13.75,1.234,2.453
14.0,1.249,2.058
14.25,1.363,2.283
14.5,1.319,2.724
14.75,1.28,2.693
15.0,1.395,2.798
15.25,1.381,2.122
15.5,1.339,2.288
15.75,1.264,2.789
16.0,1.23,2.909
16.25,1.414,2.299
16.5,1.248,2.445
16.75,1.274,2.494
17.0,1.374,2.698
17.25,1.124,2.044
17.5,1.173,2.451
17.75,1.097,2.158
18.0,1.276,2.293
18.25,1.192,2.413
18.5,1.312,2.281
18.75,1.281,2.123
19.0,1.255,2.113
19.25,1.073,2.235
19.5,0.98,2.176
19.75,1.215,1.943
20.0,1.256,2.627
20.25,1.173,2.681
20.5,1.606,2.938
20.75,1.603,2.715
21.0,1.673,2.542
21.25,1.329,2.863
21.5,1.276,2.539
21.75,1.232,2.439
22.0,1.176,2.334
22.25,1.23,2.461
22.5,1.224,3.148
22.75,1.209,2.812
23.0,1.202,2.37
23.25,1.355,2.432
23.5,1.282,2.785
23.75,1.355,2.62
24.0,1.242,2.381
24.25,1.296,2.286
24.5,1.275,2.429
24.75,1.387,2.439
25.0,1.471,2.421
25.25,1.373,2.476
25.5,1.333,2.29
25.75,1.341,2.334
26.0,1.339,2.378
26.25,1.345,2.365
26.5,1.21,2.962
26.75,1.357,2.286
27.0,1.165,2.91
27.25,1.492,2.486
27.5,1.437,2.559
27.75,1.488,2.607
28.0,1.301,2.621
28.25,1.417,2.718
28.5,1.302,2.686
28.75,1.409,2.841
29.0,1.457,2.308
29.25,1.472,2.428
29.5,1.306,2.74
29.75,1.436,2.674
30.0,1.594,2.58
30.25,1.484,2.962
30.5,1.402,2.789
30.75,1.308,2.394
31.0,1.397,2.351
31.25,1.404,2.693
31.5,1.335,3.035
31.75,1.544,2.453
32.0,1.44,2.81
32.25,1.369,2.76
32.5,1.403,2.395
32.75,1.273,2.598
33.0,1.404,2.562
33.25,1.378,2.291
33.5,1.429,2.626
33.75,1.266,2.412
34.0,1.498,2.457
34.25,1.244,2.391
34.5,1.374,2.68
34.75,1.404,2.505
35.0,1.266,2.177
35.25,1.258,2.186
35.5,1.476,2.23
35.75,1.472,2.204
36.0,1.332,2.161
36.25,1.433,2.087
36.5,1.342,2.604
36.75,1.334,2.632
37.0,1.48,2.481
37.25,1.33,3.014
37.5,1.249,2.041
37.75,1.377,1.98
38.0,1.385,2.489
38.25,1.293,2.067
38.5,1.347,2.147
38.75,1.403,2.129
39.0,1.36,2.207
39.25,1.369,2.414
39.5,1.328,2.252
39.75,1.472,2.078
40.0,1.507,2.706
40.25,1.437,2.306
40.5,1.558,2.542
40.75,1.542,2.342
41.0,1.445,2.102
41.25,1.363,2.618
41.5,1.391,2.575
41.75,1.497,2.715
42.0,1.499,2.208
42.25,1.794,2.685
42.5,1.389,2.283
42.75,1.457,2.317
43.0,1.312,2.237
43.25,1.47,2.183
43.5,1.283,2.154
43.75,1.365,2.503
44.0,1.325,2.35
44.25,1.404,2.288
44.5,1.374,2.633
44.75,1.462,2.787
45.0,1.537,2.686
45.25,1.445,2.901
45.5,1.603,2.408
45.75,1.804,2.65
46.0,1.641,2.473
46.25,1.541,2.338
46.5,1.52,2.437
46.75,1.342,2.313
47.0,1.549,2.273
47.25,1.409,2.314
47.5,1.571,2.399
47.75,1.62,2.255
48.0,1.487,2.176
48.25,1.441,2.346
48.5,1.267,2.193
48.75,1.486,2.186
49.0,1.354,2.353
49.25,1.288,2.272
49.5,1.478,2.328
49.75,1.422,2.417
