time_ns,protein_bb_rmsd_A,ligand_rmsd_A
0.0,0.0,0.0
0.25,0.854,2.669
0.5,1.156,2.146
0.75,1.013,2.365
1.0,0.988,2.106
1.25,1.264,1.505
1.5,1.128,1.527
1.75,1.116,1.838
2.0,1.192,1.588
2.25,1.227,1.848
2.5,1.251,1.686
2.75,1.327,1.868
3.0,1.251,1.565
3.25,1.202,1.376
3.5,1.338,1.753
3.75,1.277,1.568
4.0,1.145,2.061
4.25,1.114,2.25
4.5,1.241,2.172
4.75,1.309,2.011
5.0,1.405,1.844
5.25,1.273,1.824
5.5,1.293,1.855
5.75,1.339,2.208
6.0,1.33,1.874
6.25,1.246,1.808
6.5,1.444,2.606
6.75,1.19,2.008
7.0,1.329,2.704
7.25,1.315,2.155
7.5,1.246,2.214
7.75,1.299,1.876
8.0,1.374,1.793
8.25,1.276,1.842
8.5,1.433,1.747
8.75,1.356,1.938
9.0,1.363,2.251
9.25,1.272,1.535
9.5,1.315,1.493
9.75,1.188,2.192
10.0,1.419,2.077
10.25,1.304,2.019
10.5,1.428,1.738
10.75,1.386,2.128
11.0,1.176,1.784
11.25,1.236,2.189
11.5,1.328,3.748
11.75,1.584,3.973
12.0,1.413,3.545
12.25,1.25,2.857
12.5,1.374,2.945
12.75,1.293,3.905
13.0,1.294,4.406
13.25,1.627,4.016
13.5,1.332,1.8
13.75,1.277,2.283
14.0,1.424,3.589
14.25,1.539,2.564
14.5,1.469,2.184
14.75,1.486,2.385
15.0,1.475,2.588
15.25,1.383,2.326
15.5,1.445,2.305
15.75,1.41,1.938
16.0,1.364,2.287
16.25,1.431,2.549
16.5,1.472,2.327
16.75,1.619,2.532
17.0,1.483,2.729
17.25,1.589,2.834
17.5,1.692,2.899
17.75,1.625,3.285
18.0,1.881,2.829
18.25,1.71,2.66
18.5,1.726,2.66
18.75,1.578,2.957
19.0,1.817,2.609
19.25,1.805,2.934
19.5,1.717,2.669
19.75,1.657,3.169
20.0,1.689,2.769
20.25,1.705,3.184
20.5,1.654,3.195
20.75,1.724,3.033
21.0,1.647,2.777
21.25,1.666,3.026
21.5,1.596,3.206
21.75,1.607,2.771
22.0,1.573,2.407
22.25,1.589,2.733
22.5,1.437,2.068
22.75,1.407,2.219
23.0,1.53,2.627
23.25,1.469,2.583
23.5,1.573,2.278
23.75,1.614,2.497
24.0,1.419,1.991
24.25,1.476,2.466
24.5,1.481,2.312
24.75,1.517,2.132
25.0,1.395,2.659
25.25,1.549,2.328
25.5,1.389,2.588
25.75,1.466,2.477
26.0,1.628,4.17
26.25,1.435,2.915
26.5,1.54,3.844
26.75,1.514,4.16
27.0,1.617,3.888
27.25,1.498,4.628
27.5,1.471,4.541
27.75,1.517,2.145
28.0,1.669,2.134
28.25,1.424,2.501
28.5,1.44,2.369
28.75,1.356,4.155
29.0,1.352,2.337
29.25,1.548,2.328
29.5,1.472,2.137
29.75,1.563,2.242
30.0,1.625,2.132
30.25,1.532,2.289
30.5,1.524,3.892
30.75,1.46,4.052
31.0,1.573,3.56
31.25,1.391,3.757
31.5,1.58,2.762
31.75,1.495,3.441
32.0,1.562,3.649
32.25,1.521,3.734
32.5,1.669,4.069
32.75,1.446,3.516
33.0,1.486,4.041
33.25,1.414,3.792
33.5,1.467,3.42
33.75,1.616,3.089
34.0,1.46,2.115
34.25,1.512,3.905
34.5,1.43,3.901
34.75,1.55,2.461
35.0,1.477,3.243
35.25,1.446,2.388
35.5,1.51,3.495
35.75,1.406,2.054
36.0,1.461,3.14
36.25,1.508,2.184
36.5,1.557,2.051
36.75,1.55,2.472
37.0,1.433,2.106
37.25,1.481,2.294
37.5,1.37,2.177
37.75,1.518,1.979
38.0,1.373,2.212
38.25,1.517,1.996
38.5,1.515,2.665
38.75,1.493,2.909
39.0,1.373,2.594
39.25,1.417,2.899
39.5,1.505,4.076
39.75,1.531,3.759
40.0,1.445,4.025
40.25,1.356,4.613
40.5,1.444,4.209
40.75,1.347,3.28
41.0,1.316,2.885
41.25,1.397,2.69
41.5,1.357,2.445
41.75,1.464,2.636
42.0,1.375,2.116
42.25,1.488,2.561
42.5,1.5,2.628
42.75,1.332,3.014
43.0,1.506,2.909
43.25,1.52,2.55
43.5,1.529,2.627
43.75,1.419,2.961
44.0,1.357,2.625
44.25,1.359,2.331
44.5,1.41,2.592
44.75,1.532,2.684
45.0,1.415,2.545
45.25,1.358,2.832
45.5,1.342,1.983
45.75,1.275,2.2
46.0,1.408,2.993
46.25,1.305,1.888
46.5,1.291,2.012
46.75,1.432,2.33
47.0,1.4,2.321
47.25,1.402,2.474
47.5,1.307,2.664
47.75,1.345,3.219
48.0,1.465,2.509
48.25,1.342,2.538
48.5,1.398,2.104
48.75,1.329,2.196
49.0,1.41,2.067
49.25,1.389,1.978
49.5,1.375,2.425
49.75,1.373,2.019
