#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,120.00000000005473,-521249.99044259754,302.19047528380605,1.0244874580455625,--
10000,140.00000000003652,-522417.7842843835,301.1986795347704,1.0310432336806379,103
15000,159.9999999999899,-522656.97154427506,301.5386952117443,1.0238439820327092,103
20000,179.9999999999433,-521226.5994051546,299.54502384777663,1.0251743655673444,103
25000,199.9999999998967,-521191.47404490015,300.6426068538755,1.025111625615396,103
30000,219.99999999985008,-521107.62592737563,301.42308334810303,1.0273234125279955,103
35000,239.99999999980346,-522051.91284797806,301.0216725092109,1.027144411243045,103
40000,259.99999999978525,-521527.89544646186,299.42890943871015,1.0184802020304045,103
45000,279.99999999988074,-520247.8523428773,300.7635714573353,1.0299475650504515,103
50000,299.99999999997624,-522409.4298044152,303.8860224863148,1.027330382211405,103
55000,320.00000000007174,-521608.33837362984,302.19112624762266,1.0223945802954615,103
60000,340.00000000016723,-521069.3946842714,302.1487926073353,1.026489118900861,102
65000,360.00000000026273,-521919.13059065933,300.596886169888,1.026042264057861,102
70000,380.0000000003582,-522541.73773778137,300.7406946823697,1.026538003317364,102
75000,400.0000000004537,-521449.23027608683,299.7688193815838,1.0262431234428528,102
80000,420.0000000005492,-522540.530054664,301.5003761012334,1.0317301429724728,102
85000,440.0000000006447,-520535.44027716713,303.94020980374785,1.0221710088955036,102
90000,460.0000000007402,-521820.8379602977,299.6316557114867,1.0242881895704774,102
95000,480.0000000008357,-523298.98825858696,300.5879800957804,1.0204885234199437,102
100000,500.0000000009312,-521933.80869443854,298.9899299311676,1.023958134687789,102
105000,520.0000000010267,-522275.7816573861,303.29338955052714,1.0254153550254066,102
110000,540.0000000011222,-523392.63518204656,300.65704377484684,1.024507239867416,102
115000,560.0000000012177,-521547.3659829232,303.2587578149331,1.024513553376384,102
120000,580.0000000013132,-521369.35836519534,300.56262509270505,1.0213063287074524,102
125000,600.0000000014087,-521700.47054470144,301.6474883107929,1.0207669744948253,102
130000,620.0000000015042,-521682.34058723063,301.02513112665355,1.0228456661506862,102
135000,640.0000000015997,-522976.8537844666,301.10724758071854,1.0222725730668998,102
140000,660.0000000016952,-521353.7528775721,303.3373998341252,1.024216334358231,102
145000,680.0000000017907,-522443.0575555032,303.13496190744854,1.0256238463896665,102
150000,700.0000000018862,-520307.6095974569,300.89290065712777,1.0261813655585368,102
155000,720.0000000019817,-521775.37013858557,299.8103151046431,1.0296839964353421,102
160000,740.0000000020772,-522320.2541326154,301.74842144006516,1.0244624649229446,102
165000,760.0000000021727,-523918.4838733955,303.19933965591645,1.0256277614000187,102
170000,780.0000000022682,-522693.91711542476,300.5090678092348,1.0272062646718885,102
175000,800.0000000023637,-523284.7040484417,298.9381926236874,1.0282416217348476,102
180000,820.0000000024592,-522602.4757297931,302.2885789842616,1.0281063904544554,102
185000,840.0000000025547,-523418.900701266,301.3295025455752,1.0255571007307287,102
190000,860.0000000026502,-522075.6207317193,298.47638792715264,1.0281729431324198,102
195000,880.0000000027457,-522508.03308979794,302.64367903309824,1.0257981706510158,102
200000,900.0000000028411,-521851.1774586751,300.5488439456787,1.0269021377015244,102
205000,920.0000000029366,-521445.64529510937,302.4142725823366,1.0218780985565659,102
210000,940.0000000030321,-522962.72991999146,303.5426392713099,1.0255449685179594,102
215000,960.0000000031276,-520842.9450791776,303.29767485766746,1.0195814891018427,102
220000,980.0000000032231,-522045.23914274015,299.43495474811544,1.0265690148468127,102
225000,1000.0000000033186,-522152.49121456477,302.43297670911437,1.0222668695936883,102
230000,1020.0000000034141,-521887.77644359344,301.63207941505084,1.026956727761817,102
235000,1040.0000000030548,-521688.9417906513,300.51558697885326,1.0208099743969026,102
240000,1060.0000000025818,-522299.48113043513,303.0938918050858,1.028737706094522,102
245000,1080.000000002109,-521281.8839732576,301.7085850800603,1.0261438121873951,102
250000,1100.000000001636,-522551.4673351378,301.5992797011286,1.022600644892473,102
255000,1120.000000001163,-521670.99136386975,300.7181288232063,1.02519139395754,102
260000,1140.00000000069,-522601.1630310775,301.4105639232013,1.0262698487832516,102
265000,1160.0000000002171,-522799.98508196254,301.9612271945786,1.0259517351572078,102
270000,1179.9999999997442,-522035.51290872064,303.13876093086503,1.0284107084416891,102
275000,1199.9999999992713,-522349.34240138857,301.81651938641994,1.0255154933787296,102
280000,1219.9999999987983,-521378.3419783169,300.8175336737059,1.024585540406076,102
285000,1239.9999999983254,-522018.8407023302,301.03866830103254,1.025785596699623,102
