time_ns,protein_bb_rmsd_A,ligand_rmsd_A
0.0,0.0,0.0
0.25,1.031,1.977
0.5,1.223,2.025
0.75,1.398,1.09
1.0,1.615,1.81
1.25,1.571,1.529
1.5,1.632,2.379
1.75,1.411,1.745
2.0,1.496,2.256
2.25,1.606,1.695
2.5,1.405,1.479
2.75,1.407,1.589
3.0,1.579,1.891
3.25,1.562,1.982
3.5,1.517,1.588
3.75,1.418,1.646
4.0,1.433,1.63
4.25,1.567,2.034
4.5,1.66,1.486
4.75,1.809,1.57
5.0,2.101,1.495
5.25,2.061,1.262
5.5,2.113,1.463
5.75,2.067,1.245
6.0,2.085,1.248
6.25,1.935,1.868
6.5,1.879,2.284
6.75,2.062,2.191
7.0,1.887,2.486
7.25,1.973,2.321
7.5,2.038,2.15
7.75,1.942,1.934
8.0,1.999,2.079
8.25,2.011,1.983
8.5,1.948,1.618
8.75,2.135,1.61
9.0,1.966,1.54
9.25,1.982,1.786
9.5,2.101,1.542
9.75,1.903,1.431
10.0,1.903,1.621
10.25,2.149,1.687
10.5,2.084,1.34
10.75,2.019,1.497
11.0,1.954,1.66
11.25,1.984,1.631
11.5,1.902,1.732
11.75,2.072,1.573
12.0,2.037,1.495
12.25,2.073,1.789
12.5,1.907,1.489
12.75,1.985,1.653
13.0,2.03,2.329
13.25,2.085,1.708
13.5,1.849,1.541
13.75,2.078,1.736
14.0,1.937,1.444
14.25,2.048,1.633
14.5,1.859,1.745
14.75,2.096,1.919
15.0,1.937,1.599
15.25,2.0,1.923
15.5,2.052,1.728
15.75,2.064,1.515
16.0,2.044,1.901
16.25,2.102,2.236
16.5,2.186,1.812
16.75,2.079,1.64
17.0,2.061,1.866
17.25,1.899,1.746
17.5,2.138,1.855
17.75,1.964,1.664
18.0,2.063,1.531
18.25,1.967,1.555
18.5,2.004,2.364
18.75,1.984,1.982
19.0,1.998,1.295
19.25,2.06,1.588
19.5,2.01,2.159
19.75,1.996,1.675
20.0,1.921,1.553
20.25,1.983,1.633
20.5,2.036,2.154
20.75,2.078,1.585
21.0,2.022,1.694
21.25,1.969,2.002
21.5,1.919,2.168
21.75,2.015,1.887
22.0,1.846,1.636
22.25,1.994,1.407
22.5,1.956,1.448
22.75,2.034,1.579
23.0,1.958,1.6
23.25,2.128,2.075
23.5,1.947,1.828
23.75,2.119,1.616
24.0,2.097,1.668
24.25,1.979,1.531
24.5,2.081,1.806
24.75,1.994,1.317
25.0,2.032,1.645
25.25,1.933,1.698
25.5,1.981,1.462
25.75,1.914,1.581
26.0,2.107,1.645
26.25,2.114,1.604
26.5,1.944,2.115
26.75,2.086,1.781
27.0,2.06,1.693
27.25,2.216,1.724
27.5,2.105,2.126
27.75,2.057,1.704
28.0,2.095,1.781
28.25,2.106,1.722
28.5,2.06,1.894
28.75,2.147,1.804
29.0,2.259,1.784
29.25,2.011,1.661
29.5,2.049,2.193
29.75,2.001,1.462
30.0,2.04,1.538
30.25,1.933,1.499
30.5,2.003,1.66
30.75,1.93,1.463
31.0,1.962,1.701
31.25,1.975,1.767
31.5,1.938,1.565
31.75,1.956,1.602
32.0,2.058,1.62
32.25,2.102,1.767
32.5,2.081,2.179
32.75,1.877,2.26
33.0,2.076,2.516
33.25,2.188,2.04
33.5,2.16,1.508
33.75,2.092,1.418
34.0,2.165,2.367
34.25,2.1,1.541
34.5,2.195,1.967
34.75,2.086,1.783
35.0,2.125,1.881
35.25,2.227,2.348
35.5,2.399,2.315
35.75,2.423,3.561
36.0,2.076,2.342
36.25,2.072,2.728
36.5,2.167,3.277
36.75,1.923,1.399
37.0,2.143,1.908
37.25,2.082,1.732
37.5,1.997,1.885
37.75,1.993,2.067
38.0,2.269,2.195
38.25,1.925,2.14
38.5,2.25,1.987
38.75,2.044,1.64
39.0,2.129,2.048
39.25,2.104,1.667
39.5,1.893,2.137
39.75,2.029,1.723
40.0,1.944,1.949
40.25,1.86,1.553
40.5,2.053,1.72
40.75,2.016,1.558
41.0,1.816,1.749
41.25,1.95,1.746
41.5,2.025,1.77
41.75,2.214,1.909
42.0,2.277,2.171
42.25,2.261,1.879
42.5,2.023,4.35
42.75,2.107,4.522
43.0,2.108,4.494
43.25,1.975,1.894
43.5,2.099,2.009
43.75,1.962,2.477
44.0,2.164,2.04
44.25,1.97,1.503
44.5,1.875,1.539
44.75,1.884,1.559
45.0,2.061,1.656
45.25,1.908,1.425
45.5,2.145,2.069
45.75,2.135,1.829
46.0,2.054,1.792
46.25,2.03,1.607
46.5,1.957,1.581
46.75,1.974,1.681
47.0,1.919,1.688
47.25,2.103,1.758
47.5,1.998,1.552
47.75,1.981,1.764
48.0,2.03,1.862
48.25,2.149,1.653
48.5,2.028,1.502
48.75,2.055,1.952
49.0,2.162,1.774
49.25,2.005,1.657
49.5,1.911,2.66
49.75,1.959,2.259
