#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,120.00000000005473,-514413.8882083101,300.30448558969385,1.0255516059670038,--
10000,140.00000000003652,-514983.6667256863,301.1080609730726,1.026695340368233,106
15000,159.9999999999899,-515708.57609444996,302.3864777888442,1.027408249113944,105
20000,179.9999999999433,-516238.9316747633,301.07228537347845,1.0268606169919208,105
25000,199.9999999998967,-514948.1449393586,302.9199445973966,1.0238649807659836,105
30000,219.99999999985008,-515066.2554796613,299.8804130796318,1.0252337951573343,105
35000,239.99999999980346,-516641.95445828233,301.696821566136,1.0248123268764293,105
40000,259.99999999978525,-515772.95023852587,301.95542027093427,1.027021407703164,105
45000,279.99999999988074,-515269.84847016167,301.85404589300884,1.0256488561101826,105
50000,299.99999999997624,-515348.3569548251,299.4553308289267,1.0243692238170259,105
55000,320.00000000007174,-514776.03588813264,300.255223118837,1.0244965298187014,105
60000,340.00000000016723,-515148.65733299265,300.85093132926636,1.0251065444167389,105
65000,360.00000000026273,-515001.7753184694,301.99326934500067,1.0264509728050664,105
70000,380.0000000003582,-516040.17759846454,301.829777331583,1.02524523053791,105
75000,400.0000000004537,-515856.92386659,302.26092180952645,1.029215544548848,105
80000,420.0000000005492,-515832.8543231236,301.43489048700314,1.0280945644809927,105
85000,440.0000000006447,-515695.3107063621,297.9103008096203,1.0272740479574527,105
90000,460.0000000007402,-516682.114880465,301.59280637038296,1.0277129132147464,105
95000,480.0000000008357,-515506.8258756767,297.7637952919813,1.0194207672223599,105
100000,500.0000000009312,-515314.7638484549,300.4337513510369,1.0205577280382725,105
105000,520.0000000010267,-516000.4943840711,303.72412425568496,1.0254845059908955,105
110000,540.0000000011222,-513520.6872229986,301.1966800264971,1.026464804358006,105
115000,560.0000000012177,-515573.0808423697,301.64312670066215,1.0278562372443012,105
120000,580.0000000013132,-515539.3069044999,303.44427625876926,1.0218338763868613,105
125000,600.0000000014087,-514460.1083390843,301.1720278013582,1.020406486230795,105
130000,620.0000000015042,-513673.7041960389,299.7367422158284,1.0227666354811304,105
135000,640.0000000015997,-516015.8520644638,299.59648895413255,1.0240876502895089,105
140000,660.0000000016952,-517119.0649708302,301.09456677810005,1.0284537793252813,105
145000,680.0000000017907,-515258.11984851514,301.88421411842626,1.0283758310486744,105
150000,700.0000000018862,-516788.64500134997,299.4789677094907,1.0275695151989725,105
155000,720.0000000019817,-515992.99251290015,299.01184772136577,1.0295549074248904,105
160000,740.0000000020772,-515147.48889990896,301.3144897645528,1.0280937688161613,105
165000,760.0000000021727,-514847.17924278276,302.4071000316944,1.0249711212818569,105
170000,780.0000000022682,-515468.2491609659,300.7778540043477,1.024512287552864,105
175000,800.0000000023637,-515366.6099744318,303.3271824474957,1.028380289406659,105
180000,820.0000000024592,-515606.49926316296,298.0733945485403,1.027223935815767,105
185000,840.0000000025547,-514412.44690370536,300.49241781254335,1.023971425671504,105
190000,860.0000000026502,-515482.5429827033,301.12181882260074,1.02539953085398,105
195000,880.0000000027457,-516198.07292122627,302.32073241445835,1.0276683807910443,105
200000,900.0000000028411,-516240.85482976446,300.3927617079247,1.0294449527398761,105
205000,920.0000000029366,-517188.70701397676,300.5226820369867,1.0281229897310042,105
210000,940.0000000030321,-515731.42173956335,300.05021778310993,1.0273089972509328,105
215000,960.0000000031276,-515761.67109711305,302.594908707191,1.026177454842567,105
220000,980.0000000032231,-515792.3001938211,303.1151965764907,1.0239871928432556,105
225000,1000.0000000033186,-515784.9901131857,302.44580506204017,1.0249330381643937,105
230000,1020.0000000034141,-515751.56045854115,299.2961036574029,1.0276180938215782,105
235000,1040.0000000030548,-516074.8757785517,301.70094405560394,1.0258341901116255,105
240000,1060.0000000025818,-515014.7152813396,300.1082779296176,1.0244751017560316,105
245000,1080.000000002109,-515542.8229407694,299.0994746178211,1.0248587596041212,105
250000,1100.000000001636,-516836.40063266153,300.63402269615676,1.0334039140759759,105
255000,1120.000000001163,-514611.23687831545,299.8685832624434,1.0252951125411363,105
260000,1140.00000000069,-515985.10798539245,301.47821471607205,1.0273468226619449,105
265000,1160.0000000002171,-515668.05831559026,302.03339085658104,1.024133391531702,105
270000,1179.9999999997442,-516836.5401661324,302.74154280822006,1.0305252398187312,105
275000,1199.9999999992713,-515798.0155669104,301.11047228087347,1.0252202127712942,105
280000,1219.9999999987983,-515524.5995352275,301.2410073981752,1.026036841781454,105
285000,1239.9999999983254,-516880.9342642315,300.20428264579374,1.027772413089163,105
290000,1259.9999999978525,-516892.4253730646,300.1914547996375,1.0273840260701066,105
295000,1279.9999999973795,-514492.37098666676,302.12929064707976,1.0226875381701284,105
