time_ns,protein_bb_rmsd_A,ligand_rmsd_A
0.0,0.007,0.0
0.25,1.06,1.336
0.5,1.213,2.56
0.75,1.329,1.382
1.0,1.461,1.582
1.25,1.285,1.098
1.5,1.512,1.394
1.75,1.409,1.27
2.0,1.319,1.527
2.25,1.381,1.488
2.5,1.46,1.479
2.75,1.589,1.81
3.0,1.65,1.649
3.25,1.659,1.875
3.5,1.583,1.786
3.75,1.568,1.926
4.0,1.653,2.034
4.25,1.698,2.392
4.5,1.649,2.665
4.75,1.5,2.286
5.0,1.35,2.426
5.25,1.68,2.308
5.5,1.8,2.629
5.75,1.652,2.147
6.0,1.887,2.214
6.25,1.596,2.361
6.5,1.697,3.54
6.75,1.421,2.713
7.0,1.68,2.234
7.25,1.615,1.866
7.5,1.714,2.298
7.75,1.669,2.901
8.0,1.938,2.603
8.25,1.62,2.169
8.5,1.535,1.931
8.75,1.596,1.904
9.0,1.612,1.746
9.25,1.924,2.171
9.5,1.657,2.242
9.75,1.545,1.981
10.0,1.67,2.191
10.25,1.761,2.311
10.5,1.681,2.27
10.75,1.535,2.416
11.0,1.454,2.221
11.25,1.726,2.285
11.5,1.476,2.324
11.75,1.589,2.358
12.0,1.598,2.217
12.25,1.717,2.21
12.5,1.512,2.436
12.75,1.471,1.782
13.0,1.656,1.831
13.25,1.761,1.787
13.5,1.685,2.496
13.75,1.58,2.224
14.0,1.498,2.026
14.25,1.547,2.394
14.5,1.551,2.325
14.75,1.495,2.174
15.0,1.559,2.272
15.25,1.414,2.183
15.5,1.63,2.029
15.75,1.567,2.366
16.0,1.551,3.019
16.25,1.587,2.494
16.5,1.497,2.291
16.75,1.568,2.456
17.0,1.656,3.285
17.25,1.535,2.751
17.5,1.592,2.538
17.75,1.644,2.285
18.0,1.631,2.204
18.25,1.461,4.137
18.5,1.425,3.61
18.75,1.38,3.403
19.0,1.656,4.074
19.25,1.702,4.044
19.5,1.721,4.856
19.75,1.585,4.485
20.0,1.796,4.091
20.25,1.804,4.224
20.5,1.785,3.695
20.75,1.714,4.088
21.0,1.569,4.345
21.25,1.597,4.254
21.5,1.585,3.255
21.75,1.512,3.229
22.0,1.504,3.013
22.25,1.704,2.883
22.5,1.621,3.155
22.75,1.663,2.741
23.0,1.543,2.455
23.25,1.695,2.596
23.5,1.7,2.586
23.75,1.883,3.301
24.0,2.091,3.339
24.25,1.844,3.224
24.5,1.762,2.647
24.75,1.852,3.52
25.0,1.729,3.489
25.25,1.716,2.952
25.5,1.658,3.279
25.75,1.658,2.844
26.0,1.699,3.274
26.25,1.714,3.605
26.5,1.903,2.842
26.75,1.573,3.091
27.0,1.597,3.07
27.25,1.754,3.097
27.5,1.75,3.437
27.75,1.687,3.077
28.0,1.794,3.348
28.25,1.766,2.925
28.5,1.597,2.887
28.75,1.731,2.688
29.0,1.672,2.898
29.25,1.48,2.737
29.5,1.679,3.509
29.75,1.497,3.049
30.0,1.539,3.386
30.25,1.795,3.637
30.5,1.721,3.432
30.75,1.482,3.343
31.0,1.491,3.205
31.25,1.504,3.414
31.5,1.681,2.936
31.75,1.356,3.24
32.0,1.548,3.149
32.25,1.43,3.158
32.5,1.607,4.138
32.75,1.411,3.743
33.0,1.422,4.208
33.25,1.46,3.344
33.5,1.513,3.052
33.75,1.441,3.02
34.0,1.395,3.684
34.25,1.416,3.388
34.5,1.357,2.554
34.75,1.588,3.009
35.0,1.564,2.929
35.25,1.852,3.314
35.5,1.715,3.414
35.75,1.539,3.752
36.0,1.711,3.113
36.25,1.519,2.809
36.5,1.588,3.573
36.75,1.497,3.323
37.0,1.908,2.821
37.25,1.502,3.312
37.5,1.509,2.79
37.75,1.763,3.465
38.0,1.719,2.692
38.25,1.534,2.947
38.5,1.814,3.96
38.75,1.746,3.184
39.0,1.606,3.146
39.25,1.618,3.385
39.5,1.652,3.638
39.75,1.925,3.446
40.0,1.7,3.889
40.25,1.655,3.913
40.5,1.604,3.587
40.75,1.759,3.79
41.0,1.543,4.712
41.25,1.519,3.89
41.5,1.579,3.962
41.75,1.597,3.008
42.0,1.677,4.747
42.25,1.65,2.565
42.5,1.658,3.482
42.75,1.634,3.57
43.0,1.546,3.234
43.25,1.574,3.696
43.5,1.586,3.99
43.75,1.889,3.464
44.0,1.688,3.607
44.25,1.619,4.059
44.5,1.754,2.8
44.75,1.649,3.405
45.0,1.933,4.585
45.25,1.864,4.466
45.5,1.652,3.954
45.75,1.812,3.442
46.0,1.935,3.344
46.25,1.554,3.092
46.5,1.789,3.447
46.75,1.618,3.645
47.0,1.69,3.453
47.25,1.832,3.745
47.5,1.932,5.875
47.75,1.614,3.803
48.0,1.528,3.095
48.25,1.447,3.986
48.5,1.59,3.5
48.75,1.519,3.779
49.0,1.641,3.338
49.25,1.515,3.086
49.5,1.683,3.313
49.75,1.595,3.276
