#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,120.00000000005473,-514647.7930453117,301.70538433910997,1.0221035365700215,--
10000,140.00000000003652,-514421.99740084726,302.44820188577376,1.0235736272387357,105
15000,159.9999999999899,-515151.68410231895,299.28537945116756,1.030227352067965,105
20000,179.9999999999433,-514934.99659119686,300.3234487352022,1.0270043695078768,105
25000,199.9999999998967,-515119.17775724456,301.6446750465085,1.0267431369154776,105
30000,219.99999999985008,-514456.84730996727,301.2134311971233,1.0291847360680755,105
35000,239.99999999980346,-516095.98818122013,304.61838785866235,1.0232650242139845,105
40000,259.99999999978525,-515970.1361882081,300.86791135964154,1.0275306680083096,105
45000,279.99999999988074,-514862.64942758274,303.38553317752235,1.0275283923737821,105
50000,299.99999999997624,-513742.0515099622,298.64550504608036,1.0239415188914096,105
55000,320.00000000007174,-514500.0688345295,301.7235348068563,1.0198600607466697,105
60000,340.00000000016723,-514663.6103150686,298.45568020652695,1.0243372469948337,105
65000,360.00000000026273,-514921.694338836,300.24559464790434,1.0240051436328403,105
70000,380.0000000003582,-515196.7201703605,301.2695937378076,1.0249735858444349,105
75000,400.0000000004537,-515440.8317696529,300.20380782201295,1.0248362243120503,104
80000,420.0000000005492,-514921.1854418181,298.7377803716924,1.0242762532454708,104
85000,440.0000000006447,-515923.3715000991,300.88244256117235,1.03511878181505,104
90000,460.0000000007402,-515930.6466532026,301.25107886614194,1.0287711378152495,104
95000,480.0000000008357,-514381.8624141696,300.22529524818793,1.021513769858827,104
100000,500.0000000009312,-515705.505859819,300.98000494261726,1.025193205263299,104
105000,520.0000000010267,-515403.13649769453,297.02125218346083,1.0255419917406616,104
110000,540.0000000011222,-515026.4608309013,304.08378900288113,1.0286977685286638,104
115000,560.0000000012177,-514489.07819861174,301.2566109418282,1.024415282326753,104
120000,580.0000000013132,-516613.2332827577,301.13576754304734,1.0305471681672844,104
125000,600.0000000014087,-515381.4940094191,298.2374436189754,1.030030122779218,104
130000,620.0000000015042,-515088.35462202085,299.694324820588,1.0279971749018362,104
135000,640.0000000015997,-516276.8715727811,301.41641174533027,1.0274308374753,104
140000,660.0000000016952,-514164.0588984613,298.2475610827719,1.0256398873548633,104
145000,680.0000000017907,-514827.24200980994,301.8149146927992,1.0255581857319136,104
150000,700.0000000018862,-513483.7140343804,301.9649952335812,1.0269783444125795,104
155000,720.0000000019817,-514800.80904709385,302.65925060843034,1.0295589336787208,104
160000,740.0000000020772,-514592.59255725006,298.41686434762113,1.0238909585965779,104
165000,760.0000000021727,-515226.70356703433,304.49354042495196,1.0263907927917373,104
170000,780.0000000022682,-514466.3552624022,304.5544191813021,1.0216586905113973,104
175000,800.0000000023637,-514753.03836314916,302.49935743445087,1.0252117184872351,104
180000,820.0000000024592,-514432.3698245073,300.307947783838,1.0263283923764106,104
185000,840.0000000025547,-514849.6523680871,303.38830442215755,1.0228271771372075,104
190000,860.0000000026502,-514601.5792496423,301.11537689108826,1.0261747111271167,104
195000,880.0000000027457,-515381.229163575,301.18079380287634,1.030716276573364,104
200000,900.0000000028411,-514788.81315606623,299.4340501927809,1.0262164297106227,104
205000,920.0000000029366,-514708.4926932992,301.4031320804284,1.0226437401539863,104
210000,940.0000000030321,-515180.3494228113,301.3873878265449,1.0257726158610763,104
215000,960.0000000031276,-514221.12444747076,299.16248564813236,1.0233527944589158,104
220000,980.0000000032231,-515483.4177892329,303.0389911192546,1.0238722338902297,104
