time_ns,protein_bb_rmsd_A,ligand_rmsd_A
0.0,0.0,0.0
0.25,1.009,2.835
0.5,1.501,3.516
0.75,1.569,3.209
1.0,1.38,4.319
1.25,1.295,3.821
1.5,1.395,3.12
1.75,1.595,3.838
2.0,1.373,3.635
2.25,1.506,4.141
2.5,1.514,3.964
2.75,1.308,4.378
3.0,1.328,3.754
3.25,1.491,3.658
3.5,1.642,3.981
3.75,1.516,3.68
4.0,1.564,4.336
4.25,1.524,4.788
4.5,1.676,3.262
4.75,1.535,3.344
5.0,1.753,3.869
5.25,1.26,3.261
5.5,1.371,3.767
5.75,1.515,3.495
6.0,1.399,3.454
6.25,1.574,4.288
6.5,1.339,3.634
6.75,1.442,3.408
7.0,1.606,2.812
7.25,1.561,3.514
7.5,1.526,3.874
7.75,1.551,3.681
8.0,1.437,3.735
8.25,1.573,4.431
8.5,1.425,3.827
8.75,1.559,3.227
9.0,1.572,3.468
9.25,1.618,3.767
9.5,1.926,4.239
9.75,1.76,3.129
10.0,1.407,3.592
10.25,1.6,3.797
10.5,1.753,4.173
10.75,1.426,4.886
11.0,1.937,4.647
11.25,1.687,4.832
11.5,1.552,4.073
11.75,1.639,3.851
12.0,1.568,3.174
12.25,1.843,4.262
12.5,1.81,3.402
12.75,1.64,3.697
13.0,1.684,4.133
13.25,1.746,3.606
13.5,1.758,2.575
13.75,1.673,2.344
14.0,1.468,2.515
14.25,1.515,2.341
14.5,1.611,2.796
14.75,1.626,2.678
15.0,1.493,4.43
15.25,1.603,3.742
15.5,1.778,4.158
15.75,1.506,2.993
16.0,1.698,3.308
16.25,1.813,3.707
16.5,1.597,3.847
16.75,1.788,3.855
17.0,1.635,3.82
17.25,1.678,4.527
17.5,1.625,3.485
17.75,1.635,3.771
18.0,1.569,3.555
18.25,1.559,3.667
18.5,1.625,3.656
18.75,1.764,3.628
19.0,1.732,2.733
19.25,1.63,2.316
19.5,1.767,2.775
19.75,1.69,2.564
20.0,1.545,2.98
20.25,1.539,3.407
20.5,1.885,4.152
20.75,1.79,3.512
21.0,1.44,3.659
21.25,1.479,3.378
21.5,1.368,2.882
21.75,1.625,3.111
22.0,1.57,3.059
22.25,1.552,4.281
22.5,1.545,2.906
22.75,1.461,3.202
23.0,1.636,2.871
23.25,1.635,3.141
23.5,1.603,3.818
23.75,1.627,3.693
24.0,1.653,4.22
24.25,1.742,3.794
24.5,1.469,3.606
24.75,1.552,3.62
25.0,1.532,3.126
25.25,1.72,3.245
25.5,1.631,2.925
25.75,1.304,3.117
26.0,1.388,3.178
26.25,1.293,2.954
26.5,1.224,3.047
26.75,1.472,2.995
27.0,1.371,2.855
27.25,1.377,3.156
27.5,1.249,2.865
27.75,1.443,2.828
28.0,1.488,2.886
28.25,1.465,3.327
28.5,1.6,2.901
28.75,1.493,2.988
29.0,1.413,3.195
29.25,1.322,3.079
29.5,1.453,3.083
29.75,1.282,3.107
30.0,1.198,2.88
30.25,1.197,2.783
30.5,1.379,3.201
30.75,1.472,3.941
31.0,1.375,4.382
31.25,1.524,3.472
31.5,1.38,3.198
31.75,1.574,3.548
32.0,1.596,4.341
32.25,1.247,3.319
32.5,1.27,3.722
32.75,1.392,3.713
33.0,1.397,3.644
33.25,1.346,2.994
33.5,1.376,3.722
33.75,1.285,3.165
34.0,1.171,3.818
34.25,1.252,3.693
34.5,1.194,3.323
34.75,1.191,3.437
35.0,1.588,3.292
35.25,1.494,3.188
35.5,1.182,3.858
35.75,1.263,3.508
36.0,1.253,3.607
36.25,1.546,3.647
36.5,1.333,3.396
36.75,1.375,3.506
37.0,1.322,3.748
37.25,1.233,3.5
37.5,1.398,2.816
37.75,1.289,2.938
38.0,1.415,2.984
38.25,1.221,2.802
38.5,1.334,2.833
38.75,1.166,2.382
39.0,1.302,3.376
39.25,1.442,3.345
39.5,1.499,3.418
39.75,1.342,3.216
40.0,1.252,3.092
40.25,1.261,3.389
40.5,1.239,3.543
40.75,1.342,3.145
41.0,1.349,3.269
41.25,1.417,3.21
41.5,1.546,2.922
41.75,1.442,4.015
42.0,1.279,3.957
42.25,1.379,2.245
42.5,1.519,2.61
42.75,1.439,2.779
43.0,1.544,2.637
43.25,1.661,2.859
43.5,1.674,2.373
43.75,1.635,2.443
44.0,1.562,2.765
44.25,1.67,2.829
44.5,1.503,3.5
44.75,1.387,2.224
45.0,1.547,2.51
45.25,1.324,2.676
45.5,1.464,2.612
45.75,1.5,2.65
46.0,1.465,2.946
46.25,1.452,2.665
46.5,1.553,2.668
46.75,1.526,3.071
47.0,1.367,2.918
47.25,1.352,2.63
47.5,1.398,3.489
47.75,1.543,3.106
48.0,1.315,3.043
48.25,1.456,3.129
48.5,1.334,3.025
48.75,1.301,2.974
49.0,1.341,3.304
49.25,1.441,3.282
49.5,1.411,3.238
49.75,1.293,3.32
