#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,120.00000000005473,-511160.8261013003,302.26706794529105,1.027870288151089,--
10000,140.00000000003652,-510774.19068578444,302.9630119363736,1.0277647321983645,107
15000,159.9999999999899,-510092.8539536379,299.1576633162492,1.0283883158973546,107
20000,179.9999999999433,-510266.6487526018,300.1474807559682,1.0259618015101326,107
25000,199.9999999998967,-510921.6063223814,300.20614765929685,1.0255798423123907,107
30000,219.99999999985008,-511205.48516837484,300.26954992982286,1.026324270114207,107
35000,239.99999999980346,-509875.113796297,300.88670466025553,1.0264070814213127,107
40000,259.99999999978525,-510421.9419912833,300.55702302599127,1.0251092952641838,107
45000,279.99999999988074,-510212.29949861043,302.786096240256,1.0251068374957664,107
50000,299.99999999997624,-510578.2682325295,298.4150989538743,1.025615975141962,107
55000,320.00000000007174,-510237.0726797711,301.0504507882593,1.0269123918051841,107
60000,340.00000000016723,-510992.2723741662,300.84216816725564,1.0261195544750248,107
65000,360.00000000026273,-511155.6310253553,302.0147362278265,1.0248772088550668,107
70000,380.0000000003582,-512453.9366040386,302.2125381944158,1.0291125194930304,107
75000,400.0000000004537,-510007.91972067836,301.60698715404277,1.024509893850228,107
80000,420.0000000005492,-510161.29915322154,301.4195178845218,1.0278919409296392,107
85000,440.0000000006447,-511828.8764210881,301.8457608237234,1.0258534782086288,107
90000,460.0000000007402,-510591.5614376543,301.6219181459014,1.0255123932466794,107
95000,480.0000000008357,-509883.11072379886,301.54479310677567,1.0214862408557173,107
100000,500.0000000009312,-510017.4139912999,301.5925787944249,1.0230554733873656,107
105000,520.0000000010267,-510699.85255626077,297.87612938781314,1.0235756981043242,107
110000,540.0000000011222,-510830.57210183865,298.01295669329573,1.0265947884070252,107
115000,560.0000000012177,-511546.51739606145,299.80692115074294,1.0283842373476166,107
120000,580.0000000013132,-511480.56708791363,300.67944449559644,1.0314962546905084,107
125000,600.0000000014087,-511338.61586310924,299.12254217923635,1.02840334078603,107
130000,620.0000000015042,-510969.2358088463,303.06414712858015,1.026481353127124,107
135000,640.0000000015997,-511420.772598136,300.06564330197574,1.026147028020553,107
140000,660.0000000016952,-512287.29938620934,302.08583787119704,1.030978057345481,107
145000,680.0000000017907,-511475.5839480758,303.072290095311,1.0267698303589592,107
150000,700.0000000018862,-510899.1189571477,301.09827141012255,1.0242589842002856,107
155000,720.0000000019817,-511867.62890798645,298.7151547981508,1.0270264556053503,107
160000,740.0000000020772,-510502.02996813226,298.66549551405996,1.0248425279776399,107
165000,760.0000000021727,-510842.13684920967,300.4066217545021,1.0227648664407705,107
170000,780.0000000022682,-509271.98514683195,300.8179996517804,1.0226393917394794,107
175000,800.0000000023637,-510519.3989569377,300.214783672786,1.0280120429827235,107
180000,820.0000000024592,-511017.8404938115,302.06700175348726,1.0241401808439667,107
185000,840.0000000025547,-510544.0619456151,303.6523590009923,1.0282924689910262,107
190000,860.0000000026502,-510973.42492769705,299.88573447305237,1.0295526139415327,107
195000,880.0000000027457,-510138.9894820615,300.8140713043007,1.0252008835542583,107
200000,900.0000000028411,-510805.5395336086,300.1836404135292,1.0279535137153584,107
205000,920.0000000029366,-510470.1786129114,299.5771156198197,1.0277523323252393,107
210000,940.0000000030321,-511402.0713404862,300.9930801839079,1.030594119839749,107
215000,960.0000000031276,-511907.76381758205,300.9552534195385,1.0273914281420053,107
220000,980.0000000032231,-510127.0745310399,301.1641343948808,1.02438141296497,107
225000,1000.0000000033186,-510297.02223197627,301.5348490845912,1.0211985975771039,107
230000,1020.0000000034141,-510086.1759461479,300.82160855011864,1.020457439596039,107
235000,1040.0000000030548,-512228.6012490548,303.2413887359704,1.0284185175393625,107
240000,1060.0000000025818,-511536.0777819727,303.8184548830579,1.0311213255358895,107
245000,1080.000000002109,-509848.2008188267,299.657916106307,1.0253313047065922,107
250000,1100.000000001636,-510624.195017925,300.8942533651712,1.0256007602079176,107
255000,1120.000000001163,-512516.94039716874,300.55092710960946,1.0307944349131022,107
260000,1140.00000000069,-511079.3732282573,301.199922706293,1.0255181396144604,107
265000,1160.0000000002171,-511514.1694926985,301.5284053235692,1.0258145909726106,107
270000,1179.9999999997442,-511452.6908673893,297.19249186623745,1.026877737678542,107
275000,1199.9999999992713,-511269.42176889745,300.7200433961947,1.0238409736961733,107
280000,1219.9999999987983,-510782.1156595333,300.9930582598103,1.0232725756239358,107
285000,1239.9999999983254,-509957.9452248737,301.52877459886395,1.0220718044047583,107
290000,1259.9999999978525,-510476.3890572316,299.0838304604429,1.0259048494191259,107
295000,1279.9999999973795,-510335.687991173,301.57851442886545,1.024149501324863,107
300000,1299.9999999969066,-510762.859842255,300.4653007917795,1.0273433580236184,107
305000,1319.9999999964336,-511275.7746800983,300.919527443387,1.026214843423088,107
310000,1339.9999999959607,-510708.9833696538,303.0743616513097,1.0282508621281359,107
315000,1359.9999999954878,-509784.6559418349,301.9093570120846,1.0303755616928925,107
320000,1379.9999999950148,-509725.9926441384,298.9450132664939,1.0232056068177262,107
325000,1399.999999994542,-509781.6292197618,302.4543215227281,1.0272524773713574,107
330000,1419.999999994069,-511589.39486860763,298.3539774749216,1.029411085642155,107
335000,1439.999999993596,-511212.3684911567,301.09558450636433,1.0280763232287609,107
340000,1459.999999993123,-510660.3123980372,301.8077968702922,1.0276404364844791,107
345000,1479.9999999926501,-511131.4961537528,301.1993880412607,1.0269506611042072,107
350000,1499.9999999921772,-510889.3350961739,301.8157368866715,1.0238632770531908,107
355000,1519.9999999917043,-510359.47596483026,300.28213882183474,1.0251327070764473,107
360000,1539.9999999912313,-510608.8500490284,301.97203386652325,1.0271193998089296,107
365000,1559.9999999907584,-511466.26303067454,300.63833259165443,1.0272351122132641,107
370000,1579.9999999902855,-510972.9219012379,302.8823314069985,1.025551262249044,107
375000,1599.9999999898125,-510502.8214830605,301.66224046943495,1.026048505708448,107
380000,1619.9999999893396,-512033.78159282217,298.90264925307054,1.0299783106256275,107
385000,1639.9999999888666,-512237.6690505764,301.0579781003997,1.0288315922979825,107
390000,1659.9999999883937,-510948.15126398206,301.04682093274187,1.0298326286611512,107
395000,1679.9999999879208,-511204.7328313377,301.9350241522838,1.0253862564119074,107
400000,1699.9999999874478,-511483.0418983826,302.27706432971223,1.0296391774592915,107
405000,1719.999999986975,-511580.51713788905,302.6382380887006,1.0248305524196992,107
410000,1739.999999986502,-510835.0361146638,303.48337752783266,1.029076298420849,107
415000,1759.999999986029,-512183.11939176964,300.63710897460106,1.0291316430948512,107
420000,1779.999999985556,-510272.67529408843,301.37026187583484,1.0235824763559538,107
425000,1799.9999999850832,-511251.59568634443,300.5256516054916,1.0263342390959076,107
430000,1819.9999999846102,-510902.25668734265,301.076964250238,1.0252080098076877,107
435000,1839.9999999841373,-511719.008522294,301.30364515038315,1.0267884843876034,107
440000,1859.9999999836643,-511879.4372287509,299.4579192478277,1.0274913529575553,107
445000,1879.9999999831914,-512023.57847324153,302.9630296481117,1.0276108294967814,107
450000,1899.9999999827185,-510934.9931075617,304.21690348239554,1.026758960478946,107
455000,1919.9999999822455,-511273.00968792127,299.4036571103594,1.0273855590132688,107
460000,1939.9999999817726,-511466.61523942277,303.4575628479344,1.0240843709260916,107
465000,1959.9999999812997,-510454.8065342242,304.0001798024155,1.026691487404709,107
470000,1979.9999999808267,-510065.551147179,302.6792286636423,1.0297778586734105,107
475000,1999.9999999803538,-510470.904843603,300.14102789264575,1.0213514939935113,107
480000,2019.9999999798808,-511838.04632787686,302.6434399999912,1.029571450217208,107
485000,2039.999999979408,-509554.8229380271,302.1425130057973,1.0274371430044544,107
490000,2059.999999978935,-510192.62223995826,299.71336214664433,1.0245354922981575,107
495000,2079.9999999784623,-509957.5260530438,302.9846671793777,1.023997098178471,107
500000,2099.9999999779893,-510860.3770406768,299.22281917521497,1.0230360040778406,107
