time_ns,protein_bb_rmsd_A,ligand_rmsd_A
0.0,0.007,0.0
0.25,1.119,3.201
0.5,1.337,1.984
0.75,1.328,2.945
1.0,1.814,2.926
1.25,1.675,2.708
1.5,1.714,2.444
1.75,1.782,2.558
2.0,1.622,2.188
2.25,1.944,2.759
2.5,2.292,2.041
2.75,1.832,2.536
3.0,1.774,2.187
3.25,1.819,2.803
3.5,1.947,2.076
3.75,2.071,3.039
4.0,2.183,2.914
4.25,1.945,2.877
4.5,2.146,1.963
4.75,2.112,4.962
5.0,1.991,2.694
5.25,1.874,2.443
5.5,1.87,2.571
5.75,1.848,2.439
6.0,2.08,2.335
6.25,2.034,2.501
6.5,1.87,2.549
6.75,2.16,2.47
7.0,2.193,2.313
7.25,1.943,2.344
7.5,2.091,1.551
7.75,1.972,1.828
8.0,1.981,1.582
8.25,2.007,2.408
8.5,2.33,1.731
8.75,2.055,2.4
9.0,2.063,2.395
9.25,2.284,2.524
9.5,2.102,2.593
9.75,2.181,2.908
10.0,2.274,3.835
10.25,2.191,4.334
10.5,2.273,4.619
10.75,2.245,4.768
11.0,1.992,4.516
11.25,2.118,4.48
11.5,2.062,4.873
11.75,2.159,5.178
12.0,2.372,4.688
12.25,2.741,4.7
12.5,2.383,4.687
12.75,2.365,4.689
13.0,1.838,5.062
13.25,1.817,4.737
13.5,1.991,4.566
13.75,2.192,1.963
14.0,1.913,4.55
14.25,2.023,3.777
14.5,1.989,3.493
14.75,1.892,3.568
15.0,1.79,3.665
15.25,2.107,2.784
15.5,1.987,2.183
15.75,1.999,2.656
16.0,2.069,2.016
16.25,2.209,2.262
16.5,2.172,4.667
16.75,2.22,4.441
17.0,2.15,4.618
17.25,2.132,4.037
17.5,2.106,4.65
17.75,2.015,4.626
18.0,2.236,4.488
18.25,1.959,4.572
18.5,2.21,4.609
18.75,2.206,2.917
19.0,2.111,1.781
19.25,1.95,5.267
19.5,1.913,3.547
19.75,1.928,4.372
20.0,1.91,3.438
20.25,2.183,2.973
20.5,2.187,3.529
20.75,2.022,4.564
21.0,2.012,5.135
21.25,1.977,5.228
21.5,2.102,3.764
21.75,2.098,3.327
22.0,2.033,3.84
22.25,2.048,3.005
22.5,2.221,3.763
22.75,2.167,3.569
23.0,2.049,4.273
23.25,2.079,3.766
23.5,2.043,3.41
23.75,2.599,3.475
24.0,2.157,2.656
24.25,2.424,3.259
24.5,2.493,2.711
24.75,2.196,2.941
25.0,2.168,3.184
25.25,1.928,3.107
25.5,2.302,2.97
25.75,2.492,3.117
26.0,2.174,2.407
26.25,2.168,2.832
26.5,2.309,5.188
26.75,2.43,2.925
27.0,2.307,3.493
27.25,2.564,3.546
27.5,2.333,3.243
27.75,2.077,3.882
28.0,1.912,3.564
28.25,2.031,3.602
28.5,2.271,3.985
28.75,1.869,4.299
29.0,1.981,4.481
29.25,2.095,3.3
29.5,1.82,4.258
29.75,1.926,3.71
30.0,2.061,3.584
30.25,2.015,3.903
30.5,1.625,4.08
30.75,2.064,3.867
31.0,1.828,4.109
31.25,1.947,3.757
31.5,1.854,3.296
31.75,2.142,3.945
32.0,1.937,2.138
32.25,1.936,2.724
32.5,2.229,2.424
32.75,1.917,2.217
33.0,1.818,2.544
33.25,2.025,2.708
33.5,1.884,2.601
33.75,2.062,2.467
34.0,1.995,2.408
34.25,2.252,2.398
34.5,2.115,2.974
34.75,1.855,2.569
35.0,2.007,2.945
35.25,1.883,2.842
35.5,2.259,3.007
35.75,2.11,3.277
36.0,1.954,2.19
36.25,1.928,2.112
36.5,2.286,2.71
36.75,2.13,2.047
37.0,2.141,2.504
37.25,2.206,2.123
37.5,2.049,1.708
37.75,2.003,1.834
38.0,2.369,2.941
38.25,2.004,2.716
38.5,2.446,2.801
38.75,2.294,2.607
39.0,2.019,2.682
39.25,2.106,2.919
39.5,2.093,2.773
39.75,2.039,2.48
40.0,1.881,2.762
40.25,2.029,2.343
40.5,2.07,2.929
40.75,2.24,2.926
41.0,2.139,3.17
41.25,2.316,2.123
41.5,2.703,2.868
41.75,2.344,2.805
42.0,2.562,2.733
42.25,2.359,2.505
42.5,2.307,3.108
42.75,2.185,2.928
43.0,2.364,2.852
43.25,2.119,3.198
43.5,2.272,2.261
43.75,2.452,2.397
44.0,2.317,2.257
44.25,2.482,2.606
44.5,2.436,3.036
44.75,2.196,2.998
45.0,2.289,1.882
45.25,2.357,2.184
45.5,2.362,2.242
45.75,2.076,2.748
46.0,2.224,2.054
46.25,2.013,2.354
46.5,1.989,2.769
46.75,1.751,2.573
47.0,1.943,2.366
47.25,2.017,2.798
47.5,1.922,2.58
47.75,1.737,2.375
48.0,1.84,2.26
48.25,2.031,1.64
48.5,1.775,1.475
48.75,1.966,2.791
49.0,2.08,3.155
49.25,1.973,2.63
49.5,2.076,3.296
49.75,1.983,2.836
