#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,120.00000000005473,-517634.4178386051,298.7026033726619,1.0223235554803767,--
10000,140.00000000003652,-516966.2495742531,298.33340780336573,1.0235127579466043,105
15000,159.9999999999899,-517423.36090353224,302.6019389315465,1.0211803057572169,105
20000,179.9999999999433,-517172.95927376533,304.88790461927016,1.0300299294510211,105
25000,199.9999999998967,-517686.4362953156,301.1940819995701,1.0254725949955106,105
30000,219.99999999985008,-517289.78255894105,299.0069340792663,1.026859907032561,105
35000,239.99999999980346,-517867.6216899166,302.5812982747533,1.0226117228925635,104
40000,259.99999999978525,-517931.5983799156,300.5286185548423,1.0269874931518308,104
45000,279.99999999988074,-516713.0650277359,301.3905836649467,1.022262278598653,104
50000,299.99999999997624,-517833.7469963329,301.9507170910359,1.0241275549679194,104
55000,320.00000000007174,-516925.40106396214,303.63470159145385,1.026179813920364,104
60000,340.00000000016723,-516383.87067666,300.80116688951614,1.0247440098798568,104
65000,360.00000000026273,-517621.96505342075,299.9325172561856,1.0295212337778037,104
70000,380.0000000003582,-518113.3805114855,302.49869334610815,1.0269718111480344,104
75000,400.0000000004537,-518484.2749152484,302.340479301049,1.025588376636212,104
80000,420.0000000005492,-517616.5749513977,300.05752389799414,1.0257256475358052,104
85000,440.0000000006447,-516764.24476464395,302.19667456824106,1.026879459770621,104
90000,460.0000000007402,-516697.206828251,304.12064177401396,1.030021155679555,104
95000,480.0000000008357,-517770.1534463472,298.61253484768343,1.0234113426432139,104
100000,500.0000000009312,-517205.1863372654,301.44395000449697,1.0257319274159975,104
105000,520.0000000010267,-518115.9156184029,302.542027327162,1.032605641192475,104
110000,540.0000000011222,-517482.6740605447,299.351039937669,1.0268981570497833,104
115000,560.0000000012177,-517842.55568067124,300.85635997251234,1.025878318411413,104
120000,580.0000000013132,-518450.75165131595,301.52158400449355,1.025251935041346,104
125000,600.0000000014087,-516840.4747347133,298.76012023292327,1.0245180729973251,104
130000,620.0000000015042,-517325.4811020945,301.9439355418474,1.025484581360024,104
135000,640.0000000015997,-516237.56146420306,301.2928059685793,1.0244806494329417,104
140000,660.0000000016952,-517977.6094595075,300.55399862273276,1.0293620612062924,104
145000,680.0000000017907,-518199.1663303727,299.31077503563495,1.031133453863868,104
150000,700.0000000018862,-517962.7138267644,301.3460039227809,1.0274529899165086,104
155000,720.0000000019817,-519183.473079243,301.6508735696719,1.0261676627549,104
160000,740.0000000020772,-517037.2318316563,302.43461252399703,1.0271624255091192,104
165000,760.0000000021727,-516863.079133186,300.18344379241955,1.0237421057092884,104
170000,780.0000000022682,-517485.09362973087,304.1103726344993,1.0280146972319206,104
175000,800.0000000023637,-517328.49462632695,298.69853995178374,1.029188002154507,104
180000,820.0000000024592,-516645.38577196025,302.9627175433641,1.02704444120531,104
185000,840.0000000025547,-517641.18050635513,302.4695364656682,1.0280288356973153,104
190000,860.0000000026502,-516972.9189120119,299.0610647589094,1.0231674120387078,104
195000,880.0000000027457,-516926.7310229582,301.5203809441864,1.0263740229312337,104
200000,900.0000000028411,-517153.5963053105,301.60002575624134,1.0261936634909683,104
205000,920.0000000029366,-517638.13950573024,304.3985862850806,1.023851401062662,104
210000,940.0000000030321,-516709.36784157134,298.6886720953429,1.022473678427133,104
215000,960.0000000031276,-516918.4175066177,299.8040534580165,1.0281018480065536,104
220000,980.0000000032231,-518311.9670297045,300.84329351847083,1.0271557270018346,104
225000,1000.0000000033186,-516869.1810511837,301.90208636784513,1.0173502855294427,104
230000,1020.0000000034141,-517568.15131553845,300.5887929702871,1.0279669621944332,104
235000,1040.0000000030548,-517414.72428907943,303.7307222424274,1.0260743683754552,104
240000,1060.0000000025818,-516967.2385261073,301.51700892743236,1.0284632761560852,104
245000,1080.000000002109,-517411.8625134614,300.8067030913051,1.0250005920336278,104
250000,1100.000000001636,-516419.5691658454,300.29383500995556,1.0306223573093853,104
255000,1120.000000001163,-518178.7973756206,300.68905947379466,1.0279231048034054,104
260000,1140.00000000069,-517208.2114248988,299.6020660601908,1.0263400891230459,104
265000,1160.0000000002171,-516726.93312857114,302.83240146223864,1.023469310327558,104
270000,1179.9999999997442,-516127.6410284024,300.47530741451396,1.026480885280364,104
275000,1199.9999999992713,-518307.58004190074,301.93530469064586,1.0285353786703846,104
280000,1219.9999999987983,-516890.8480699975,301.56829201692244,1.0277169019573709,104
285000,1239.9999999983254,-517477.7879565931,300.07597981810596,1.023160824361094,104
290000,1259.9999999978525,-517293.34714605473,302.2509048052885,1.0289658463448426,104
295000,1279.9999999973795,-517803.819619003,300.68500682589126,1.025702732565961,104
300000,1299.9999999969066,-517503.6139730904,301.3549707402019,1.0237687536637732,104
305000,1319.9999999964336,-518065.322796219,302.14517727607756,1.0261916979364731,104
310000,1339.9999999959607,-517604.4094602114,300.4650489356914,1.02749364942901,104
315000,1359.9999999954878,-516944.5990135097,297.6615510646345,1.0224407695091513,104
320000,1379.9999999950148,-517983.424787686,301.77400064049726,1.028552022635612,104
325000,1399.999999994542,-517430.7731474312,303.50797410959274,1.0274510144425841,104
330000,1419.999999994069,-517753.9123643711,297.6415046412171,1.0246780781061586,104
335000,1439.999999993596,-517695.7237335525,298.507616757419,1.0284782762380305,104
340000,1459.999999993123,-516953.7304750893,303.81396043686954,1.024184298415075,104
345000,1479.9999999926501,-517759.4381753369,302.7717184923995,1.0272777894662726,104
350000,1499.9999999921772,-517330.65124767064,300.12841028936737,1.0269782031882682,104
355000,1519.9999999917043,-518892.580681005,300.264673827863,1.0311421805594483,104
360000,1539.9999999912313,-517535.7148470271,300.25692529486116,1.0249959807164912,104
365000,1559.9999999907584,-516385.4760803743,299.40159417134555,1.0276352693680322,104
370000,1579.9999999902855,-515994.79802336334,299.95482135856076,1.0194188270393385,104
375000,1599.9999999898125,-518904.17094403016,299.7178724516445,1.0242904755465807,104
380000,1619.9999999893396,-518316.8877047107,302.8463849272644,1.0312176279392666,104
385000,1639.9999999888666,-517876.7379797711,300.6165296523135,1.02397918574961,104
390000,1659.9999999883937,-516817.1712051616,301.2306078894335,1.0203810218001905,104
395000,1679.9999999879208,-517893.81403764826,302.10196061160894,1.0253599585729816,104
400000,1699.9999999874478,-518749.2557632993,302.68781387246366,1.0259952520161182,104
405000,1719.999999986975,-517127.22975193546,300.7590151651288,1.0256959988782621,104
410000,1739.999999986502,-517019.24287500256,301.84026308584964,1.0240918483492112,104
415000,1759.999999986029,-517053.61919907085,301.37556766878595,1.0265605726675002,104
420000,1779.999999985556,-518997.6954732465,302.08402574415055,1.024072460223693,104
425000,1799.9999999850832,-517567.61361346324,301.93944049196756,1.0249252793635562,104
430000,1819.9999999846102,-517594.0021741241,298.71018517685485,1.0242679581050118,104
435000,1839.9999999841373,-516455.2949995792,300.07604330636286,1.0265713461114185,104
440000,1859.9999999836643,-517297.0601556639,300.63582717010223,1.0222419303462527,104
445000,1879.9999999831914,-516388.8993416729,302.0544171577436,1.0243519887052035,104
450000,1899.9999999827185,-517878.1109367525,300.60163504105196,1.0255999603510717,104
455000,1919.9999999822455,-518158.16675620875,300.8218783592909,1.0267263334564325,104
460000,1939.9999999817726,-517995.39253037726,300.03746015827375,1.0206623140261293,104
465000,1959.9999999812997,-516989.0827745253,303.1898245269299,1.0253827706287602,104
470000,1979.9999999808267,-517396.60694189323,301.8041735651079,1.022483586618271,104
475000,1999.9999999803538,-517839.23201942095,300.7140421959943,1.026082026557796,104
480000,2019.9999999798808,-518510.0557366675,302.00746492414004,1.0245307246032633,104
485000,2039.999999979408,-517227.0669721451,299.6343960142594,1.0272624326602915,104
490000,2059.999999978935,-517628.7482074539,300.53440884277626,1.023346063405415,104
495000,2079.9999999784623,-516894.9565476489,302.59738553889025,1.021568903062004,104
500000,2099.9999999779893,-517502.02257796284,299.614018499014,1.0306524857913488,104
505000,2119.9999999775164,-518056.62322897394,302.26976655245477,1.0278056318628548,104
510000,2139.9999999770434,-517630.9184007719,298.03891180292726,1.027861941524758,104
515000,2159.9999999765705,-518583.2630447841,300.69414809149777,1.0286168347749507,104
520000,2179.9999999760976,-517705.4702951256,301.5262237291163,1.0290094498747302,104
525000,2199.9999999756246,-516540.3733005251,302.9981645227412,1.0229166199938564,104
530000,2219.9999999751517,-517764.7927307864,301.69046367504507,1.0251463053294227,104
535000,2239.9999999746788,-518304.6755213381,302.1266239317509,1.0253845974235134,104
540000,2259.999999974206,-517198.0482226638,300.4128212828926,1.0256931863391396,104
545000,2279.999999973733,-518201.78142551775,298.3373371476199,1.0258325386623326,104
550000,2299.99999997326,-517505.46047781804,299.48442198453915,1.02535649616912,104
555000,2319.999999972787,-518380.63406722574,303.17961706738566,1.0253473811409046,104
560000,2339.999999972314,-517854.12429300393,299.3830610407922,1.024838448611552,104
565000,2359.999999971841,-517678.983616177,299.35870915453603,1.0204738335019465,104
570000,2379.999999971368,-516977.2279358392,303.3018837818407,1.022107979336151,104
575000,2399.9999999708953,-517830.18230236275,299.43667239460495,1.0274827986117818,104
580000,2419.9999999704223,-517744.02653154684,299.59671739003625,1.026238264543915,104
585000,2439.9999999699494,-517860.0946169025,301.9234228064699,1.0262851329561886,104
590000,2459.9999999694764,-516974.88173953816,302.79970845672636,1.0212399951346165,104
595000,2479.9999999690035,-518525.2449129799,301.0702866176623,1.0282617114290664,104
600000,2499.9999999685306,-517774.4325139639,301.65160872069123,1.0238479176532556,104
605000,2519.9999999680576,-518550.9258142407,299.2081904892655,1.0302755696089874,104
