#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,120.00000000005473,-513163.32713042735,298.93477318742254,1.025395295283978,--
10000,140.00000000003652,-513293.09714832227,300.4646164314232,1.0294769632668446,107
15000,159.9999999999899,-513590.85494332016,300.08563200172426,1.026538705243895,107
20000,179.9999999999433,-514277.9148198329,300.1055806373005,1.0243950598742255,107
25000,199.9999999998967,-514553.51355472626,298.64498496641147,1.0273885180881024,107
30000,219.99999999985008,-513692.18205781723,301.50063268629884,1.0253170748535305,107
35000,239.99999999980346,-512976.0002135257,300.5692692212494,1.0271146226401873,107
40000,259.99999999978525,-512981.0609487514,300.06207964950767,1.0265032369021068,107
45000,279.99999999988074,-514371.2193216209,300.0230773946343,1.0263557646423749,107
50000,299.99999999997624,-513927.7690964211,298.81308646013554,1.0261466353909194,107
55000,320.00000000007174,-514115.25075349864,303.4863577277379,1.0280048587979196,107
60000,340.00000000016723,-513948.6110099321,299.8955503202938,1.0270895848256947,107
65000,360.00000000026273,-514320.68239443586,301.57839926031716,1.0289325895946466,107
70000,380.0000000003582,-513211.657978297,301.2220515786815,1.025270757190127,107
75000,400.0000000004537,-513229.2674107312,301.2995273089144,1.0250701782361251,107
80000,420.0000000005492,-513421.4577577668,303.05884850247566,1.0253973126216722,107
85000,440.0000000006447,-513221.41807764885,302.7902282417941,1.0265632691125328,107
90000,460.0000000007402,-512459.17835045536,299.386025493728,1.0256333303184557,107
95000,480.0000000008357,-513925.53340362874,302.9369617573487,1.0268555810548239,107
100000,500.0000000009312,-513902.22517368174,299.98242120658574,1.026466867080981,107
105000,520.0000000010267,-513156.64334900584,299.97231698505465,1.0224371475385008,107
110000,540.0000000011222,-513703.5205757364,301.77100936057815,1.026822106125573,107
115000,560.0000000012177,-514536.8629768295,302.60724206724774,1.0267386379583834,107
120000,580.0000000013132,-513978.98856073315,301.320359271555,1.0236546860174218,107
125000,600.0000000014087,-513963.11176470085,299.89595654479325,1.0288127257569426,107
130000,620.0000000015042,-513601.71990415896,300.33054253666404,1.0281591589056422,107
135000,640.0000000015997,-514451.05808961485,299.7246305508197,1.0281905169673267,107
140000,660.0000000016952,-513747.8346647844,301.72968897342656,1.0285730203033907,107
145000,680.0000000017907,-512752.47476020246,302.12900465483136,1.0234138792670033,107
150000,700.0000000018862,-514595.4149962778,300.5919738752182,1.0292282214150978,107
155000,720.0000000019817,-513866.5447233743,303.1705340972771,1.0259677078680047,107
160000,740.0000000020772,-512168.1222528466,300.1838298891585,1.0250781829982027,107
165000,760.0000000021727,-511987.98023078823,303.12113428587196,1.0252412954141978,107
170000,780.0000000022682,-514084.3747114495,298.2606489248797,1.0249622158657725,107
175000,800.0000000023637,-514388.4113845371,299.70066215748943,1.029330635893691,107
180000,820.0000000024592,-514327.11806059885,301.95179773470477,1.0276433872110529,107
185000,840.0000000025547,-513580.78812193987,298.4524706178908,1.0236932318923353,107
190000,860.0000000026502,-514559.63449052884,299.4519808073005,1.0291358069263195,107
195000,880.0000000027457,-514755.05375355855,301.6693573827476,1.0257689646893775,107
200000,900.0000000028411,-512790.00215001963,301.8492180104728,1.0261588661939893,107
205000,920.0000000029366,-513615.99517779704,301.5176228082256,1.0300444999932168,107
210000,940.0000000030321,-513874.2508834151,301.02472285642625,1.0250106984411822,107
215000,960.0000000031276,-514891.0834527905,299.49339809322896,1.0259734255966435,107
220000,980.0000000032231,-513666.61178622534,303.49412245851295,1.0271114689418026,107
225000,1000.0000000033186,-513250.84596980386,301.15843902951093,1.0294766167358325,107
230000,1020.0000000034141,-512586.63597197505,303.63399041442034,1.0284411308562722,107
235000,1040.0000000030548,-514119.0016313442,305.07008571231995,1.0288767771884935,107
240000,1060.0000000025818,-513294.35819539404,303.07578596172857,1.0237985891077932,107
245000,1080.000000002109,-513703.80190339405,300.165834287365,1.0270104049352555,107
250000,1100.000000001636,-513595.72059705225,299.33877762186705,1.0259097851218917,107
255000,1120.000000001163,-513160.9522776357,302.1618344034008,1.0253036222465088,107
260000,1140.00000000069,-513084.0609972181,303.26905179994384,1.023716675848914,107
265000,1160.0000000002171,-513929.2541199543,298.00112541564187,1.0246543386623757,107
