time_ns,protein_bb_rmsd_A,ligand_rmsd_A
0.0,0.0,0.0
0.25,0.927,2.171
0.5,0.961,1.7
0.75,1.023,2.569
1.0,1.253,1.731
1.25,1.12,2.572
1.5,1.402,2.353
1.75,1.508,2.945
2.0,1.418,3.228
2.25,1.398,3.62
2.5,1.32,3.533
2.75,1.418,3.106
3.0,1.471,3.614
3.25,1.444,4.036
3.5,1.429,4.014
3.75,1.378,4.252
4.0,1.301,4.307
4.25,1.464,3.907
4.5,1.551,4.38
4.75,1.712,3.978
5.0,1.771,3.926
5.25,1.687,3.869
5.5,1.65,3.989
5.75,1.718,3.772
6.0,1.675,3.622
6.25,1.688,4.133
6.5,1.734,4.176
6.75,1.59,3.7
7.0,1.587,3.744
7.25,1.756,3.828
7.5,1.674,3.789
7.75,1.785,3.435
8.0,1.745,3.343
8.25,1.817,3.9
8.5,1.649,3.763
8.75,1.664,3.511
9.0,1.784,3.916
9.25,1.723,3.998
9.5,1.855,3.663
9.75,1.894,4.018
10.0,1.838,3.514
10.25,1.825,3.854
10.5,1.77,3.906
10.75,1.679,3.766
11.0,1.719,3.968
11.25,1.587,3.807
11.5,1.65,3.463
11.75,1.841,3.447
12.0,1.716,3.952
12.25,1.776,3.695
12.5,1.957,3.593
12.75,1.792,3.43
13.0,1.817,3.537
13.25,1.824,3.59
13.5,1.706,3.417
13.75,1.771,3.603
14.0,1.725,3.322
14.25,1.812,3.382
14.5,1.708,3.48
14.75,1.729,3.238
15.0,1.989,3.596
15.25,2.149,3.73
15.5,1.947,3.268
15.75,1.791,3.602
16.0,1.712,3.575
16.25,1.718,2.99
16.5,1.996,3.449
16.75,1.879,3.481
17.0,1.675,3.597
17.25,1.606,3.124
17.5,1.57,3.143
17.75,1.807,3.209
18.0,1.709,2.98
18.25,1.842,3.166
18.5,1.85,3.025
18.75,1.911,3.155
19.0,1.828,3.353
19.25,1.69,3.409
19.5,1.822,3.383
19.75,1.808,3.525
20.0,1.804,3.607
20.25,1.954,3.683
20.5,1.959,3.593
20.75,2.104,3.639
21.0,1.943,3.544
21.25,2.076,3.263
21.5,1.999,3.61
21.75,1.976,3.364
22.0,2.164,3.333
22.25,1.879,3.382
22.5,1.882,3.418
22.75,1.963,3.509
23.0,2.099,3.583
23.25,2.013,3.537
23.5,2.084,3.479
23.75,1.89,3.009
24.0,1.938,3.418
24.25,1.838,3.305
24.5,1.996,3.43
24.75,1.89,3.377
25.0,1.973,3.578
25.25,1.764,3.339
25.5,1.848,3.479
25.75,1.666,2.955
26.0,1.924,3.376
26.25,1.717,3.413
26.5,1.734,3.352
26.75,1.684,3.499
27.0,1.849,3.216
27.25,1.942,3.403
27.5,1.899,3.022
27.75,1.94,3.446
28.0,1.862,2.762
28.25,1.719,3.411
28.5,1.901,3.446
28.75,1.601,3.326
29.0,1.697,2.977
29.25,1.751,3.09
29.5,1.638,3.414
29.75,1.664,3.622
30.0,1.647,3.176
30.25,1.76,3.08
30.5,1.834,3.323
30.75,1.875,3.504
31.0,1.722,3.543
31.25,1.777,3.515
31.5,1.722,3.136
31.75,1.733,3.042
32.0,1.79,3.272
32.25,1.782,3.056
32.5,1.71,3.014
32.75,1.651,2.959
33.0,1.692,3.272
33.25,1.886,3.367
33.5,1.608,3.118
33.75,1.552,3.288
34.0,1.563,3.628
34.25,1.931,3.154
34.5,1.667,3.176
34.75,1.818,3.249
35.0,1.688,3.34
35.25,1.626,3.41
35.5,1.687,2.981
35.75,1.69,2.94
36.0,1.719,3.474
36.25,1.643,3.135
36.5,1.513,3.275
36.75,1.72,3.491
37.0,1.53,3.096
37.25,1.524,3.033
37.5,1.648,3.04
37.75,1.905,3.084
38.0,1.729,2.955
38.25,1.791,3.255
38.5,1.702,3.01
38.75,1.743,3.372
39.0,1.816,2.933
39.25,1.655,3.028
39.5,1.808,3.168
39.75,1.624,3.306
40.0,1.619,3.352
40.25,1.43,3.266
40.5,1.596,3.082
40.75,1.654,3.382
41.0,1.632,3.273
41.25,1.585,3.3
41.5,1.557,3.026
41.75,1.517,3.203
42.0,1.533,2.896
42.25,1.579,2.935
42.5,1.431,3.341
42.75,1.496,3.393
43.0,1.62,3.331
43.25,1.504,3.676
43.5,1.754,3.339
43.75,1.601,3.183
44.0,1.515,3.096
44.25,1.522,2.911
44.5,1.703,3.304
44.75,1.749,3.559
45.0,1.471,2.802
45.25,1.516,3.357
45.5,1.551,3.26
45.75,1.511,2.827
46.0,1.714,2.917
46.25,1.469,2.926
46.5,1.636,3.349
46.75,1.879,2.882
47.0,1.597,2.835
47.25,1.52,3.222
47.5,1.521,3.493
47.75,1.573,3.185
48.0,1.442,3.217
48.25,1.472,2.966
48.5,1.543,2.964
48.75,1.46,3.329
49.0,1.51,3.516
49.25,1.545,3.281
49.5,1.687,3.344
49.75,1.525,3.334
