time_ns,protein_bb_rmsd_A,ligand_rmsd_A
0.0,0.0,0.0
0.25,1.001,1.191
0.5,1.179,2.885
0.75,1.573,2.909
1.0,1.689,2.828
1.25,1.654,3.231
1.5,1.685,2.758
1.75,1.53,2.472
2.0,1.561,2.823
2.25,1.42,2.387
2.5,1.69,3.749
2.75,1.808,3.97
3.0,1.707,4.298
3.25,1.796,3.993
3.5,1.694,4.099
3.75,1.595,4.086
4.0,1.644,3.89
4.25,1.653,4.117
4.5,1.669,4.244
4.75,1.734,4.486
5.0,1.679,4.011
5.25,1.663,4.7
5.5,1.493,4.264
5.75,1.638,3.845
6.0,1.512,4.08
6.25,1.504,4.187
6.5,1.592,4.292
6.75,1.841,4.061
7.0,1.976,4.311
7.25,1.817,4.298
7.5,2.114,4.191
7.75,1.862,4.104
8.0,1.867,4.21
8.25,2.039,4.38
8.5,1.796,3.9
8.75,1.99,3.985
9.0,1.857,4.5
9.25,1.772,4.196
9.5,1.783,4.771
9.75,1.691,4.482
10.0,1.563,4.308
10.25,1.702,4.582
10.5,1.723,4.313
10.75,1.816,4.677
11.0,2.037,4.568
11.25,1.906,3.895
11.5,2.178,4.205
11.75,1.767,4.016
12.0,1.643,5.224
12.25,1.715,5.418
12.5,1.472,5.49
12.75,1.536,4.741
13.0,1.598,5.197
13.25,1.587,5.016
13.5,1.654,5.009
13.75,1.599,4.793
14.0,1.859,5.247
14.25,1.67,5.367
14.5,1.401,5.187
14.75,1.62,5.341
15.0,1.653,5.355
15.25,1.56,5.383
15.5,1.555,4.979
15.75,1.651,5.104
16.0,1.494,5.973
16.25,1.69,5.367
16.5,1.535,5.61
16.75,1.457,6.212
17.0,1.524,6.407
17.25,1.618,5.757
17.5,1.527,5.777
17.75,1.498,5.591
18.0,1.452,5.598
18.25,1.523,5.868
18.5,1.617,5.992
18.75,1.538,5.402
19.0,1.534,5.557
19.25,1.591,5.01
19.5,1.537,5.701
19.75,1.615,5.6
20.0,1.649,5.758
20.25,1.585,5.411
20.5,1.499,5.319
20.75,1.584,5.28
21.0,1.406,5.79
21.25,1.808,5.241
21.5,1.693,5.264
21.75,1.622,5.356
22.0,1.587,5.418
22.25,1.532,5.938
22.5,1.606,5.319
22.75,1.735,5.493
23.0,1.71,5.347
23.25,1.739,5.413
23.5,1.714,5.216
23.75,1.75,5.574
24.0,1.761,5.692
24.25,1.572,5.511
24.5,1.568,4.985
24.75,1.589,5.063
25.0,1.737,5.007
25.25,1.728,5.07
25.5,1.596,4.951
25.75,1.565,5.058
26.0,1.688,5.0
26.25,1.528,4.991
26.5,1.747,4.982
26.75,1.654,4.867
27.0,1.534,4.839
27.25,1.495,4.861
27.5,1.624,4.765
27.75,1.733,4.558
28.0,1.627,4.815
28.25,1.737,4.933
28.5,1.605,4.852
28.75,1.556,4.844
29.0,1.491,4.545
29.25,1.521,4.293
29.5,1.664,4.615
29.75,1.869,4.633
30.0,1.666,4.94
30.25,1.704,4.983
30.5,1.741,5.014
30.75,1.783,5.044
31.0,1.907,5.038
31.25,1.716,5.295
31.5,1.717,5.568
31.75,1.64,4.708
32.0,1.649,5.789
32.25,1.619,5.371
32.5,1.796,5.697
32.75,1.71,5.432
33.0,1.641,5.356
33.25,1.738,5.006
33.5,1.694,5.304
33.75,1.709,5.302
34.0,1.585,5.471
34.25,1.63,4.789
34.5,1.791,5.18
34.75,1.801,4.846
35.0,1.702,4.756
35.25,1.678,5.009
35.5,1.551,4.763
35.75,1.639,4.838
36.0,1.597,5.042
36.25,1.72,5.071
36.5,1.838,4.89
36.75,1.638,5.067
37.0,1.671,4.937
37.25,1.958,5.07
37.5,1.743,4.845
37.75,1.698,4.878
38.0,1.734,4.949
38.25,1.887,4.984
38.5,1.827,4.855
38.75,1.572,5.043
39.0,1.705,4.917
39.25,1.708,5.153
39.5,1.671,4.621
39.75,1.466,4.778
40.0,1.534,4.838
40.25,1.506,4.833
40.5,1.563,4.813
40.75,1.482,4.878
41.0,1.528,5.103
41.25,1.603,4.779
41.5,1.563,5.103
41.75,1.529,5.077
42.0,1.587,4.892
42.25,1.507,5.152
42.5,1.452,5.276
42.75,1.462,4.757
43.0,1.451,4.763
43.25,1.478,5.194
43.5,1.555,4.798
43.75,1.424,5.054
44.0,1.46,4.7
44.25,1.548,4.865
44.5,1.414,4.662
44.75,1.503,5.065
45.0,1.571,4.733
45.25,1.556,5.112
45.5,1.691,4.623
45.75,1.818,5.114
46.0,1.841,4.936
46.25,1.631,5.39
46.5,1.665,4.51
46.75,1.608,4.566
47.0,1.612,5.065
47.25,1.594,4.74
47.5,1.617,4.842
47.75,1.533,4.842
48.0,1.517,4.634
48.25,1.692,4.818
48.5,1.513,5.112
48.75,1.634,4.975
49.0,1.595,4.766
49.25,1.574,5.122
49.5,1.573,5.048
49.75,1.576,4.833
