#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,120.00000000005473,-515314.7744184341,302.6719918804902,1.0259834972315542,--
10000,140.00000000003652,-517146.2482719128,300.1868365015836,1.027448698216553,105
15000,159.9999999999899,-516151.4875131906,299.2091691508158,1.028490839453239,105
20000,179.9999999999433,-515206.84036651626,301.03232619787633,1.0277919248449774,104
25000,199.9999999998967,-516207.46120511787,301.0110597042156,1.0305299370095757,104
30000,219.99999999985008,-515397.0923105299,300.26558762015463,1.0247638279786042,104
35000,239.99999999980346,-515339.1560020393,301.1536327528209,1.0239070151635103,104
40000,259.99999999978525,-515713.84182915813,300.5170457741336,1.0258518391717062,104
45000,279.99999999988074,-515017.6772393577,301.2429684528556,1.024473925892929,104
50000,299.99999999997624,-515454.83900612243,300.9094387201475,1.0250843231380444,104
55000,320.00000000007174,-516513.00801628316,303.17751744607955,1.0255280542115361,104
60000,340.00000000016723,-515462.9430440706,298.43405943183876,1.0261495547868815,104
65000,360.00000000026273,-516318.03322329186,298.8540540321219,1.026141185322475,104
70000,380.0000000003582,-516179.1229624662,299.8647381606714,1.032887998006738,104
75000,400.0000000004537,-516974.0800471823,300.88499814723735,1.0213621779196154,104
80000,420.0000000005492,-516896.49880751455,296.9750944969844,1.0276083443957342,104
85000,440.0000000006447,-514789.5756889763,302.9513488080184,1.0224400531407667,104
90000,460.0000000007402,-515566.58533950127,302.07289863969766,1.023490258873312,104
95000,480.0000000008357,-514208.9270644821,299.39168974141654,1.0237247911035317,104
100000,500.0000000009312,-516241.76209195075,303.1190000113375,1.0296519588583375,104
105000,520.0000000010267,-515144.0988975663,301.2201022702997,1.0217019254387647,104
110000,540.0000000011222,-515656.22384781693,301.34600946466577,1.0256531720201052,104
115000,560.0000000012177,-514772.2235154798,302.0831112833939,1.0268974834746882,104
120000,580.0000000013132,-516106.0075246971,300.5682086466383,1.029177775374756,104
125000,600.0000000014087,-515662.3628597199,300.7439735148661,1.0313497099186373,104
130000,620.0000000015042,-515642.2025827181,302.85840084372103,1.0234659681886402,104
135000,640.0000000015997,-515596.6241669634,300.534497750823,1.0229036259266455,104
140000,660.0000000016952,-515296.1824578631,300.50773157399743,1.0254846234855823,104
145000,680.0000000017907,-514347.45537769864,301.3425293604746,1.0195875334246778,104
150000,700.0000000018862,-516220.65041799704,302.20979972873215,1.0263399273520217,104
155000,720.0000000019817,-515341.70120100747,302.15599629003776,1.0230221780848936,104
160000,740.0000000020772,-516575.35583938495,302.35194648758306,1.0287486117954214,104
165000,760.0000000021727,-516044.7078822409,302.2615089900241,1.0255671085162852,104
170000,780.0000000022682,-515040.2346049233,298.54977996784885,1.0231959390024898,104
175000,800.0000000023637,-515126.28432675917,298.6513026628507,1.025977840907635,104
180000,820.0000000024592,-516309.27516387496,299.8057142465386,1.0279457965919574,104
185000,840.0000000025547,-514095.0882482657,300.79412500460745,1.0247530255789778,104
190000,860.0000000026502,-516761.5279971736,299.7081104481796,1.0240313679430801,104
195000,880.0000000027457,-516192.07841480453,303.6961857518358,1.0269671453726306,104
200000,900.0000000028411,-515870.7686138698,299.0181522295603,1.0220771408809908,104
205000,920.0000000029366,-516050.3638018239,295.63792525598353,1.0270440579000977,104
210000,940.0000000030321,-515210.6462296853,300.192535880251,1.0259801559344737,104
215000,960.0000000031276,-515800.22538632643,300.39310744290935,1.0260345085152702,104
220000,980.0000000032231,-514037.91381421965,301.3345835825291,1.025593276860176,104
225000,1000.0000000033186,-515698.2051123597,300.40951223983836,1.0255391361954205,104
230000,1020.0000000034141,-515829.7397098886,300.05154303672987,1.0234994434664202,104
235000,1040.0000000030548,-516347.47124050115,300.3775743194966,1.0276789052142346,104
240000,1060.0000000025818,-516629.7270110673,302.06782265109837,1.0253753415545657,104
245000,1080.000000002109,-516514.43949815654,298.9566123715261,1.0292025872152981,104
250000,1100.000000001636,-516359.9882532768,300.7658905509331,1.0266413026933483,104
255000,1120.000000001163,-516151.6394413458,297.54455525537105,1.0300009750818389,104
260000,1140.00000000069,-515878.7493094648,299.02674626407025,1.0244126908117062,104
265000,1160.0000000002171,-515658.7164223299,301.6756914367743,1.0232022346255887,104
270000,1179.9999999997442,-516411.3161367988,303.15883032033867,1.0287849253147352,104
275000,1199.9999999992713,-514752.9373033866,301.7846882542322,1.023687003160167,104
280000,1219.9999999987983,-516495.2476155248,301.1391721739897,1.025033004850213,104
285000,1239.9999999983254,-515530.2116473736,300.11699538775497,1.0290133741749086,104
290000,1259.9999999978525,-516254.6847984998,304.05909230768754,1.0276198801370817,104
295000,1279.9999999973795,-516735.1223348391,302.3672341396549,1.0294916671965104,104
300000,1299.9999999969066,-516472.2147079122,299.94711184242516,1.0294547064050725,104
305000,1319.9999999964336,-515259.4927337151,300.4380198568953,1.024703916196981,104
310000,1339.9999999959607,-515755.65770176915,301.34892754448447,1.0265293979379135,104
315000,1359.9999999954878,-516143.8440356564,299.26100638223784,1.0296558663460469,104
320000,1379.9999999950148,-515568.62453252566,300.74445705248314,1.0270682643765332,104
325000,1399.999999994542,-516978.0389896231,301.7358459476835,1.0264088061403864,104
330000,1419.999999994069,-516695.68431114545,300.9372068021074,1.0244038915742304,104
335000,1439.999999993596,-517441.2802294723,299.13156040514986,1.0286264174734752,104
340000,1459.999999993123,-516751.4724269286,300.8945140959088,1.0300381066999829,104
345000,1479.9999999926501,-515418.09638879704,301.138864630992,1.0253892774599747,104
350000,1499.9999999921772,-516298.9664965209,301.835911645476,1.0290367112570964,104
355000,1519.9999999917043,-516613.6156528089,301.2025576200034,1.02588563656204,104
360000,1539.9999999912313,-514492.47900111484,304.4862394824098,1.0239515154762613,104
365000,1559.9999999907584,-517606.003974881,302.2530569390828,1.0290099529040002,104
370000,1579.9999999902855,-515925.3976722113,300.4953945450638,1.0261656984375152,104
375000,1599.9999999898125,-515042.12025839067,300.6203485396954,1.0236523465985137,104
380000,1619.9999999893396,-517382.29491719324,299.2467667944441,1.0321437251403505,104
385000,1639.9999999888666,-516855.7975605489,302.22036396271983,1.0280235344249147,104
390000,1659.9999999883937,-516395.8960539738,302.0896044332459,1.0284046921209538,104
395000,1679.9999999879208,-516537.75088667683,300.8831295071769,1.0258340795059064,104
400000,1699.9999999874478,-516481.89186255564,304.07313218642867,1.025103887830315,104
405000,1719.999999986975,-514620.92171519436,302.50161498202976,1.0252349635046596,104
410000,1739.999999986502,-515129.890199861,302.37057814736914,1.0271460136574773,104
415000,1759.999999986029,-515831.4593529275,300.1972920963345,1.030965228365873,104
420000,1779.999999985556,-515322.8158078536,299.7679180563066,1.026074073437324,104
425000,1799.9999999850832,-516742.3031122412,301.01414113020274,1.026191378214935,104
430000,1819.9999999846102,-516344.13336765347,300.467355019912,1.0249635627469234,104
435000,1839.9999999841373,-516244.7390745492,302.20552349063337,1.0273585023264833,104
440000,1859.9999999836643,-515081.8202187908,300.5507781175296,1.0256161056533908,104
445000,1879.9999999831914,-516539.13095554686,301.5554289938859,1.0272587357396135,104
450000,1899.9999999827185,-514947.03067454696,301.3458008281519,1.0218175172234187,104
455000,1919.9999999822455,-516428.72980453377,299.61987743226825,1.0231695307895414,104
460000,1939.9999999817726,-516779.63416585047,298.2586449568957,1.0262647288045097,104
465000,1959.9999999812997,-516208.5626719019,300.81678999366727,1.0280471528957702,104
470000,1979.9999999808267,-515675.13597510685,298.1849497290074,1.0241546061029108,104
475000,1999.9999999803538,-515809.06588735105,300.31484166176296,1.0218960470497114,104
480000,2019.9999999798808,-516300.0771305973,301.59252389138527,1.02582731310734,104
485000,2039.999999979408,-515647.523280232,301.7134149800086,1.0263661814919487,104
490000,2059.999999978935,-515400.5513875354,299.42762518853,1.0245954595179962,104
495000,2079.9999999784623,-516128.27578042774,299.72672294969846,1.0247006987177563,104
500000,2099.9999999779893,-515992.853359848,301.3884294284832,1.0221175886138332,104
505000,2119.9999999775164,-516806.470334393,303.5837136183719,1.025870984529948,104
510000,2139.9999999770434,-516781.46595789865,300.7042534828963,1.0236949565336761,104
515000,2159.9999999765705,-517181.87808532594,298.6905832284793,1.0280973542060063,104
520000,2179.9999999760976,-516070.1959502483,299.71942510465743,1.0265269799747598,104
525000,2199.9999999756246,-515429.9275172462,300.62407188597535,1.0255414184030993,104
530000,2219.9999999751517,-516273.0786858187,299.23836849996763,1.0273908335105806,104
535000,2239.9999999746788,-515720.4182951697,298.7723774525767,1.0246310834477916,104
540000,2259.999999974206,-515017.9333751467,302.10920238064176,1.0264838097343907,104
545000,2279.999999973733,-516370.40108256554,301.19492486180474,1.0270841920183265,104
550000,2299.99999997326,-515733.87450922513,300.7417298147116,1.0292413232536737,104
555000,2319.999999972787,-516110.4758013077,301.3504911829321,1.025335582437114,104
560000,2339.999999972314,-516008.25988290505,300.9406709980963,1.0255239179745317,104
565000,2359.999999971841,-516799.3273614587,301.22692749847914,1.0265492430901377,104
570000,2379.999999971368,-516561.3129811175,299.7258631947628,1.0266411983910477,104
575000,2399.9999999708953,-515526.62045111344,300.2313160841291,1.0250146785725003,104
580000,2419.9999999704223,-516178.71490766713,302.8012258483173,1.0259666912850631,104
585000,2439.9999999699494,-516054.35757106915,302.03516732260806,1.023783370226716,104
590000,2459.9999999694764,-516200.20866321423,301.4799905581757,1.0276412955052352,104
595000,2479.9999999690035,-516008.8665774297,301.9272833601741,1.0274056461886492,104
600000,2499.9999999685306,-516632.5068682523,301.1498080333386,1.0286817624448377,104
605000,2519.9999999680576,-516506.6015390267,300.4549631720614,1.0251688049277397,104
610000,2539.9999999675847,-514517.5885509399,301.1535865314944,1.0246906401888423,104
615000,2559.9999999671118,-515700.417819008,301.8708716804321,1.0241119675523664,104
620000,2579.999999966639,-515021.03551395866,301.59256584247447,1.0224823237102463,104
625000,2599.999999966166,-516926.84098749375,300.82539440018144,1.0266026875409653,104
630000,2619.999999965693,-515815.3972681272,302.1407764333434,1.0300395354425376,104
635000,2639.99999996522,-516433.51265872386,301.8270145699375,1.0249423315336013,104
640000,2659.999999964747,-515733.5699599851,301.2696822518461,1.0295351599818112,104
645000,2679.999999964274,-516139.3906749217,302.42415711840374,1.0253398811620542,104
650000,2699.999999963801,-515902.8765300268,304.4041073257332,1.0219420354224362,104
655000,2719.9999999633283,-516488.3320060652,302.5702213835926,1.0285315875449554,104
660000,2739.9999999628553,-515821.9928863342,299.80820600514267,1.0278451779334201,104
665000,2759.9999999623824,-516050.129325066,302.87499600503946,1.0259650227972545,104
670000,2779.9999999619095,-517038.7401321309,298.7908682170082,1.0288658585880404,104
675000,2799.9999999614365,-515859.2600297341,300.78236486737325,1.0251479907226508,104
680000,2819.9999999609636,-515001.1585855051,301.8168575645629,1.0268445249182152,104
685000,2839.9999999604906,-515633.2129366265,300.99839354014017,1.0289831715001063,104
690000,2859.9999999600177,-516676.1228522137,300.817222212661,1.0305643836737821,104
695000,2879.9999999595448,-516423.8559513835,301.55703739698083,1.0266576260911118,104
700000,2899.999999959072,-516313.3613979665,301.291162312966,1.0286962600294292,104
705000,2919.999999958599,-514767.36406227294,301.9714685755524,1.0241436506426962,104
710000,2939.999999958126,-515410.16081200563,303.0399171185482,1.0261217809535894,104
715000,2959.999999957653,-515459.963510775,301.8854479354785,1.0239331667958282,104
720000,2979.99999995718,-517134.40451488784,300.8137004310714,1.0265752508885893,104
725000,2999.999999956707,-516881.0795266612,301.93985841739243,1.0327410370533723,104
730000,3019.999999956234,-516053.6234035867,299.3493057621618,1.0220336501120408,104
735000,3039.9999999557613,-516706.1927846216,300.9578985554315,1.0243597122318953,104
