#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,120.00000000005473,-522413.0641281477,302.0877422569851,1.0259443494298808,--
10000,140.00000000003652,-520162.9188927307,301.4612610599985,1.0252546552120025,102
15000,159.9999999999899,-522411.969679662,302.1875758529464,1.0241964432847717,102
20000,179.9999999999433,-521400.55773509317,299.34365863879634,1.0265933100633755,102
25000,199.9999999998967,-520180.53326224117,298.1963545465363,1.0233429808907775,102
30000,219.99999999985008,-522453.0476245729,302.1486161361405,1.0254752334914683,102
35000,239.99999999980346,-521768.07781940093,299.41147689996836,1.0201807877884002,102
40000,259.99999999978525,-521135.8959652954,301.3742174945544,1.0223676457634232,102
45000,279.99999999988074,-523192.1018000266,301.72804087804496,1.0298651841686508,102
50000,299.99999999997624,-521132.6953500239,303.4338460755046,1.0239457704077148,102
55000,320.00000000007174,-521147.2639253433,300.9903778633081,1.0273947995812478,102
60000,340.00000000016723,-522318.515479048,301.8135766515136,1.0289742365889145,102
65000,360.00000000026273,-521217.22075318475,303.46422786595434,1.0265222097687066,102
70000,380.0000000003582,-521749.0591274034,300.44287169176755,1.0267656303886645,102
75000,400.0000000004537,-522417.70264163916,301.05775865316514,1.02257107344717,102
80000,420.0000000005492,-523557.87200719025,300.11467471038924,1.0243120677335813,102
85000,440.0000000006447,-521276.6692879193,299.4884493973482,1.0219412565142902,102
90000,460.0000000007402,-522162.99023132445,300.5287348615352,1.0294036986954391,102
95000,480.0000000008357,-520874.81632100325,299.8248913885285,1.0234088873013356,102
100000,500.0000000009312,-521066.90448027756,299.95648805602355,1.0204084294097453,102
105000,520.0000000010267,-521112.17866801424,299.61348184491686,1.0232533286884673,102
110000,540.0000000011222,-522174.9803668647,301.20967656617546,1.0267690342319762,102
115000,560.0000000012177,-520877.9021672937,298.8185650785876,1.0214877601822066,102
120000,580.0000000013132,-522355.3706020962,299.5698627010444,1.0244118377185158,102
125000,600.0000000014087,-521461.16315601976,299.9023217272824,1.024327614460225,102
130000,620.0000000015042,-521355.32244340796,300.203744229568,1.0238838519376678,102
135000,640.0000000015997,-522191.0246340493,299.42608775213955,1.0231351729795006,102
140000,660.0000000016952,-521726.4976587156,299.40249570651036,1.02910221593404,102
145000,680.0000000017907,-521701.4811462995,301.8041743690521,1.0240303484556519,102
150000,700.0000000018862,-521594.8563285107,302.37545512553015,1.0252351561752775,102
155000,720.0000000019817,-521035.9575170288,298.43041703010385,1.0252935406327688,102
160000,740.0000000020772,-520001.37278569234,301.64679369826024,1.021857888443591,102
165000,760.0000000021727,-522058.5220206997,301.0770889615057,1.0276679675963873,102
170000,780.0000000022682,-520869.5551652373,301.13569690681555,1.02415678789697,102
175000,800.0000000023637,-522108.00306103984,301.8256115582209,1.0255064385280477,102
180000,820.0000000024592,-521600.6326776827,301.66328812617803,1.026853291065802,102
185000,840.0000000025547,-522465.85565804224,301.19452219420873,1.023280263992995,102
190000,860.0000000026502,-521056.7833264959,300.8979625854098,1.0239778729809126,102
195000,880.0000000027457,-521011.20849881065,298.87138819275515,1.0223416659497877,102
200000,900.0000000028411,-523284.51038088347,299.6709997246743,1.0280690506031749,102
205000,920.0000000029366,-521843.40368203353,301.4795122992416,1.027507563761885,102
210000,940.0000000030321,-522398.22515721107,300.62864279313135,1.0227392016918462,102
215000,960.0000000031276,-522998.6696935068,303.0153187458156,1.0254061400979102,102
220000,980.0000000032231,-522702.31237700116,302.0645489133147,1.028083663846252,102
225000,1000.0000000033186,-522839.0275893577,299.89044701633003,1.0313721243264735,102
230000,1020.0000000034141,-520847.3875156434,301.14678072664094,1.0241420758438464,102
235000,1040.0000000030548,-521008.2577361192,300.7273325152798,1.0266698434698363,102
240000,1060.0000000025818,-521531.0265743912,300.0332905534422,1.0214927608159086,102
245000,1080.000000002109,-523170.20476624556,300.6644472996432,1.0265379692410017,102
250000,1100.000000001636,-522543.7936410187,299.90151051097916,1.0236754015976723,102
255000,1120.000000001163,-522112.8899815539,304.85731394629073,1.0248217054445374,102
260000,1140.00000000069,-521733.9234042608,301.9250867150283,1.026034532021966,102
265000,1160.0000000002171,-521070.1893051339,301.25590883976656,1.0241804351784822,102
270000,1179.9999999997442,-521293.6444704556,301.34490625660385,1.0241448176971348,102
275000,1199.9999999992713,-521451.07412063796,300.75345944975226,1.022698916306718,102
280000,1219.9999999987983,-520979.41365186055,301.5679197632686,1.022055086492614,102
285000,1239.9999999983254,-520970.16541298386,299.9373863504034,1.0266598832560994,102
290000,1259.9999999978525,-521371.0305673508,302.8449177641508,1.0252053396568195,102
295000,1279.9999999973795,-521336.38609332475,301.4702933098644,1.0242515269637698,102
300000,1299.9999999969066,-521538.0114983162,300.80728877284605,1.0280753824915732,102
305000,1319.9999999964336,-521891.70074164774,299.41898674696506,1.024299039441376,102
310000,1339.9999999959607,-522718.1869150412,302.86238387091726,1.02720341980223,102
315000,1359.9999999954878,-521704.88357471116,299.445625937634,1.022185634176076,102
320000,1379.9999999950148,-521839.9331455247,300.14515792979535,1.023780982490704,102
325000,1399.999999994542,-521413.7559682245,302.27774296892505,1.0250891270425497,102
330000,1419.999999994069,-522752.9056766564,298.4553396068811,1.0277582640057732,102
335000,1439.999999993596,-520871.6418179283,301.38689738796467,1.0264079448298815,102
340000,1459.999999993123,-521408.8407582331,300.78572446028744,1.0266288201359048,102
345000,1479.9999999926501,-521413.73931163223,299.72339430226106,1.023951333109412,102
350000,1499.9999999921772,-521774.11679995083,300.063095509041,1.02711257297584,102
355000,1519.9999999917043,-521493.18952836026,300.8067601883218,1.0279789744470178,102
360000,1539.9999999912313,-521803.9534691551,300.02587472528717,1.024073204818426,102
365000,1559.9999999907584,-521874.02347152354,301.55745302809527,1.019749066070005,102
370000,1579.9999999902855,-522148.24191335705,300.6257137628308,1.0261312819437545,102
375000,1599.9999999898125,-520613.5979897494,299.0296338576147,1.0259035375323264,102
380000,1619.9999999893396,-521775.2456874789,299.2216696626677,1.025851933654015,102
385000,1639.9999999888666,-521463.7322913727,299.6794162076561,1.0267188667978926,102
390000,1659.9999999883937,-521441.7258565831,300.5956293575972,1.0207848718225159,102
395000,1679.9999999879208,-519515.75707027526,300.2144173084546,1.0218960119812013,102
400000,1699.9999999874478,-522852.58107866975,301.8691310588527,1.025511537688006,102
405000,1719.999999986975,-522106.77071265015,300.05625116373926,1.0234249291681905,102
410000,1739.999999986502,-522525.4702902788,299.78639490918266,1.0254516405512333,102
415000,1759.999999986029,-521974.1445201612,299.6554370486385,1.0290094939793124,102
420000,1779.999999985556,-522058.16425843164,301.40573334340803,1.0287409290544998,102
425000,1799.9999999850832,-522219.87340262975,301.31130211254975,1.0271114859850117,102
430000,1819.9999999846102,-522200.13256813795,302.5958836547994,1.0260450290246,102
435000,1839.9999999841373,-521581.55779429595,299.8290254000114,1.023262258202951,102
440000,1859.9999999836643,-521948.46757815476,302.86707403921525,1.0275786255144495,102
445000,1879.9999999831914,-520791.5729420711,302.2142263326055,1.0239134702451576,102
450000,1899.9999999827185,-521090.190722513,301.4942869673684,1.0222621684295938,102
455000,1919.9999999822455,-522338.6575591203,300.3067130753476,1.0238977749745235,102
460000,1939.9999999817726,-521745.92570855,301.8788239482331,1.0274408984677,102
465000,1959.9999999812997,-521760.78383461945,300.2769966009974,1.0252678930731,102
470000,1979.9999999808267,-521706.75364366383,298.384320100329,1.0240576642652695,102
475000,1999.9999999803538,-522348.8568128459,301.1117726147109,1.0272331040144926,102
480000,2019.9999999798808,-521748.6873783099,300.36223066846424,1.0252179859599864,102
485000,2039.999999979408,-522209.51395206363,299.53178318365326,1.0259242780628952,102
490000,2059.999999978935,-520969.03211792605,301.3166729475524,1.0225260235161306,102
495000,2079.9999999784623,-521081.2641518689,301.5364311464085,1.022327537778656,102
500000,2099.9999999779893,-520813.4341306316,301.96193539868364,1.0258748635447124,102
505000,2119.9999999775164,-521581.4669363443,302.97221896764705,1.0279827556126933,102
510000,2139.9999999770434,-522182.81848134426,300.66878913631825,1.0304430082570248,102
515000,2159.9999999765705,-521074.25908901053,302.1876810241941,1.0261818048162634,102
520000,2179.9999999760976,-520414.1553561236,298.79302396086115,1.0269262693672465,102
525000,2199.9999999756246,-521274.9522445856,302.7924848830037,1.0261101072312986,102
530000,2219.9999999751517,-521008.389238043,302.15592930902096,1.029217889451181,102
535000,2239.9999999746788,-522039.4887782668,300.4024886004203,1.0278588550299368,102
540000,2259.999999974206,-521533.0018558495,302.0814709434908,1.0267752160896437,102
545000,2279.999999973733,-522112.3046361385,302.80530731417485,1.0249262075357852,102
550000,2299.99999997326,-521456.35085957847,304.8312789382662,1.027191925412005,102
555000,2319.999999972787,-521586.274904402,299.7482973069399,1.0230937214284364,102
560000,2339.999999972314,-522237.58345979825,298.1656927558705,1.0253199924287186,102
565000,2359.999999971841,-521982.7427865253,301.89105379409756,1.0264018461885498,102
570000,2379.999999971368,-522434.41179015953,300.8224403339789,1.0244301209003603,102
575000,2399.9999999708953,-521320.76137584937,301.56014610659685,1.025927419372299,102
580000,2419.9999999704223,-520954.27299662423,299.7118288841248,1.0235487102445815,102
585000,2439.9999999699494,-521637.3324879396,301.12407750631417,1.0242899321211933,102
590000,2459.9999999694764,-522682.02875869116,296.0016215958549,1.027696979270774,102
595000,2479.9999999690035,-521452.0587069683,302.8929551096878,1.0271006659547064,102
600000,2499.9999999685306,-520273.3492557863,297.6328794377772,1.0262336247867385,102
605000,2519.9999999680576,-522198.8894190453,301.91770368293476,1.0221715675567686,102
610000,2539.9999999675847,-521520.64831223176,302.327374600282,1.028410786187675,102
615000,2559.9999999671118,-522374.0003675667,301.4645720547961,1.0279529215707806,102
620000,2579.999999966639,-521751.6073070511,300.29975571930805,1.028535189402151,102
625000,2599.999999966166,-522071.58412089525,300.72729149916836,1.03229082345607,102
630000,2619.999999965693,-522103.9402640646,299.95211828152867,1.0257576945133373,102
635000,2639.99999996522,-521451.8209013166,299.2429789820089,1.0234673117008994,102
640000,2659.999999964747,-521797.9088812338,301.31094234851207,1.0253607726591518,102
645000,2679.999999964274,-522475.3863318921,303.66193872905916,1.0287587847468487,102
650000,2699.999999963801,-520831.52025527274,301.12865428718476,1.022371401480256,102
655000,2719.9999999633283,-520788.73558315006,301.2614353375601,1.0244462338828542,102
660000,2739.9999999628553,-522313.47271670704,300.26706111958606,1.0280641290858308,102
665000,2759.9999999623824,-521096.03459808393,299.00186678095224,1.0254790022411344,102
670000,2779.9999999619095,-521663.7655721633,298.8088208671444,1.0268371888647159,102
675000,2799.9999999614365,-521173.4418691718,305.2574342403217,1.0249146630717605,102
680000,2819.9999999609636,-521758.9969746275,300.5801607490157,1.023968204083446,102
685000,2839.9999999604906,-521696.96950359107,302.05414722360837,1.02197355423112,102
690000,2859.9999999600177,-520308.29402278457,301.80447785116155,1.023659504021212,102
695000,2879.9999999595448,-520540.34575503785,300.3873565380346,1.0228362024483995,102
700000,2899.999999959072,-522734.2234118199,301.66987136197133,1.0275143789113745,102
705000,2919.999999958599,-522237.39341121144,299.5069989853314,1.0266433772023678,102
710000,2939.999999958126,-521276.80300944834,300.4376832730736,1.030541389827932,102
715000,2959.999999957653,-523409.1499309775,303.6388324383745,1.0262494626992726,102
720000,2979.99999995718,-521735.04947349103,303.35350073625716,1.0234910009590248,102
725000,2999.999999956707,-521339.6213512309,301.38649556984797,1.026871585575697,102
730000,3019.999999956234,-521325.74162794533,302.4247585607643,1.0261256491659656,102
735000,3039.9999999557613,-521066.0601903973,301.4219585391959,1.023618392774218,102
740000,3059.9999999552883,-521413.895831482,302.7191201702122,1.0289312246800253,102
745000,3079.9999999548154,-521270.49097646703,298.40648478124905,1.0227499755530454,102
750000,3099.9999999543425,-522300.962634881,301.88835702419175,1.0244006592121815,102
755000,3119.9999999538695,-521722.0956866143,300.4384060229628,1.0270974555522459,102
760000,3139.9999999533966,-521797.7416613039,300.3583590432731,1.0258785356203572,102
765000,3159.9999999529236,-522998.9732548257,299.29851352656345,1.025460170300322,102
770000,3179.9999999524507,-521816.74035663554,299.5999397198731,1.0293967527261279,102
775000,3199.9999999519778,-522406.0526573984,300.89939680838546,1.0282269649108051,102
780000,3219.999999951505,-521138.6017682683,300.1719206945257,1.0273269015846958,102
785000,3239.999999951032,-523755.96876940434,298.2863083989275,1.0301176281951818,102
790000,3259.999999950559,-521525.6823147326,301.7935455288959,1.0273576659089279,102
795000,3279.999999950086,-521855.95180408144,303.73448772405715,1.0257162328672378,102
800000,3299.999999949613,-521924.4539291649,301.62136325411404,1.0287354292176885,102
805000,3319.99999994914,-521343.00325148064,301.59310637174343,1.0282019620013392,102
810000,3339.999999948667,-521966.81158773834,303.3570918204185,1.0255277604920228,102
815000,3359.9999999481943,-522489.4013347998,301.706640338916,1.0269342132245147,102
820000,3379.9999999477213,-522304.6367439898,297.1693541007111,1.0266153959256454,102
825000,3399.9999999472484,-522162.4619873536,299.87513442146025,1.0243420416655862,102
830000,3419.9999999467755,-521944.27851591585,300.6806171957912,1.028525174723584,102
835000,3439.9999999463025,-522546.95350286784,302.64477537698025,1.0294702610867537,102
840000,3459.9999999458296,-522454.0024310325,301.679815115324,1.027389476104425,102
845000,3479.9999999453566,-522250.5645587982,299.4511965626056,1.026491084566663,102
850000,3499.9999999448837,-522165.315576097,300.87734794088595,1.026461214485961,102
855000,3519.999999944411,-521572.6015320618,300.73657661337256,1.0258339170127935,102
860000,3539.999999943938,-522372.4804329374,301.4925523103936,1.0233362806856536,102
865000,3559.999999943465,-522614.791703569,303.72839039673283,1.0278989247382715,102
870000,3579.999999942992,-522436.0796202591,300.0574083539305,1.026156641854852,102
875000,3599.999999942519,-521531.2362168217,299.71606509235954,1.0250502370429095,102
880000,3619.999999942046,-522572.6498349323,302.73048040033166,1.0277146656652252,102
885000,3639.999999941573,-523015.66588282236,300.57616892946663,1.0226994048678284,102
890000,3659.9999999411,-522698.38235483924,300.00006346415597,1.0308731359192231,102
895000,3679.9999999406273,-522455.29317225004,299.0006139219088,1.0255861525602123,102
900000,3699.9999999401543,-521357.2010426484,300.116948643431,1.0241461011769357,102
905000,3719.9999999396814,-521772.68190588895,302.9417679048651,1.0271996062087136,102
910000,3739.9999999392085,-522079.5850397167,304.52962061106354,1.0266792492315695,102
915000,3759.9999999387355,-523039.8655170887,300.5484202888701,1.0271096793233148,102
920000,3779.9999999382626,-522252.47313125944,297.70095060759274,1.0278450885927517,102
925000,3799.9999999377897,-523385.635934985,301.93200446023525,1.0264331585531752,102
930000,3819.9999999373167,-520876.2973464434,301.00090612111546,1.0217158281445615,102
935000,3839.999999936844,-522284.4380149194,301.7788643762113,1.0275783230929887,102
940000,3859.999999936371,-522771.2126882451,307.17682725739076,1.0272439685028312,102
945000,3879.999999935898,-521950.9440006232,302.8711333983233,1.0264184675364616,102
950000,3899.999999935425,-522074.3700546827,301.47945309325536,1.0220078744590788,102
955000,3919.999999934952,-522823.5233125449,300.9512551936314,1.0259879173186996,102
960000,3939.999999934479,-521938.74538069265,301.00310144028043,1.0252620572565636,102
965000,3959.999999934006,-521003.5497684602,302.4419668327875,1.0294583579373955,102
970000,3979.999999933533,-521889.1036039442,300.9724846809331,1.02442890852312,102
975000,3999.9999999330603,-522743.2586960762,303.22721373748436,1.0234927196693526,102
980000,4019.9999999325873,-523387.55931848916,301.3353908006139,1.0296023945467074,102
985000,4039.9999999321144,-521363.9975111061,302.2690631763492,1.0233491300556898,102
990000,4059.9999999316415,-521566.2861751525,299.8333521383146,1.0255199573574345,102
995000,4079.9999999311685,-522237.46022566734,301.1643856524192,1.0266972135829255,102
1000000,4099.999999930696,-522645.1155766761,298.2343718242077,1.0288770162850887,102
1005000,4119.999999930223,-522222.4768486689,302.69901945009684,1.031765555864994,102
1010000,4139.99999992975,-521666.30432795733,300.2732251160244,1.026713162844955,102
1015000,4159.999999929277,-521454.19385131286,302.6126542617798,1.0264969037738338,102
1020000,4179.999999928804,-521686.8675036365,301.42181522203174,1.028405821364867,102
