time_ns,protein_bb_rmsd_A,ligand_rmsd_A
0.0,0.0,0.0
0.25,1.103,2.045
0.5,0.966,1.921
0.75,1.039,1.929
1.0,1.546,1.993
1.25,1.389,3.114
1.5,1.506,3.489
1.75,1.49,3.32
2.0,1.637,3.064
2.25,1.287,3.103
2.5,1.47,3.172
2.75,1.338,3.096
3.0,1.354,3.056
3.25,1.601,3.387
3.5,1.616,3.151
3.75,1.628,4.123
4.0,1.748,3.01
4.25,1.433,3.148
4.5,1.456,3.308
4.75,1.508,3.251
5.0,1.455,3.42
5.25,1.364,3.411
5.5,1.5,3.869
5.75,1.427,3.626
6.0,1.497,3.57
6.25,1.529,3.544
6.5,1.592,3.753
6.75,1.558,3.736
7.0,1.522,3.588
7.25,1.549,3.351
7.5,1.512,3.893
7.75,1.496,3.826
8.0,1.506,3.514
8.25,1.627,4.134
8.5,1.526,3.627
8.75,1.658,3.272
9.0,1.426,3.633
9.25,1.569,3.377
9.5,1.314,3.341
9.75,1.513,3.768
10.0,1.342,3.604
10.25,1.598,3.125
10.5,1.675,2.955
10.75,1.622,3.182
11.0,1.585,3.084
11.25,1.594,3.8
11.5,1.507,3.466
11.75,1.375,3.528
12.0,1.479,3.504
12.25,1.44,3.838
12.5,1.439,4.125
12.75,1.788,3.565
13.0,1.684,3.916
13.25,1.578,4.24
13.5,1.663,3.921
13.75,1.525,3.546
14.0,1.492,3.179
14.25,1.467,3.398
14.5,1.457,3.75
14.75,1.477,2.702
15.0,1.498,3.379
15.25,1.352,3.675
15.5,1.377,4.096
15.75,1.298,4.01
16.0,1.474,4.342
16.25,1.423,3.788
16.5,1.396,3.854
16.75,1.503,3.49
17.0,1.506,3.569
17.25,1.391,4.273
17.5,1.432,3.829
17.75,1.354,4.155
18.0,1.36,3.951
18.25,1.432,4.121
18.5,1.449,4.296
18.75,1.357,5.28
19.0,1.452,5.09
19.25,1.411,4.429
19.5,1.604,4.944
19.75,1.761,5.148
20.0,1.641,4.931
20.25,1.515,4.982
20.5,1.489,5.017
20.75,1.58,4.786
21.0,1.396,4.866
21.25,1.556,4.567
21.5,1.665,4.839
21.75,1.513,5.221
22.0,1.551,4.28
22.25,1.447,4.521
22.5,1.626,4.752
22.75,1.376,4.649
23.0,1.671,4.334
23.25,1.505,4.503
23.5,1.598,4.258
23.75,1.497,3.97
24.0,1.49,4.38
24.25,1.638,4.252
24.5,1.659,4.319
24.75,1.671,4.466
25.0,1.693,4.094
25.25,1.677,4.316
25.5,1.628,4.384
25.75,1.467,4.479
26.0,1.606,4.116
26.25,1.548,4.293
26.5,1.544,4.369
26.75,1.598,4.363
27.0,1.526,3.813
27.25,1.498,3.994
27.5,1.612,3.569
27.75,1.6,3.929
28.0,1.486,3.704
28.25,1.562,3.894
28.5,1.507,4.066
28.75,1.653,4.146
29.0,1.545,4.422
29.25,1.444,4.161
29.5,1.419,4.214
29.75,1.585,4.332
30.0,1.626,4.013
30.25,1.447,3.935
30.5,1.629,4.532
30.75,1.558,4.347
31.0,1.486,4.482
31.25,1.507,4.512
31.5,1.647,4.458
31.75,1.718,4.405
32.0,1.611,3.928
32.25,1.653,4.429
32.5,1.58,3.844
32.75,1.75,4.309
33.0,1.472,4.679
33.25,1.746,4.71
33.5,1.912,4.179
33.75,1.674,4.433
34.0,1.642,4.114
34.25,1.575,4.379
34.5,1.549,4.523
34.75,1.491,4.65
35.0,1.605,4.546
35.25,1.605,4.139
35.5,1.72,4.225
35.75,1.684,4.23
36.0,1.712,4.556
36.25,1.75,4.15
36.5,1.617,4.249
36.75,1.763,3.856
37.0,1.591,4.513
37.25,1.781,4.385
37.5,1.868,4.527
37.75,1.649,4.514
38.0,1.723,4.543
38.25,1.548,4.741
38.5,1.682,4.242
38.75,1.43,4.494
39.0,1.607,4.53
39.25,1.656,4.286
39.5,1.591,4.457
39.75,1.671,4.363
40.0,1.525,4.245
40.25,1.977,4.526
40.5,1.703,4.324
40.75,1.561,4.629
41.0,1.599,4.423
41.25,1.544,4.41
41.5,1.396,4.257
41.75,1.48,4.525
42.0,1.579,4.494
42.25,1.549,4.438
42.5,1.588,4.381
42.75,1.559,4.723
43.0,1.708,4.421
43.25,1.498,4.237
43.5,1.744,4.267
43.75,1.634,4.262
44.0,1.686,4.507
44.25,1.704,4.711
44.5,1.842,4.723
44.75,1.732,4.768
45.0,1.687,4.593
45.25,1.543,4.678
45.5,1.865,4.431
45.75,1.824,4.583
46.0,1.641,4.291
46.25,1.679,4.155
46.5,1.513,4.284
46.75,1.814,4.39
47.0,1.619,4.373
47.25,1.744,3.996
47.5,1.832,4.169
47.75,1.7,4.445
48.0,1.794,4.347
48.25,1.646,4.369
48.5,1.743,4.588
48.75,1.782,4.411
49.0,1.872,4.456
49.25,1.961,4.43
49.5,1.872,4.703
49.75,1.883,4.716
