ligand,organism,affinity,n_carbons,C_C_double_bonds,headgroup,MW,logP,TPSA,rot_bonds
cis_5_8_11_14_17_eicosapentaenoic_acid,CV,-8.778,20,5,acid,302.5,5.99,37.3,13
methyl_cis_5_8_11_14_17_eicosapntaenoate,CV,-8.482,21,5,ester,316.5,6.08,26.3,13
methyl_4_7_10_13_hexadecatetraenoate,CV,-8.464,17,4,ester,262.4,4.74,26.3,10
gamma_linolenic_acid,CCM;CV,-8.125,18,3,acid,278.4,5.66,37.3,13
neophytadiene,CCM,-8.115,20,2,other,278.5,7.17,0.0,13
methyl_3_cis_9_cis_12_cis_octadecatrienoate,CCM,-7.969,19,3,ester,292.5,5.75,26.3,13
9_12_15_octadecatrienoic_acid,CV,-7.91,18,3,acid,278.4,5.66,37.3,13
methyl_heneicosanoate,CCM,-7.838,22,0,ester,340.6,7.59,26.3,19
cis_10_heptadecenoic_acid,CCM;CV,-7.813,17,1,acid,268.4,5.72,37.3,14
9_11_ooctadecadienoic_acid,CCM,-7.801,18,2,acid,280.5,5.88,37.3,14
methyl_palmitoleate,CCM;CV,-7.719,17,1,ester,268.4,5.42,26.3,13
heptadecanoic_acid,CV,-7.677,17,0,acid,270.5,5.94,37.3,15
stearic_acid,CV,-7.626,18,0,acid,284.5,6.33,37.3,16
methyl_heptadecanoate,CV,-7.572,18,0,ester,284.5,6.03,26.3,15
methyl_stearate,CCM;CV,-7.565,19,0,ester,298.5,6.42,26.3,16
methyl_palmitate,CCM;CV,-7.477,17,0,ester,270.5,5.64,26.3,14
methyl_18_fluorostearate,CCM,-7.384,19,0,ester,316.5,6.37,26.3,17
palmitic_acid,CCM,-7.317,16,0,acid,256.4,5.55,37.3,14
methyl_myristate,CCM;CV,-7.308,15,0,ester,242.4,4.86,26.3,12
methyl_pentadecanoate,CV,-7.184,16,0,ester,256.4,5.25,26.3,13
pentadecanal,CV,-6.901,15,0,other,226.4,5.28,17.1,13
tridecanoic_acid,CCM,-6.84,13,0,acid,214.3,4.38,37.3,11
