ligand,form,r1_mean,r2_mean,r3_mean,mean_of_means,sd_across_means
EPA,methyl ester,-24.3,-40.2,-35.8,-33.43333333333333,8.20995330884003
EPA,carboxylate,-49.0,-45.0,-51.5,-48.5,3.278719262151
gamma-linolenic,methyl ester,-31.5,-37.2,-23.2,-30.633333333333336,7.0401231049842705
gamma-linolenic,carboxylate,-37.6,-48.4,-47.0,-44.333333333333336,5.873102530463206
palmitic,methyl ester,-36.6,-36.3,-37.6,-36.833333333333336,0.6806859285554062
palmitic,carboxylate,-41.3,-49.2,-45.8,-45.43333333333334,3.9627431576287346
palmitoleate (native),+control,-33.1,-36.7,-27.6,-32.46666666666667,4.582939377008312
glucose,decoy,-23.5,-28.0,-24.5,-25.333333333333332,2.3629078131263044
pentadecanal,weak,-31.4,-34.8,-37.8,-34.666666666666664,3.2020826556060866
tridecanoic,weak,-19.8,-26.6,-27.4,-24.600000000000005,4.176122603564219
