backbone,C,C_C_double,acid_kcal,ester_kcal,ester_minus_acid
gamma_linolenic_acid,18,3,-8.235,-8.347,-0.11
methyl_3_cis_9_cis_12_cis_octadecatrienoate,18,3,-8.144,-7.985,0.16
9_11_ooctadecadienoic_acid,18,2,-7.905,-7.894,0.01
cis_10_heptadecenoic_acid,17,1,-7.723,-7.841,-0.12
methyl_heneicosanoate,21,0,-7.649,-7.838,-0.19
methyl_palmitoleate,16,1,-7.578,-7.653,-0.07
methyl_stearate,18,0,-7.626,-7.565,0.06
methyl_18_fluorostearate,18,0,-7.478,-7.384,0.09
methyl_palmitate,16,0,-7.291,-7.411,-0.12
methyl_myristate,14,0,-7.142,-7.311,-0.17
tridecanoic_acid,13,0,-6.821,-6.848,-0.03
