backbone,C,C_C_double,acid_kcal,ester_kcal,ester_minus_acid
cis_5_8_11_14_17_eicosapentaenoic_acid,20,5,-8.844,-8.818,0.03
methyl_4_7_10_13_hexadecatetraenoate,16,4,-8.444,-8.393,0.05
gamma_linolenic_acid,18,3,-8.235,-8.347,-0.11
9_12_15_octadecatrienoic_acid,18,3,-7.888,-8.309,-0.42
cis_10_heptadecenoic_acid,17,1,-7.723,-7.841,-0.12
methyl_palmitoleate,16,1,-7.578,-7.653,-0.07
methyl_stearate,18,0,-7.626,-7.565,0.06
heptadecanoic_acid,17,0,-7.402,-7.572,-0.17
methyl_palmitate,16,0,-7.291,-7.411,-0.12
methyl_pentadecanoate,15,0,-7.264,-7.329,-0.06
methyl_myristate,14,0,-7.142,-7.311,-0.17
