ligand,vina_kcal_mol,vinardo_kcal_mol,mean_kcal_mol
cis_5_8_11_14_17_eicosapentaenoic_acid,-8.778,-8.408,-8.59
methyl_cis_5_8_11_14_17_eicosapntaenoate,-8.482,-8.373,-8.43
methyl_4_7_10_13_hexadecatetraenoate,-8.464,-8.192,-8.33
gamma_linolenic_acid,-8.125,-8.249,-8.19
neophytadiene,-8.115,-8.165,-8.14
9_12_15_octadecatrienoic_acid,-7.91,-8.205,-8.06
methyl_3_cis_9_cis_12_cis_octadecatrienoate,-7.969,-8.023,-8.0
9_11_ooctadecadienoic_acid,-7.801,-7.922,-7.86
cis_10_heptadecenoic_acid,-7.813,-7.745,-7.78
heptadecanoic_acid,-7.677,-7.84,-7.76
stearic_acid,-7.626,-7.792,-7.71
methyl_palmitoleate,-7.719,-7.455,-7.59
methyl_heneicosanoate,-7.838,-7.191,-7.51
palmitic_acid,-7.317,-7.694,-7.51
methyl_heptadecanoate,-7.572,-7.276,-7.42
methyl_palmitate,-7.477,-7.326,-7.4
methyl_stearate,-7.565,-7.211,-7.39
methyl_pentadecanoate,-7.184,-7.398,-7.29
methyl_18_fluorostearate,-7.384,-7.117,-7.25
methyl_myristate,-7.308,-7.113,-7.21
pentadecanal,-6.901,-7.305,-7.1
tridecanoic_acid,-6.84,-6.927,-6.88
